Date,Average of GDP and GDI,Business current transfer payments (net),Capital consumption allowances,"Contributions for government social insurance, domestic",Corporate profits with inventory valuation and capital consumption adjustments,Current surplus of government enterprises,Domestic business,Equals: Gross national product,Equals: National income,Equals: Net national product,Equals: Personal income,General government,Government,Government enterprises,Gross domestic income (GDI),Gross domestic product (GDP),Gross national factor income,Gross national income,Households and institutions,Less: Capital consumption adjustment,Less: Consumption of fixed capital,Less: Income payments to the rest of the world,Less: Statistical discrepancy,Net domestic income,Net domestic product,Net domestic purchases,Net interest and miscellaneous payments on assets,Net national factor income,Plus: Income receipts from the rest of the world,Plus: Personal current transfer receipts,Plus: Personal income receipts on assets,Private,Taxes on production and imports less subsidies
1955-04-01,420634.0,1245.0,27997.0,9040.0,50107.0,,28544.0,423930.0,373957.0,375752.0,321060.0,12898.0,13650.0,751.0,419737.0,421532.0,389989.0,422135.0,5984.0,-547.0,48178.0,1065.0,1795.0,371559.0,373354.0,373509.0,5965.0,341811.0,3463.0,15612.0,28749.0,34528.0,30901.0
1955-07-01,429224.0,1372.0,28702.0,9196.0,50177.0,,29155.0,432668.0,381360.0,383353.0,328471.0,13256.0,14034.0,778.0,428228.0,430221.0,397393.0,430675.0,6126.0,-453.0,49315.0,1094.0,1993.0,378913.0,380906.0,380182.0,5915.0,348078.0,3541.0,15868.0,29813.0,35281.0,31910.0
1955-10-01,436430.0,1471.0,29309.0,9252.0,51582.0,,29930.0,439619.0,387692.0,389016.0,333585.0,13599.0,14395.0,795.0,435768.0,437092.0,404555.0,438295.0,6279.0,-621.0,50603.0,1099.0,1324.0,385165.0,386489.0,386249.0,5933.0,353952.0,3626.0,15968.0,30433.0,36209.0,32269.0
1956-01-01,440140.0,1574.0,29880.0,9856.0,49420.0,,30868.0,442597.0,391240.0,390454.0,338983.0,14010.0,14832.0,822.0,440533.0,439746.0,409079.0,443384.0,6444.0,-988.0,52144.0,1118.0,-787.0,388389.0,387603.0,387163.0,6231.0,356935.0,3969.0,16336.0,31218.0,37311.0,32731.0
1956-04-01,446844.0,1623.0,30463.0,9964.0,49642.0,,31760.0,448848.0,397011.0,395343.0,344790.0,14309.0,15153.0,845.0,447678.0,446010.0,415851.0,450516.0,6592.0,-1297.0,53505.0,1097.0,-1667.0,394173.0,392505.0,390596.0,6359.0,362346.0,3935.0,16572.0,31836.0,38352.0,33041.0
1956-07-01,452482.0,1674.0,31119.0,9992.0,49309.0,,32606.0,454125.0,401886.0,399305.0,350083.0,14618.0,15490.0,872.0,453772.0,451191.0,421333.0,456705.0,6723.0,-1487.0,54819.0,1159.0,-2582.0,398953.0,396371.0,393802.0,6695.0,366513.0,4093.0,17068.0,32499.0,39329.0,33698.0
1956-10-01,462008.0,1731.0,31842.0,10136.0,50214.0,,33406.0,463023.0,410082.0,406991.0,357751.0,14899.0,15788.0,889.0,463554.0,460463.0,429872.0,466114.0,6838.0,-1564.0,56032.0,1175.0,-3091.0,407522.0,404431.0,399904.0,6721.0,373840.0,3735.0,17332.0,33649.0,40244.0,34510.0
1957-01-01,470428.0,1798.0,32612.0,11396.0,51659.0,,34160.0,472864.0,416849.0,415551.0,362367.0,15312.0,16217.0,905.0,471077.0,469779.0,437505.0,474162.0,6936.0,-1548.0,57313.0,1195.0,-1298.0,413764.0,412466.0,407647.0,7513.0,380193.0,4280.0,18212.0,34531.0,41096.0,34858.0
1957-04-01,472994.0,1826.0,33284.0,11428.0,50289.0,,34875.0,475392.0,418912.0,416973.0,367110.0,15585.0,16518.0,933.0,473964.0,472025.0,440163.0,477332.0,7027.0,-1590.0,58420.0,1194.0,-1939.0,415544.0,413606.0,409507.0,7714.0,381743.0,4561.0,19436.0,35362.0,41901.0,35343.0
1957-07-01,479163.0,1840.0,33843.0,11500.0,49340.0,,35550.0,482723.0,422581.0,423236.0,371679.0,15880.0,16828.0,948.0,478836.0,479490.0,444277.0,482069.0,7109.0,-1707.0,59488.0,1228.0,655.0,419348.0,420003.0,416006.0,7840.0,384789.0,4461.0,19636.0,35934.0,42660.0,35951.0
1957-10-01,474281.0,1827.0,34292.0,11328.0,45271.0,,36187.0,477398.0,415785.0,416950.0,370778.0,16121.0,17077.0,956.0,473699.0,474864.0,438621.0,476233.0,7184.0,-1894.0,60448.0,1236.0,1164.0,413251.0,414416.0,411028.0,7611.0,378174.0,3770.0,20824.0,35989.0,43371.0,35785.0
1958-01-01,467844.0,1794.0,34605.0,11328.0,39466.0,,36784.0,470170.0,409687.0,409078.0,371282.0,16098.0,17057.0,959.0,468148.0,467540.0,433259.0,470779.0,7251.0,-2179.0,61092.0,1256.0,-608.0,407056.0,406448.0,405369.0,8097.0,372167.0,3886.0,22116.0,35890.0,44035.0,35726.0
1958-04-01,471444.0,1741.0,35004.0,11252.0,40608.0,,37322.0,474672.0,411599.0,412670.0,373724.0,16373.0,17352.0,979.0,470909.0,471978.0,435821.0,473602.0,7329.0,-2318.0,62003.0,1172.0,1070.0,408906.0,409976.0,409505.0,8710.0,373818.0,3866.0,23908.0,36569.0,44651.0,36040.0
1958-07-01,485330.0,1673.0,35461.0,11420.0,44759.0,,37801.0,488446.0,424481.0,425502.0,382613.0,16725.0,17724.0,999.0,484819.0,485841.0,449433.0,487424.0,7418.0,-2340.0,62943.0,1234.0,1021.0,421876.0,422897.0,422041.0,9491.0,386490.0,3839.0,24188.0,37605.0,45219.0,36318.0
1958-10-01,499000.0,1607.0,35978.0,11536.0,50593.0,,38220.0,502140.0,437248.0,438358.0,388187.0,17025.0,18043.0,1018.0,498445.0,499555.0,462106.0,501030.0,7519.0,-2243.0,63782.0,1300.0,1110.0,434663.0,435773.0,436033.0,10576.0,398324.0,3885.0,23652.0,38916.0,45739.0,37318.0
1959-01-01,510237.0,1600.0,36583.0,13656.0,54265.0,494.0,38581.0,512913.0,448264.0,448449.0,393980.0,17255.0,18253.0,998.0,510145.0,510330.0,472011.0,512728.0,7630.0,-1998.0,64464.0,1379.0,185.0,445681.0,445866.0,445347.0,8486.0,407547.0,3962.0,24008.0,38832.0,46211.0,38622.0
1959-04-01,523768.0,1661.0,37174.0,13904.0,59067.0,554.0,38904.0,525253.0,462360.0,460131.0,402363.0,17483.0,18480.0,997.0,524882.0,522653.0,485903.0,527483.0,7738.0,-1730.0,65122.0,1457.0,-2229.0,459759.0,457531.0,458299.0,9485.0,420781.0,4057.0,23932.0,40105.0,46642.0,39364.0
1959-07-01,523803.0,1672.0,37780.0,13860.0,54190.0,521.0,39191.0,527864.0,459613.0,462075.0,404741.0,17743.0,18756.0,1013.0,522572.0,525034.0,482576.0,525402.0,7843.0,-1410.0,65789.0,1549.0,2461.0,456783.0,459245.0,458033.0,9531.0,416787.0,4379.0,24184.0,41352.0,47034.0,40634.0
1959-10-01,528405.0,1695.0,38403.0,13916.0,54535.0,610.0,39441.0,531630.0,464844.0,465234.0,410367.0,17988.0,19012.0,1024.0,528210.0,528600.0,487580.0,531241.0,7944.0,-1038.0,66397.0,1648.0,391.0,461813.0,462204.0,461577.0,9812.0,421183.0,4678.0,24832.0,42615.0,47385.0,41356.0
1960-01-01,542386.0,1732.0,39035.0,16424.0,58609.0,546.0,39654.0,545575.0,478067.0,478591.0,416651.0,18243.0,19289.0,1046.0,542125.0,542648.0,500101.0,545052.0,8042.0,-619.0,66985.0,1842.0,524.0,475140.0,475664.0,472806.0,9799.0,433117.0,4769.0,24636.0,43730.0,47696.0,42672.0
1960-04-01,542238.0,1729.0,39568.0,16456.0,54796.0,547.0,39891.0,544084.0,478812.0,476496.0,421743.0,18501.0,19563.0,1063.0,543396.0,541080.0,501056.0,546400.0,8134.0,-323.0,67588.0,1788.0,-2316.0,475808.0,473492.0,470097.0,9862.0,433468.0,4792.0,25276.0,44113.0,48025.0,43067.0
1960-07-01,545447.0,1740.0,40001.0,16508.0,53807.0,396.0,40153.0,548768.0,480249.0,480564.0,424375.0,18752.0,19832.0,1079.0,545291.0,545604.0,502504.0,548454.0,8220.0,-152.0,68204.0,1770.0,313.0,477086.0,477400.0,472717.0,10507.0,434300.0,4934.0,26040.0,44857.0,48373.0,43813.0
1960-10-01,542068.0,1771.0,40336.0,16388.0,51506.0,378.0,40438.0,543553.0,478469.0,474728.0,425782.0,18990.0,20086.0,1096.0,543938.0,540197.0,501093.0,547294.0,8301.0,-102.0,68825.0,1701.0,-3741.0,475113.0,471372.0,465492.0,10934.0,432268.0,5057.0,27008.0,45335.0,48739.0,44052.0
1961-01-01,545620.0,1851.0,40553.0,16740.0,50242.0,307.0,40748.0,548594.0,480301.0,479098.0,430164.0,19264.0,20372.0,1109.0,546222.0,545018.0,503435.0,549798.0,8376.0,-194.0,69496.0,1724.0,-1204.0,476725.0,475522.0,469620.0,11340.0,433939.0,5300.0,28832.0,45715.0,49124.0,44204.0
1961-04-01,556133.0,1870.0,41120.0,16904.0,54481.0,236.0,41087.0,558945.0,489936.0,488760.0,436376.0,19518.0,20644.0,1125.0,556721.0,555545.0,513559.0,560121.0,8454.0,33.0,70185.0,1741.0,-1175.0,486536.0,485360.0,480633.0,11851.0,443374.0,5141.0,29688.0,46550.0,49541.0,44455.0
1961-07-01,567406.0,1916.0,42014.0,17064.0,57243.0,311.0,41456.0,571166.0,499689.0,500205.0,443432.0,19826.0,20970.0,1144.0,567148.0,567664.0,523340.0,570650.0,8535.0,558.0,70961.0,1814.0,516.0,496187.0,496703.0,492250.0,12205.0,452379.0,5316.0,29872.0,47693.0,49991.0,45084.0
1961-10-01,581509.0,1969.0,43237.0,17312.0,61816.0,499.0,41854.0,584209.0,514228.0,512432.0,452329.0,20137.0,21304.0,1167.0,582407.0,580612.0,537464.0,586004.0,8618.0,1383.0,71776.0,1873.0,-1796.0,510631.0,508835.0,504263.0,12927.0,465688.0,5470.0,29408.0,49288.0,50472.0,46073.0
1962-01-01,593259.0,2034.0,44815.0,18888.0,62551.0,427.0,42283.0,597614.0,523404.0,524912.0,459335.0,20532.0,21716.0,1184.0,592505.0,594013.0,546533.0,596106.0,8704.0,2533.0,72702.0,1803.0,1508.0,519803.0,521311.0,517301.0,12734.0,473831.0,5404.0,30000.0,49678.0,50986.0,47112.0
1962-04-01,600220.0,2091.0,46146.0,19108.0,62521.0,361.0,42719.0,604358.0,530536.0,530829.0,466750.0,20809.0,22015.0,1206.0,600073.0,600366.0,554090.0,604065.0,8795.0,3426.0,73529.0,1839.0,293.0,526544.0,526837.0,522060.0,13697.0,480561.0,5831.0,29992.0,51523.0,51514.0,47522.0
1962-07-01,608227.0,2146.0,47254.0,19192.0,64244.0,413.0,43164.0,613078.0,536929.0,538529.0,471497.0,21269.0,22493.0,1224.0,607427.0,609027.0,560247.0,611478.0,8892.0,4089.0,74549.0,1858.0,1600.0,532878.0,534478.0,529996.0,14175.0,485698.0,5909.0,30424.0,52987.0,52056.0,48672.0
1962-10-01,614041.0,2197.0,48137.0,19280.0,66857.0,391.0,43618.0,617010.0,544924.0,541402.0,477768.0,21752.0,22996.0,1245.0,615802.0,612280.0,568814.0,620532.0,8994.0,4519.0,75608.0,1887.0,-3521.0,540194.0,536672.0,533539.0,14587.0,493206.0,6617.0,31152.0,54135.0,52612.0,49130.0
1963-01-01,622761.0,2436.0,48776.0,21336.0,67197.0,718.0,44080.0,626179.0,551839.0,549661.0,483208.0,22077.0,23337.0,1260.0,623850.0,621672.0,575231.0,628357.0,9102.0,4696.0,76518.0,1912.0,-2178.0,547332.0,545154.0,541178.0,14346.0,498712.0,6419.0,32648.0,54727.0,53182.0,49973.0
1963-04-01,631897.0,2518.0,49477.0,21548.0,70229.0,756.0,44581.0,634089.0,560854.0,556563.0,488050.0,22443.0,23726.0,1283.0,634043.0,629752.0,584343.0,638380.0,9220.0,4896.0,77526.0,2010.0,-4291.0,556517.0,552226.0,546668.0,14542.0,506817.0,6347.0,31688.0,55863.0,53800.0,50762.0
1963-07-01,643947.0,2535.0,50221.0,21756.0,71657.0,844.0,45120.0,648882.0,569385.0,570379.0,495194.0,22734.0,24036.0,1302.0,643450.0,644444.0,592885.0,647888.0,9347.0,5101.0,78503.0,2103.0,994.0,564947.0,565941.0,561430.0,15010.0,514382.0,6541.0,31960.0,57275.0,54467.0,51623.0
1963-10-01,654124.0,2619.0,51006.0,22036.0,72951.0,938.0,45699.0,658563.0,579412.0,579040.0,504640.0,23007.0,24341.0,1334.0,654309.0,653938.0,603129.0,658935.0,9483.0,5307.0,79524.0,2188.0,-371.0,574786.0,574415.0,568704.0,15454.0,523605.0,6813.0,32540.0,58936.0,55183.0,52250.0
1964-01-01,668561.0,2721.0,51863.0,22036.0,77053.0,940.0,46317.0,674880.0,591739.0,594263.0,514147.0,23319.0,24671.0,1351.0,667299.0,669822.0,615753.0,672357.0,9629.0,5545.0,80617.0,2230.0,2524.0,586681.0,589205.0,581992.0,16156.0,535136.0,7288.0,33568.0,60687.0,55947.0,52943.0
1964-04-01,678701.0,2785.0,52712.0,22272.0,77320.0,943.0,46995.0,683549.0,601847.0,601794.0,523561.0,23600.0,24971.0,1371.0,678727.0,678674.0,626009.0,683602.0,9789.0,5717.0,81755.0,2293.0,-53.0,596972.0,596919.0,590614.0,16712.0,544254.0,7168.0,33208.0,62403.0,56784.0,53866.0
1964-07-01,691566.0,3207.0,53586.0,22516.0,78439.0,704.0,47732.0,697079.0,613202.0,614134.0,533162.0,23858.0,25252.0,1393.0,691100.0,692031.0,637003.0,696147.0,9962.0,5854.0,82945.0,2305.0,931.0,608155.0,609086.0,602141.0,17458.0,554058.0,7353.0,33504.0,64013.0,57693.0,55233.0
1964-10-01,699113.0,3306.0,54488.0,22724.0,78019.0,875.0,48528.0,702017.0,621367.0,617778.0,541898.0,24146.0,25562.0,1416.0,700907.0,697319.0,645305.0,705605.0,10148.0,5960.0,84239.0,2448.0,-3589.0,616669.0,613080.0,605885.0,17611.0,561067.0,7146.0,33736.0,65449.0,58676.0,56118.0
