Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1958-10-01,1.84,0.33,,0.2833333333333333,1.15,0.09,1.06,-0.01,-1.09,1.24,,,3.41,0.62,,0.19,0.08,0.47333333333333333,1.9,0.3466666666666667,,5.26,,,,-0.97,0.22,0.11,0.17,,0.79,0.37,-0.97,0.87,1.36,2.94,1.45,0.1,0.06,0.04,0.34,,3.51,,0.11,0.08,1.97,0.37000000000000005,,0.66,0.22,0.69,
1959-01-01,0.36,0.05,,-0.8533333333333334,1.7,0.11,1.1,1.23,-0.75,-1.38,,,3.46,0.91,,0.23,-0.02,0.4666666666666666,-1.15,0.47,,3.82,,,,-0.6,0.17,0.04,0.15,,1.28,-1.67,0.63,0.29,1.24,1.11,1.18,0.05,-0.06,0.06,0.31,,4.59,,0.24,0.04,2.27,1.2766666666666666,,0.24,-0.06,0.81,
1959-04-01,3.43,0.48,0.0,0.3466666666666667,1.25,0.01,0.62,-0.09,-0.5,0.96,0.29,0.24,1.9,0.31,0.2,0.26,-0.01,0.51,1.08,0.01333333333333333,0.47,5.34,0.1,1.6,0.41,-0.92,-0.15,0.05,0.09,0.19,0.87,-0.67,-1.02,1.63,0.79,3.93,1.13,0.05,0.06,0.09,0.0,0.44,3.92,0.11,0.06,0.08,0.77,0.45999999999999996,0.0,0.12,0.42,0.64,0.1
1959-07-01,-5.08,-0.14,0.01,0.23666666666666666,0.64,-0.04,0.69,1.63,-0.02,0.66,0.17,0.15,0.65,0.29,0.32,0.06,-0.06,0.6699999999999999,0.7,-0.003333333333333336,0.21,-4.44,0.05,1.44,0.72,-0.22,0.02,0.07,-0.02,0.04,0.58,0.7,1.41,-0.03,0.35,-5.06,1.07,0.05,0.01,0.07,0.26,0.04,2.6,0.03,0.0,0.01,-0.42,0.67,0.0,0.04,0.4,0.54,0.13
1959-10-01,2.77,0.18,0.03,0.033333333333333326,-1.67,-0.06,-0.04,-0.9,0.22,-0.6,0.14,0.18,-0.72,0.32,0.17,0.06,0.0,-0.41333333333333333,-0.77,-0.29,0.09,2.05,-0.03,1.24,0.58,0.44,0.4,0.3,0.04,-0.05,-1.81,-0.44,-0.46,-0.16,0.61,2.56,-0.11,0.27,0.05,0.06,0.11,0.2,0.32,0.06,0.02,0.08,-0.62,0.3733333333333333,0.02,-0.17,-0.11,-0.8,0.08
1960-01-01,4.48,0.07,0.07,-0.5466666666666667,1.13,-0.11,0.8,2.3,0.68,-2.01,0.13,0.02,2.15,-0.15,-0.25,-0.2,0.11,1.0999999999999999,-1.44,0.06666666666666667,0.21,6.63,0.16,0.85,0.57,-0.58,0.15,0.15,0.09,0.09,1.43,-0.7,1.72,-1.31,0.28,3.8,1.48,0.08,-0.05,-0.31,0.26,0.2,2.39,0.11,-0.06,0.16,0.67,0.26999999999999996,0.03,0.57,0.6,0.8,0.04
1960-04-01,-5.51,0.14,0.01,0.29333333333333333,0.78,-0.06,0.39,0.55,0.4,0.11,0.05,0.14,-1.1,0.29,0.23,0.1,0.28,0.8166666666666668,0.96,0.023333333333333355,0.07,-6.61,0.08,1.15,0.41,-0.09,0.52,0.21,0.07,0.02,0.54,-0.35,0.46,0.46,1.08,-5.91,0.63,0.2,0.06,-0.03,0.37,0.23,3.05,0.05,0.08,0.09,-1.73,0.35333333333333333,0.03,0.85,0.17,-0.3,0.02
1960-07-01,1.13,-0.31,0.04,0.33666666666666667,-0.26,0.15,-0.96,0.43,0.32,1.63,0.01,0.03,-1.3,-0.28,-0.2,-0.35,-0.2,0.0366666666666667,2.15,0.38000000000000006,-0.29,-0.17,-0.31,-0.16,0.43,0.53,-0.44,-0.08,0.22,-0.3,0.27,1.36,0.96,0.27,-0.55,0.81,-0.72,-0.13,-0.05,-0.44,0.23,-0.14,-0.97,0.02,-0.14,0.04,-0.58,-0.03666666666666666,0.02,0.52,0.03,0.0,0.02
1960-10-01,-6.83,-0.07,0.05,0.19999999999999998,-0.84,0.08,-0.74,0.11,-0.41,0.22,-0.04,-0.06,-0.09,-0.09,0.02,-0.05,0.0,-0.06666666666666665,0.64,0.013333333333333327,0.13,-6.92,0.25,1.14,0.7,0.8,-0.23,0.24,0.12,0.17,-0.82,-0.48,0.91,0.7,0.08,-6.42,-0.07,0.19,0.0,-0.05,0.23,0.17,0.34,0.05,0.04,0.02,-0.02,0.4833333333333334,0.01,0.41,0.54,-0.7,0.01
1961-01-01,2.02,0.17,0.0,-0.22666666666666666,-1.82,0.13,-0.67,-0.14,0.26,0.17,-0.05,0.45,-0.5,0.39,0.12,-0.01,-0.15,-0.3466666666666667,1.35,0.6733333333333333,0.01,1.52,0.13,1.22,0.35,0.07,-0.42,-0.18,0.16,0.06,-1.81,1.2,-0.07,-1.03,0.58,1.76,-0.57,-0.19,-0.01,0.16,0.16,0.14,-0.07,0.05,0.02,0.03,0.08,0.3,0.0,1.18,-0.07,-0.22,-0.01
1961-04-01,3.17,0.2,0.01,0.37333333333333335,0.65,0.1,0.98,-0.94,-0.05,0.5,0.14,0.24,0.99,0.52,-0.12,0.15,0.29,0.23666666666666666,0.25,-0.29333333333333333,0.57,4.16,0.34,1.59,0.65,-0.2,0.24,0.36,0.18,0.42,0.33,-0.18,-1.14,0.68,1.31,3.23,0.91,0.35,0.04,0.14,0.3,0.37,3.69,0.06,0.13,0.08,0.08,0.6166666666666667,0.0,-0.25,-0.24,0.24,0.04
1961-07-01,3.42,0.15,0.07,0.3433333333333333,0.77,0.02,0.29,0.87,0.1,1.66,0.05,-0.28,1.43,-0.08,-0.03,0.2,-0.25,0.17333333333333334,1.98,0.31666666666666665,0.07,4.86,0.1,0.33,0.37,-1.04,0.05,0.07,0.11,0.01,0.37,1.41,-0.17,0.25,0.08,3.33,0.4,0.0,0.06,-0.07,0.27,0.07,1.23,0.05,0.13,0.08,1.03,0.18333333333333335,0.0,0.32,0.01,0.25,0.03
1961-10-01,-0.67,0.51,0.0,0.32666666666666666,1.53,-0.04,1.23,0.32,0.04,1.04,0.11,0.13,1.89,0.22,0.25,0.23,0.03,0.9433333333333334,2.03,0.3566666666666667,0.22,1.22,0.19,1.95,0.79,-0.39,0.46,0.1,0.06,0.11,1.11,0.86,-0.07,0.17,1.3,-0.71,1.22,0.1,0.11,-0.05,0.53,0.37,4.9,0.12,0.08,0.09,0.67,0.6666666666666666,0.01,1.0,-0.07,0.71,0.1
1962-01-01,2.42,0.1,0.03,0.5166666666666667,0.7,-0.06,0.53,-0.12,0.1,2.06,0.05,-0.16,1.14,-0.03,0.15,0.04,0.31,0.30666666666666664,1.8,0.08333333333333336,0.17,3.56,0.3,1.04,0.54,-0.49,0.0,0.25,0.01,0.12,0.64,1.65,-0.61,0.41,0.79,2.32,0.79,0.22,0.05,0.05,0.42,0.15,2.58,0.0,-0.02,0.07,0.35,0.35000000000000003,0.01,-0.26,0.26,0.22,0.06
1962-04-01,-2.15,0.21,0.0,0.21333333333333335,0.86,-0.04,0.52,1.09,-0.39,0.22,-0.05,0.21,1.68,-0.05,0.14,0.13,0.02,0.6066666666666667,0.46,-0.056666666666666664,0.04,-0.47,0.33,1.76,0.62,-0.36,0.06,-0.1,0.06,0.09,0.54,-0.45,0.73,0.67,0.37,-1.76,1.07,-0.1,0.1,0.29,0.2,0.19,2.95,0.18,0.09,0.09,0.61,0.6233333333333333,0.01,0.24,0.49,0.27,0.09
1962-07-01,0.66,0.08,0.07,0.48666666666666664,0.24,0.0,0.07,-0.03,0.14,1.7,-0.05,-0.09,0.49,0.36,0.16,0.28,-0.01,0.26666666666666666,2.15,0.22999999999999998,0.07,1.15,0.35,1.04,0.55,-0.21,-0.26,-0.09,0.06,0.12,-0.2,0.79,-0.24,0.91,0.72,0.51,0.5,-0.16,0.02,0.12,0.3,0.17,1.96,-0.11,0.15,0.05,-0.01,0.3066666666666667,0.02,0.45,0.37,0.3,0.02
1962-10-01,-1.71,0.15,0.11,0.20333333333333334,1.43,0.04,0.06,-0.62,0.19,0.28,-0.05,0.03,-0.19,-0.2,0.17,0.08,0.25,0.4033333333333333,0.66,0.016666666666666666,0.07,-1.9,0.3,1.49,0.81,-0.2,-0.2,0.1,0.12,0.12,1.17,0.04,-0.82,0.24,0.52,-1.9,-0.16,-0.01,0.07,0.13,0.32,0.03,3.39,0.07,0.11,0.06,-0.03,0.4533333333333333,0.03,0.38,-0.34,0.03,0.07
1963-01-01,2.49,-0.07,0.13,-0.3933333333333333,0.67,0.07,0.39,0.29,1.18,-1.91,0.01,-0.08,0.79,0.0,0.02,0.2,0.27,0.45999999999999996,-1.23,-0.01666666666666668,0.16,3.28,0.17,0.52,0.39,0.39,0.33,0.23,0.18,0.15,0.44,-1.65,0.68,-0.26,0.51,1.31,0.1,0.1,-0.03,0.24,0.31,-0.13,1.71,0.07,0.06,0.08,0.69,0.33666666666666667,0.04,0.68,-0.47,-0.41,0.07
1963-04-01,-1.61,0.11,0.11,0.006666666666666654,0.73,0.07,0.43,1.51,-1.54,-0.23,0.11,0.21,2.66,0.24,0.05,0.11,-0.11,0.7000000000000001,0.09,0.023333333333333327,0.27,1.06,0.12,1.13,0.1,-0.38,0.3,0.23,0.2,0.16,0.41,-0.25,1.13,0.03,0.32,-0.07,1.24,0.12,0.05,0.2,0.08,0.56,2.29,0.02,0.16,0.08,1.42,0.4366666666666667,0.05,0.32,0.62,-0.3,0.08
1963-07-01,0.61,0.32,0.08,0.8833333333333333,0.44,-0.01,0.93,-0.09,-0.52,3.12,0.14,0.33,1.54,0.27,0.03,0.29,-0.03,0.42333333333333334,4.12,0.49,0.23,2.15,0.09,1.9,0.76,-0.41,0.29,0.17,0.11,0.09,0.03,1.77,-0.5,1.35,0.85,1.13,1.13,0.09,0.05,0.25,0.29,0.37,3.32,0.23,0.07,0.07,0.41,0.52,0.05,1.0,0.1,0.21,0.09
1963-10-01,-1.0,-0.17,0.04,-0.14333333333333334,0.53,-0.02,0.84,0.76,0.19,-1.48,0.13,0.36,1.83,0.1,0.19,0.17,0.09,0.3833333333333333,-0.98,-0.18333333333333335,0.25,0.83,0.22,1.44,0.39,0.06,0.18,0.04,0.07,0.12,0.3,-1.22,0.81,-0.26,-0.11,-1.19,1.18,0.0,-0.02,0.21,-0.13,0.36,1.99,-0.19,0.08,0.05,0.65,0.5533333333333333,0.03,0.5,0.27,0.41,0.1
1964-01-01,0.43,0.74,0.08,-0.01999999999999998,1.34,-0.09,0.55,1.01,-0.43,-0.25,0.19,-0.08,2.17,0.26,0.33,0.52,0.18,1.23,0.31,0.12333333333333334,0.4,2.6,0.53,1.68,0.59,0.03,0.11,0.21,-0.02,0.21,0.38,-0.65,1.04,0.4,1.55,0.86,0.88,0.13,0.12,0.05,0.37,0.02,4.75,0.2,0.32,0.06,1.3,0.7000000000000001,0.01,0.57,0.35,0.17,0.08
1964-04-01,-0.07,0.48,0.02,0.15333333333333335,0.91,-0.03,0.45,-0.08,-0.07,-0.04,0.03,0.17,-0.11,0.71,0.19,0.38,0.25,0.7400000000000001,0.81,0.11333333333333336,0.13,-0.18,0.53,1.6,0.4,-0.36,0.01,0.07,0.06,0.09,0.17,-0.52,-0.44,0.48,1.7,0.0,0.97,0.05,0.07,0.14,0.27,0.26,4.24,-0.04,0.29,0.08,-1.08,0.5233333333333333,0.0,0.85,0.46,0.23,0.09
1964-07-01,0.54,0.27,0.02,0.033333333333333326,1.17,0.02,0.8,0.63,0.02,-0.28,0.0,0.28,1.04,0.6,0.12,0.13,0.31,0.98,0.13,0.01,0.07,1.58,0.48,1.56,0.54,-0.43,0.34,0.01,0.11,0.07,0.73,-0.08,0.21,-0.2,1.76,0.53,1.36,-0.01,0.14,0.0,0.57,-0.01,4.48,0.04,0.17,0.09,-0.33,0.5766666666666667,-0.01,0.42,0.46,0.45,0.1
1964-10-01,0.03,0.18,0.05,-0.026666666666666655,-1.08,0.03,0.68,0.41,0.22,-0.42,0.0,0.02,0.56,0.15,0.12,0.17,-0.04,-0.31666666666666665,-0.03,0.016666666666666663,0.01,0.59,0.27,1.6,0.67,-0.44,0.56,0.3,0.12,0.0,-1.41,-0.57,-0.03,0.14,0.17,-0.19,0.92,0.25,0.01,0.4,-0.12,0.27,0.7,0.17,0.16,0.1,-0.35,0.5433333333333333,-0.01,0.4,0.11,-0.58,0.07
1965-01-01,3.46,0.02,0.05,0.09666666666666668,3.22,0.09,1.81,-2.42,0.4,-0.38,-0.01,0.16,2.92,0.45,0.34,0.01,-0.05,0.7733333333333334,-0.02,-0.09999999999999999,0.22,6.38,0.24,1.38,0.44,0.63,0.1,0.05,0.26,0.22,2.98,-0.65,-1.79,0.26,0.87,3.06,2.82,0.0,0.12,0.13,0.44,0.12,5.47,0.03,0.11,0.14,0.1,0.4466666666666667,0.03,0.36,0.74,1.53,0.05
1965-04-01,-1.67,-0.03,0.1,0.2833333333333334,0.07,0.05,0.44,3.08,0.39,0.11,0.12,0.16,1.83,0.31,0.41,0.15,0.26,0.6,1.07,0.07666666666666667,0.27,0.17,-0.04,1.64,0.64,-1.85,0.31,0.26,0.19,0.15,-0.32,-0.16,1.23,0.27,0.85,-2.06,1.66,0.17,-0.03,-0.09,0.31,0.38,2.68,-0.01,0.27,0.11,0.17,0.7033333333333333,0.03,0.96,1.02,-0.04,0.1
1965-07-01,0.74,0.37,0.04,0.65,1.23,0.05,1.31,-0.46,0.05,1.89,0.17,0.18,1.79,0.57,0.22,0.33,0.25,0.6666666666666666,2.99,0.3466666666666667,0.29,2.53,-0.26,1.45,0.55,-0.06,0.43,0.21,0.2,0.13,0.54,1.17,-0.52,0.72,1.35,0.69,1.69,0.17,0.14,0.39,0.17,0.64,4.2,0.01,0.22,0.1,0.1,0.5566666666666668,0.05,1.1,0.17,0.29,0.11
1965-10-01,-0.92,0.67,0.17,0.52,1.51,0.04,0.97,1.24,0.01,1.17,0.12,0.38,1.52,1.8,0.29,0.58,0.12,1.83,1.74,0.06333333333333334,0.26,0.61,-0.01,1.86,0.51,-0.82,0.15,0.28,0.21,0.14,0.19,1.1,0.41,0.06,3.29,-0.93,1.89,0.1,0.26,0.24,0.7,0.49,6.78,0.09,0.49,0.12,-0.37,0.5666666666666667,0.05,0.57,0.72,0.29,0.1
1966-01-01,3.29,0.38,0.1,0.17333333333333334,1.72,0.08,1.37,-0.51,-0.24,1.27,0.04,0.08,2.43,-0.17,0.27,0.19,0.01,0.64,1.74,0.4066666666666667,0.22,5.71,0.24,1.17,0.35,-0.44,0.26,0.33,0.21,0.19,0.97,1.37,-0.95,-0.1,0.67,3.53,1.96,0.24,0.27,0.27,0.46,0.13,3.59,0.03,0.29,0.09,0.46,0.24,0.05,0.47,0.38,0.5,0.07
1966-04-01,-0.38,0.07,0.16,0.6766666666666667,-1.45,0.02,0.88,0.59,-0.74,1.38,-0.06,-0.06,-0.67,0.09,0.03,-0.02,0.25,-0.3466666666666667,1.67,-0.12333333333333334,0.15,-1.06,0.48,1.28,0.44,-0.43,0.47,0.33,0.18,0.22,-1.57,0.82,0.16,0.55,0.83,0.36,0.76,0.17,-0.06,0.1,0.42,0.13,0.6,0.13,0.21,0.11,-1.43,0.6,0.05,0.29,-0.3,-0.02,0.14
1966-07-01,-0.57,0.2,0.16,0.48666666666666664,1.14,0.0,0.11,-0.24,0.19,2.02,-0.07,-0.11,0.07,0.12,0.09,0.34,0.14,0.35000000000000003,2.47,0.3333333333333333,0.03,-0.51,0.38,1.0,0.48,-0.99,0.1,0.25,0.17,0.1,0.43,2.35,-1.23,-0.34,0.64,-0.76,0.63,0.09,0.03,0.01,0.18,0.05,2.7,0.11,0.33,0.12,-0.56,0.14333333333333334,0.05,0.45,0.34,-0.26,0.0
1966-10-01,2.11,-0.16,0.16,0.26666666666666666,-0.01,0.0,0.37,0.5,-0.1,0.6,-0.06,-0.17,-1.69,-0.18,-0.13,-0.09,0.05,-0.02,1.6,0.26666666666666666,0.06,0.42,0.38,1.3,0.43,-0.19,0.07,0.22,0.16,0.13,-0.08,1.06,0.31,-0.46,-0.24,2.21,0.01,0.06,-0.05,0.06,0.05,0.47,0.99,0.14,0.2,0.11,-1.7,0.45333333333333337,0.05,1.0,-0.53,0.02,0.19
1967-01-01,-0.58,0.01,0.0,1.06,-0.65,-0.01,-1.02,0.25,0.96,3.46,0.07,0.39,-1.15,0.78,-0.12,0.04,-0.02,0.08333333333333333,3.96,0.25666666666666665,0.16,-1.72,0.05,0.97,0.28,-0.26,0.07,-0.12,0.12,0.09,-0.7,2.39,-0.01,1.07,0.98,-1.54,-0.75,-0.12,0.0,-0.49,0.21,0.27,1.37,0.03,0.01,0.11,-0.4,0.37000000000000005,0.01,0.49,0.16,-0.48,0.08
1967-04-01,-3.96,0.13,0.03,0.10666666666666667,1.45,-0.04,0.28,-0.28,0.49,-0.61,0.11,0.18,1.51,0.21,-0.13,0.11,0.1,0.82,-0.4,-0.24,0.3,-2.46,0.02,1.0,0.6,0.17,-0.17,0.06,0.05,0.19,1.18,0.06,-0.11,-0.67,0.65,-4.45,-0.1,0.03,0.09,0.12,0.2,0.42,3.21,-0.12,0.07,0.08,1.61,0.2166666666666667,0.01,0.22,-0.42,0.27,0.02
1967-07-01,1.15,0.08,-0.01,0.22666666666666668,-0.28,0.02,-0.34,-0.16,-1.02,0.93,0.16,0.36,0.75,-0.21,0.16,0.01,-0.02,-0.2333333333333333,1.09,0.1366666666666667,0.32,1.91,-0.02,1.43,0.43,-0.23,-0.39,-0.08,0.11,0.16,-0.42,1.01,-0.39,-0.08,-0.08,2.17,-0.07,-0.06,-0.03,-0.16,0.07,0.19,1.23,0.2,0.16,0.1,0.83,0.5166666666666667,-0.01,0.16,0.15,0.28,0.1
1967-10-01,-0.43,-0.1,0.09,0.26333333333333336,0.09,0.03,0.78,0.37,-0.69,0.05,0.13,-0.03,1.85,0.5,0.15,0.11,0.18,-0.12999999999999998,0.75,-0.013333333333333345,0.26,1.42,0.04,0.85,0.66,-0.96,0.16,0.29,0.11,0.13,-0.39,-0.41,-0.58,0.46,0.39,0.25,0.92,0.2,0.06,0.2,-0.19,0.26,1.46,-0.3,0.31,0.07,0.94,0.42333333333333334,0.01,0.7,0.02,0.12,0.08
1968-01-01,0.0,0.49,0.02,0.6866666666666666,2.15,0.01,0.96,0.56,1.72,1.04,0.02,-0.1,1.44,0.46,0.55,0.18,0.21,1.0899999999999999,1.81,-0.08333333333333333,0.16,1.44,0.4,1.85,0.52,-1.11,0.11,0.08,0.12,0.14,1.76,1.01,-0.54,0.03,1.69,-1.72,1.38,0.06,0.08,-0.18,0.53,0.08,5.71,0.28,0.13,0.1,0.06,0.63,0.02,0.76,0.29,0.95,0.13
1968-04-01,2.77,0.12,0.05,0.07666666666666665,0.76,0.06,-0.62,0.34,0.8,-0.27,-0.03,0.6,-0.15,0.68,0.13,0.26,0.02,0.57,0.55,0.10666666666666667,0.25,2.62,0.58,1.84,0.18,-0.3,-0.21,-0.08,0.17,0.28,0.25,-0.03,0.05,-0.24,1.06,1.97,-0.57,-0.14,0.19,-0.01,0.24,0.07,3.64,0.16,0.07,0.08,0.42,0.66,0.02,0.81,-0.12,-0.31,0.11
1968-07-01,-2.79,0.3,0.07,0.13333333333333333,1.6,0.02,0.58,1.42,-1.78,-0.3,-0.01,0.07,0.94,0.67,0.16,0.36,0.1,1.0,0.3,-0.03333333333333333,0.06,-1.85,0.37,1.48,0.61,-1.17,-0.11,0.12,0.11,0.07,0.89,-0.74,0.25,0.44,1.35,-1.01,0.6,0.04,0.05,0.17,0.28,0.08,4.42,0.07,0.3,0.07,0.34,0.5566666666666666,0.02,0.6,-0.09,0.41,0.13
1968-10-01,-0.74,-0.13,-0.01,0.18000000000000002,-0.22,-0.01,0.83,-0.47,-0.96,-0.25,0.0,0.05,1.45,0.13,0.02,-0.09,-0.02,-0.10666666666666667,0.1,-0.14666666666666667,0.19,0.71,0.4,1.27,0.59,0.17,0.14,-0.05,0.09,0.19,-0.19,-0.35,-0.3,0.1,0.02,0.22,1.21,-0.04,0.03,0.3,0.04,-0.02,1.07,0.12,0.03,0.08,0.24,0.36333333333333334,0.03,0.35,0.29,0.44,0.1
1969-01-01,2.21,0.18,0.08,-0.08,0.69,-0.06,0.9,-2.35,1.48,-0.14,-0.01,-0.3,1.77,0.47,-0.01,0.08,0.21,0.49000000000000005,0.25,0.15999999999999998,0.17,3.98,0.28,1.03,0.6,1.88,0.26,0.35,0.05,0.18,0.39,-0.33,-0.47,0.18,0.94,0.73,1.17,0.27,0.06,0.12,0.08,0.27,2.65,0.08,0.15,0.06,0.6,0.2333333333333333,0.04,0.39,0.23,0.17,0.11
1969-04-01,-0.72,0.07,0.14,0.31,-0.1,-0.01,0.25,3.86,0.05,-0.65,0.02,0.14,0.32,-0.16,0.31,0.11,0.13,0.06666666666666658,-0.3,-0.40666666666666673,0.18,-0.4,0.21,1.41,0.39,-3.47,0.15,0.39,0.13,0.16,-0.29,-0.77,0.4,0.12,0.18,-0.77,0.49,0.25,0.0,-0.12,0.15,0.17,1.52,0.09,0.09,0.07,-0.17,0.5733333333333334,0.07,0.35,0.11,-0.17,0.11
1969-07-01,0.5,0.1,0.09,0.11000000000000003,-0.1,-0.09,0.33,-0.36,-0.89,0.09,0.05,0.07,0.92,-0.03,-0.1,-0.21,0.03,0.04000000000000001,0.19,-0.04999999999999999,0.13,1.42,0.1,0.89,0.62,0.27,0.22,0.33,0.05,0.08,0.17,0.0,-0.09,0.1,0.32,1.39,1.06,0.24,-0.04,-0.03,0.22,0.15,1.15,-0.06,-0.02,0.06,-0.14,0.3133333333333333,0.08,0.09,0.68,-0.19,0.11
1969-10-01,-1.86,-0.09,0.07,0.08666666666666667,-0.14,-0.03,-0.21,0.54,-0.38,-1.19,0.07,0.2,-1.44,0.42,0.08,-0.02,0.2,0.45,-1.28,-0.5133333333333333,0.21,-3.31,0.18,1.39,0.48,0.23,-0.08,0.22,0.07,0.14,-0.26,-0.77,0.77,-0.42,0.56,-1.48,-0.24,0.14,0.02,0.08,0.03,0.26,1.88,0.05,0.12,0.04,-1.2,0.43333333333333335,0.07,-0.1,-0.11,-0.42,0.12
1970-01-01,-1.63,-0.2,0.17,-0.28,-0.54,-0.08,-0.16,0.28,1.27,-0.88,0.06,-0.03,-0.31,0.51,0.33,-0.01,0.16,0.13333333333333333,-0.48,0.11666666666666665,0.2,-1.94,0.3,1.23,0.24,0.07,0.18,0.16,-0.03,0.14,-0.96,-1.01,0.35,0.13,0.73,-2.9,-0.32,-0.01,0.09,0.08,0.26,0.27,1.47,0.12,0.33,-0.01,0.01,0.47666666666666674,0.06,0.41,-0.12,-0.58,0.0
1970-04-01,1.46,-0.05,-0.03,-0.19999999999999998,0.39,-0.05,-0.11,0.84,-0.24,-1.35,0.05,0.11,-1.31,0.05,0.17,0.04,-0.09,0.22666666666666668,-1.11,-0.17333333333333334,0.05,0.14,0.09,0.7,0.24,-0.4,-0.12,0.05,-0.05,0.0,0.41,-1.66,0.44,0.32,-0.05,1.69,-0.31,0.08,0.0,0.1,0.05,0.04,1.1,0.01,-0.06,-0.04,-1.0,0.2833333333333333,0.04,0.24,-0.16,-0.14,0.03
1970-07-01,0.02,-0.05,-0.13,0.08000000000000002,0.14,-0.04,0.13,0.09,-0.84,-0.61,0.11,0.17,1.03,0.31,0.02,0.02,0.15,0.27999999999999997,0.4,0.053333333333333344,0.27,1.05,0.34,1.28,0.47,0.05,-0.01,-0.22,-0.04,0.17,-0.13,-0.53,0.14,-0.08,0.62,0.85,0.15,-0.09,0.14,0.23,0.21,0.14,2.14,0.04,0.11,-0.01,0.88,0.48,0.0,1.01,0.06,0.14,0.11
1970-10-01,-3.38,0.28,0.04,0.06,-2.22,-0.02,-1.35,0.05,-0.71,-0.18,-0.04,0.17,-0.04,0.45,-0.17,0.16,0.0,-0.4766666666666666,0.06,-0.043333333333333335,0.16,-3.42,0.48,0.67,0.36,-0.32,-0.27,0.07,-0.11,0.2,-2.49,-0.26,-0.27,0.08,1.01,-2.67,-1.63,0.03,0.05,-0.13,0.27,-0.17,-0.59,0.01,0.06,-0.06,1.58,0.19000000000000003,-0.02,0.23,-0.17,-1.02,0.0
1971-01-01,6.02,0.12,0.0,0.03666666666666666,3.53,-0.02,0.38,0.24,2.11,-1.53,0.05,0.2,1.29,0.22,-0.16,0.06,0.19,1.2533333333333332,-1.31,-0.47333333333333333,0.26,7.31,0.19,0.84,0.46,0.26,-0.35,-0.13,0.01,0.21,3.57,-1.5,0.5,-0.03,0.4,3.91,0.36,-0.12,-0.04,-0.16,-0.13,0.04,4.81,0.03,-0.06,0.04,0.93,0.52,-0.01,0.22,-0.03,1.01,0.07
1971-04-01,-0.47,0.41,0.26,0.003333333333333336,0.8,0.01,0.55,-0.16,0.59,-0.55,0.08,-0.01,2.32,-0.11,0.11,0.12,0.15,-0.16,-0.21,-0.06999999999999999,0.35,1.85,0.34,1.15,0.46,-1.55,-0.12,0.38,0.07,0.27,0.47,-1.2,-1.71,0.65,0.21,-1.06,0.59,0.12,0.06,0.11,-0.25,0.05,2.25,0.07,0.15,0.02,1.73,0.33666666666666667,0.04,0.34,-0.03,0.18,0.14
1971-07-01,-0.29,0.09,0.12,-0.043333333333333314,0.94,0.04,0.18,1.08,-0.72,-0.21,0.1,-0.02,1.13,-0.33,0.15,0.18,-0.04,0.43,-0.05,0.02999999999999999,0.3,0.84,0.39,1.06,0.42,-0.48,0.01,0.1,0.08,0.2,0.63,-0.65,0.61,0.45,-0.16,0.43,0.22,-0.02,0.07,0.04,0.12,-0.03,1.94,0.05,0.06,0.0,0.91,0.4166666666666667,0.04,0.16,-0.05,0.03,0.11
1971-10-01,-3.58,0.23,0.14,-0.05000000000000001,1.49,0.06,0.86,-2.07,-1.57,-1.24,0.15,0.0,1.76,0.21,0.25,0.3,0.01,0.45666666666666655,-0.66,-0.17,0.25,-1.82,0.31,1.77,0.65,1.52,0.16,0.22,0.14,0.1,0.93,-0.86,-0.55,-0.37,0.56,-2.01,0.96,0.08,0.03,-0.08,0.12,0.28,3.97,0.17,0.24,0.02,0.79,0.6833333333333332,0.06,0.57,-0.04,0.56,0.13
1972-01-01,1.58,0.14,0.28,0.24999999999999997,0.82,0.02,1.02,2.31,1.0,0.38,-0.04,0.41,2.96,-0.33,0.49,0.36,0.2,0.2399999999999999,0.51,-0.07666666666666667,0.2,4.54,0.29,2.15,0.49,-3.02,-0.06,0.31,0.14,0.24,0.1,-0.32,-0.71,0.71,0.28,0.58,1.55,0.03,0.0,0.31,0.27,0.33,3.21,-0.01,0.36,0.09,1.41,0.5933333333333333,0.03,0.13,0.39,0.46,0.14
