Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1950-04-01,1.66,0.49,,0.2733333333333334,0.13,-0.06,2.54,0.23,-0.69,1.35,,,5.95,0.24,,-0.61,0.52,0.32666666666666666,1.63,0.26999999999999996,,7.61,,,,-0.72,1.01,0.34,0.06,,0.83,0.32,-0.49,1.03,1.29,2.35,3.33,0.34,0.07,0.75,0.04,,4.02,,-0.16,0.11,2.62,0.8533333333333334,,0.28,0.73,0.44,
1950-07-01,1.37,0.95,,-0.42666666666666675,9.88,-0.06,2.64,0.44,1.53,-0.74,,,5.06,0.13,,4.42,0.25,3.0933333333333333,-0.69,0.19666666666666666,,6.43,,,,-3.21,0.14,0.05,0.02,,4.03,1.85,-2.77,-2.58,1.97,-0.16,3.45,0.05,0.26,0.39,0.64,,13.41,,1.17,0.08,1.61,0.4566666666666667,,0.04,0.8,2.06,
1950-10-01,11.05,-1.17,,1.5533333333333335,-5.78,-0.04,-0.37,1.29,0.49,4.71,,,-1.42,-0.52,,-3.56,-0.31,-2.3033333333333332,4.72,0.01666666666666667,,9.63,,,,-0.04,0.92,0.18,-0.03,,-1.47,4.29,1.25,0.42,-2.51,10.56,-0.07,0.18,-0.11,-0.59,-0.51,,-7.72,,-0.66,0.01,-1.35,0.14666666666666664,,0.01,0.32,-0.87,
1951-01-01,-6.33,0.45,,1.6133333333333333,1.71,-0.04,-1.06,0.82,0.07,7.59,,,-2.56,0.35,,1.88,0.38,1.5333333333333332,7.31,0.82,,-8.88,,,,-0.02,-0.95,-0.18,-0.08,,-0.71,8.22,0.8,-0.64,2.02,-6.4,-1.16,-0.18,0.13,0.12,0.84,,6.32,,0.41,-0.04,-1.4,0.84,,-0.28,-0.02,-0.04,
1951-04-01,4.57,-0.96,,2.1566666666666667,-5.9,-0.04,0.05,1.78,-0.05,9.55,,,-2.91,-0.08,,-2.76,-0.14,-1.7866666666666668,10.01,1.18,,1.66,,,,0.55,0.54,0.14,-0.03,,-2.73,8.86,2.33,0.69,-1.59,4.62,0.47,0.14,-0.04,-0.14,-0.41,,-6.88,,-0.37,0.01,-3.38,0.27,,0.46,0.45,-0.49,
1951-07-01,-4.74,0.45,,2.023333333333333,-0.56,0.01,0.54,0.5,-0.42,9.09,,,-0.84,1.0,,0.3,0.23,1.343333333333333,9.23,1.0533333333333335,,-5.58,,,,1.46,0.68,0.16,0.05,,-1.11,9.18,1.96,-0.09,2.28,-4.33,0.52,0.16,0.06,-0.03,0.6,,2.88,,0.18,0.04,-1.36,0.2733333333333333,,0.14,-0.07,-0.27,
1951-10-01,-5.04,0.28,,0.5666666666666667,-0.14,-0.01,-0.19,-0.17,0.04,4.86,,,-0.37,-0.31,,0.45,0.19,0.5466666666666666,4.83,1.0433333333333332,,-5.41,,,,0.32,-0.19,0.04,0.11,,-0.8,4.67,0.15,0.19,1.27,-5.08,-0.55,0.04,0.09,0.51,1.12,,1.31,,0.13,0.12,0.18,-0.06,,-0.03,-0.47,-0.54,
1952-01-01,0.66,-0.22,,0.9266666666666666,0.03,0.03,0.17,1.14,0.08,2.93,,,1.06,-0.25,,-0.12,-0.08,-0.48666666666666664,3.03,0.08333333333333333,,1.72,,,,-1.9,0.09,0.14,0.25,,0.21,2.07,-0.76,0.86,-0.87,0.59,0.54,0.14,-0.03,-0.06,-0.32,,0.35,,-0.03,0.21,0.52,0.3499999999999999,,0.1,0.12,0.0,
1952-04-01,-5.83,0.77,,1.0633333333333332,0.53,0.06,0.37,-2.19,0.46,2.74,,,1.12,1.48,,-0.03,0.08,0.24000000000000007,3.33,0.04333333333333333,,-4.71,,,,-0.03,0.51,0.3,0.21,,0.57,3.17,-2.23,-0.43,2.47,-6.29,0.75,0.3,0.05,0.13,0.13,,4.47,,-0.07,0.15,0.37,0.5,,0.59,0.17,-0.57,
1952-07-01,6.42,0.68,,0.2333333333333333,-2.1,0.05,-3.31,-1.36,0.4,1.74,,,-3.16,0.76,,0.14,0.13,-0.5733333333333334,1.01,0.10000000000000002,,3.27,,,,-1.05,-1.05,-0.36,0.21,,-2.28,1.36,-2.41,0.38,1.89,6.02,-2.95,-0.36,0.06,-0.87,0.32,,1.05,,-0.02,0.17,-0.21,0.12000000000000004,,-0.73,0.15,-1.03,
1952-10-01,0.19,0.52,,0.38999999999999996,5.56,0.05,2.55,0.2,-1.28,1.17,,,4.48,0.45,,0.71,0.09,2.2133333333333334,1.82,0.21666666666666667,,4.67,,,,-1.48,0.18,0.26,0.26,,4.51,1.11,-1.28,0.06,1.6,1.48,3.34,0.26,0.14,0.69,0.54,,8.59,,0.2,0.2,1.13,0.2233333333333333,,0.65,0.53,1.42,
1953-01-01,-1.05,-0.8,,0.5566666666666666,1.17,0.03,1.53,-0.18,0.35,2.65,,,2.41,1.13,,-0.31,-0.01,0.55,3.24,0.5233333333333333,,1.35,,,,0.42,0.56,0.17,0.16,,1.25,1.86,0.24,0.79,0.66,-1.4,2.06,0.17,0.03,0.24,0.34,,2.81,,0.21,0.12,0.34,0.4666666666666666,,0.59,0.38,0.57,
1953-04-01,-0.08,0.54,,0.42333333333333334,-0.29,0.05,-0.01,0.15,-0.99,2.15,,,0.49,0.09,,0.14,-0.07,-0.08,2.11,0.27666666666666667,,0.41,,,,-0.85,0.3,0.03,0.17,,-0.36,0.53,-0.7,1.62,0.45,0.91,0.41,0.03,-0.03,-0.58,-0.11,,1.32,,-0.04,0.12,0.07,0.2866666666666666,,-0.04,0.26,0.23,
1953-07-01,-1.36,-0.43,,-0.3033333333333334,-0.32,0.0,0.75,0.65,0.71,-1.69,,,0.16,-0.32,,-0.03,0.1,-0.12000000000000001,-0.98,-0.023333333333333334,,-1.2,,,,0.03,0.24,0.12,0.07,,-0.17,-0.62,0.68,-1.07,-0.98,-2.07,0.92,0.12,-0.05,0.22,-0.33,,-0.72,,-0.07,0.08,-0.76,0.10333333333333333,,0.71,0.1,0.16,
