Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1947-01-01,,,10.553,3.1950000000000003,25.199,0.07,0.991,,,,4.863,,0.706,16.351,,,,6.947,0.054,,21.756,1.74,19.04,,,,22.552500000000002,10.795
1947-04-01,,,10.127,3.075,23.436,0.066,0.979,,,,4.787,,0.664,16.377,,,,6.767,0.051,,21.092,1.767,18.088,,,,21.993,11.042
1947-07-01,,,9.959,3.1675,23.607,0.069,0.978,,,,4.699,,0.693,14.93,,,,6.985,0.053,,22.983,1.791,20.854,,,,23.525,10.46
1947-10-01,,,9.307,3.1639999999999997,21.34,0.068,0.958,,,,4.83,,0.68,17.654,,,,7.561,0.053,,25.571,1.83,24.873,,,,25.508000000000003,11.931
1948-01-01,,,9.374,3.4035,23.17,0.072,0.966,,,,5.11,,0.72,20.231,,,,7.802,0.056,,25.514,1.847,24.549,,,,25.5775,12.417
1948-04-01,,,9.192,3.193,21.726,0.069,0.951,,,,4.94,,0.688,18.866,,,,7.791,0.053,,26.737,1.823,25.97,,,,26.7065,11.47
1948-07-01,,,9.213,3.2015000000000002,20.189,0.067,0.952,,,,4.952,,0.673,19.637,,,,7.711,0.052,,26.467,1.822,25.146,,,,26.6525,11.34
1948-10-01,,,9.519,3.383,21.483,0.073,0.945,,,,5.067,,0.736,20.97,,,,7.623,0.057,,25.353,1.748,23.303,,,,25.839,10.805
1949-01-01,,,9.78,3.124,19.596,0.07,0.924,,,,4.834,,0.697,18.249,,,,7.202,0.054,,24.045,1.632,21.585,,,,24.692,11.087
1949-04-01,,,10.157,3.052,16.716,0.063,0.921,,,,4.655,,0.633,17.463,,,,6.983,0.049,,23.567,1.56,21.223,,,,24.182499999999997,11.505
1949-07-01,,,10.423,2.855,15.578,0.06,0.928,,,,4.442,,0.599,15.651,,,,6.971,0.046,,24.383,1.543,23.038,,,,24.5895,11.506
1949-10-01,,,11.087,2.8605,14.816,0.059,0.969,,,,4.387,,0.587,15.476,,,,7.224,0.045,,26.001,1.577,25.846,,,,25.738,11.67
1950-01-01,,,10.957,3.002,16.023,0.061,1.002,,,,4.514,,0.61,16.213,,,,7.668,0.047,,28.335,1.715,28.731,,,,27.8355,11.123
1950-04-01,,,10.531,3.4545000000000003,19.085,0.07,1.018,,,,4.89,,0.699,18.048,,,,8.348,0.054,,30.595,1.838,31.485,,,,29.8975,11.706
1950-07-01,,,10.058,3.6559999999999997,19.496,0.071,1.022,,,,5.296,,0.712,18.979,,,,8.941,0.055,,32.318,1.93,33.204,,,,31.588500000000003,14.584
1950-10-01,,,9.738,3.8395,22.452,0.076,1.012,,,,5.288,,0.765,17.4,,,,8.763,0.059,,31.499,1.946,31.657,,,,31.090000000000003,13.251
1951-01-01,,,9.438,3.464,19.418,0.071,0.984,,,,5.15,,0.711,17.721,,,,8.445,0.055,,30.508,1.897,30.019,,,,30.317,13.201
1951-04-01,,,9.127,3.3445,21.137,0.075,0.974,,,,5.212,,0.752,17.349,,,,8.069,0.058,,28.235,1.91,26.008,,,,28.698999999999998,12.416
1951-07-01,,,9.191,3.4645,23.316,0.08,0.993,,,,5.273,,0.798,17.242,,,,7.95,0.062,,27.059,1.963,24.367,,,,27.718,11.974
1951-10-01,,,9.141,3.3895,22.644,0.081,1.034,,,,5.186,,0.809,18.672,,,,7.889,0.062,,26.792,2.109,24.601,,,,27.2755,11.073
