Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
1947-04-01,8.6,-8.3,-4.9,-3.2,-10.0,2.0000000000000004,-0.3,-1.0,-27.3,8.1,-4.8,-25.1,224.5,7.0,-6.1,6.8,-18.5,15.933333333333332,5.7,-2.1
1947-07-01,5.8,-12.8,-18.8,-4.9,13.5,-20.5,0.0,-0.8,-11.3,-38.2,-0.4,11.3,-48.5,1.9,-7.2,1.3,76.7,-8.066666666666668,9.4,2.8
1947-10-01,28.5,25.2,-38.2,-8.5,37.3,-11.333333333333334,-3.1,6.4,103.0,23.2,-7.9,9.0,-58.5,-5.1,11.6,0.1,102.4,26.3,6.4,-5.6
1948-01-01,-1.9,38.4,-17.1,10.5,13.4,23.666666666666668,6.1,6.2,47.8,61.9,3.4,-4.4,113.2,1.3,25.3,2.0,-5.1,-5.2,-0.9,8.6
1948-04-01,2.7,-24.0,-32.5,17.0,-0.6,-4.666666666666667,14.9,6.8,27.1,16.8,-6.1,-8.6,200.5,4.0,-12.7,4.7,25.2,1.7666666666666664,11.4,11.6
1948-07-01,6.8,-5.0,9.7,9.6,-4.0,6.333333333333333,8.7,2.3,4.2,22.5,0.4,-2.9,61.3,-2.4,1.0,0.6,-12.1,26.633333333333336,7.0,12.5
1948-10-01,-5.6,13.5,-13.3,19.3,-4.5,-4.533333333333334,15.6,0.5,-17.8,-6.3,-2.9,16.0,29.8,5.3,9.6,3.2,-26.2,-6.3,9.8,5.8
1949-01-01,-7.1,-23.1,57.0,7.4,-20.3,17.73333333333333,11.1,-5.4,-47.6,-11.5,-8.6,8.8,3.2,1.6,-17.2,0.6,-26.4,3.700000000000001,17.4,-7.3
1949-04-01,39.5,-18.3,-3.4,15.2,-11.6,-2.9333333333333336,18.6,-1.4,-43.5,-5.7,-1.3,6.5,43.5,1.1,-14.0,6.3,-6.5,9.299999999999999,24.4,-9.0
1949-07-01,20.5,-19.6,-29.4,-6.5,-0.7,-12.4,2.2,4.2,37.5,-15.2,3.1,-1.4,-18.9,-3.4,-17.1,0.9,38.9,-20.933333333333334,17.5,-16.6
1949-10-01,16.9,-4.3,-43.8,-15.4,15.3,-7.066666666666667,-6.8,-3.3,-18.3,6.1,18.9,-21.1,2.7,6.7,-4.9,6.0,58.4,-17.53333333333333,7.8,-10.5
1950-01-01,16.2,7.2,-6.4,-17.7,26.9,1.6666666666666667,-7.2,16.7,134.4,11.6,14.3,-13.7,-26.9,5.2,12.1,6.9,52.7,17.400000000000002,10.2,20.5
1950-04-01,3.4,53.2,4.9,10.4,40.5,11.833333333333334,7.5,12.7,50.2,23.9,6.5,3.4,31.5,4.7,37.7,6.7,44.2,10.799999999999999,3.4,21.8
