Date,Nonfarm inventories to final sales,Nonfarm inventories to final sales of goods and structures,Private inventories to final sales
1988-04-01,2.47,4.63,2.9
1988-07-01,2.48,4.67,2.9
1988-10-01,2.48,4.66,2.88
1989-01-01,2.49,4.69,2.89
1989-04-01,2.49,4.68,2.9
1989-07-01,2.46,4.61,2.86
1989-10-01,2.48,4.67,2.88
1990-01-01,2.46,4.61,2.85
1990-04-01,2.49,4.71,2.88
1990-07-01,2.49,4.74,2.89
1990-10-01,2.5,4.77,2.91
1991-01-01,2.52,4.81,2.92
1991-04-01,2.48,4.76,2.88
1991-07-01,2.48,4.77,2.87
1991-10-01,2.5,4.84,2.9
1992-01-01,2.45,4.73,2.84
1992-04-01,2.43,4.71,2.83
1992-07-01,2.42,4.68,2.81
1992-10-01,2.4,4.64,2.79
1993-01-01,2.43,4.71,2.82
1993-04-01,2.42,4.67,2.81
1993-07-01,2.41,4.66,2.78
1993-10-01,2.38,4.58,2.75
1994-01-01,2.39,4.59,2.76
1994-04-01,2.4,4.61,2.78
1994-07-01,2.4,4.6,2.78
1994-10-01,2.41,4.6,2.79
1995-01-01,2.43,4.64,2.81
1995-04-01,2.44,4.68,2.81
1995-07-01,2.42,4.63,2.77
1995-10-01,2.4,4.59,2.75
1996-01-01,2.38,4.54,2.72
1996-04-01,2.35,4.47,2.69
1996-07-01,2.35,4.45,2.7
1996-10-01,2.33,4.4,2.67
1997-01-01,2.33,4.4,2.67
1997-04-01,2.36,4.45,2.7
1997-07-01,2.34,4.39,2.68
1997-10-01,2.36,4.43,2.7
