Date,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, recreation, accommodation, and food services",Construction,Domestic industries,Durable goods,"Educational services, health care, and social assistance","Finance, insurance, real estate, rental, and leasing",Government,Information,Manufacturing,Mining,National income without capital consumption adjustment,Nondurable goods,"Other services, except government",Private industries,Professional and business services,Rest of the world,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
2003-10-01,91132.0,392043.0,546764.0,9802011.0,649881.0,888971.0,1663690.0,1264758.0,345259.0,1154334.0,111311.0,9881570.0,504452.0,302959.0,8537252.0,1252643.0,79559.0,767268.0,288823.0,137631.0,594423.0
2004-01-01,111287.0,404827.0,549604.0,9976264.0,653556.0,907150.0,1691342.0,1283785.0,348774.0,1159862.0,122288.0,10074274.0,506306.0,309284.0,8692479.0,1260418.0,98011.0,784433.0,294680.0,144061.0,604470.0
2004-04-01,111686.0,411523.0,571728.0,10186016.0,666103.0,926853.0,1706897.0,1300660.0,388031.0,1185236.0,127221.0,10258810.0,519133.0,312005.0,8885356.0,1278860.0,72794.0,783993.0,307496.0,147885.0,625942.0
2004-07-01,102289.0,416270.0,597743.0,10388937.0,684981.0,946800.0,1734371.0,1313807.0,411320.0,1222001.0,128629.0,10470549.0,537020.0,315824.0,9075130.0,1317396.0,81613.0,789335.0,306825.0,149323.0,637005.0
2004-10-01,104371.0,412120.0,610918.0,10528452.0,690430.0,950173.0,1790178.0,1329058.0,399736.0,1239216.0,141635.0,10582891.0,548786.0,317466.0,9199394.0,1348438.0,54439.0,794510.0,308955.0,154381.0,627297.0
2005-01-01,98062.0,424526.0,618516.0,10915584.0,743131.0,964630.0,1871109.0,1345152.0,422400.0,1316982.0,155912.0,11002661.0,573851.0,330560.0,9570431.0,1394703.0,87078.0,821330.0,325902.0,159502.0,666298.0
2005-04-01,97841.0,438426.0,642692.0,11106107.0,759456.0,984244.0,1870178.0,1356125.0,441535.0,1320329.0,165136.0,11180448.0,560873.0,335421.0,9749982.0,1409861.0,74342.0,859865.0,332501.0,162001.0,689951.0
2005-07-01,97121.0,441946.0,660477.0,11291999.0,770370.0,995171.0,1936336.0,1368406.0,436415.0,1341405.0,177161.0,11375025.0,571035.0,337005.0,9923594.0,1469841.0,83026.0,857184.0,336966.0,155772.0,680792.0
2005-10-01,95382.0,454434.0,683931.0,11573217.0,782907.0,1005818.0,1967166.0,1382077.0,459468.0,1368209.0,206849.0,11627972.0,585302.0,343853.0,10191140.0,1491746.0,54755.0,892430.0,346595.0,172374.0,702886.0
2006-01-01,93452.0,460477.0,720091.0,11827053.0,812009.0,1029218.0,2012611.0,1397763.0,427853.0,1414632.0,214170.0,11882844.0,602623.0,353623.0,10429289.0,1540408.0,55792.0,901460.0,356610.0,185084.0,719600.0
2006-04-01,94806.0,465019.0,711817.0,11977787.0,788660.0,1047116.0,2030018.0,1410535.0,491365.0,1430923.0,206822.0,12027240.0,642263.0,360359.0,10567251.0,1558021.0,49453.0,894510.0,361586.0,192315.0,722573.0
2006-07-01,98055.0,468372.0,698899.0,12105629.0,828639.0,1058968.0,2030104.0,1429144.0,472447.0,1468155.0,211460.0,12142087.0,639516.0,362379.0,10676485.0,1588832.0,36457.0,908424.0,364036.0,200113.0,746241.0
2006-10-01,102242.0,479349.0,688742.0,12162587.0,828915.0,1078884.0,2074651.0,1445647.0,429002.0,1443368.0,207771.0,12206724.0,614453.0,366076.0,10716940.0,1611297.0,44137.0,915059.0,368733.0,198547.0,753218.0
2007-01-01,111397.0,488820.0,693725.0,12246855.0,828837.0,1093174.0,2095252.0,1464619.0,450948.0,1458019.0,189620.0,12289798.0,629182.0,365322.0,10782235.0,1612502.0,42943.0,900925.0,368159.0,195303.0,759069.0
2007-04-01,107555.0,490996.0,685091.0,12391982.0,827839.0,1103295.0,2089486.0,1478013.0,508769.0,1484970.0,207110.0,12453176.0,657131.0,364119.0,10913970.0,1631806.0,61194.0,908887.0,377513.0,193662.0,760711.0
2007-07-01,109075.0,489997.0,669755.0,12319471.0,813108.0,1119064.0,2096015.0,1496285.0,484236.0,1416946.0,205728.0,12437104.0,603838.0,358920.0,10823185.0,1649127.0,117634.0,886254.0,374961.0,202336.0,760772.0
2007-10-01,115914.0,495570.0,662959.0,12355578.0,838035.0,1136173.0,2041314.0,1513255.0,503210.0,1467049.0,212129.0,12516464.0,629014.0,359235.0,10842323.0,1669584.0,160885.0,881532.0,369629.0,184559.0,743466.0
2008-01-01,116001.0,484920.0,639030.0,12189460.0,812320.0,1153600.0,2014666.0,1532643.0,453709.0,1410311.0,225396.0,12340263.0,597991.0,349723.0,10656817.0,1727912.0,150803.0,835467.0,364492.0,162761.0,718829.0
2008-04-01,110644.0,488147.0,623048.0,12206892.0,773221.0,1181661.0,2017242.0,1546636.0,472589.0,1374675.0,254729.0,12364400.0,601454.0,344290.0,10660256.0,1729618.0,157508.0,831408.0,366689.0,134129.0,731389.0
2008-07-01,101789.0,484318.0,598066.0,12278797.0,786634.0,1192700.0,1872175.0,1565058.0,508229.0,1405401.0,290755.0,12455528.0,618767.0,341948.0,10713739.0,1727212.0,176731.0,824966.0,367180.0,237201.0,761798.0
2008-10-01,100171.0,471285.0,576122.0,11965049.0,725256.0,1209785.0,1857731.0,1579955.0,449196.0,1353016.0,268121.0,12060863.0,627760.0,344164.0,10385094.0,1597057.0,95813.0,815841.0,372845.0,184211.0,785551.0
2009-01-01,93754.0,461694.0,546632.0,11755899.0,647603.0,1223512.0,1969402.0,1580780.0,441899.0,1219288.0,200013.0,11876580.0,571686.0,338422.0,10175117.0,1624004.0,120681.0,809996.0,350575.0,172105.0,723820.0
2009-04-01,92578.0,462986.0,528346.0,11785212.0,650476.0,1244248.0,2148353.0,1600144.0,438800.0,1200473.0,136123.0,11907977.0,549997.0,344219.0,10185068.0,1579769.0,122765.0,820863.0,337910.0,172577.0,677823.0
2009-07-01,95868.0,470973.0,530058.0,11864416.0,647532.0,1255695.0,2226411.0,1610673.0,433267.0,1195029.0,117352.0,12046842.0,547497.0,346979.0,10253742.0,1576907.0,182426.0,820156.0,345073.0,156123.0,683851.0
2009-10-01,106701.0,473761.0,531375.0,12128222.0,678462.0,1281755.0,2191910.0,1623609.0,478428.0,1232807.0,146349.0,12303319.0,554345.0,357766.0,10504613.0,1617869.0,175098.0,844367.0,363329.0,184207.0,693990.0
2010-01-01,104107.0,484703.0,531614.0,12260175.0,708993.0,1282634.0,2143557.0,1637966.0,467314.0,1267035.0,190570.0,12464460.0,558042.0,362360.0,10622209.0,1669969.0,204285.0,845506.0,370061.0,195723.0,707056.0
2010-04-01,109628.0,494421.0,537576.0,12470961.0,744874.0,1301548.0,2144431.0,1657059.0,462299.0,1345641.0,177575.0,12677796.0,600767.0,372205.0,10813902.0,1709086.0,206835.0,866512.0,387171.0,169759.0,736048.0
2010-07-01,116996.0,501011.0,536164.0,12675193.0,775069.0,1312574.0,2172091.0,1656281.0,451463.0,1401650.0,181085.0,12873300.0,626580.0,380186.0,11018912.0,1756145.0,198107.0,871752.0,396096.0,190073.0,751627.0
2010-10-01,122670.0,500899.0,531792.0,12670654.0,778414.0,1317622.0,2197787.0,1658103.0,455255.0,1382127.0,187339.0,12883964.0,603713.0,380383.0,11012552.0,1784120.0,213310.0,871079.0,384271.0,179165.0,718043.0
2011-01-01,139936.0,507370.0,531073.0,12686617.0,760228.0,1329770.0,2199016.0,1661217.0,472217.0,1353773.0,190255.0,12909504.0,593544.0,381525.0,11025398.0,1784892.0,222888.0,876029.0,380384.0,149693.0,729465.0
2011-04-01,131672.0,516494.0,542173.0,12875912.0,765211.0,1342725.0,2162623.0,1667059.0,471797.0,1391159.0,241733.0,13098383.0,625948.0,383810.0,11208855.0,1811089.0,222471.0,877965.0,387797.0,183985.0,763835.0
2011-07-01,140348.0,526726.0,553766.0,12976318.0,792741.0,1357493.0,2149771.0,1663812.0,438403.0,1427517.0,252355.0,13222137.0,634776.0,388529.0,11312504.0,1844524.0,245818.0,893210.0,392631.0,158746.0,788486.0
2011-10-01,141903.0,532916.0,557077.0,13112343.0,827827.0,1357990.0,2270150.0,1653764.0,445946.0,1445761.0,219997.0,13372894.0,617934.0,391087.0,11458579.0,1825919.0,260552.0,915830.0,405071.0,161939.0,786992.0
2012-01-01,145611.0,558164.0,584506.0,13751485.0,890908.0,1396022.0,2390936.0,1661530.0,514805.0,1556124.0,254834.0,13997673.0,665217.0,402404.0,12089956.0,1904297.0,246188.0,961802.0,431198.0,163905.0,825346.0
2012-04-01,148938.0,558121.0,583376.0,13824571.0,895374.0,1396069.0,2403826.0,1659919.0,532061.0,1571836.0,251319.0,14052667.0,676462.0,403801.0,12164653.0,1909069.0,228096.0,953908.0,436890.0,166846.0,848593.0
2012-07-01,152268.0,561995.0,589104.0,13740580.0,878662.0,1401115.0,2406416.0,1666984.0,466186.0,1527944.0,232638.0,13969791.0,649283.0,405571.0,12073597.0,1940693.0,229211.0,950499.0,433699.0,170507.0,834961.0
2012-10-01,155107.0,569958.0,609194.0,14025280.0,885880.0,1420853.0,2420710.0,1682134.0,524910.0,1555472.0,240463.0,14252546.0,669592.0,409629.0,12343146.0,1995993.0,227266.0,976487.0,434794.0,162877.0,866699.0
2013-01-01,181541.0,581643.0,614574.0,14067129.0,905342.0,1423305.0,2355504.0,1697483.0,540218.0,1587430.0,250516.0,14283031.0,682088.0,407709.0,12369646.0,1959463.0,215902.0,984756.0,440567.0,165659.0,876762.0
2013-04-01,182902.0,588463.0,622575.0,14167247.0,913299.0,1433914.0,2396374.0,1707038.0,546974.0,1573741.0,260612.0,14396262.0,660442.0,410660.0,12460208.0,1956528.0,229015.0,992171.0,438585.0,179378.0,877332.0
2013-07-01,181354.0,593846.0,629607.0,14231616.0,922894.0,1440564.0,2439714.0,1711361.0,566978.0,1585186.0,255312.0,14472032.0,662292.0,411400.0,12520255.0,1943285.0,240415.0,989324.0,437029.0,179486.0,867170.0
2013-10-01,154524.0,588650.0,631523.0,14384253.0,919795.0,1448680.0,2480911.0,1724682.0,568520.0,1635478.0,269517.0,14619870.0,715683.0,417378.0,12659570.0,1990593.0,235617.0,980596.0,452588.0,177197.0,863416.0
2014-01-01,154722.0,614416.0,654420.0,14507594.0,910596.0,1458810.0,2525098.0,1736015.0,559694.0,1564787.0,275467.0,14745062.0,654191.0,427264.0,12771579.0,2038109.0,237468.0,991265.0,450801.0,187028.0,869698.0
2014-04-01,173330.0,623920.0,670601.0,14818077.0,938675.0,1471900.0,2570632.0,1747722.0,567300.0,1652859.0,261517.0,15046476.0,714184.0,434137.0,13070356.0,2076834.0,228398.0,1013990.0,474239.0,182059.0,897039.0
2014-07-01,159934.0,634527.0,687986.0,15054925.0,961068.0,1487966.0,2595898.0,1763416.0,573012.0,1676404.0,309027.0,15306927.0,715337.0,439675.0,13291509.0,2096564.0,252002.0,1031100.0,477933.0,186922.0,934559.0
2014-10-01,162670.0,647175.0,700282.0,15189728.0,968895.0,1506002.0,2583645.0,1782049.0,562856.0,1704860.0,275913.0,15412494.0,735965.0,444084.0,13407680.0,2155160.0,222765.0,1055538.0,480407.0,194157.0,934931.0
2015-01-01,143441.0,658916.0,715390.0,15260902.0,977406.0,1524764.0,2633411.0,1799506.0,569719.0,1725735.0,167440.0,15483639.0,748330.0,448424.0,13461396.0,2187878.0,222737.0,1059752.0,497286.0,192585.0,936653.0
2015-04-01,145503.0,668777.0,730131.0,15393932.0,1000653.0,1544835.0,2698363.0,1814525.0,608830.0,1698578.0,153792.0,15605918.0,697925.0,450735.0,13579406.0,2215345.0,211986.0,1057363.0,488907.0,183634.0,934614.0
2015-07-01,152568.0,685940.0,741247.0,15441517.0,986295.0,1566142.0,2637787.0,1826231.0,605590.0,1698752.0,155559.0,15654698.0,712457.0,452597.0,13615286.0,2225405.0,213182.0,1071062.0,508324.0,175729.0,938586.0
2015-10-01,146808.0,692315.0,758198.0,15454068.0,968389.0,1583042.0,2648241.0,1835513.0,615305.0,1641398.0,133121.0,15686748.0,673009.0,455187.0,13618554.0,2243858.0,232680.0,1078812.0,515890.0,158409.0,947970.0
2016-01-01,129040.0,696629.0,763412.0,15511251.0,978807.0,1605025.0,2710281.0,1845228.0,626352.0,1649742.0,89407.0,15725892.0,670935.0,456474.0,13666023.0,2239122.0,214641.0,1079149.0,513918.0,166919.0,940553.0
2016-04-01,127002.0,705725.0,775808.0,15519891.0,939209.0,1620587.0,2755425.0,1852720.0,645441.0,1558742.0,76855.0,15735640.0,619533.0,458544.0,13667172.0,2288136.0,215748.0,1079555.0,507566.0,167224.0,900562.0
2016-07-01,122560.0,717045.0,779255.0,15657738.0,941094.0,1638698.0,2790985.0,1865744.0,624729.0,1552981.0,108634.0,15877555.0,611887.0,462046.0,13791994.0,2282664.0,219817.0,1104570.0,519190.0,159684.0,928952.0
2016-10-01,116210.0,729818.0,803025.0,15802928.0,963876.0,1656227.0,2803271.0,1873632.0,645411.0,1569098.0,106745.0,16078183.0,605223.0,464266.0,13929296.0,2314666.0,275255.0,1111981.0,517433.0,169736.0,921410.0
2017-01-01,137797.0,732853.0,817252.0,15985589.0,950712.0,1668254.0,2777400.0,1884340.0,672407.0,1567582.0,160619.0,16257862.0,616870.0,467002.0,14101249.0,2352857.0,272273.0,1108348.0,531417.0,171352.0,936109.0
2017-04-01,137497.0,741195.0,829592.0,16110303.0,984442.0,1679297.0,2791223.0,1894359.0,650287.0,1602440.0,166759.0,16374465.0,617998.0,469414.0,14215944.0,2379818.0,264162.0,1098150.0,546866.0,173758.0,949648.0
2017-07-01,130909.0,749320.0,843135.0,16262662.0,982694.0,1686244.0,2844196.0,1911627.0,637306.0,1643612.0,133817.0,16571117.0,660918.0,476371.0,14351036.0,2417329.0,308455.0,1110220.0,544502.0,179359.0,954717.0
2017-10-01,127666.0,740424.0,842256.0,16187799.0,972248.0,1697250.0,2854763.0,1933511.0,591292.0,1627406.0,141048.0,16514708.0,655157.0,479003.0,14254288.0,2430218.0,326909.0,1092334.0,516471.0,171330.0,942826.0
2018-01-01,121386.0,759682.0,860440.0,16512282.0,991290.0,1730318.0,2876359.0,1956570.0,609749.0,1686411.0,169268.0,16827105.0,695121.0,488698.0,14555712.0,2475609.0,314823.0,1120290.0,534121.0,190930.0,932453.0
2018-04-01,123954.0,771049.0,866860.0,16740975.0,1009414.0,1740048.0,2909371.0,1976734.0,638941.0,1741321.0,173160.0,17044445.0,731907.0,495700.0,14764241.0,2517604.0,303471.0,1121468.0,537064.0,200251.0,927449.0
2018-07-01,116976.0,784197.0,877488.0,16998762.0,1018692.0,1754179.0,2948754.0,1996689.0,639066.0,1757950.0,181629.0,17267006.0,739257.0,503360.0,15002074.0,2567998.0,268243.0,1146573.0,554818.0,196283.0,972803.0
2018-10-01,116335.0,795098.0,886100.0,17141631.0,1012975.0,1775971.0,2939632.0,2003799.0,654645.0,1756525.0,192697.0,17416323.0,743550.0,508124.0,15137832.0,2593974.0,274692.0,1134520.0,575625.0,201429.0,1007156.0
2019-01-01,110215.0,802342.0,910781.0,17356198.0,1042994.0,1791708.0,3033140.0,2002293.0,704178.0,1736851.0,167309.0,17648513.0,693857.0,509205.0,15353905.0,2667540.0,292315.0,1144017.0,569648.0,198109.0,1008861.0
2019-04-01,112556.0,811970.0,922476.0,17473432.0,1038105.0,1813061.0,3054703.0,2013179.0,708133.0,1726114.0,167140.0,17766346.0,688009.0,511259.0,15460252.0,2688729.0,292914.0,1164095.0,569195.0,196761.0,1014060.0
2019-07-01,114872.0,824712.0,941221.0,17617888.0,1037294.0,1841774.0,3045404.0,2040553.0,687109.0,1743559.0,162724.0,17897634.0,706265.0,515696.0,15577335.0,2714195.0,279746.0,1178440.0,579391.0,192301.0,1035939.0
2019-10-01,119776.0,825457.0,959942.0,17811398.0,1050098.0,1895844.0,3080459.0,2073531.0,664488.0,1753258.0,162146.0,18074004.0,703160.0,523755.0,15737867.0,2732079.0,262606.0,1212580.0,581270.0,186122.0,1040692.0
2020-01-01,121902.0,799016.0,975593.0,17927850.0,1048115.0,1931669.0,3100088.0,2118357.0,645330.0,1720268.0,138985.0,18199142.0,672153.0,530933.0,15809493.0,2762104.0,271292.0,1223484.0,577088.0,202170.0,1080864.0
2020-04-01,88457.0,410236.0,842801.0,15916691.0,875596.0,1660672.0,3059174.0,2055805.0,623889.0,1468427.0,37107.0,16095101.0,592831.0,428953.0,13860885.0,2509902.0,178411.0,1148100.0,422713.0,209529.0,950923.0
2020-07-01,111113.0,568994.0,924702.0,17331530.0,1013430.0,1876387.0,3172428.0,2092399.0,681994.0,1670758.0,72239.0,17541407.0,657328.0,477625.0,15239130.0,2641854.0,209877.0,1297008.0,523625.0,214379.0,1006024.0
2020-10-01,127046.0,662220.0,970492.0,18171763.0,1058679.0,1942587.0,3261631.0,2106465.0,743830.0,1735918.0,98710.0,18358572.0,677239.0,502118.0,16065299.0,2845194.0,186808.0,1342780.0,575193.0,224992.0,1032587.0
2021-01-01,143370.0,699957.0,962799.0,18594387.0,1100434.0,1969914.0,3258592.0,2116649.0,769228.0,1809064.0,163717.0,18777849.0,708629.0,505593.0,16477738.0,2932119.0,183462.0,1384248.0,592046.0,222749.0,1064342.0
2021-04-01,167158.0,786980.0,952428.0,19145569.0,1096182.0,1963343.0,3347442.0,2135632.0,776455.0,1865898.0,192547.0,19275562.0,769716.0,516633.0,17009938.0,3000870.0,129992.0,1463212.0,636380.0,222211.0,1118379.0
2021-07-01,175278.0,851718.0,993447.0,19650656.0,1104996.0,2017175.0,3399494.0,2169208.0,793550.0,1907042.0,216517.0,19786076.0,802046.0,538599.0,17481447.0,3101734.0,135421.0,1419759.0,690576.0,227470.0,1149089.0
2021-10-01,169284.0,887922.0,1030085.0,20344672.0,1153645.0,2037686.0,3511441.0,2170459.0,818968.0,2038592.0,295983.0,20506404.0,884947.0,556616.0,18174213.0,3223056.0,161732.0,1453796.0,719866.0,228949.0,1201967.0
2022-01-01,185003.0,919659.0,1080560.0,20848225.0,1221478.0,2079421.0,3548628.0,2182862.0,819280.0,2148721.0,305341.0,20965876.0,927243.0,574930.0,18665362.0,3321435.0,117651.0,1467880.0,737695.0,237247.0,1239561.0
2022-04-01,205243.0,951864.0,1103092.0,21294736.0,1251675.0,2093014.0,3574261.0,2188201.0,828152.0,2213589.0,403429.0,21455711.0,961915.0,579019.0,19106535.0,3360541.0,160975.0,1488177.0,782949.0,244137.0,1279067.0
2022-07-01,215005.0,978779.0,1115178.0,21744202.0,1265307.0,2139687.0,3618481.0,2211198.0,797275.0,2258166.0,398133.0,21920766.0,992859.0,592094.0,19533004.0,3459100.0,176564.0,1513205.0,804651.0,257744.0,1385506.0
2022-10-01,229098.0,986870.0,1126716.0,21829757.0,1288364.0,2177553.0,3600624.0,2237581.0,793940.0,2274582.0,343597.0,21971654.0,986218.0,600247.0,19592176.0,3510354.0,141897.0,1519945.0,790089.0,257106.0,1381453.0
2023-01-01,226358.0,1043378.0,1132735.0,22248971.0,1267257.0,2224653.0,3711194.0,2275893.0,841615.0,2266687.0,331351.0,22349036.0,999430.0,603257.0,19973078.0,3595179.0,100066.0,1557341.0,810294.0,265496.0,1363541.0
2023-04-01,217568.0,1075174.0,1150856.0,22460462.0,1274256.0,2258186.0,3755200.0,2304706.0,866773.0,2213812.0,304300.0,22565195.0,939556.0,613383.0,20155756.0,3622714.0,104732.0,1588606.0,832742.0,277486.0,1378957.0
2023-07-01,209883.0,1092776.0,1183593.0,22794944.0,1315018.0,2309890.0,3818542.0,2349238.0,837491.0,2262980.0,321750.0,22895445.0,947962.0,621311.0,20445706.0,3673746.0,100501.0,1634154.0,826858.0,272159.0,1380574.0
2023-10-01,192939.0,1103485.0,1209636.0,23193619.0,1351549.0,2359427.0,3915972.0,2383175.0,869710.0,2304026.0,332845.0,23288501.0,952477.0,636657.0,20810445.0,3711824.0,94882.0,1660965.0,841889.0,269807.0,1401262.0
2024-01-01,181760.0,1142851.0,1244058.0,23665736.0,1355596.0,2424607.0,4008460.0,2430771.0,918136.0,2301494.0,315593.0,23747928.0,945898.0,649160.0,21234965.0,3828557.0,82192.0,1667421.0,858968.0,281903.0,1411998.0
2024-04-01,181502.0,1154385.0,1247102.0,23929187.0,1334555.0,2464290.0,4060329.0,2466425.0,955882.0,2282985.0,320036.0,23989088.0,948430.0,658547.0,21462762.0,3875037.0,59901.0,1680000.0,872291.0,297281.0,1413094.0
2024-07-01,187626.0,1151777.0,1248349.0,24098100.0,1343331.0,2503258.0,4085990.0,2499930.0,964295.0,2289127.0,315099.0,24111250.0,945796.0,663954.0,21598170.0,3909113.0,13151.0,1702263.0,872325.0,286410.0,1418582.0
2024-10-01,198792.0,1159677.0,1263446.0,24529670.0,1370067.0,2553908.0,4223939.0,2537524.0,985812.0,2334378.0,285763.0,24607299.0,964311.0,671435.0,21992146.0,3981520.0,77629.0,1719697.0,881569.0,293358.0,1438852.0
