Date,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, recreation, accommodation, and food services",Construction,Domestic industries,Durable goods,"Educational services, health care, and social assistance","Finance, insurance, real estate, rental, and leasing",Government,Information,Manufacturing,Mining,National income without capital consumption adjustment,Nondurable goods,"Other services, except government",Private industries,Professional and business services,Rest of the world,Retail trade,Transportation and warehousing,Utilities,Wholesale trade
2001-01-01,75168.0,353215.0,508031.0,9016301.0,697553.0,727428.0,1587001.0,1086638.0,329143.0,1171423.0,110731.0,9056367.0,473870.0,268517.0,7929662.0,1135654.0,40066.0,692846.0,278384.0,138557.0,553564.0
2001-04-01,73843.0,353996.0,511725.0,9042122.0,668248.0,742892.0,1591284.0,1101375.0,339232.0,1155536.0,110158.0,9090549.0,487287.0,270592.0,7940746.0,1129778.0,48427.0,693453.0,279127.0,135912.0,553216.0
2001-07-01,75688.0,353607.0,511526.0,8990170.0,613186.0,758133.0,1592815.0,1125777.0,313371.0,1100771.0,102599.0,9015189.0,487585.0,272142.0,7864391.0,1126957.0,25019.0,698264.0,256312.0,142911.0,559294.0
2001-10-01,75804.0,350358.0,504591.0,8887152.0,561974.0,774093.0,1590674.0,1138421.0,261820.0,1026856.0,85886.0,8975095.0,464882.0,271276.0,7748734.0,1124920.0,87943.0,707438.0,263419.0,136069.0,575529.0
2002-01-01,67158.0,355754.0,509682.0,8998141.0,598019.0,796858.0,1590025.0,1152539.0,283358.0,1060925.0,80424.0,9047784.0,462906.0,288247.0,7845602.0,1141625.0,49643.0,717682.0,261736.0,126205.0,565923.0
2002-04-01,64764.0,363228.0,510832.0,9127202.0,614126.0,813721.0,1595236.0,1167450.0,319262.0,1072776.0,83507.0,9158126.0,458651.0,291838.0,7959751.0,1166617.0,30924.0,718199.0,260899.0,131646.0,567220.0
2002-07-01,73311.0,367738.0,513152.0,9202778.0,619654.0,828772.0,1577816.0,1186742.0,332519.0,1075448.0,87367.0,9246253.0,455795.0,296785.0,8016036.0,1185073.0,43475.0,724678.0,264467.0,134129.0,554775.0
2002-10-01,77747.0,374148.0,520089.0,9341237.0,622601.0,840495.0,1591494.0,1206226.0,355659.0,1085299.0,95031.0,9400370.0,462698.0,300047.0,8135011.0,1193071.0,59132.0,734239.0,270627.0,136858.0,560202.0
2003-01-01,76664.0,374071.0,524284.0,9396134.0,621909.0,854321.0,1589070.0,1223791.0,343366.0,1086808.0,106719.0,9439694.0,464899.0,293918.0,8172343.0,1207508.0,43560.0,746896.0,273676.0,134823.0,560219.0
2003-04-01,83580.0,376962.0,521603.0,9483636.0,622176.0,862016.0,1629594.0,1240438.0,334514.0,1082486.0,107736.0,9539996.0,460310.0,296335.0,8243198.0,1219456.0,56360.0,754319.0,270555.0,133435.0,570608.0
2003-07-01,87139.0,383014.0,528224.0,9650554.0,625608.0,872239.0,1665800.0,1251861.0,356440.0,1103729.0,110742.0,9705060.0,478121.0,298697.0,8398694.0,1227881.0,54506.0,760016.0,281582.0,136282.0,586911.0
