Date,"Final sales to domestic purchasers, current dollars","Final sales to private domestic purchasers, current dollars","Gross domestic purchases, current dollars"
2020-04-01,-24.7,-30.7,-28.2
2020-07-01,32.9,42.6,42.8
2020-10-01,8.7,10.0,8.2
2021-01-01,13.8,14.0,11.4
2021-04-01,15.7,18.8,13.4
2021-07-01,7.4,8.1,10.4
2021-10-01,10.7,11.5,15.1
2022-01-01,9.8,10.9,9.6
2022-04-01,10.6,10.7,8.4
2022-07-01,5.7,6.1,5.0
2022-10-01,5.1,4.6,6.4
2023-01-01,8.0,8.6,5.8
2023-04-01,4.4,4.9,4.1
2023-07-01,5.8,5.0,7.1
2023-10-01,5.3,5.3,4.8
2024-01-01,5.8,5.9,5.3
2024-04-01,5.3,5.3,6.4
2024-07-01,5.7,5.3,5.4
2024-10-01,5.2,5.2,4.4
