Date,Average of GDP and GDI,Disposable personal income,Gross domestic income (GDI),Gross national income,Net domestic income
1982-01-01,-4.6,1.0,-3.1,-3.3,-4.4
1982-04-01,1.7,2.5,1.5,2.0,1.0
1982-07-01,-1.5,2.1,-1.5,-2.3,-2.5
1982-10-01,-0.8,1.5,-1.7,-1.9,-2.7
1983-01-01,4.9,4.1,4.3,4.3,4.6
1983-04-01,8.2,2.9,6.9,7.1,7.6
1983-07-01,7.0,6.1,5.7,5.7,6.1
1983-10-01,9.1,9.0,9.6,9.7,10.7
1984-01-01,9.7,7.9,11.4,10.9,12.7
1984-04-01,6.9,6.6,6.7,6.6,7.1
1984-07-01,4.1,5.3,4.3,4.2,4.2
1984-10-01,3.9,3.3,4.5,4.0,4.3
1985-01-01,3.7,-1.0,3.4,2.6,3.0
1985-04-01,3.2,8.2,2.9,3.0,2.4
1985-07-01,5.6,-1.1,4.9,4.4,4.9
1985-10-01,2.6,4.5,2.3,2.5,1.8
1986-01-01,3.9,5.5,4.0,3.7,3.9
1986-04-01,1.5,5.1,1.1,0.5,0.4
1986-07-01,3.2,2.3,2.5,2.7,2.0
1986-10-01,2.7,0.1,3.2,2.6,2.7
1987-01-01,3.6,3.0,4.2,4.4,3.8
1987-04-01,5.4,-4.1,6.5,6.8,6.9
1987-07-01,4.7,7.4,5.9,5.9,6.6
1987-10-01,6.2,5.9,5.5,5.6,6.4
1988-01-01,3.5,6.7,4.9,5.3,4.5
1988-04-01,5.0,4.7,4.7,4.5,4.5
1988-07-01,3.0,4.1,3.7,3.4,3.4
1988-10-01,5.5,3.9,5.6,5.7,5.8
1989-01-01,3.3,4.4,2.5,2.4,2.3
1989-04-01,1.2,-1.3,-0.7,-0.8,-1.5
1989-07-01,2.3,2.7,1.7,1.8,1.3
1989-10-01,0.6,3.5,0.4,0.9,-0.2
1990-01-01,4.2,3.2,3.9,3.7,3.9
1990-04-01,1.8,3.0,2.2,2.3,2.0
1990-07-01,0.0,0.1,-0.3,-0.6,-0.9
1990-10-01,-2.7,-3.2,-1.8,-0.3,-2.7
1991-01-01,-1.3,1.2,-0.8,-1.6,-1.5
1991-04-01,2.2,3.0,1.2,0.4,0.9
1991-07-01,1.6,1.5,1.1,0.8,0.8
1991-10-01,1.4,3.2,1.4,1.9,1.2
1992-01-01,5.9,7.9,7.0,7.0,7.9
1992-04-01,3.9,3.8,3.4,3.3,3.5
1992-07-01,2.7,1.7,1.3,1.1,1.0
1992-10-01,4.0,1.8,3.8,3.9,4.0
1993-01-01,-0.3,1.5,-1.4,-1.0,-2.1
1993-04-01,3.6,1.3,4.9,4.5,5.2
1993-07-01,1.4,0.3,0.8,1.1,0.4
1993-10-01,6.8,2.8,8.0,7.0,8.9
1994-01-01,3.1,2.6,2.2,2.6,2.0
1994-04-01,5.9,4.1,6.3,6.0,6.9
