Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1973-04-01,-0.3599999999999999,3.19,-0.435,0.61,0.59,-0.9650000000000001,-0.4524999999999999,19.56,1.14,0.54,0.365,-7.63,-3.41,1.83,0.8825,-1.4,1.3,0.13,4.15,-1.005,-0.375
1973-07-01,-1.395,4.535,0.79,0.48,0.5549999999999999,-0.91,-0.3974999999999999,-0.39,1.75,-3.245,-2.75,-4.53,-6.07,-0.3599999999999999,-0.24000000000000005,-2.13,0.8516666666666667,0.14500000000000002,0.59,-0.034999999999999976,-0.46499999999999997
1973-10-01,1.385,3.0999999999999996,-0.18500000000000003,-0.16499999999999998,0.495,-0.22000000000000003,-0.15499999999999997,25.78,-4.61,4.76,-1.0449999999999997,2.49,0.53,3.7199999999999998,1.905,0.51,1.4316666666666666,0.32,3.05,-0.67,-0.5900000000000001
1974-01-01,2.935,1.9100000000000001,0.515,0.9049999999999999,0.615,0.040000000000000036,-0.6875000000000001,1.2,4.09,-2.375,-0.7849999999999999,-14.66,1.77,-10.4,-4.4925,-0.75,0.5333333333333333,3.42,-17.15,-0.42000000000000004,0.16500000000000004
1974-04-01,0.595,5.03,0.025,0.545,0.6749999999999999,2.345,1.95,17.03,3.94,-2.605,1.65,20.39,2.54,12.204999999999998,5.324999999999999,0.81,1.6816666666666666,-0.015,17.28,1.6099999999999999,-0.12
1974-07-01,-0.015000000000000013,0.745,0.10999999999999999,-1.03,0.15000000000000002,-1.275,-1.04,-17.92,-1.95,-3.755,-1.9849999999999999,-5.39,-1.42,-2.785,-0.99,1.7,-0.9516666666666668,-0.020000000000000004,-1.02,0.10500000000000001,0.01999999999999999
1974-10-01,-2.55,3.445,0.12499999999999999,1.535,0.39999999999999997,-2.215,-0.8350000000000001,6.09,4.77,-0.065,0.9950000000000001,-5.74,1.84,-0.23499999999999988,-0.38750000000000007,-0.58,1.1333333333333333,0.195,3.56,1.6800000000000002,0.215
1975-01-01,-4.46,-1.04,0.29000000000000004,-0.5850000000000001,-0.11,-4.3,-3.2800000000000002,-0.48,3.3,1.87,1.215,-33.29,-1.2,-9.49,-3.6175,-2.3,0.10833333333333334,0.44,-7.12,-1.4100000000000001,0.38499999999999995
1975-04-01,2.135,-3.4400000000000004,0.025,-0.495,-0.1,-1.32,-3.0,-15.5,4.34,-4.984999999999999,1.8599999999999999,-24.57,-3.79,-10.754999999999999,-3.0375,-2.88,-1.4749999999999999,0.565,-5.63,-1.5,-0.7749999999999999
1975-07-01,4.385,-0.855,-0.315,-0.3,0.155,2.7199999999999998,0.25749999999999995,5.98,-12.56,8.49,-7.045,37.07,0.55,5.755,3.9825,1.49,0.12833333333333338,0.23,10.82,0.71,0.34
1975-10-01,1.445,1.93,0.11,-0.95,0.24,2.255,1.485,20.9,3.71,4.355,1.3900000000000001,19.61,3.48,8.895,4.0875,4.81,1.3583333333333334,0.37,4.26,0.905,0.76
1976-01-01,2.84,1.44,-0.07,-0.195,0.43000000000000005,2.12,1.3125,-3.72,0.99,-1.49,-0.9750000000000001,25.16,2.31,4.55,2.0225,3.32,0.8316666666666666,0.47000000000000003,1.51,1.67,0.53
1976-04-01,1.6300000000000001,1.2449999999999999,-0.095,0.9349999999999999,0.515,1.7650000000000001,1.2075,2.14,1.95,1.345,1.315,17.26,1.24,6.859999999999999,3.1,1.61,-1.0966666666666667,0.33999999999999997,7.36,-0.435,0.42500000000000004
1976-07-01,-0.12,0.45499999999999996,-0.16499999999999998,-0.295,0.4,1.755,1.9449999999999998,8.89,3.25,1.22,0.39,15.37,2.03,5.890000000000001,1.8800000000000001,0.05,1.1116666666666668,0.645,5.68,1.115,0.61
1976-10-01,-0.755,1.51,-0.11000000000000001,-0.33999999999999997,0.38,2.16,1.0474999999999999,5.59,-1.47,0.35,-0.945,12.45,1.57,5.295,2.6799999999999997,2.34,0.655,0.18,6.33,0.87,0.015000000000000013
1977-01-01,0.06,-2.1999999999999997,0.195,-1.32,0.47000000000000003,1.9549999999999998,0.08999999999999986,-6.04,-0.24,-1.32,0.6950000000000001,19.03,1.05,5.609999999999999,3.6949999999999994,-2.55,0.36166666666666675,-0.075,18.83,-0.19999999999999998,-0.265
1977-04-01,2.44,1.865,0.12,1.3599999999999999,0.245,0.42,1.325,8.72,2.5,0.255,0.305,2.61,1.23,0.3500000000000001,-0.9375,1.12,0.21999999999999997,-0.10500000000000001,-8.59,1.22,0.27499999999999997
1977-07-01,-1.1400000000000001,-0.97,0.33,-0.9099999999999999,0.605,0.9299999999999999,0.3775,1.49,1.65,-0.9900000000000001,0.52,-3.89,-1.51,0.605,0.395,1.01,-0.08166666666666668,-0.095,-2.06,-0.5900000000000001,-0.16499999999999998
1977-10-01,1.175,0.5150000000000001,0.05,0.9199999999999999,0.42500000000000004,-0.24499999999999994,0.07500000000000004,-12.86,0.64,1.33,0.66,4.87,0.94,-5.87,-3.1325,-1.02,-0.5533333333333333,0.3,-4.03,-0.62,0.315
1978-01-01,-0.4,4.74,0.62,2.455,0.55,5.07,2.7649999999999997,5.29,4.49,3.2699999999999996,0.815,25.59,4.03,3.975,1.7599999999999998,1.58,0.19666666666666666,0.93,2.56,1.7000000000000002,0.135
1978-04-01,3.5700000000000003,5.11,-0.245,1.705,1.01,3.6550000000000002,2.36,47.53,1.16,8.005,-0.24499999999999997,1.36,-0.11,4.435,1.6849999999999998,2.54,0.73,0.21000000000000002,-5.63,0.30500000000000005,0.365
1978-07-01,-2.485,3.355,0.175,1.225,0.635,-0.44499999999999995,0.07750000000000001,1.65,2.81,-2.54,-0.155,4.0,1.32,6.09,2.745,-1.87,0.15500000000000005,0.81,6.03,0.5,0.625
1978-10-01,2.245,5.695,0.375,1.98,0.8200000000000001,-0.12,0.10500000000000001,13.41,3.44,0.3799999999999999,1.08,4.37,1.24,-1.06,-0.69,-0.39,1.5883333333333332,0.4,-0.8,0.515,-0.165
1979-01-01,-2.31,3.3049999999999997,-0.505,0.22999999999999998,0.585,-0.7849999999999999,-0.84,-0.73,1.04,-2.3850000000000002,-0.93,-0.6,-0.47,0.7,0.8025,-1.3,1.1666666666666667,0.32,3.74,0.99,0.20999999999999996
1979-04-01,0.845,0.825,0.035,-0.655,0.4,0.585,0.4375,0.91,0.13,3.2449999999999997,-0.205,2.13,0.06,-0.32000000000000006,-0.3025,2.73,-0.8316666666666667,0.165,-4.84,0.015000000000000001,-0.010000000000000009
1979-07-01,-0.985,2.4050000000000002,0.0049999999999999975,1.2550000000000001,0.5199999999999999,0.26,0.4175,15.32,-0.13,1.2149999999999999,-0.34500000000000003,-5.61,-0.36,2.23,0.8299999999999998,-1.36,0.135,-0.09,-1.11,0.5499999999999999,-0.415
1979-10-01,1.47,6.835,0.2,0.25500000000000006,1.065,2.425,1.2825,25.31,2.33,3.625,0.19,8.78,0.23,1.5499999999999998,0.7075,0.36,2.2216666666666667,0.22,0.67,0.22999999999999998,0.425
1980-01-01,-1.45,3.8899999999999997,-0.18,1.24,0.87,3.46,2.4975,12.82,-1.18,-3.54,0.16500000000000004,0.24,0.03,0.395,-0.5675000000000001,-0.36,1.8083333333333333,-0.24,-2.09,-1.095,0.91
1980-04-01,-2.125,2.75,0.085,1.115,0.7350000000000001,-2.285,-1.9449999999999998,4.85,2.91,1.35,0.77,-24.83,-1.2,-6.885000000000001,-2.6399999999999997,0.04,-0.6266666666666667,0.64,-15.9,-0.08500000000000002,-0.5650000000000001
1980-07-01,-0.7150000000000001,-2.3,-0.16,-0.815,1.085,-2.4299999999999997,-2.7575,-2.55,1.7,1.2149999999999999,0.305,-25.65,-0.18,-12.31,-4.619999999999999,-2.71,-0.031666666666666586,0.205,-14.45,-0.26,0.63
