Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Private fixed investment in equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1929-01-01,22.88,1.862,15.064,0.241,,11.083,,,9.213,9.792,9.107,11.356,,,,,0.057,10.385,15.925,1.493,1.835,8.158,2.124,,,,1.81,70.945,0.968,4.531,30.264,18.406,7.805,3.217
1930-01-01,21.303,0.842,10.037,0.206,,9.255,,,8.129,8.448,7.33,8.647,,,,,0.047,7.195,9.826,1.326,1.455,5.78,1.827,,,,1.437,71.505,0.843,3.633,38.245,13.858,6.055,2.501
1931-01-01,11.176,0.472,7.262,0.156,,5.871,,,5.255,6.869,5.061,6.517,,,,,0.036,4.618,4.763,1.006,0.971,4.217,1.434,,,,0.965,16.332,0.803,2.996,31.538,10.799,3.705,1.83
1932-01-01,5.981,0.047,4.285,0.077,,1.947,,,2.426,4.409,3.185,4.164,,,,,0.023,1.983,3.758,0.646,0.569,3.04,1.108,,,,0.568,9.193,0.581,2.0,8.572,7.459,2.031,1.046
1933-01-01,3.822,0.429,5.752,0.06,,1.202,,,2.024,3.747,2.846,4.083,,,,,0.023,2.13,4.008,0.649,0.582,3.183,1.122,,,,0.583,4.563,0.649,2.023,5.366,8.365,2.497,1.358
1934-01-01,6.806,0.835,7.194,0.087,,2.785,,,2.997,4.558,3.995,4.99,,,,,0.027,3.568,6.105,0.68,0.805,3.89,1.242,,,,0.803,20.975,0.803,2.405,7.594,8.959,3.763,2.189
1935-01-01,13.625,0.441,10.764,0.125,,5.304,,,4.215,5.07,4.456,6.7,,,,,0.032,6.516,9.214,0.929,1.097,5.222,1.407,,,,1.092,18.12,0.985,3.031,3.206,10.939,4.954,2.893
1936-01-01,19.275,0.394,13.661,0.16,,8.81,,,7.335,6.13,5.391,9.225,,,,,0.041,9.64,14.215,1.142,1.505,6.252,1.682,,,,1.494,36.893,1.151,4.625,20.123,14.898,6.872,3.774
1937-01-01,24.555,0.973,13.907,0.255,,10.562,,,10.343,6.976,6.53,10.085,,,,,0.067,11.878,13.253,1.717,1.749,7.492,1.475,,,,1.735,64.006,1.276,5.295,21.146,16.063,7.61,3.673
1938-01-01,21.491,0.732,8.285,0.171,,8.403,,,7.111,5.191,5.571,7.237,,,,,0.046,6.636,8.334,1.27,1.218,6.284,1.279,,,,1.212,24.791,1.071,3.881,39.678,11.909,4.631,2.281
1939-01-01,19.119,1.123,11.463,0.206,,7.942,,,8.721,6.13,6.096,8.447,,,,,0.06,9.212,9.751,1.569,1.405,6.49,1.448,,,,1.398,28.634,1.208,4.448,18.759,12.699,5.82,3.167
1940-01-01,22.623,1.887,14.885,0.306,,10.165,,,9.616,7.545,7.226,9.377,,,,,0.048,18.95,12.392,1.289,1.821,7.496,1.79,,,,1.808,51.29,1.396,4.921,43.747,13.543,7.919,3.617
1941-01-01,32.595,1.539,16.274,0.332,,11.639,,,8.185,9.123,8.891,9.907,,,,,0.045,25.09,20.77,1.151,2.135,9.131,2.192,,,,2.121,64.66,1.698,4.932,55.208,13.503,9.094,4.276
1942-01-01,23.477,0.247,2.496,0.208,,7.645,,,3.533,8.412,6.056,6.816,,,,,0.023,23.099,10.663,0.591,1.225,6.762,1.65,,,,1.219,56.841,1.099,3.708,57.026,11.062,3.073,0.795
1943-01-01,13.594,0.0,2.391,0.19,,5.404,,,6.619,10.489,4.948,7.363,,,,,0.047,21.754,9.976,1.281,1.1,4.896,1.458,,,,1.084,36.68,0.467,4.177,66.486,8.737,2.755,0.947
1944-01-01,32.501,0.272,1.311,0.39,,7.033,,,12.355,12.416,5.204,12.126,,,,,0.049,17.767,14.14,1.373,1.471,7.415,1.581,,,,1.442,47.634,0.308,5.767,35.835,13.436,2.869,2.12
1945-01-01,37.006,1.746,1.38,0.441,,21.122,,,26.209,15.104,7.189,17.264,,,,,0.134,21.856,24.472,3.657,2.107,9.893,1.878,,,,2.067,45.7,0.496,7.979,55.889,19.56,4.628,5.094
1946-01-01,28.933,5.98,9.622,0.175,,24.831,6.097,7.571,6.094,21.944,11.545,16.765,17.406,0.052,3.601,,0.338,26.282,15.963,4.312,2.628,18.146,3.124,12.073,,1.301,2.607,44.432,1.783,10.628,56.776,26.209,7.855,5.871
1947-01-01,50.164,3.786,13.468,0.237,,27.512,9.186,11.217,15.564,28.515,13.325,19.892,23.396,0.068,11.833,,0.49,33.035,16.237,5.863,3.572,22.489,3.993,16.401,,1.756,3.551,72.612,2.729,16.49,115.394,39.131,11.057,7.793
1948-01-01,65.726,1.611,13.936,0.236,,32.47,8.956,10.437,22.624,25.599,12.256,18.746,21.642,0.07,4.45,,0.478,25.118,20.32,6.094,3.759,24.251,4.397,19.703,,1.812,3.736,112.947,2.831,22.702,49.705,37.639,11.508,8.64
