Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Equals: Private fixed investment in new equipment,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,Less: Dealers' margin on used equipment,Less: Net purchases of used equipment from government,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Plus: Net exports of used equipment,Plus: Net sales of used equipment,Plus: Sale of equipment scrap,Private fixed investment in equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1929-01-01,405.0,41.0,1105.0,443.0,,136.0,,,54.0,5537.0,132.0,363.0,504.0,,,,33.0,,,15.0,216.0,143.0,66.0,5492.0,185.0,161.0,,,,,,,5570.0,374.0,78.0,186.0,91.0,376.0,2107.0,496.0
1930-01-01,383.0,17.0,701.0,339.0,,114.0,,,45.0,4230.0,112.0,294.0,359.0,,,,17.0,,,12.0,138.0,87.0,57.0,4180.0,132.0,134.0,,,,,,,4247.0,374.0,67.0,147.0,111.0,266.0,1561.0,358.0
1931-01-01,198.0,9.0,488.0,230.0,,69.0,,,26.0,2685.0,80.0,194.0,255.0,,,,15.0,,,9.0,83.0,41.0,42.0,2643.0,96.0,97.0,,,,,,,2700.0,82.0,57.0,117.0,85.0,194.0,912.0,248.0
1932-01-01,104.0,1.0,271.0,108.0,,21.0,,,12.0,1480.0,49.0,114.0,153.0,,,,15.0,,,6.0,32.0,30.0,28.0,1460.0,67.0,74.0,,,,,,,1495.0,45.0,35.0,65.0,21.0,123.0,474.0,136.0
1933-01-01,72.0,8.0,331.0,80.0,,14.0,,,10.0,1465.0,40.0,99.0,150.0,,,,11.0,,,5.0,34.0,33.0,24.0,1436.0,66.0,74.0,,,,,,,1476.0,22.0,40.0,61.0,13.0,140.0,534.0,160.0
1934-01-01,123.0,15.0,436.0,132.0,,34.0,,,17.0,2140.0,57.0,142.0,200.0,,,,9.0,,,6.0,67.0,51.0,26.0,2098.0,81.0,85.0,,,,,,,2149.0,101.0,51.0,74.0,21.0,172.0,831.0,258.0
1935-01-01,234.0,8.0,643.0,193.0,,64.0,,,25.0,2884.0,64.0,155.0,275.0,,,,9.0,,,7.0,121.0,77.0,34.0,2833.0,106.0,94.0,,,,,,,2893.0,97.0,60.0,92.0,9.0,210.0,1082.0,325.0
1936-01-01,332.0,7.0,822.0,246.0,,106.0,,,43.0,3943.0,74.0,182.0,383.0,,,,10.0,,,9.0,181.0,117.0,42.0,3881.0,129.0,111.0,,,,,,,3953.0,196.0,72.0,134.0,57.0,286.0,1506.0,424.0
1937-01-01,432.0,19.0,849.0,396.0,,139.0,,,64.0,4842.0,94.0,237.0,462.0,,,,11.0,,,14.0,247.0,119.0,61.0,4770.0,158.0,113.0,,,,,,,4853.0,356.0,83.0,168.0,65.0,340.0,1726.0,437.0
1938-01-01,382.0,15.0,524.0,263.0,,113.0,,,44.0,3459.0,70.0,198.0,335.0,,,,12.0,,,10.0,142.0,79.0,47.0,3401.0,132.0,97.0,,,,,,,3471.0,142.0,70.0,127.0,122.0,255.0,1107.0,304.0
1939-01-01,329.0,23.0,715.0,312.0,,106.0,,,54.0,3941.0,80.0,212.0,387.0,,,,19.0,,,13.0,199.0,90.0,58.0,3883.0,137.0,108.0,,,,,,,3960.0,170.0,77.0,143.0,57.0,275.0,1380.0,415.0
1940-01-01,389.0,39.0,948.0,468.0,,140.0,,,62.0,5228.0,96.0,255.0,443.0,,,,26.0,,,11.0,440.0,119.0,50.0,5167.0,159.0,140.0,,,,,,,5254.0,313.0,87.0,162.0,133.0,310.0,1923.0,490.0
1941-01-01,565.0,35.0,1158.0,522.0,,173.0,,,56.0,6539.0,121.0,334.0,487.0,,,,17.0,,,11.0,618.0,215.0,48.0,6443.0,198.0,184.0,,,,,,,6556.0,408.0,113.0,179.0,185.0,329.0,2403.0,617.0
1942-01-01,422.0,6.0,251.0,341.0,,121.0,,,26.0,4138.0,117.0,249.0,348.0,,,,9.0,,,6.0,583.0,117.0,26.0,4065.0,154.0,148.0,,,,,,,4147.0,394.0,82.0,150.0,197.0,275.0,982.0,134.0
1943-01-01,243.0,0.0,253.0,309.0,,87.0,,,47.0,3699.0,147.0,201.0,376.0,,,,7.0,,,12.0,549.0,112.0,55.0,3671.0,109.0,136.0,,,,,,,3706.0,268.0,35.0,174.0,232.0,215.0,899.0,146.0
1944-01-01,576.0,7.0,167.0,632.0,,115.0,,,91.0,4999.0,174.0,214.0,625.0,,,,27.0,,,12.0,452.0,164.0,57.0,5002.0,160.0,152.0,,,,,,,5026.0,346.0,24.0,246.0,130.0,334.0,998.0,348.0
1945-01-01,659.0,48.0,172.0,724.0,,358.0,,,193.0,7210.0,215.0,292.0,898.0,,,,119.0,,,32.0,556.0,293.0,148.0,7285.0,211.0,186.0,,,,,,,7329.0,332.0,44.0,345.0,195.0,491.0,1684.0,937.0
1946-01-01,548.0,178.0,1048.0,444.0,,462.0,101.0,393.0,50.0,9526.0,336.0,504.0,936.0,3158.0,1144.0,129.0,582.0,33.0,,75.0,727.0,207.0,162.0,9945.0,399.0,336.0,2664.0,,64.0,82.0,0.0,33.0,10122.0,367.0,177.0,506.0,255.0,716.0,3012.0,1164.0
1947-01-01,1034.0,129.0,1822.0,737.0,,582.0,184.0,714.0,143.0,15094.0,538.0,690.0,1291.0,4599.0,1723.0,194.0,638.0,87.0,,119.0,767.0,243.0,241.0,15316.0,531.0,467.0,4165.0,,95.0,88.0,134.0,87.0,15617.0,645.0,301.0,965.0,586.0,1146.0,4916.0,1734.0
1948-01-01,1520.0,59.0,1997.0,725.0,,782.0,193.0,690.0,216.0,17543.0,541.0,672.0,1324.0,4610.0,1809.0,222.0,283.0,41.0,,123.0,644.0,332.0,267.0,17280.0,587.0,543.0,5420.0,,107.0,72.0,324.0,42.0,17610.0,1069.0,330.0,1378.0,273.0,1195.0,5482.0,2084.0
1949-01-01,1614.0,113.0,2508.0,647.0,,582.0,186.0,632.0,208.0,16404.0,442.0,644.0,1029.0,3723.0,1628.0,188.0,68.0,43.0,,111.0,436.0,268.0,250.0,15732.0,518.0,480.0,4721.0,,102.0,42.0,541.0,46.0,16031.0,1143.0,299.0,947.0,167.0,976.0,5703.0,1772.0
1950-01-01,1678.0,76.0,3209.0,735.0,,673.0,248.0,790.0,275.0,18638.0,483.0,700.0,1090.0,4477.0,1841.0,238.0,73.0,81.0,,127.0,680.0,332.0,298.0,17799.0,576.0,532.0,5137.0,,105.0,32.0,658.0,85.0,18174.0,888.0,375.0,974.0,157.0,1159.0,6425.0,2095.0
1951-01-01,1760.0,85.0,2563.0,853.0,,804.0,230.0,1060.0,225.0,20811.0,659.0,934.0,1362.0,5669.0,2149.0,268.0,169.0,102.0,,157.0,1001.0,449.0,359.0,19874.0,661.0,523.0,5595.0,,119.0,42.0,857.0,104.0,20245.0,1224.0,371.0,895.0,331.0,1362.0,6563.0,2360.0
1952-01-01,1708.0,198.0,2211.0,1076.0,,924.0,208.0,1233.0,313.0,20810.0,762.0,887.0,1297.0,5929.0,2430.0,227.0,43.0,78.0,,156.0,1118.0,452.0,382.0,19694.0,685.0,537.0,5671.0,,131.0,25.0,913.0,80.0,20062.0,1101.0,368.0,955.0,371.0,1206.0,5742.0,1861.0
1953-01-01,1606.0,191.0,3189.0,1192.0,,847.0,218.0,1351.0,311.0,22825.0,825.0,873.0,1503.0,6715.0,2666.0,189.0,-30.0,103.0,,140.0,1437.0,436.0,401.0,21531.0,768.0,570.0,5676.0,,165.0,25.0,937.0,105.0,21917.0,1015.0,386.0,1126.0,341.0,1288.0,6577.0,1841.0
1954-01-01,1416.0,215.0,3294.0,1048.0,,717.0,190.0,1436.0,455.0,21938.0,877.0,981.0,1539.0,7050.0,2424.0,146.0,15.0,41.0,,150.0,1588.0,409.0,297.0,20812.0,753.0,574.0,5366.0,,176.0,36.0,814.0,46.0,21203.0,586.0,391.0,1079.0,182.0,1155.0,6013.0,1736.0
1955-01-01,1610.0,159.0,4006.0,1161.0,,983.0,223.0,1408.0,421.0,25006.0,818.0,1167.0,1850.0,7252.0,2818.0,288.0,77.0,124.0,,190.0,1327.0,558.0,420.0,23888.0,863.0,675.0,6439.0,,184.0,61.0,860.0,130.0,24320.0,683.0,432.0,1223.0,276.0,1428.0,7503.0,2379.0
1956-01-01,1374.0,381.0,3154.0,1438.0,,1250.0,247.0,1767.0,445.0,27429.0,940.0,1312.0,2179.0,8844.0,3355.0,319.0,181.0,158.0,,218.0,1840.0,617.0,477.0,26343.0,1026.0,705.0,6901.0,,196.0,62.0,902.0,164.0,26801.0,932.0,458.0,1396.0,429.0,1673.0,7401.0,2505.0
1957-01-01,1385.0,516.0,3579.0,1703.0,,1044.0,248.0,2010.0,632.0,29771.0,1126.0,1283.0,2309.0,9625.0,3982.0,312.0,131.0,116.0,,226.0,1857.0,629.0,525.0,28561.0,1310.0,740.0,6805.0,,218.0,73.0,1001.0,124.0,29016.0,1262.0,455.0,1476.0,560.0,1691.0,8265.0,2348.0
1958-01-01,1813.0,375.0,2556.0,1484.0,,1128.0,201.0,1711.0,659.0,26190.0,1042.0,1313.0,2085.0,8211.0,3605.0,283.0,85.0,63.0,,204.0,1186.0,425.0,464.0,24876.0,1262.0,828.0,7007.0,,185.0,57.0,1078.0,71.0,25352.0,561.0,476.0,1299.0,539.0,1528.0,6115.0,2084.0
1959-01-01,1945.0,861.0,3661.0,1765.0,20.0,1346.0,216.0,1788.0,584.0,29851.0,949.0,1360.0,2237.0,8525.0,3974.0,286.0,80.0,119.0,,236.0,1307.0,505.0,473.0,28345.0,1233.0,994.0,7693.0,,247.0,34.0,1140.0,128.0,28915.0,648.0,570.0,1327.0,487.0,1660.0,8273.0,2616.0
1960-01-01,1573.0,779.0,3821.0,2252.0,192.0,1099.0,231.0,1944.0,556.0,31150.0,925.0,1404.0,2473.0,9375.0,4742.0,268.0,83.0,139.0,,288.0,1549.0,469.0,490.0,29679.0,1224.0,1080.0,7191.0,,296.0,46.0,1100.0,147.0,30208.0,888.0,529.0,1335.0,454.0,1928.0,8509.0,2567.0
1961-01-01,1637.0,815.0,3547.0,2683.0,261.0,1055.0,239.0,1880.0,477.0,30572.0,863.0,1356.0,2329.0,8801.0,5094.0,260.0,72.0,205.0,,320.0,1399.0,426.0,479.0,28904.0,1042.0,1171.0,7188.0,,309.0,43.0,1222.0,214.0,29425.0,609.0,521.0,1304.0,395.0,1853.0,8026.0,2660.0
