Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Private fixed investment in intellectual property products,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1969-01-01,6.0,,1.5,7.0,1.8,,,-5.7,,2.7,6.8,8.7,10.7,17.2,-1.4,2.7,12.4,5.3,,-1.3,,7.7,,5.4,6.6,,5.7,34.9,,-26.2,-2.1
1970-01-01,-13.9,,0.9,0.3,3.3,,,-12.4,,-4.3,0.1,-3.6,-9.8,7.1,2.7,-0.1,4.7,2.4,,3.0,,6.2,,-0.1,0.4,,8.4,27.8,,-36.6,0.8
1971-01-01,-19.3,,-1.9,-0.3,-3.5,,,-1.3,,-4.2,-0.5,10.2,-10.3,7.3,3.3,9.3,2.9,-0.3,,3.3,,8.7,,0.4,-0.1,,0.4,6.2,,10.4,3.4
1972-01-01,-7.0,,-2.3,4.7,1.7,,,7.6,,15.1,4.7,12.5,5.3,5.9,4.4,-1.8,4.1,4.3,,5.4,,8.1,,7.0,4.7,,35.8,17.4,,9.5,-3.8
1973-01-01,11.2,,4.6,7.1,3.4,,,-4.3,,-6.3,7.2,13.8,3.3,2.2,0.6,4.0,7.0,3.8,,1.5,,8.4,,5.0,6.7,,19.5,13.6,,-18.0,-7.0
1974-01-01,-1.0,,4.4,0.1,3.8,,,1.4,,10.3,0.4,-7.1,-9.1,-9.8,5.7,5.7,0.5,2.3,,6.6,,3.7,,2.9,0.4,,4.9,17.0,,-9.6,-3.1
1975-01-01,-7.4,,-1.6,-2.2,-3.5,,,-3.2,,-3.5,-3.0,-10.7,-4.3,31.3,8.3,-0.1,-5.5,1.8,,8.8,,12.5,,0.9,-1.6,,-15.5,17.2,,-4.6,3.7
1976-01-01,10.5,,-0.8,6.2,2.3,,,27.1,,30.7,4.9,12.8,4.2,47.4,8.0,4.5,3.2,1.8,,8.2,,5.9,,10.8,6.3,,12.6,8.6,,97.4,5.5
1977-01-01,9.2,,11.9,5.2,1.2,,,11.6,,16.5,3.9,13.0,27.1,34.6,8.1,6.3,2.1,1.7,,7.7,,-2.7,,6.6,5.3,,4.0,4.2,,-7.0,13.0
1978-01-01,11.4,,2.6,7.4,3.2,,,-1.7,,5.9,6.1,9.8,-5.6,31.0,13.3,5.6,4.2,3.1,,13.1,,10.8,,7.1,7.8,,24.1,18.5,,-20.0,15.5
1979-01-01,11.3,,-2.8,7.4,3.0,,,14.7,,9.7,6.1,2.6,6.6,26.8,7.2,5.3,4.0,6.2,,7.0,,7.2,,11.7,7.4,,38.9,24.5,,63.3,8.8
1980-01-01,10.8,,0.7,7.1,2.4,,,-9.4,,-13.5,5.7,2.0,-1.8,23.4,1.3,6.0,3.6,4.8,,1.3,,5.0,,5.0,6.7,,46.1,18.0,,-18.6,1.9
1981-01-01,10.0,,1.1,6.5,1.6,,,20.8,,32.7,5.1,-9.2,-2.1,20.6,6.0,6.3,2.9,13.8,,6.0,,7.8,,10.9,6.4,,-4.6,16.2,,41.4,5.8
1982-01-01,8.9,,-0.8,5.5,0.4,,,0.8,,3.5,4.1,-5.5,-3.6,17.9,1.7,0.1,1.8,7.4,,1.3,,11.7,,6.2,5.2,,3.3,15.5,,-0.3,6.6
1983-01-01,9.2,,0.0,5.9,0.6,,,5.4,,12.3,4.5,5.5,-13.7,17.0,1.6,2.6,2.0,1.0,,1.8,,11.6,,7.9,5.6,,28.6,17.8,,7.6,0.0
1984-01-01,14.1,,4.2,10.7,4.9,,,11.5,,8.8,9.3,8.5,41.2,21.3,2.2,7.7,6.6,8.1,,1.8,,9.9,,13.7,10.2,,25.0,26.5,,10.2,5.6
1985-01-01,11.9,,1.5,8.7,2.6,,,-0.5,,4.4,7.2,11.2,-8.6,18.2,6.4,5.0,4.4,5.9,,6.1,,3.1,,9.0,8.6,,17.7,18.8,,-9.0,9.6
1986-01-01,6.5,,1.9,3.5,-2.7,,13.2,10.4,,8.1,2.0,14.5,9.1,11.8,15.6,7.6,-0.7,-4.8,,16.2,6.1,3.6,23.5,7.0,4.1,,17.1,11.9,,23.8,9.7
1987-01-01,0.4,,4.9,1.4,0.4,,9.9,-1.6,,-9.1,1.6,-2.3,17.9,0.4,10.2,2.7,0.4,-6.7,,10.3,15.2,30.8,18.2,3.9,1.9,,24.6,14.0,,-1.8,9.6
1988-01-01,-6.0,26.7,3.2,4.8,5.6,,18.1,1.0,,1.9,0.9,2.7,-2.5,25.5,12.3,2.7,-1.0,0.5,,12.9,3.0,10.6,46.2,7.1,5.3,0.8,-1.0,16.3,,-0.4,6.6
1989-01-01,-6.5,19.8,4.9,7.2,3.5,,14.4,4.5,,-0.6,4.0,8.0,10.1,21.0,2.9,-5.5,-1.9,9.4,,2.6,21.4,11.3,64.9,11.7,6.9,51.9,-2.2,28.3,,13.8,6.0
1990-01-01,-7.5,21.5,0.3,6.7,10.2,,9.3,3.5,,7.5,2.0,-4.6,12.0,23.9,1.2,12.0,1.3,4.1,,0.4,4.0,9.8,46.2,8.4,6.3,72.6,2.1,16.1,,-7.4,9.4
1991-01-01,-2.9,20.9,-0.6,7.4,2.1,,9.0,1.1,,-4.3,2.5,2.8,-1.5,22.5,4.9,0.0,-0.1,1.7,,4.4,3.6,14.3,12.5,6.4,7.3,45.0,0.5,7.8,,14.4,10.2
1992-01-01,6.0,2.3,2.4,1.8,-4.5,,11.3,4.8,,13.5,1.5,-0.1,8.6,2.6,2.7,3.0,4.5,-3.1,,2.9,-3.0,9.3,45.5,5.8,1.9,6.7,5.2,15.1,,-9.2,1.2
1993-01-01,-8.7,7.1,4.1,-0.5,2.4,,9.0,5.4,,-3.1,-3.2,13.1,2.2,6.3,1.6,12.7,-0.8,-18.9,,2.0,13.7,10.1,16.4,4.2,-0.4,-2.3,-1.0,13.0,,23.3,-1.8
1994-01-01,-6.9,-10.1,1.0,0.6,-8.4,,16.4,5.3,,5.4,4.8,9.3,18.4,-8.9,-0.4,1.2,10.0,6.0,,-0.7,-3.9,5.4,17.6,3.9,0.6,5.2,10.8,9.5,,0.9,2.2
1995-01-01,-5.1,-2.0,-0.8,6.0,-2.8,,13.8,8.3,,10.6,8.7,7.5,-2.7,-1.4,-0.7,2.4,11.9,11.8,,-1.3,-4.3,13.4,18.2,7.1,5.5,4.7,12.6,9.4,,19.5,4.6
1996-01-01,5.4,1.8,-4.4,9.7,8.9,,25.8,7.3,,9.7,11.6,7.2,-8.7,4.0,6.2,0.5,18.9,9.7,,5.8,-5.7,12.1,26.0,11.2,9.5,25.9,19.2,16.8,,20.4,9.7
1997-01-01,-0.4,8.9,7.2,7.1,-10.1,,24.4,2.9,,5.0,6.2,-5.8,8.4,10.1,3.0,0.8,18.1,4.8,,3.2,22.5,10.0,44.2,13.1,6.9,19.4,18.9,30.8,,-3.6,1.7
1998-01-01,-1.2,8.2,4.1,6.6,20.8,,20.8,4.7,,7.1,5.5,-2.4,-5.0,10.0,9.4,-0.8,7.8,-2.0,,10.5,-0.6,15.6,34.9,11.0,6.8,23.5,7.8,21.1,,7.8,0.4
1999-01-01,2.0,24.0,3.5,8.3,-1.1,,16.3,3.0,,4.8,3.3,7.2,20.0,22.7,2.1,-0.2,-0.2,0.7,,1.5,52.7,9.4,20.2,13.0,7.9,14.2,3.8,24.8,,-7.3,6.9
2000-01-01,-8.3,10.8,0.6,8.5,-0.4,,16.1,5.9,,1.0,7.1,-3.7,-0.8,12.2,-0.1,2.6,26.2,-0.5,,-1.0,9.8,11.2,11.2,9.5,8.1,21.4,7.8,12.8,,21.5,7.9
2001-01-01,5.2,-5.5,-1.5,2.1,-1.8,,-1.3,-3.0,,-0.4,4.5,-3.8,-8.3,-3.4,2.2,-0.5,16.1,-8.0,,1.6,-1.9,5.0,5.8,1.0,2.1,9.7,16.5,1.1,,-4.9,7.6
2002-01-01,12.4,11.9,1.4,-3.1,-15.8,,-9.3,5.0,,12.0,-5.8,0.1,-2.9,3.7,7.5,-4.1,-28.3,3.0,,7.0,-7.7,9.8,13.7,-0.8,-2.6,-41.2,-8.7,-0.5,,2.9,11.6
2003-01-01,-1.5,0.8,-0.4,0.5,7.5,,1.5,7.5,,10.3,0.7,3.0,3.7,-0.1,6.9,-1.2,-9.5,6.2,,6.9,6.0,1.4,11.2,3.8,0.8,-9.9,2.4,6.4,,10.8,7.2
2004-01-01,17.9,-8.0,0.7,0.8,-0.3,,6.4,1.5,,0.9,3.7,-0.9,4.2,-5.8,0.6,2.1,-1.4,-2.0,,0.1,10.8,8.4,17.3,4.9,0.8,19.4,10.5,11.8,,1.3,4.3
2005-01-01,13.4,7.7,2.9,5.7,3.1,,12.2,8.4,,17.4,5.0,0.0,-4.8,7.5,0.7,1.4,1.4,8.6,,-0.7,2.8,5.4,10.6,7.4,5.4,5.6,4.1,9.4,,5.4,11.0
2006-01-01,4.6,8.2,-4.5,7.2,2.2,,10.7,1.1,,1.7,6.9,0.2,-3.3,7.9,2.0,-2.2,20.2,4.7,,0.5,3.5,9.2,3.5,5.8,6.9,5.8,-2.2,6.2,,5.1,12.0
2007-01-01,8.8,4.0,1.5,6.1,4.7,,12.2,-2.4,,-3.1,6.6,-5.9,-4.4,4.9,2.1,-4.8,2.3,2.5,,1.1,10.7,20.5,7.8,6.3,5.9,12.8,-1.2,10.1,,-2.0,8.0
2008-01-01,-4.5,6.0,-4.2,2.5,20.3,,8.9,-5.7,,-3.7,0.3,-20.8,-1.9,7.9,11.7,3.9,6.4,-7.9,,13.2,3.5,1.4,9.9,3.8,2.9,24.5,15.3,8.1,,-12.6,3.6
2009-01-01,6.3,-4.1,-8.5,-3.3,-11.4,1.4,0.2,-3.9,64.0,1.5,-3.2,-11.3,-1.6,-3.5,11.8,-5.7,-7.7,14.1,-10.1,12.2,2.1,-8.6,6.5,-0.5,-2.4,1.4,-5.1,3.0,-4.3,-11.2,9.6
