Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Services,Transportation services
1948-01-01,-0.7,9.7,,,,-0.7,,8.5,6.6,3.0,,,,,,,,,16.9,1.2,2.9,7.2,,,,,2.5,,3.4,1.8,
1948-04-01,1.2,8.2,,,,-1.0,,11.0,3.3,2.1,,,,,,,,,8.4,0.4,3.7,2.5,,,,,2.0,,3.3,1.9,
1948-07-01,0.5,8.5,,,,-2.9,,8.0,3.3,1.3,,,,,,,,,17.8,-0.6,0.8,2.6,,,,,1.9,,-1.6,2.7,
1948-10-01,2.9,0.4,,,,1.5,,-3.4,2.4,1.6,,,,,,,,,9.5,2.0,0.7,2.3,,,,,2.6,,-8.9,4.2,
1949-01-01,4.0,-0.9,,,,1.4,,-6.9,-0.8,1.3,,,,,,,,,6.8,2.1,-1.5,3.3,,,,,2.3,,-2.0,3.8,
1949-04-01,2.1,6.9,,,,-0.3,,-9.4,0.5,2.6,,,,,,,,,37.5,1.4,-2.3,6.3,,,,,2.7,,-4.8,2.7,
1949-07-01,-2.6,10.2,,,,1.5,,-3.4,-0.5,3.2,,,,,,,,,38.2,1.1,-3.7,5.9,,,,,2.7,,-0.4,1.9,
1949-10-01,-1.0,16.2,,,,-0.4,,11.3,1.8,4.9,,,,,,,,,31.0,1.4,-2.0,10.1,,,,,3.4,,10.2,1.2,
1950-01-01,-1.3,22.9,,,,1.7,,18.3,3.3,7.1,,,,,,,,,35.2,2.3,0.9,8.6,,,,,5.0,,22.4,1.8,
1950-04-01,1.7,14.1,,,,2.1,,11.5,5.6,5.9,,,,,,,,,16.5,3.2,3.1,6.9,,,,,5.1,,23.0,3.9,
