Date,Durable goods,Equipment,Exports,Federal,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
2002-01-01,47.237,48.539,49.456,76.738,62.316,55.608666666666664,87.772,71.407,62.182,55.409,45.736,81.986,69.034,69.887,54.242,70.128,92.901,59.86566666666666,95.301,87.313
2002-04-01,51.066,51.483,52.294,80.545,68.53,59.38033333333333,91.568,73.597,66.145,59.962,46.383,83.343,76.361,73.356,56.475,71.85,117.617,62.187999999999995,99.04,90.426
2002-07-01,52.777,51.292,51.226,82.935,68.687,59.62566666666667,91.876,74.449,69.893,61.525,46.123,85.353,79.291,73.819,55.991,72.522,120.856,62.93133333333333,97.924,88.304
2002-10-01,56.545,51.999,52.095,82.855,67.046,62.699333333333335,92.68,75.726,65.668,62.213,47.257,86.708,77.138,83.069,56.219,75.412,110.533,62.61333333333334,99.315,84.236
2003-01-01,48.058,49.168,50.021,82.461,62.439,57.73133333333334,90.183,73.073,65.34,58.683,46.745,86.943,75.829,71.454,53.484,71.757,97.688,60.10333333333333,95.421,76.656
2003-04-01,54.823,54.042,51.626,85.853,70.848,61.48166666666666,93.371,75.075,67.186,62.361,47.538,91.673,77.268,75.816,57.684,73.994,124.705,61.28966666666667,98.488,86.298
2003-07-01,57.498,53.491,51.819,88.313,72.93,62.12033333333333,93.691,76.553,72.014,64.208,47.985,92.374,82.307,77.107,57.903,75.111,135.126,64.38266666666667,97.366,88.768
2003-10-01,62.215,55.481,55.925,87.755,72.234,67.16266666666667,94.113,78.731,70.732,66.11,50.365,94.09,78.411,86.327,59.411,78.223,124.541,64.51166666666667,98.459,86.024
2004-01-01,54.377,53.16,55.317,88.192,67.334,63.207,92.357,76.313,70.247,64.639,49.437,94.882,78.325,75.084,56.722,74.999,110.129,64.095,95.217,78.074
2004-04-01,59.065,57.551,57.754,88.227,76.009,66.87433333333333,94.518,78.27,75.988,69.894,49.695,95.399,77.655,78.127,60.099,76.522,141.479,67.31033333333333,98.808,84.959
2004-07-01,61.005,58.033,56.762,92.348,77.765,67.18866666666666,95.079,79.127,78.727,71.481,50.295,98.767,82.875,78.783,61.115,77.441,146.34,68.61066666666666,96.984,88.651
2004-10-01,66.589,61.59,59.751,90.481,76.885,71.84533333333333,95.092,81.397,75.756,72.952,52.684,96.729,81.261,88.858,63.359,81.398,132.208,68.78433333333334,98.246,85.872
2005-01-01,56.94,58.742,58.667,90.807,72.269,67.02033333333334,93.222,78.871,76.425,69.981,52.482,98.142,79.984,77.194,60.995,77.423,118.164,67.09666666666666,94.916,80.484
2005-04-01,63.741,64.034,61.835,90.204,82.043,71.28933333333333,95.197,81.028,79.69,74.249,53.89,97.99,78.716,80.755,65.256,79.621,150.829,69.77333333333333,98.604,87.288
2005-07-01,65.546,64.398,60.778,93.684,83.54,71.35466666666666,95.766,82.412,84.539,75.383,54.294,100.082,84.255,81.739,65.803,80.603,156.18,71.19,97.262,88.661
2005-10-01,68.167,67.04,64.255,91.717,81.877,76.01033333333334,95.687,83.772,80.281,77.461,56.342,98.366,81.914,91.858,67.762,83.705,139.757,71.42666666666666,98.42,88.306
2006-01-01,59.863,66.21,64.045,94.252,77.409,71.88366666666667,94.884,81.653,81.359,75.434,56.293,99.75,86.17,79.545,66.73,79.997,121.362,70.85933333333334,95.443,84.837
