Date,Unit nonlabor cost
2019-04-01,0.294
2019-07-01,0.296
2019-10-01,0.293
2020-01-01,0.296
2020-04-01,0.257
2020-07-01,0.237
2020-10-01,0.271
2021-01-01,0.269
2021-04-01,0.26
2021-07-01,0.273
2021-10-01,0.286
2022-01-01,0.308
2022-04-01,0.315
2022-07-01,0.315
2022-10-01,0.316
2023-01-01,0.315
2023-04-01,0.313
2023-07-01,0.311
2023-10-01,0.31
2024-01-01,0.314
2024-04-01,0.311
2024-07-01,0.314
2024-10-01,0.315
