Date,"Balance on capital account, ITAs","Balance on current account, ITAs (37+43)","Balance on goods and services and primary income, ITAs (1+6+11-19-25-29)","Balance on secondary income, ITAs (15-33)","Equals: Balance on current account, NIPAs (42+46)","Equals: Capital account transactions (net), NIPAs","Equals: Current taxes and transfer payments to the rest of the world, NIPAs","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, NIPAs","Equals: Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world, net, NIPAs (18-36)","Equals: Exports of goods, NIPAs","Equals: Exports of services, NIPAs","Equals: Imports of goods, NIPAs","Equals: Imports of services, NIPAs","Equals: Income payments, NIPAs","Equals: Income receipts, NIPAs","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+10+14-24-28-32)","Exports of goods, ITAs","Exports of services, ITAs","Imports of goods, ITAs","Imports of services, ITAs",Less: Gold (2+20+22),Less: Gold (38),"Less: Gold, ITAs",Less: Other items,Less: Other items (40),Less: Other items (8),Less: Statistical differences,Less: Statistical differences (3+7+12-21-26-30),Less: Statistical differences (39+44),Plus: Adjustment for U.S. territories and Puerto Rico,Plus: Adjustment for U.S. territories and Puerto Rico (4+9+13-23-27-31),Plus: Adjustment for U.S. territories and Puerto Rico (41+45),Plus: Adjustments for U.S. territories and Puerto Rico,"Plus: Gold, NIPAs","Primary income payments, ITAs","Primary income receipts, ITAs","Secondary income payments, ITAs","Secondary income receipts, ITAs"
2019-07-01,3597.0,-440631.0,-321513.0,-119118.0,-446485.0,4045.0,311389.0,170705.0,-140684.0,1636726.0,895679.0,2519010.0,598942.0,893931.0,1173677.0,-305801.0,1647800.0,892117.0,2514451.0,592312.0,1353.0,1353.0,16263.5,0.0,0.0,0.0,0.0,0.0,0.0,9873.333333333334,17064.0,-4501.0,448.0,-5660.0,892988.0,1138322.0,284475.0,165356.0
2019-10-01,7830.0,-397832.0,-267847.0,-129985.0,-402020.0,8233.0,313129.0,161862.0,-151267.0,1637594.0,899871.0,2452962.0,597862.0,888706.0,1151312.0,-250753.0,1647643.0,896367.0,2448479.0,591745.0,-2883.0,-2883.0,20708.0,0.0,0.0,0.0,0.0,0.0,0.0,10980.777777777777,14212.0,-7070.0,403.0,-6371.0,887687.0,1116054.0,286493.0,156509.0
2020-01-01,11630.0,-402129.0,-276282.0,-125847.0,-390315.0,12066.0,318827.0,170799.0,-148028.0,1597244.0,818937.0,2376704.0,553054.0,800078.0,1071370.0,-242287.0,1602499.0,815623.0,2383981.0,547651.0,-11555.0,-11555.0,21798.0,0.0,0.0,0.0,0.0,0.0,0.0,10275.222222222223,22440.0,259.0,437.0,-5627.0,798981.0,1036209.0,291240.0,165393.0
2020-04-01,3950.0,-601442.0,-485311.0,-116131.0,-518461.0,4404.0,327926.0,167579.0,-160346.0,1139849.0,674552.0,1939160.0,411766.0,704160.0,882571.0,-358115.0,1152378.0,671362.0,2046786.0,406755.0,-117705.0,-117705.0,76375.0,0.0,0.0,0.0,0.0,0.0,0.0,10369.0,9491.0,-34724.0,454.0,-6119.0,702999.0,847490.0,278629.0,162498.0
2020-07-01,2369.0,-675715.0,-544188.0,-131528.0,-655885.0,2828.0,346251.0,176888.0,-169363.0,1415598.0,689485.0,2360495.0,440987.0,777085.0,986962.0,-486522.0,1430133.0,686351.0,2400694.0,436046.0,-36124.0,-36124.0,42523.0,0.0,0.0,0.0,0.0,0.0,0.0,10133.666666666666,21541.0,-16294.0,459.0,-6031.0,775873.0,951942.0,303139.0,171611.0
2020-10-01,4492.0,-725517.0,-598115.0,-127401.0,-726859.0,5051.0,330185.0,174827.0,-155359.0,1533898.0,734993.0,2544014.0,483185.0,828547.0,1015355.0,-571500.0,1550397.0,731848.0,2555448.0,477992.0,-7639.0,-7639.0,30684.5,0.0,0.0,0.0,0.0,0.0,0.0,10405.666666666666,18977.0,-8981.0,558.0,-4711.0,827299.0,980378.0,296757.0,169356.0
2021-01-01,9372.0,-758014.0,-631350.0,-126664.0,-779126.0,31309.0,349879.0,183049.0,-166831.0,1621831.0,759393.0,2675817.0,501164.0,867573.0,1051036.0,-612295.0,1647481.0,756170.0,2689385.0,495397.0,8401.0,8401.0,33400.0,0.0,0.0,0.0,0.0,0.0,0.0,9715.444444444445,27455.0,-12711.0,21937.0,-3429.0,866302.0,1016084.0,304106.0,177442.0
2021-04-01,2597.0,-844940.0,-722188.0,-122751.0,-862052.0,3089.0,333259.0,176297.0,-156962.0,1717748.0,787284.0,2798513.0,541601.0,925685.0,1055677.0,-705090.0,1737461.0,784023.0,2804538.0,535501.0,1867.0,1867.0,29286.0,0.0,0.0,0.0,0.0,0.0,0.0,10455.222222222223,18965.0,-15245.0,492.0,-4173.0,924387.0,1020753.0,293295.0,170544.0
2021-07-01,-12924.0,-939974.0,-779189.0,-160785.0,-945104.0,-12459.0,372688.0,180844.0,-191844.0,1752750.0,817353.0,2844179.0,614604.0,966042.0,1101463.0,-753260.0,1767138.0,814094.0,2853864.0,608411.0,589.0,589.0,24726.5,0.0,0.0,0.0,-0.6,0.0,0.0,9906.111111111111,26518.0,-4541.0,458.0,-6407.0,964715.0,1066569.0,335781.0,174996.0
2021-10-01,6648.0,-928992.0,-783319.0,-145673.0,-931247.0,7110.0,356080.0,183697.0,-172384.0,1896638.0,868722.0,3039905.0,646051.0,963991.0,1125724.0,-758863.0,1911332.0,865507.0,3048383.0,640005.0,-6735.0,-6735.0,27011.5,0.0,0.0,0.0,0.0,0.0,0.0,10327.444444444445,17721.0,-8990.0,462.0,-4792.0,962632.0,1090863.0,323458.0,177785.0
2022-01-01,5467.0,-1167275.0,-1013976.0,-153299.0,-1139579.0,5913.0,363172.0,182987.0,-180185.0,1949274.0,899424.0,3253590.0,672152.0,1009314.0,1126965.0,-959393.0,1958513.0,896293.0,3286507.0,666495.0,-27592.0,-27592.0,34666.0,0.0,0.0,0.0,0.0,0.0,0.0,9969.555555555555,26991.0,105.0,446.0,-5678.0,1007920.0,1092139.0,330354.0,177055.0
2022-04-01,9849.0,-1052398.0,-875765.0,-176633.0,-1065386.0,10768.0,390086.0,185838.0,-204248.0,2121470.0,950081.0,3374253.0,719410.0,1033196.0,1194170.0,-861138.0,2144807.0,946945.0,3381123.0,714013.0,11285.0,11285.0,30740.5,0.0,0.0,0.0,0.0,0.0,0.0,10065.111111111111,25912.0,-1703.0,919.0,-2814.0,1031763.0,1159382.0,356599.0,179966.0
2022-07-01,-25087.0,-922115.0,-699824.0,-222291.0,-959809.0,-24646.0,437902.0,187426.0,-250476.0,2140505.0,962045.0,3245385.0,743062.0,1080929.0,1257494.0,-709333.0,2185710.0,958815.0,3249842.0,737796.0,41254.0,41254.0,39008.5,0.0,0.0,0.0,0.0,0.0,0.0,10017.222222222223,31745.0,3559.0,441.0,-5243.0,1079454.0,1222744.0,403799.0,181508.0
2022-10-01,10494.0,-906603.0,-725647.0,-180956.0,-918981.0,11387.0,432077.0,221884.0,-210193.0,2049095.0,997622.0,3154898.0,742504.0,1156238.0,1298136.0,-708788.0,2072328.0,994209.0,3163652.0,737242.0,15232.0,15232.0,29349.5,0.0,0.0,0.0,0.0,0.0,0.0,9714.333333333334,32091.0,2854.0,893.0,-4548.0,1154718.0,1263427.0,397209.0,216253.0
2023-01-01,10080.0,-921321.0,-736236.0,-185084.0,-929295.0,10551.0,410364.0,194652.0,-215712.0,2059612.0,1000951.0,3135754.0,738456.0,1246994.0,1347060.0,-713583.0,2073263.0,997265.0,3140666.0,733068.0,8250.0,8250.0,25977.0,0.0,0.0,0.0,0.0,0.0,0.0,10255.777777777777,30904.0,276.0,472.0,-1744.0,1245424.0,1312393.0,373807.0,188723.0
2023-04-01,4245.0,-930411.0,-742806.0,-187606.0,-917605.0,4766.0,422599.0,203741.0,-218858.0,1968135.0,1027389.0,3051478.0,747525.0,1283769.0,1388501.0,-698747.0,1988153.0,1023500.0,3084121.0,742043.0,-15394.0,-15394.0,41284.5,0.0,0.0,0.0,0.0,0.0,0.0,9859.888888888889,28665.0,-2588.0,521.0,-1262.0,1282162.0,1353867.0,385369.0,197764.0
2023-07-01,3976.0,-882635.0,-678323.0,-204313.0,-916312.0,4531.0,432589.0,196866.0,-235723.0,2025727.0,1036314.0,3090773.0,752359.0,1355160.0,1455661.0,-680590.0,2063993.0,1032288.0,3095309.0,746814.0,17838.0,17838.0,39298.5,0.0,0.0,0.0,0.0,0.0,0.0,10939.555555555555,15572.0,-15839.0,556.0,-4772.0,1353528.0,1421047.0,395142.0,190830.0
2023-10-01,6980.0,-887136.0,-714081.0,-173056.0,-900327.0,7492.0,419401.0,215344.0,-204057.0,2034325.0,1057422.0,3106456.0,776443.0,1359298.0,1454180.0,-696270.0,2055474.0,1053329.0,3113940.0,770867.0,3481.0,3481.0,32170.0,0.0,0.0,0.0,0.0,0.0,0.0,10941.555555555555,21292.0,-9710.0,513.0,-4697.0,1357654.0,1419577.0,382323.0,209267.0
2024-01-01,7250.0,-970844.0,-792793.0,-178050.0,-972742.0,7964.0,418188.0,204824.0,-213365.0,2036985.0,1088436.0,3170090.0,796899.0,1410835.0,1493026.0,-759377.0,2068828.0,1074687.0,3183070.0,779433.0,20173.0,20173.0,30244.5,0.0,0.0,0.0,-2346.1,-24037.0,-20264.0,10201.0,29552.0,-1989.0,518.0,-5806.0,1412137.0,1438331.0,378377.0,200327.0
2024-04-01,5887.0,-1106757.0,-922715.0,-184042.0,-1061336.0,6613.0,415598.0,201232.0,-214366.0,2053382.0,1100940.0,3252837.0,808355.0,1444069.0,1503970.0,-846970.0,2067307.0,1089017.0,3262447.0,800742.0,3295.0,3295.0,23463.0,0.0,0.0,0.0,206.5,-51808.0,-52967.0,10804.555555555555,27232.0,-4251.0,550.0,-5681.0,1460373.0,1444524.0,383648.0,199607.0
2024-07-01,6615.0,-1241116.0,-1000608.0,-240508.0,-1210094.0,7346.0,481708.0,202147.0,-279561.0,2088309.0,1131982.0,3331796.0,832180.0,1428894.0,1442045.0,-930533.0,2120076.0,1117518.0,3358334.0,824637.0,2016.0,2016.0,35865.0,0.0,0.0,0.0,1168.4,-49604.0,-43658.0,9507.666666666666,22487.0,-10619.0,544.0,-4146.0,1446112.0,1390881.0,442567.0,202059.0
2024-10-01,-40822.0,-1215769.0,-990784.0,-224986.0,-1106398.0,-39092.0,468814.0,204872.0,-263942.0,2058016.0,1162913.0,3289436.0,851577.0,1438615.0,1516244.0,-842455.0,2076778.0,1148211.0,3381092.0,844007.0,-47537.0,-47537.0,62640.0,0.0,0.0,0.0,1168.4,-49604.0,-43658.0,9813.666666666666,51187.0,18177.0,1544.0,-5108.0,1455789.0,1465115.0,429729.0,204744.0
