Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Dividends,Excise taxes,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Gross government investment,Income receipts on assets,Income taxes,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net lending or net borrowing (-),Net purchases of nonproduced assets,Net state and local government saving,Other,Personal current taxes,Property taxes,Rents and royalties,Sales taxes,Social insurance funds,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world,Total expenditures,Total receipts
2015-07-01,0.0,72177.0,1664818.0,19289.0,2605435.0,2356093.0,-1753.0,1601009.0,670178.0,0.0,657096.0,5403.0,181621.0,530419.0,49662.0,76928.0,86.0,670178.0,366338.0,80453.0,374159.0,269923.0,64046.0,253703.0,-301842.0,12043.0,-249342.0,-43664.666666666664,407415.0,491259.0,11004.0,376200.0,3870.0,516.0,55551.0,1138042.0,267421.0,2502.0,2730112.0,2428270.0
2015-10-01,0.0,69864.0,1668487.0,19548.0,2614026.0,2454733.0,-1496.0,1611567.0,671487.0,0.0,744148.0,5387.0,180949.0,548189.0,118670.0,77188.0,102.0,671487.0,359571.0,80966.0,379708.0,273530.0,64681.0,254562.0,-206633.0,12195.0,-159292.0,-13583.0,413181.0,496053.0,10898.0,378449.0,4128.0,521.0,53736.0,1144650.0,271066.0,2464.0,2731230.0,2524597.0
2016-01-01,0.0,71622.0,1667377.0,19822.0,2625218.0,2380342.0,-1447.0,1604823.0,679936.0,0.0,675594.0,5810.0,184098.0,544412.0,54061.0,77037.0,84.0,679936.0,373115.0,81550.0,364747.0,277379.0,64865.0,255142.0,-303689.0,12463.0,-244876.0,-41772.666666666664,398523.0,501318.0,10875.0,377465.0,4363.0,526.0,53275.0,1153026.0,275000.0,2379.0,2755654.0,2451964.0
2016-04-01,0.0,72441.0,1687274.0,19976.0,2657425.0,2396033.0,-2168.0,1620559.0,688496.0,0.0,675896.0,5587.0,183263.0,546577.0,52156.0,77078.0,85.0,688496.0,372309.0,81770.0,373339.0,281124.0,65349.0,258254.0,-315746.0,12740.0,-261392.0,-47080.333333333336,407271.0,507040.0,10834.0,379784.0,4580.0,531.0,52402.0,1160886.0,278241.0,2884.0,2784221.0,2468475.0
2016-07-01,0.0,73769.0,1701195.0,20047.0,2683591.0,2446061.0,-3182.0,1655165.0,697239.0,0.0,691522.0,5646.0,186461.0,562842.0,51266.0,77309.0,105.0,697239.0,372677.0,82508.0,384683.0,284620.0,66089.0,259753.0,-289711.0,13026.0,-237530.0,-38216.666666666664,418734.0,513219.0,10774.0,390234.0,4814.0,536.0,52873.0,1183558.0,281644.0,2976.0,2809540.0,2519830.0
2016-10-01,0.0,72124.0,1708386.0,19995.0,2703444.0,2478605.0,-4576.0,1662829.0,706565.0,0.0,716908.0,5754.0,186820.0,573117.0,65991.0,77731.0,69.0,706565.0,380378.0,83450.0,384204.0,287951.0,67000.0,262184.0,-284229.0,13320.0,-224838.0,-33785.0,418695.0,519855.0,10695.0,389261.0,5026.0,541.0,54179.0,1189955.0,284500.0,3452.0,2834958.0,2550729.0
2017-01-01,0.0,72329.0,1720530.0,19833.0,2717205.0,2478442.0,-6608.0,1688771.0,705057.0,0.0,691678.0,5710.0,190030.0,562802.0,50430.0,78345.0,101.0,705057.0,383476.0,84769.0,389658.0,291071.0,68460.0,265130.0,-298389.0,13610.0,-238762.0,-37582.333333333336,424262.0,526948.0,10599.0,395799.0,5180.0,547.0,55141.0,1209368.0,287924.0,3147.0,2849160.0,2550771.0
2017-04-01,0.0,74595.0,1721958.0,19751.0,2717084.0,2458254.0,-7629.0,1687784.0,702281.0,0.0,672091.0,5777.0,192175.0,542417.0,50360.0,79175.0,138.0,702281.0,388631.0,86257.0,377673.0,292293.0,69872.0,267906.0,-318973.0,14013.0,-258830.0,-44373.0,412179.0,533097.0,10609.0,399985.0,5303.0,552.0,53840.0,1221766.0,289259.0,3034.0,2851821.0,2532848.0
2017-07-01,4920.0,76606.0,1739189.0,19797.0,2749245.0,2520247.0,-7839.0,1726238.0,717956.0,0.0,694056.0,5960.0,194591.0,562859.0,50783.0,80223.0,191.0,717956.0,395115.0,87996.0,396325.0,291543.0,71310.0,271390.0,-295568.0,14531.0,-228998.0,-33970.666666666664,431851.0,538302.0,10726.0,410267.0,5461.0,557.0,54206.0,1240181.0,288257.0,3286.0,2892422.0,2596853.0
2017-10-01,0.0,71011.0,1767174.0,19986.0,2769944.0,2597166.0,-7255.0,1788011.0,713318.0,0.0,706934.0,5935.0,201398.0,573569.0,51697.0,81488.0,180.0,713318.0,408273.0,89490.0,439268.0,288888.0,72606.0,274432.0,-250771.0,15164.0,-172777.0,-14238.333333333334,474629.0,542562.0,10950.0,414504.0,5670.0,563.0,54548.0,1258834.0,285443.0,3445.0,2918949.0,2668177.0
2018-01-01,0.0,70502.0,1788950.0,20194.0,2794337.0,2628373.0,-6260.0,1802373.0,720746.0,0.0,721087.0,5858.0,203588.0,581984.0,53288.0,83371.0,2444.0,720746.0,408733.0,90979.0,436750.0,284074.0,73999.0,278571.0,-241475.0,15851.0,-165964.0,-9453.333333333334,474285.0,545406.0,11122.0,418735.0,5424.0,568.0,54867.0,1273222.0,280553.0,3521.0,2940351.0,2698876.0
2018-04-01,0.0,71332.0,1812007.0,20353.0,2828336.0,2619253.0,-6642.0,1796563.0,732866.0,0.0,716099.0,6159.0,205055.0,576733.0,54304.0,84627.0,435.0,732866.0,423981.0,92880.0,413549.0,282889.0,75339.0,283666.0,-294464.0,16397.0,-209083.0,-23596.0,450890.0,550210.0,11382.0,423925.0,5114.0,574.0,60415.0,1285258.0,279173.0,3716.0,2985049.0,2690585.0
2018-07-01,0.0,79003.0,1840031.0,20550.0,2863374.0,2651358.0,-8051.0,1822208.0,737314.0,0.0,722463.0,6196.0,205595.0,581442.0,55048.0,85781.0,192.0,737314.0,427145.0,94188.0,423174.0,285449.0,76415.0,287119.0,-289798.0,16758.0,-212016.0,-23930.0,460449.0,556974.0,11576.0,429827.0,4814.0,580.0,61598.0,1300160.0,281671.0,3778.0,3020159.0,2730361.0
2018-10-01,0.0,71647.0,1860269.0,20619.0,2886071.0,2673674.0,-10688.0,1833377.0,733557.0,0.0,735452.0,5807.0,208312.0,590117.0,55520.0,86832.0,2982.0,733557.0,415226.0,94914.0,416367.0,291659.0,77402.0,291254.0,-281656.0,16934.0,-212397.0,-23559.0,453824.0,565698.0,11705.0,433291.0,4355.0,585.0,63634.0,1315918.0,287979.0,3681.0,3026977.0,2745321.0
2019-01-01,0.0,72745.0,1869796.0,20825.0,2916520.0,2716820.0,-14418.0,1878828.0,744338.0,0.0,735218.0,6517.0,210133.0,591241.0,55516.0,87635.0,826.0,744338.0,429954.0,96365.0,435643.0,301795.0,78018.0,293900.0,-279515.0,16505.0,-199700.0,-19380.333333333332,473515.0,577295.0,11830.0,438400.0,3982.0,591.0,71816.0,1333497.0,298240.0,3556.0,3069079.0,2789564.0
2019-04-01,0.0,72636.0,1906341.0,20751.0,2976827.0,2818873.0,-15706.0,1958878.0,762279.0,0.0,758388.0,6461.0,212831.0,610686.0,55742.0,88389.0,3570.0,762279.0,446866.0,96562.0,493019.0,307611.0,78308.0,298147.0,-250370.0,16332.0,-157954.0,-4833.333333333333,531032.0,586473.0,11793.0,442829.0,3447.0,597.0,76825.0,1351022.0,304076.0,3535.0,3141879.0,2891509.0
2019-07-01,0.0,76037.0,1940810.0,20600.0,3022679.0,2804835.0,-14128.0,1946395.0,772242.0,0.0,755456.0,6328.0,213530.0,608834.0,56156.0,89095.0,1372.0,772242.0,447143.0,96512.0,457156.0,309025.0,78590.0,300908.0,-304289.0,16248.0,-217845.0,-24572.666666666668,495550.0,593232.0,11594.0,461300.0,2975.0,602.0,74075.0,1376769.0,305105.0,3920.0,3185161.0,2880872.0
2019-10-01,0.0,77935.0,1982309.0,20452.0,3061029.0,2813331.0,-9775.0,1933920.0,772073.0,0.0,771984.0,6730.0,215970.0,625015.0,56758.0,89752.0,459.0,772073.0,442764.0,96750.0,451666.0,306038.0,78788.0,302855.0,-325924.0,16252.0,-247698.0,-34195.0,490060.0,597571.0,11233.0,450671.0,2644.0,608.0,70285.0,1373575.0,302047.0,3991.0,3217189.0,2891265.0
2020-01-01,0.0,81461.0,2025773.0,20268.0,3085828.0,2824067.0,-5294.0,1930040.0,760844.0,0.0,783209.0,6309.0,210933.0,635027.0,57548.0,90360.0,274.0,760844.0,457960.0,95843.0,454025.0,298597.0,78825.0,305068.0,-349537.0,16344.0,-261762.0,-37961.0,492502.0,599491.0,10710.0,450833.0,2421.0,614.0,64460.0,1373078.0,294211.0,4386.0,3255065.0,2905528.0
2020-04-01,0.0,85606.0,2006999.0,19291.0,3112070.0,3486369.0,-6611.0,1840357.0,811341.0,0.0,1537884.0,6275.0,186650.0,1386999.0,58224.0,91519.0,1142.0,811341.0,451249.0,95448.0,448856.0,293110.0,78589.0,305870.0,298167.0,16359.0,374298.0,169582.33333333334,485213.0,603299.0,10584.0,399359.0,1323.0,620.0,66420.0,1288723.0,289714.0,3396.0,3273808.0,3571975.0
2020-07-01,0.0,85812.0,2026548.0,19883.0,3167265.0,2971936.0,-12458.0,1983256.0,850300.0,0.0,887115.0,5861.0,210634.0,734864.0,58785.0,93229.0,237.0,850300.0,448519.0,94140.0,470696.0,289790.0,77423.0,310315.0,-264018.0,16297.0,-195329.0,-15005.0,511598.0,608995.0,10856.0,459406.0,1717.0,627.0,81493.0,1390165.0,286305.0,3486.0,3321766.0,3057748.0
2020-10-01,0.0,82291.0,2034935.0,20618.0,3164158.0,3041985.0,-8584.0,2022470.0,840318.0,0.0,913496.0,6417.0,210688.0,757900.0,59831.0,95491.0,274.0,840318.0,454501.0,93986.0,485545.0,288272.0,76043.0,313546.0,-196993.0,16156.0,-122172.0,11167.666666666666,528388.0,616579.0,11525.0,469420.0,2179.0,633.0,82384.0,1411698.0,284750.0,3522.0,3321269.0,3124276.0
2021-01-01,0.0,80169.0,2082690.0,21255.0,3243859.0,3113784.0,-18189.0,2078285.0,869687.0,0.0,939273.0,6455.0,212696.0,777685.0,61854.0,98303.0,1431.0,869687.0,451503.0,93159.0,515547.0,288942.0,74111.0,319552.0,-197796.0,15939.0,-130075.0,10599.0,558994.0,626052.0,12592.0,476520.0,2466.0,2540.0,83133.0,1436159.0,285366.0,3576.0,3391749.0,3193953.0
2021-04-01,0.0,81589.0,2126687.0,22007.0,3333948.0,4099425.0,-21503.0,2204130.0,913844.0,0.0,1802480.0,6285.0,226227.0,1640769.0,60239.0,101019.0,453.0,913844.0,445922.0,92311.0,540403.0,284803.0,72382.0,328486.0,713913.0,15717.0,765476.0,312383.0,586121.0,635205.0,13644.0,534017.0,2872.0,8614.0,93733.0,1524275.0,281506.0,3297.0,3467101.0,4181014.0
2021-07-01,0.0,90621.0,2184732.0,22630.0,3384887.0,3580516.0,-18836.0,2234105.0,923785.0,0.0,1250860.0,6152.0,231663.0,1085583.0,61262.0,103638.0,378.0,923785.0,444279.0,91757.0,530542.0,275718.0,70925.0,337102.0,163584.0,15490.0,195630.0,123107.33333333333,576430.0,644037.0,14680.0,531685.0,3154.0,652.0,119330.0,1538344.0,272061.0,3657.0,3507553.0,3671137.0
2021-10-01,0.0,80440.0,2215923.0,23123.0,3402044.0,3552458.0,-14149.0,2346389.0,923471.0,0.0,1105255.0,6499.0,233001.0,936319.0,62631.0,106160.0,146.0,923471.0,449459.0,91838.0,552518.0,261994.0,69638.0,347868.0,114004.0,15259.0,150414.0,113393.66666666667,599061.0,652550.0,15701.0,547173.0,3312.0,657.0,168067.0,1579262.0,258277.0,3717.0,3518893.0,3632897.0
2022-01-01,0.0,82814.0,2261769.0,23366.0,3479482.0,3643889.0,-8283.0,2432777.0,973581.0,0.0,1103470.0,7021.0,233981.0,929992.0,64346.0,108585.0,546.0,973581.0,464355.0,92560.0,611137.0,243471.0,68831.0,359505.0,127349.0,15023.0,164407.0,118129.0,656685.0,660743.0,16707.0,562937.0,3202.0,661.0,170796.0,1605296.0,239590.0,3882.0,3599354.0,3726703.0
2022-04-01,0.0,539203.0,2343565.0,23128.0,3589088.0,3742121.0,-9332.0,2494838.0,1010514.0,0.0,1140748.0,6486.0,236827.0,951381.0,78620.0,110518.0,229.0,1010514.0,471971.0,92738.0,647267.0,234342.0,68777.0,372614.0,577959.0,14921.0,153033.0,116428.33333333333,693051.0,670391.0,17475.0,583944.0,2585.0,666.0,157573.0,1644214.0,230452.0,3890.0,3703365.0,4281324.0
2022-07-01,10000.0,164225.0,2354337.0,22675.0,3621993.0,3666750.0,-13030.0,2423831.0,1032561.0,0.0,1139479.0,6222.0,239202.0,956386.0,70788.0,111958.0,348.0,1032561.0,484333.0,93795.0,549553.0,234425.0,69569.0,382138.0,81836.0,14952.0,44757.0,82448.33333333333,596619.0,681494.0,18003.0,590228.0,1705.0,670.0,159061.0,1668151.0,230732.0,3693.0,3749140.0,3830976.0
2022-10-01,0.0,143314.0,2374985.0,21846.0,3716486.0,3707586.0,-20209.0,2446637.0,1096553.0,0.0,1163912.0,6523.0,243623.0,955394.0,68048.0,112905.0,27566.0,1096553.0,495604.0,95399.0,559747.0,244273.0,70584.0,388672.0,12366.0,15117.0,-8900.0,63162.0,607557.0,694052.0,18293.0,588239.0,400.0,675.0,162190.0,1676890.0,240864.0,3409.0,3838534.0,3850900.0
2023-01-01,0.0,89202.0,2383306.0,20758.0,3731694.0,3686736.0,-25857.0,2434366.0,1083243.0,0.0,1160605.0,7070.0,247970.0,977728.0,68801.0,113359.0,717.0,1083243.0,509659.0,96864.0,528649.0,264465.0,71451.0,395023.0,-85807.0,15415.0,-44958.0,50996.333333333336,577951.0,708065.0,18343.0,594247.0,-1173.0,680.0,158661.0,1697754.0,260916.0,3549.0,3861745.0,3775938.0
2023-04-01,0.0,97137.0,2374728.0,20549.0,3763908.0,3694074.0,-29845.0,2453498.0,1111145.0,0.0,1151502.0,7210.0,251852.0,967919.0,69448.0,113945.0,191.0,1111145.0,529392.0,98369.0,531134.0,277350.0,72735.0,397060.0,-120638.0,15609.0,-69834.0,42100.0,581630.0,721783.0,18424.0,591934.0,-1770.0,685.0,162432.0,1709437.0,273549.0,3801.0,3911848.0,3791211.0
2023-07-01,0.0,100522.0,2422369.0,21224.0,3775609.0,3682816.0,-31913.0,2495358.0,1069418.0,0.0,1100550.0,6577.0,250750.0,915623.0,69989.0,114662.0,276.0,1069418.0,553157.0,97597.0,553984.0,283130.0,72488.0,399715.0,-161413.0,15699.0,-92793.0,34813.333333333336,605515.0,735207.0,18533.0,593646.0,-1349.0,691.0,165887.0,1723956.0,279400.0,3731.0,3944750.0,3783337.0
2023-10-01,0.0,98317.0,2434696.0,22754.0,3778085.0,3739387.0,-32014.0,2523267.0,1060964.0,0.0,1127467.0,6855.0,251524.0,941356.0,70424.0,115511.0,177.0,1060964.0,584276.0,97913.0,559182.0,281729.0,72386.0,402793.0,-137548.0,15684.0,-38698.0,54205.0,612053.0,748336.0,18672.0,595975.0,62.0,697.0,166874.0,1744340.0,278239.0,3490.0,3975252.0,3837704.0
2024-01-01,0.0,99987.0,2472667.0,24970.0,3860326.0,3806549.0,-32175.0,2540689.0,1113491.0,0.0,1175259.0,6980.0,257736.0,941038.0,117349.0,116491.0,381.0,1113491.0,598035.0,97806.0,552867.0,273464.0,71987.0,406737.0,-160653.0,15565.0,-53777.0,49756.0,609526.0,759585.0,18840.0,594824.0,2257.0,703.0,170375.0,1760788.0,269791.0,3673.0,4067189.0,3906536.0
2024-04-01,0.0,102094.0,2495742.0,26656.0,3899768.0,3806227.0,-32182.0,2576359.0,1136939.0,0.0,1138174.0,6865.0,260298.0,949107.0,71210.0,117622.0,235.0,1136939.0,605120.0,97220.0,571560.0,266378.0,71357.0,409253.0,-202776.0,15462.0,-93541.0,36732.333333333336,630018.0,772986.0,18998.0,599941.0,3839.0,708.0,163997.0,1782344.0,262624.0,3754.0,4111097.0,3908321.0
2024-07-01,4000.0,111107.0,2524970.0,27523.0,3940078.0,3883336.0,-31960.0,2612597.0,1154011.0,0.0,1178145.0,6741.0,260196.0,981614.0,77395.0,118903.0,233.0,1154011.0,616592.0,97032.0,595821.0,260384.0,71144.0,414453.0,-167146.0,15373.0,-56741.0,49769.666666666664,655526.0,787702.0,19147.0,595771.0,4480.0,713.0,162575.0,1794495.0,256845.0,3539.0,4161589.0,3994443.0
2024-10-01,10000.0,200822.0,2549938.0,27613.0,3969058.0,3923142.0,-31986.0,2656305.0,1162503.0,0.0,1174105.0,6860.0,264494.0,981094.0,72509.0,120334.0,167.0,1162503.0,625089.0,97105.0,610903.0,255899.0,70958.0,418066.0,-77416.0,15298.0,-45916.0,52887.333333333336,670460.0,801694.0,19287.0,606249.0,4225.0,718.0,164163.0,1821682.0,252299.0,3600.0,4201380.0,4123964.0
