Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Gross domestic purchases excluding final sales of computers to domestic purchasers,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1960-04-01,-19.4,5.933333333333334,,3.4,-6.5,-2.1,,,-2.5,,,5.9,13.3,4.8,-9.3
1960-07-01,5.0,-0.06666666666666665,,0.8,2.5,2.0,,,1.8,,,0.5,8.2,2.2,-0.8
1960-10-01,-26.4,-2.6,,1.7,-16.5,-5.0,,,-5.3,,,-7.7,6.7,4.7,6.6
1961-01-01,-9.6,-1.2666666666666666,,0.7,3.6,2.7,,,2.6,,,14.7,9.1,0.5,8.3
1961-04-01,26.1,4.666666666666667,,3.8,12.0,7.0,,,6.8,,,2.5,12.2,6.7,-9.4
1961-07-01,30.9,4.066666666666666,,4.5,11.7,7.9,,,7.8,,,-1.6,10.6,3.5,11.6
1961-10-01,12.7,10.799999999999999,,9.1,8.1,8.1,,,8.1,,,4.4,9.1,6.8,13.3
1962-01-01,17.6,5.133333333333334,,5.0,10.3,7.3,,,7.3,,,4.4,7.8,5.9,1.8
1962-04-01,-2.4,5.366666666666666,,6.1,-0.1,3.7,,,3.5,,,2.0,11.2,5.8,10.5
1962-07-01,14.1,4.133333333333333,,4.4,5.3,5.0,,,4.8,,,-1.7,12.2,5.4,2.3
1962-10-01,-5.5,3.0,,3.1,-1.1,1.3,,,1.0,,,2.8,14.6,4.4,-1.1
1963-01-01,9.9,4.0,,1.9,10.0,4.4,,,4.1,,,10.0,17.5,-0.5,3.8
1963-04-01,10.5,6.766666666666667,,6.3,2.6,4.6,,,4.3,,,-3.8,15.3,2.9,19.5
1963-07-01,11.5,7.266666666666666,,8.7,8.0,9.1,,,9.0,,,5.0,12.5,9.5,11.3
1963-10-01,3.4,5.166666666666667,,3.8,2.4,2.6,,,2.5,,,1.5,8.9,2.8,3.0
1964-01-01,18.9,10.4,,8.5,10.9,8.7,,,8.7,,,4.0,7.3,4.6,17.3
1964-04-01,5.4,6.3999999999999995,,4.6,6.0,4.4,,,4.3,,,6.7,7.6,4.7,-2.2
1964-07-01,14.1,9.133333333333333,,5.9,10.2,6.4,,,6.4,,,6.7,7.0,4.1,1.4
1964-10-01,-4.1,-0.23333333333333336,,1.2,-0.1,1.2,,,1.1,,,3.9,7.0,3.5,-2.4
1965-01-01,38.0,10.2,,6.4,18.2,10.0,,,10.1,,,2.0,8.5,3.5,6.1
