Date,Economic affairs,Education,Elementary and secondary,Federal,General public service,Government,Gross expenditures,Health,Health (net),Higher,Housing and community services,Income security,Less: Sales to other sectors,Libraries and other,National defense,Other economic affairs,Public order and safety,Recreation and culture,Space,State and local,Transportation
1959-01-01,38.992333333333335,21.279666666666667,26.534,45.209,20.875666666666664,34.022,15.204,10.2095,22.699,9.214,38.964,12.488999999999999,9.091,19.883,64.918,44.048333333333325,13.881,24.704666666666668,6.111,24.951,38.69866666666667
1960-01-01,37.484,21.77033333333333,28.309,44.469,22.367666666666665,34.237,15.543,10.862,23.937,9.643,42.86933333333334,11.607999999999999,8.434,20.978,64.43,37.97466666666667,14.562666666666667,27.743333333333336,14.775,26.035,40.02533333333333
1961-01-01,39.29033333333333,23.352999999999998,29.671,46.668,23.082000000000004,36.092,16.311,11.367999999999999,25.349,10.592,52.782000000000004,15.794000000000002,8.598,22.802,67.715,37.568999999999996,15.133666666666665,29.828333333333333,23.974,27.632,42.357
1962-01-01,43.727,25.241666666666664,30.394,50.871,24.572333333333333,38.459,16.926,11.7025,25.267,11.07,62.53333333333333,18.30666666666667,10.067,24.138,72.261,40.227666666666664,15.378666666666666,32.18366666666667,43.291,28.441,43.77
1963-01-01,48.625,27.748333333333335,32.159,50.999,25.398,39.393,17.77,12.1455,26.601,12.761,64.553,17.875333333333334,10.489,27.241,70.71,39.285333333333334,15.964333333333334,35.341,81.2,30.099,46.071
1964-01-01,53.09166666666667,30.021666666666665,34.394,50.809,26.125666666666664,40.361,19.003,12.8525,28.298,13.66,66.02633333333334,16.952,11.375,30.379,68.496,42.66966666666667,16.874,34.027,109.027,32.108,46.43033333333333
1965-01-01,56.946333333333335,31.94666666666667,36.907,51.192,28.201666666666668,41.654,20.31,12.544,29.401,15.133,63.852000000000004,21.436333333333334,13.04,35.854,67.572,44.73233333333334,17.633,36.25533333333333,131.497,34.234,48.121
1966-01-01,58.354000000000006,41.153,39.696,56.631,27.99466666666667,45.282,21.388,14.003,29.829,17.724,69.00633333333333,24.233999999999998,14.928,42.745,76.283,42.42766666666667,18.362333333333336,37.428999999999995,140.751,36.359,50.501666666666665
1967-01-01,59.565333333333335,44.23,41.269,62.376,27.78533333333333,48.876,23.104,15.522499999999999,31.456,19.786,78.239,26.413999999999998,16.938,49.233,85.852,49.63133333333334,19.076333333333334,39.666333333333334,120.905,38.176,51.774
1968-01-01,61.33033333333333,42.87633333333333,42.732,63.322,29.265666666666664,50.538,25.432,17.381,33.555,21.37,68.77666666666666,23.116,19.763,52.783,87.199,53.584666666666664,20.703333333333333,44.07266666666666,110.872,40.462,53.16466666666667
1969-01-01,61.522999999999996,41.437666666666665,44.099,61.736,33.653333333333336,50.585,26.9,18.261499999999998,35.927,22.974,64.38333333333333,25.53033333333333,20.452,57.467,83.546,57.46266666666667,21.692333333333334,49.131,98.811,41.867,53.294000000000004
1970-01-01,59.871333333333325,44.67600000000001,45.148,57.928,35.943999999999996,49.516,28.606,19.6785,39.074,24.822,74.96933333333334,27.506333333333334,20.853,63.728,76.681,56.133,22.979,48.51333333333333,90.95,43.047,53.99
1971-01-01,60.458666666666666,46.028333333333336,46.833,54.224,39.571333333333335,48.585,31.336,20.3655,41.393,25.463,92.14033333333333,28.911666666666665,24.315,67.557,68.874,58.846,24.501666666666665,49.15833333333333,86.135,44.397,53.961333333333336
1972-01-01,61.217000000000006,45.99666666666667,48.028,52.49,42.36233333333333,48.329,32.322,22.732,40.111,26.641,83.61233333333332,33.934333333333335,27.876,70.993,64.078,61.73933333333333,26.12,51.35833333333333,82.296,45.375,54.481
1973-01-01,60.093333333333334,46.448,49.163,50.642,44.20633333333333,48.174,33.54,24.273,39.854,28.631,88.34033333333333,35.349333333333334,30.884,71.24,60.841,62.29633333333334,27.03533333333333,52.82266666666666,75.856,46.655,53.82366666666667
1974-01-01,59.339,43.79933333333333,51.173,50.962,48.467999999999996,49.233,35.491,25.4405,43.003,29.904,86.29566666666666,43.23566666666667,31.752,75.239,60.231,64.49566666666666,28.511,58.803333333333335,74.603,48.346,52.25666666666667
1975-01-01,60.655,47.44233333333333,53.83,51.231,50.656666666666666,50.316,35.915,26.9345,43.128,30.038,81.426,42.40166666666667,32.562,80.561,59.625,67.27733333333335,29.78,63.419000000000004,73.631,50.111,52.089
1976-01-01,61.373,46.910666666666664,54.391,51.304,50.254999999999995,50.578,36.53,27.384,42.525,30.525,79.55799999999999,45.517,34.555,79.941,59.278,70.72966666666666,30.631,63.779666666666664,70.647,50.533,51.955999999999996
1977-01-01,63.306666666666665,46.84466666666666,54.602,52.397,51.952,51.188,37.299,27.6265,43.503,30.467,72.23100000000001,49.693000000000005,35.198,77.316,59.845,74.98866666666667,30.936666666666667,63.729666666666674,68.824,50.748,52.91133333333334
1978-01-01,69.29533333333333,46.605333333333334,55.506,53.637,51.717666666666666,52.656,38.693,29.07,43.997,30.838,73.324,49.61833333333334,37.673,76.809,60.223,85.741,31.53033333333333,65.99333333333334,65.867,52.421,56.779666666666664
1979-01-01,71.718,46.72966666666667,55.724,54.819,52.38733333333334,53.603,40.446,29.194499999999998,44.539,30.389,69.58133333333333,50.55433333333334,40.822,75.425,61.734,87.552,32.68866666666667,64.55166666666666,65.652,53.184,59.841
1980-01-01,73.04966666666667,46.67933333333334,54.795,57.114,52.631,54.573,41.961,31.4045,47.513,30.271,77.252,51.99766666666667,41.126,73.823,63.961,91.06266666666666,33.22,62.105999999999995,68.234,53.083,59.44833333333333
1981-01-01,73.30633333333334,46.699999999999996,53.516,59.669,49.74266666666667,55.101,43.143,31.338499999999996,47.323,31.224,75.82633333333332,48.851,43.631,70.836,67.9,96.47233333333334,33.541333333333334,59.87033333333333,69.188,51.978,56.14566666666667
1982-01-01,70.036,45.727666666666664,53.044,61.82,51.51266666666667,56.091,44.686,31.2335,49.416,31.968,68.64666666666666,47.56833333333333,44.872,68.835,72.629,91.22666666666667,35.01166666666666,58.09166666666667,68.064,52.043,54.49
1983-01-01,72.32533333333333,47.60366666666667,54.104,65.687,52.48499999999999,58.185,44.091,33.0435,46.424,32.427,67.86666666666666,48.472,45.976,66.997,77.645,90.97966666666666,35.766,55.010333333333335,70.887,52.732,58.416666666666664
1984-01-01,72.95766666666667,49.898,55.406,67.76,53.022333333333336,60.228,44.425,35.058,48.918,33.203,71.146,49.766,44.862,68.662,81.534,85.76400000000001,37.083,56.36333333333334,70.233,54.77,62.952333333333335
1985-01-01,77.95233333333333,50.39033333333333,57.578,72.973,58.15966666666666,64.247,45.99,36.3,51.485,35.671,73.802,50.010333333333335,45.892,71.373,88.432,93.62133333333334,39.065666666666665,58.76833333333334,72.697,57.875,66.03533333333333
1986-01-01,80.202,52.69233333333333,60.622,77.24,61.80533333333333,67.735,47.201,37.43,52.852,37.677,87.18366666666667,49.00366666666667,47.094,73.611,94.526,97.48766666666666,41.20666666666667,60.574333333333335,71.096,60.78,66.91433333333333
1987-01-01,78.50933333333334,53.66766666666666,61.8,80.071,64.62966666666667,69.701,48.506,39.5025,56.387,37.131,85.06766666666665,50.28066666666666,47.156,76.12,99.185,91.86333333333333,43.24033333333333,60.99933333333333,75.797,62.1,67.278
1988-01-01,75.67633333333333,55.224333333333334,65.035,78.876,63.54933333333333,70.567,50.077,41.432500000000005,60.876,39.725,83.513,50.22366666666667,47.186,79.623,98.683,81.93933333333332,45.99100000000001,62.25899999999999,82.095,64.486,68.59533333333333
1989-01-01,79.75366666666666,57.609,67.402,80.133,65.18733333333334,72.57,52.299,43.628,66.915,41.873,85.23166666666667,52.99466666666666,47.565,83.551,98.374,87.522,48.847,64.87933333333334,92.671,67.033,69.35533333333333
1990-01-01,84.193,59.48566666666667,69.486,81.846,70.05566666666667,74.892,54.913,46.301500000000004,74.319,42.989,89.33999999999999,56.059333333333335,48.062,84.944,98.638,91.06700000000001,51.084,67.71833333333333,103.304,69.788,72.604
1991-01-01,84.18666666666667,61.935333333333325,70.811,81.894,72.25266666666666,75.791,57.346,48.3885,77.949,43.983,90.569,58.47233333333333,50.05,83.799,97.756,88.557,53.687333333333335,70.52533333333334,106.37,71.289,74.752
1992-01-01,87.70566666666667,62.84733333333333,71.977,80.609,74.166,76.142,59.825,50.0115,79.43,44.935,89.70133333333335,64.75566666666667,52.928,83.927,93.256,95.07033333333334,55.800999999999995,72.36866666666667,105.957,72.794,76.399
1993-01-01,88.459,64.10166666666667,72.071,77.778,70.51299999999999,75.519,61.874,51.084500000000006,78.37,47.705,114.09333333333332,64.26,56.059,85.226,88.489,93.71066666666667,59.65733333333333,73.27233333333334,104.959,73.722,78.79566666666666
1994-01-01,88.766,67.97466666666666,74.067,74.979,70.68166666666666,75.583,63.066,52.102999999999994,76.536,50.925,85.358,67.82033333333332,58.257,87.68,84.133,91.781,61.147,73.831,100.138,75.794,81.91833333333334
1995-01-01,87.33633333333334,71.50366666666667,77.945,72.981,73.13433333333333,75.969,64.087,51.9105,72.879,53.146,80.66799999999999,68.34566666666667,60.832,90.878,80.745,91.94766666666668,63.02733333333334,74.99066666666666,97.85,77.856,78.86433333333333
1996-01-01,87.53266666666667,73.74433333333333,80.396,72.091,70.01333333333334,76.673,63.64,52.55,71.927,54.14,86.911,68.17766666666667,60.554,94.225,79.44,90.78633333333335,66.33966666666667,77.14566666666667,100.74,79.679,79.70100000000001
1997-01-01,88.78333333333335,75.44666666666666,83.567,71.499,74.19333333333334,77.931,63.497,53.001000000000005,66.943,56.846,92.56733333333334,71.29833333333333,62.031,96.365,77.253,92.41733333333333,68.591,82.51333333333334,100.88,82.224,80.71566666666666
1998-01-01,87.88133333333333,79.62066666666668,87.061,70.866,78.73733333333332,79.821,64.364,54.9565,65.086,60.07,112.10000000000001,79.40599999999999,63.84,99.833,75.637,89.546,73.128,85.73333333333333,95.475,85.861,82.089
1999-01-01,91.64333333333333,83.37566666666667,90.002,72.135,82.378,82.427,66.512,56.456,70.224,61.615,114.92366666666668,81.20533333333334,64.884,103.801,76.672,95.093,76.25666666666666,83.20633333333333,93.42,89.381,84.64999999999999
2000-01-01,94.19566666666667,86.586,93.131,72.348,80.86033333333333,83.928,67.927,58.9925,67.14,64.813,65.60666666666667,84.416,68.044,109.904,75.97,99.08833333333332,79.06233333333333,90.175,93.09,91.755,85.98700000000001
2001-01-01,96.42333333333333,91.63799999999999,95.392,75.199,87.935,87.093,71.211,61.974500000000006,64.362,69.0,94.79333333333334,89.06533333333334,73.756,114.869,78.468,100.41466666666668,82.325,94.09333333333332,94.94,95.132,90.032
2002-01-01,100.98866666666667,94.11633333333333,97.215,80.768,91.71600000000001,90.974,74.435,67.25450000000001,74.781,66.821,108.74399999999999,97.36933333333333,74.136,116.678,84.347,105.19066666666667,85.604,99.35966666666667,94.462,97.895,97.59733333333332
2003-01-01,101.36200000000001,93.33433333333333,97.82,86.095,90.44,92.839,74.971,72.653,79.897,65.225,114.11500000000001,97.54833333333333,72.962,116.69,91.27,102.40566666666666,85.94966666666666,97.05033333333334,95.6,97.433,101.654
2004-01-01,100.00233333333334,93.74733333333334,98.151,89.812,94.02733333333333,94.262,75.961,73.512,82.81,68.655,99.54733333333333,94.27466666666668,73.254,116.285,96.445,101.762,87.09100000000001,95.84500000000001,97.307,97.314,98.60366666666665
