Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1996-01-01,63400.0,43114.0,20286.0,3394.0,70631.0,63242.0,91508.0,214134.0,340154.0,340154.0,17978.0,197242.0,151517.0,201862.0,193848.0,122626.0,31502.0,122626.0,48759.0,122626.0,104648.0,130640.0,3394.0,70631.0,70631.0,3394.0,122626.0,3394.0,73867.0,55889.0,143503.0,3394.0,20286.0,8014.0
1997-01-01,65268.0,43789.0,21479.0,3882.0,77537.0,70032.0,96577.0,229010.0,365326.0,365326.0,20621.0,211413.0,158170.0,214228.0,207531.0,132433.0,35191.0,132433.0,46250.0,132433.0,111812.0,139130.0,3882.0,77537.0,77537.0,3882.0,132433.0,3882.0,86183.0,65562.0,151473.0,3882.0,21479.0,6697.0
1998-01-01,64782.0,42084.0,22698.0,4170.0,83412.0,65210.0,102588.0,228186.0,357954.0,357954.0,21483.0,209658.0,166843.0,227557.0,205488.0,125598.0,41976.0,125598.0,37588.0,125598.0,104115.0,147668.0,4170.0,83412.0,83412.0,4170.0,125598.0,4170.0,88010.0,66527.0,144774.0,4170.0,22698.0,22069.0
1999-01-01,65511.0,41229.0,24282.0,4605.0,91087.0,60751.0,108672.0,234080.0,364093.0,364093.0,22244.0,214403.0,176398.0,243203.0,209798.0,125408.0,47766.0,125408.0,34476.0,125408.0,103164.0,158813.0,4605.0,91087.0,91087.0,4605.0,125408.0,4605.0,90932.0,68688.0,142993.0,4605.0,24282.0,33405.0
2000-01-01,65399.0,39683.0,25716.0,5956.0,100343.0,44176.0,115530.0,229044.0,348513.0,348513.0,21503.0,209284.0,186074.0,260701.0,203328.0,113513.0,56087.0,113513.0,28437.0,113513.0,92010.0,170886.0,5956.0,100343.0,100343.0,5956.0,113513.0,5956.0,85076.0,63573.0,128701.0,5956.0,25716.0,57373.0
2001-01-01,66273.0,39221.0,27052.0,7485.0,110010.0,19733.0,124365.0,238367.0,359854.0,359854.0,19575.0,218800.0,198247.0,281205.0,211315.0,114002.0,65577.0,114002.0,43047.0,114002.0,94427.0,183893.0,7485.0,110010.0,110010.0,7485.0,114002.0,7485.0,70955.0,51380.0,128357.0,7485.0,27052.0,69891.0
2002-01-01,70598.0,42082.0,28516.0,7735.0,121273.0,11747.0,132290.0,265315.0,406075.0,406075.0,16627.0,244534.0,209236.0,301993.0,236799.0,133025.0,69427.0,133025.0,62868.0,133025.0,116398.0,198219.0,7735.0,121273.0,121273.0,7735.0,133025.0,7735.0,70157.0,53530.0,144042.0,7735.0,28516.0,65194.0
2003-01-01,86538.0,56462.0,30076.0,7791.0,132576.0,24111.0,137588.0,307809.0,485820.0,485820.0,16500.0,285524.0,215855.0,318355.0,277733.0,170221.0,58841.0,170221.0,92281.0,170221.0,153721.0,210843.0,7791.0,132576.0,132576.0,7791.0,170221.0,7791.0,77940.0,61440.0,175233.0,7791.0,30076.0,40622.0
2004-01-01,86700.0,55823.0,30877.0,9040.0,141667.0,18586.0,149058.0,314329.0,488640.0,488640.0,20910.0,292492.0,222010.0,332800.0,283452.0,165271.0,71398.0,165271.0,82678.0,165271.0,144361.0,214619.0,9040.0,141667.0,141667.0,9040.0,165271.0,9040.0,82593.0,61683.0,172662.0,9040.0,30877.0,49348.0
2005-01-01,93709.0,61880.0,31829.0,10114.0,150988.0,16193.0,151646.0,317714.0,493896.0,493896.0,25146.0,295999.0,227168.0,346327.0,285885.0,166068.0,68051.0,166068.0,82482.0,166068.0,140922.0,226510.0,10114.0,150988.0,150988.0,10114.0,166068.0,10114.0,83586.0,58440.0,166726.0,10114.0,31829.0,60442.0
2006-01-01,103010.0,69569.0,33441.0,12571.0,161410.0,17629.0,157299.0,332274.0,519821.0,519821.0,28143.0,311404.0,235453.0,363422.0,298833.0,174975.0,66860.0,174975.0,86375.0,174975.0,146832.0,239564.0,12571.0,161410.0,161410.0,12571.0,174975.0,12571.0,88600.0,60457.0,170864.0,12571.0,33441.0,64589.0
2007-01-01,113276.0,77680.0,35596.0,14033.0,173536.0,17682.0,165968.0,339823.0,527712.0,527712.0,30328.0,318260.0,246246.0,384186.0,304227.0,173856.0,66725.0,173856.0,81881.0,173856.0,143528.0,253815.0,14033.0,173536.0,173536.0,14033.0,173856.0,14033.0,91975.0,61647.0,166287.0,14033.0,35596.0,79959.0
2008-01-01,120807.0,82877.0,37930.0,10896.0,185469.0,2086.0,174767.0,340309.0,516747.0,516747.0,27736.0,313275.0,258160.0,405699.0,302379.0,165542.0,64856.0,165542.0,87898.0,165542.0,137806.0,268863.0,10896.0,185469.0,185469.0,10896.0,165542.0,10896.0,77644.0,49908.0,154840.0,10896.0,37930.0,103320.0
2009-01-01,124192.0,85205.0,38987.0,8729.0,197818.0,-20044.0,179798.0,390476.0,609883.0,609883.0,23470.0,360218.0,265499.0,424330.0,351489.0,210678.0,64335.0,210678.0,148367.0,210678.0,187208.0,283519.0,8729.0,197818.0,197818.0,8729.0,210678.0,8729.0,62311.0,38841.0,192658.0,8729.0,38987.0,72841.0
2010-01-01,129617.0,89914.0,39703.0,9771.0,213115.0,-29869.0,192434.0,401455.0,620247.0,620247.0,23656.0,371523.0,260840.0,434252.0,361752.0,209021.0,72588.0,209021.0,145621.0,209021.0,185365.0,281521.0,9771.0,213115.0,213115.0,9771.0,209021.0,9771.0,63400.0,39744.0,188340.0,9771.0,39703.0,72500.0
2011-01-01,137892.0,96652.0,41240.0,10453.0,225857.0,-33358.0,187670.0,395097.0,612978.0,612978.0,26007.0,364310.0,250930.0,435547.0,353857.0,207427.0,60231.0,207427.0,142367.0,207427.0,181420.0,289118.0,10453.0,225857.0,225857.0,10453.0,207427.0,10453.0,65060.0,39053.0,169240.0,10453.0,41240.0,81690.0
2012-01-01,145857.0,102487.0,43369.0,11145.0,238905.0,-36307.0,184636.0,409756.0,646021.0,646021.0,28714.0,377531.0,243513.0,439049.0,366386.0,225120.0,49924.0,225120.0,157234.0,225120.0,196406.0,297782.0,11145.0,238905.0,238905.0,11145.0,225120.0,11145.0,67885.0,39172.0,170851.0,11145.0,43369.0,72663.0
2013-01-01,157190.0,112428.0,44761.0,12243.0,253399.0,-35077.0,212596.0,433854.0,667355.0,667355.0,31442.0,401335.0,232350.0,440987.0,389092.0,221258.0,67649.0,221258.0,147884.0,221258.0,189816.0,273153.0,12243.0,253399.0,253399.0,12243.0,221258.0,12243.0,73374.0,41933.0,180455.0,12243.0,44761.0,51895.0
2014-01-01,170552.0,124185.0,46367.0,13053.0,267554.0,-33430.0,213918.0,432411.0,663957.0,663957.0,32732.0,399097.0,228790.0,449977.0,386044.0,218493.0,56420.0,218493.0,141868.0,218493.0,185761.0,282426.0,13053.0,267554.0,267554.0,13053.0,218493.0,13053.0,76625.0,43893.0,164857.0,13053.0,46367.0,63933.0
2015-01-01,183396.0,134076.0,49320.0,13606.0,282524.0,-38182.0,217793.0,442136.0,680085.0,680085.0,31372.0,406422.0,232076.0,465280.0,392816.0,224343.0,48003.0,224343.0,149791.0,224343.0,192971.0,296807.0,13606.0,282524.0,282524.0,13606.0,224343.0,13606.0,74552.0,43180.0,159612.0,13606.0,49320.0,72465.0
2016-01-01,194192.0,141391.0,52801.0,15023.0,296487.0,-40847.0,221168.0,461523.0,716902.0,716902.0,33192.0,423746.0,233363.0,477049.0,408723.0,240356.0,41999.0,240356.0,163885.0,240356.0,207164.0,308683.0,15023.0,296487.0,296487.0,15023.0,240356.0,15023.0,76471.0,43279.0,165036.0,15023.0,52801.0,68327.0
2017-01-01,218080.0,163263.0,54816.0,17157.0,312516.0,-17510.0,221024.0,484877.0,765887.0,765887.0,40202.0,447217.0,228368.0,486067.0,430060.0,263853.0,20101.0,263853.0,169770.0,263853.0,223650.0,319860.0,17157.0,312516.0,312516.0,17157.0,263853.0,17157.0,94083.0,53881.0,172361.0,17157.0,54816.0,56007.0
2018-01-01,226800.0,170881.0,55920.0,18629.0,325092.0,-18692.0,222043.0,481915.0,760416.0,760416.0,39962.0,444625.0,227767.0,496939.0,425995.0,259872.0,13872.0,259872.0,161644.0,259872.0,219910.0,330816.0,18629.0,325092.0,325092.0,18629.0,259872.0,18629.0,98229.0,58266.0,156823.0,18629.0,55920.0,70944.0
2019-01-01,230602.0,173424.0,57179.0,19517.0,336918.0,-31744.0,224847.0,499462.0,793594.0,793594.0,39792.0,461800.0,228995.0,508734.0,442283.0,274615.0,13761.0,274615.0,180526.0,274615.0,234823.0,341066.0,19517.0,336918.0,336918.0,19517.0,274615.0,19517.0,94089.0,54297.0,162544.0,19517.0,57179.0,66451.0
2020-01-01,244330.0,186329.0,58001.0,21776.0,353001.0,-27137.0,229027.0,500158.0,793064.0,793064.0,46093.0,463932.0,229098.0,524097.0,442157.0,271131.0,6472.0,271131.0,167822.0,271131.0,225039.0,353072.0,21776.0,353001.0,353001.0,21776.0,271131.0,21776.0,103310.0,57217.0,147157.0,21776.0,58001.0,81941.0
2021-01-01,259567.0,200212.0,59355.0,25062.0,371397.0,-27383.0,232752.0,501100.0,794511.0,794511.0,48263.0,466807.0,224791.0,536833.0,441745.0,268348.0,-1753.0,268348.0,158840.0,268348.0,220086.0,363436.0,25062.0,371397.0,371397.0,25062.0,268348.0,25062.0,109509.0,61246.0,129704.0,25062.0,59355.0,95087.0
2022-01-01,269771.0,207159.0,62612.0,26402.0,390806.0,-41835.0,202328.0,432205.0,688483.0,688483.0,44733.0,395995.0,223423.0,551617.0,369593.0,229877.0,-41041.0,229877.0,124274.0,229877.0,185144.0,411901.0,26402.0,390806.0,390806.0,26402.0,229877.0,26402.0,105602.0,60870.0,41398.0,26402.0,62612.0,182025.0
2023-01-01,282417.0,215968.0,66449.0,27710.0,413693.0,-51782.0,208258.0,478134.0,775719.0,775719.0,44523.0,439395.0,221893.0,569137.0,411685.0,269875.0,-46449.0,269875.0,162672.0,269875.0,225353.0,427328.0,27710.0,413693.0,413693.0,27710.0,269875.0,27710.0,107204.0,62681.0,64440.0,27710.0,66449.0,157452.0
