Date,Actual employer and household contributions (5+7),Actual employer contributions,Actual household contributions,Administrative expenses,Benefit payments and withdrawals,Cash flow,Claims to benefits accrued through service to employers,Contributions,"Current expenditures, accrual basis","Current receipts, accrual basis",Dividends,Effect on personal income (1-7-9 or 15-7-9),Equals: Change in benefit entitlements including implied funding of benefits from holding gains on assets,Equals: Change in personal wealth,Equals: Effect on personal saving,Household pension contribution supplements,Imputed employer contributions,Imputed income payments on assets to persons,Imputed interest on plans' claims on employers,Income receipts on assets (including plans' claims on employers),Interest,Interest accrued on benefit entitlements,Less: Administrative expenses,Less: Benefit payments and withdrawals,Less: Benefit payments and withdrawals (20),Less: Effect on personal consumption expenditures (2),Less: Interest and dividend income received by plans (10),Less: Pension service charges,Monetary income receipts on assets (12+14),Monetary interest,Net change in benefit entitlements,Output,Plus: Household actual contributions (7),Plus: Implied funding of benefits from holding gains on assets
1940-01-01,267.0,155.0,112.0,3.0,163.0,160.0,421.0,679.0,940.0,940.0,0.0,570.0,507.0,558.0,567.0,258.0,157.0,258.0,199.0,258.0,258.0,249.0,3.0,163.0,163.0,3.0,258.0,3.0,59.0,59.0,516.0,3.0,112.0,-9.0
1941-01-01,280.0,165.0,115.0,3.0,175.0,168.0,441.0,721.0,1003.0,1003.0,0.0,609.0,534.0,594.0,606.0,279.0,164.0,279.0,213.0,279.0,279.0,267.0,3.0,175.0,175.0,3.0,279.0,3.0,66.0,66.0,546.0,3.0,115.0,-12.0
1942-01-01,305.0,185.0,120.0,3.0,194.0,177.0,467.0,768.0,1072.0,1072.0,0.0,651.0,563.0,637.0,648.0,301.0,165.0,301.0,232.0,301.0,301.0,290.0,3.0,194.0,194.0,3.0,301.0,3.0,69.0,69.0,574.0,3.0,120.0,-11.0
1943-01-01,330.0,202.0,128.0,3.0,210.0,191.0,506.0,831.0,1159.0,1159.0,0.0,706.0,609.0,691.0,703.0,325.0,179.0,325.0,251.0,325.0,325.0,313.0,3.0,210.0,210.0,3.0,325.0,3.0,74.0,74.0,621.0,3.0,128.0,-12.0
1944-01-01,351.0,212.0,139.0,3.0,218.0,208.0,552.0,893.0,1238.0,1238.0,0.0,757.0,665.0,744.0,754.0,341.0,204.0,341.0,263.0,341.0,341.0,331.0,3.0,218.0,218.0,3.0,341.0,3.0,78.0,78.0,675.0,3.0,139.0,-10.0
1945-01-01,380.0,225.0,155.0,3.0,235.0,224.0,618.0,984.0,1352.0,1352.0,0.0,832.0,742.0,822.0,829.0,365.0,241.0,365.0,283.0,365.0,365.0,359.0,3.0,235.0,235.0,3.0,365.0,3.0,82.0,82.0,749.0,3.0,155.0,-7.0
1946-01-01,440.0,250.0,190.0,3.0,255.0,265.0,736.0,1131.0,1528.0,1528.0,0.0,944.0,878.0,943.0,941.0,394.0,299.0,394.0,311.0,394.0,394.0,397.0,3.0,255.0,255.0,3.0,394.0,3.0,83.0,83.0,876.0,3.0,190.0,2.0
1947-01-01,520.0,290.0,230.0,3.0,275.0,330.0,905.0,1362.0,1821.0,1821.0,0.0,1135.0,1094.0,1139.0,1132.0,456.0,388.0,456.0,368.0,456.0,456.0,464.0,3.0,275.0,275.0,3.0,456.0,3.0,88.0,88.0,1087.0,3.0,230.0,8.0
1948-01-01,640.0,360.0,280.0,5.0,300.0,432.0,1087.0,1621.0,2160.0,2160.0,0.0,1346.0,1332.0,1352.0,1341.0,534.0,452.0,534.0,437.0,534.0,534.0,545.0,5.0,300.0,300.0,5.0,534.0,5.0,97.0,97.0,1321.0,5.0,280.0,11.0
1949-01-01,750.0,420.0,330.0,7.0,325.0,535.0,1239.0,1858.0,2484.0,2484.0,0.0,1535.0,1539.0,1534.0,1528.0,619.0,496.0,619.0,502.0,619.0,619.0,625.0,7.0,325.0,325.0,7.0,619.0,7.0,117.0,117.0,1533.0,7.0,330.0,6.0
