Date,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1950-10-01,-16.6,,53.300000000000004,-41.1,-12.1,-6.0,36.5,59.6,,,-7.7,-4.0,,-57.9,-9.3,3.6999999999999997,31.4,7.9,-3.0666666666666664,,61.3,,,,0.8,75.9,31.3,-3.9,,-26.1,71.4,18.2,-8.6,-0.6,33.3,-13.8,-29.4,-9.9,,-11.5,,-42.0,3.4,-17.4,23.400000000000002,,0.1,10.7,-31.8,
1951-01-01,8.7,,20.766666666666666,13.2,-11.8,-15.9,21.6,97.3,,,-13.7,2.2,,57.9,16.8,6.466666666666666,49.8,5.5,127.53333333333335,,-35.0,,,,0.0,-44.1,-23.8,-10.6,,-14.5,145.7,-33.1,7.5,-10.0,-25.4,9.4,7.6,16.3,,10.0,,13.3,-9.7,-19.1,28.833333333333332,,-3.9,1.3,-1.5,
1951-04-01,-13.9,,47.36666666666667,-46.2,-12.5,0.6,45.6,107.1,,,-16.7,-1.0,,-52.5,-2.9,3.633333333333334,64.9,7.1,104.59999999999998,,9.6,,,,-12.6,40.4,24.5,-4.0,,-50.3,122.5,38.1,-5.7,4.9,25.1,-6.2,-8.1,-9.6,,-10.8,,-33.9,2.8,-43.7,15.333333333333334,,6.9,14.3,-21.7,
1951-07-01,8.7,,28.066666666666666,-7.1,2.8,8.9,10.2,82.2,,,-5.8,7.3,,8.2,10.7,-10.033333333333333,51.7,8.5,54.9,,-26.3,,,,-29.8,48.1,29.5,8.0,,-28.7,101.7,-8.6,8.7,4.8,26.8,6.7,-2.4,11.3,,4.7,,14.4,11.6,-22.9,23.066666666666666,,2.0,-2.4,-13.5,
1951-10-01,5.7,,6.766666666666667,-1.2,-2.2,-3.8,-3.8,34.2,,,-3.0,-2.6,,13.8,8.8,-10.066666666666666,22.9,0.9,48.46666666666667,,-28.3,,,,-10.0,-11.0,5.1,17.6,,-24.1,37.9,9.3,4.8,-6.4,5.6,13.1,37.5,23.6,,2.3,,18.3,33.2,3.9,23.733333333333334,,-0.6,-14.5,-26.9,
1952-01-01,-3.0,,27.933333333333334,2.3,12.6,2.3,23.1,17.5,,,6.3,-2.1,,-3.0,-1.6,29.099999999999998,12.4,4.3,12.766666666666666,,10.8,,,,55.1,4.7,21.3,38.6,,5.0,13.2,54.6,-3.3,3.9,23.0,2.8,-3.9,-7.5,,0.9,,13.3,58.7,10.9,18.13333333333333,,1.1,0.5,-1.3,
1952-04-01,15.0,,8.633333333333333,8.0,22.5,5.6,-37.2,16.7,,,6.9,11.4,,-0.2,4.6,-9.0,14.3,0.8,-7.166666666666667,,-26.9,,,,-2.0,32.7,56.0,30.8,,18.0,22.5,-19.6,9.6,6.5,52.6,9.9,7.6,1.8,,8.1,,6.3,36.2,7.6,-10.133333333333333,,8.8,2.9,-29.5,
1952-07-01,12.7,,10.533333333333333,-21.7,16.5,-47.3,-28.1,10.3,,,-20.0,5.6,,4.6,6.2,-3.733333333333333,4.1,2.9,-2.6666666666666674,,23.3,,,,26.8,-47.6,-44.5,29.0,,-55.2,9.1,20.0,7.2,-27.7,-42.7,8.7,-44.4,6.1,,1.9,,6.2,37.1,-3.8,10.166666666666666,,-10.4,3.4,-51.7,
1952-10-01,9.0,,5.3999999999999995,89.0,18.1,60.5,2.8,5.9,,,34.1,3.1,,23.2,4.9,19.233333333333334,6.8,13.8,5.3999999999999995,,32.1,,,,40.9,11.8,51.7,33.2,,319.9,6.6,0.4,6.0,40.5,49.4,14.7,55.9,11.0,,14.9,,23.2,42.7,23.4,22.0,,9.5,16.2,149.0,
1953-01-01,-13.2,,26.0,14.1,11.2,31.6,-6.6,15.0,,,17.3,8.7,,-8.8,1.4,-5.033333333333333,13.3,7.7,10.966666666666669,,8.9,,,,-9.5,41.9,29.1,19.0,,41.7,11.8,42.2,2.5,23.5,26.9,0.5,16.0,7.2,,4.8,,20.6,23.4,6.6,6.3999999999999995,,8.9,12.6,39.8,
1953-04-01,10.1,,45.73333333333333,-2.3,16.7,-0.6,2.5,12.0,,,3.1,0.5,,4.8,-1.3,11.066666666666668,8.5,3.1,0.3999999999999995,,2.3,,,,22.5,19.5,4.2,19.7,,-8.6,3.2,95.2,1.8,4.0,5.1,-4.0,-33.1,-1.8,,2.4,,0.0,21.1,1.3,1.8333333333333333,,-0.7,7.9,14.4,
1953-07-01,-7.4,,-12.133333333333333,-2.5,-1.4,14.2,17.1,-9.3,,,0.7,-2.8,,-0.7,4.5,2.233333333333333,-4.2,-2.2,3.3666666666666667,,-8.1,,,,-1.6,14.6,17.4,7.7,,-4.0,-4.2,-36.5,-3.6,9.2,18.8,-4.7,16.8,-5.9,,-0.9,,-1.1,13.0,-14.1,8.9,,11.0,2.2,9.9,
1953-10-01,-5.5,,3.6666666666666665,-10.7,-1.4,-11.1,-12.6,-5.0,,,-3.4,0.1,,1.0,-0.9,-15.266666666666666,-1.0,-5.9,6.8,,-25.9,,,,-18.2,3.6,-33.8,4.8,,-26.0,-6.9,8.7,0.6,-3.6,-33.8,-2.8,-25.1,10.4,,-2.7,,1.1,8.1,-3.2,0.2333333333333331,,9.9,7.2,-1.5,
1954-01-01,4.8,,0.20000000000000048,-11.8,0.6,-20.5,-16.8,-18.6,,,-5.5,7.1,,-7.9,2.2,-11.866666666666667,-10.0,-1.9,2.5,,-2.9,,,,-21.2,-7.9,-8.4,3.9,,-23.1,-22.5,11.8,3.9,-10.1,-8.0,-5.6,-25.8,-4.0,,1.5,,7.8,5.7,4.5,-8.799999999999999,,15.0,4.1,-32.7,
1954-04-01,0.0,,-18.2,20.7,1.8,-8.6,71.2,-18.5,,,6.5,-1.3,,-0.8,1.2,47.9,-12.9,0.4,-6.333333333333333,,-0.9,,,,41.2,-0.8,-20.4,2.3,,51.6,-15.1,-36.9,-1.1,-3.5,-20.4,19.5,23.1,-3.0,,5.3,,12.2,2.8,28.7,12.5,,1.6,2.8,-31.8,
1954-07-01,-1.5,,-4.1000000000000005,1.8,15.6,20.3,-12.3,-16.4,,,16.1,9.0,,6.0,8.5,-14.699999999999998,-8.4,4.6,-12.200000000000001,,20.7,,,,-22.1,29.6,9.7,3.9,,-12.9,-16.8,-13.9,5.1,10.6,8.2,23.8,25.7,0.9,,5.5,,18.7,-2.0,26.7,9.666666666666668,,11.5,-0.9,10.5,
1954-10-01,9.2,,25.733333333333334,27.0,17.7,-0.9,19.8,-4.3,,,9.0,6.7,,18.5,11.0,10.9,-2.4,8.1,-12.333333333333334,,18.8,,,,3.8,-20.6,0.0,6.2,,46.7,-12.2,60.8,6.9,-0.6,2.8,8.4,10.9,2.7,,8.6,,16.7,0.4,27.5,8.766666666666667,,1.8,-1.7,14.5,
