Date,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1947-01-01,9.845,,23.94666666666667,2.821,10.553,3.641,3.926,22.03,,,6.947,29.235,,5.698,29.213,5.320333333333333,16.5,11.129,5.887666666666667,,6.553,,,,1.837,25.199,0.07,0.991,,5.646,31.676,8.754,17.937,4.863,0.706,4.492,16.351,8.987,,10.168,,0.238,1.74,19.04,4.832333333333334,,12.054,25.32,10.795,
1947-04-01,9.726,,24.487333333333336,2.88,10.127,3.563,3.877,21.851,,,6.767,29.82,,5.869,30.205,5.353333333333333,16.487,11.1,6.111000000000001,,6.051,,,,1.873,23.436,0.066,0.979,,5.747,29.468,11.749,18.244,4.787,0.664,4.47,16.377,9.367,,10.337,,0.243,1.767,18.088,4.955,,12.221,25.185,11.042,
1947-07-01,9.884,,23.450999999999997,2.921,9.959,3.443,3.68,21.576,,,6.985,29.701,,6.148,30.517,5.222333333333333,16.485,11.077,7.046666666666667,,5.873,,,,1.661,23.607,0.069,0.978,,5.436,30.266,9.954,18.328,4.699,0.693,4.617,14.93,9.485,,10.371,,0.253,1.791,20.854,4.8950000000000005,,12.499,25.357,10.46,
1947-10-01,9.874,,22.40533333333333,3.11,9.307,3.642,3.263,21.101,,,7.561,28.962,,6.45,30.44,5.079999999999999,16.354,11.25,7.533666666666666,,7.01,,,,1.75,21.34,0.068,0.958,,6.19,30.928,7.989,18.088,4.83,0.68,4.634,17.654,9.498,,10.374,,0.259,1.83,24.873,4.991333333333333,,12.694,24.992,11.931,
1948-01-01,9.781,,22.501,3.095,9.374,3.95,3.114,21.635,,,7.802,29.019,,6.183,31.135,5.122,16.599,11.42,8.595666666666666,,7.729,,,,1.974,23.17,0.072,0.966,,6.6,30.582,9.654,18.148,5.11,0.72,4.622,20.231,9.633,,10.426,,0.246,1.847,24.549,4.979666666666667,,12.665,25.511,12.417,
1948-04-01,9.842,,23.878333333333334,3.116,9.192,3.688,2.823,22.5,,,7.791,29.517,,6.515,31.204,5.066333333333334,17.186,11.609,9.178666666666667,,8.207,,,,2.052,21.726,0.069,0.951,,6.227,29.904,12.711,18.325,4.94,0.688,4.634,18.866,9.597,,10.547,,0.251,1.823,25.97,5.032,,13.012,26.221,11.47,
1948-07-01,9.935,,24.665666666666667,3.168,9.213,3.641,2.889,23.021,,,7.711,28.851,,6.639,31.522,5.101333333333334,17.547,11.675,9.446,,8.291,,,,2.159,20.189,0.067,0.952,,6.404,29.683,14.324,18.214,4.952,0.673,4.654,19.637,9.73,,10.563,,0.249,1.822,25.146,5.208666666666667,,13.234,27.005,11.34,
1948-10-01,10.158,,25.619,3.123,9.519,3.758,2.788,24.06,,,7.623,29.386,,6.233,31.163,5.082,18.195,11.689,10.085666666666667,,7.895,,,,2.124,21.483,0.073,0.945,,6.78,30.807,15.289,18.452,5.067,0.736,4.668,20.97,9.719,,10.647,,0.236,1.748,23.303,5.172666666666666,,13.548,27.391,10.805,
1949-01-01,10.173,,25.715666666666667,3.066,9.78,3.519,3.121,24.491,,,7.202,29.419,,5.756,30.883,5.188666666666667,18.679,11.528,11.063,,6.716,,,,2.06,19.596,0.07,0.924,,7.05,31.465,15.411,18.524,4.834,0.697,4.551,18.249,9.947,,10.664,,0.241,1.632,21.585,5.189,,14.103,26.876,11.087,
1949-04-01,10.045,,26.540000000000003,3.332,10.157,3.346,3.094,25.371,,,6.983,29.418,,5.903,31.346,5.229666666666667,19.492,11.488,12.334666666666669,,5.823,,,,2.03,16.716,0.063,0.921,,8.564,31.968,16.867,18.575,4.655,0.633,4.529,17.463,10.2,,10.828,,0.239,1.56,21.223,5.264666666666667,,14.893,26.247,11.505,
1949-07-01,9.679,,25.65233333333333,3.491,10.423,3.168,2.836,24.948,,,6.971,29.286,,6.411,31.362,5.144333333333333,19.597,11.607,13.254,,6.306,,,,1.948,15.578,0.06,0.928,,8.848,31.855,16.004,18.413,4.442,0.599,4.484,15.651,10.307,,10.852,,0.248,1.543,23.038,5.092666666666666,,15.505,25.086,11.506,
1949-10-01,10.058,,24.925,3.63,11.087,3.133,2.455,23.925,,,7.224,29.269,,6.936,31.731,5.1066666666666665,19.255,11.51,13.138,,5.996,,,,1.977,14.816,0.059,0.969,,8.881,30.024,16.111,18.714,4.387,0.587,4.573,15.476,10.704,,11.011,,0.26,1.577,25.846,4.979666666666667,,15.8,24.398,11.67,
1950-01-01,10.041,,24.68166666666667,3.769,10.957,3.188,2.415,22.789,,,7.668,29.925,,6.811,31.897,5.163333333333333,18.899,11.963,11.832999999999998,,7.419,,,,2.032,16.023,0.061,1.002,,9.529,28.936,14.895,18.954,4.514,0.61,4.591,16.213,10.803,,11.195,,0.295,1.715,28.731,5.107,,16.187,25.56,11.123,
1950-04-01,10.215,,24.990333333333336,3.801,10.531,3.547,2.444,23.361,,,8.348,30.05,,6.581,33.105,5.249333333333333,19.246,12.327,12.491666666666667,,8.213,,,,2.144,19.085,0.07,1.018,,9.977,29.179,15.951,19.174,4.89,0.699,4.668,18.048,10.906,,11.379,,0.294,1.838,31.485,5.242,,16.324,26.849,11.706,
1950-07-01,10.589,,23.180000000000003,4.702,10.058,3.927,2.507,22.693,,,8.941,30.111,,8.546,33.747,5.7443333333333335,18.936,12.804,12.939333333333332,,8.919,,,,2.646,19.496,0.071,1.022,,12.25,30.939,11.717,19.505,5.296,0.712,4.954,18.979,11.275,,11.963,,0.361,1.93,33.204,5.343666666666667,,16.338,28.404,14.584,
1950-10-01,10.118,,25.950333333333333,4.12,9.738,3.867,2.71,25.508,,,8.763,29.808,,6.884,32.932,5.588666666666666,20.274,13.049,12.916333333333332,,10.052,,,,2.651,22.452,0.076,1.012,,11.356,35.4,12.218,19.072,5.288,0.765,4.774,17.4,10.986,,11.603,,0.315,1.946,31.657,5.504333333333332,,16.344,29.132,13.251,
1951-01-01,10.331,,28.239,4.25,9.438,3.703,2.846,30.232,,,8.445,29.971,,7.717,34.238,5.697,22.431,13.226,15.322333333333333,,9.025,,,,2.651,19.418,0.071,0.984,,10.919,44.321,11.051,19.422,5.15,0.711,4.882,17.721,11.408,,11.883,,0.325,1.897,30.019,5.754666666666666,,16.184,29.226,13.201,
1951-04-01,9.953,,32.01133333333333,3.64,9.127,3.709,3.126,36.268,,,8.069,29.899,,6.406,33.985,5.561,25.42,13.455,18.614,,9.234,,,,2.563,21.137,0.075,0.974,,9.17,54.132,11.979,19.138,5.212,0.752,4.805,17.349,11.125,,11.548,,0.293,1.91,26.008,5.855666666666667,,16.457,30.219,12.416,
1951-07-01,10.163,,35.473000000000006,3.574,9.191,3.789,3.203,42.139,,,7.95,30.43,,6.534,34.857,5.524,28.213,13.733,21.61066666666667,,8.555,,,,2.346,23.316,0.08,0.993,,8.426,64.513,11.714,19.54,5.273,0.798,4.884,17.242,11.428,,11.682,,0.303,1.963,24.367,6.070666666666667,,16.539,30.035,11.974,
1951-10-01,10.306,,36.440666666666665,3.563,9.141,3.752,3.172,45.356,,,7.889,30.228,,6.749,35.603,5.485666666666667,29.703,13.763,24.70866666666667,,7.873,,,,2.285,22.644,0.081,1.034,,7.864,69.908,11.978,19.769,5.186,0.809,5.037,18.672,12.05,,11.75,,0.316,2.109,24.601,6.280333333333334,,16.515,28.881,11.073,
1952-01-01,10.227,,38.39033333333334,3.583,9.416,3.773,3.341,47.218,,,8.01,30.068,,6.698,35.462,5.609333333333333,30.585,13.91,24.758333333333336,,8.078,,,,2.55,22.906,0.085,1.122,,7.96,72.115,13.356,19.606,5.236,0.852,5.072,18.485,11.818,,11.777,,0.326,2.367,25.246,6.4816666666666665,,16.559,28.916,11.038,
1952-04-01,10.591,,40.04566666666667,3.653,9.906,3.825,2.974,49.077,,,8.145,30.892,,6.694,35.867,5.561,31.626,13.939,24.832666666666665,,7.469,,,,2.537,24.585,0.095,1.2,,8.296,75.863,12.647,20.062,5.319,0.947,5.193,18.828,11.87,,12.008,,0.331,2.557,25.714,6.410333333333334,,16.911,29.124,10.114,
1952-07-01,10.912,,40.832,3.436,10.292,3.259,2.739,50.293,,,7.702,31.313,,6.77,36.407,5.509,31.945,14.04,25.163,,7.87,,,,2.692,20.917,0.082,1.279,,6.786,77.528,13.238,20.415,4.905,0.824,5.302,16.255,12.047,,12.066,,0.336,2.767,25.465,6.576666666666667,,16.454,29.367,8.433,
1952-10-01,11.15,,41.416666666666664,4.029,10.728,3.668,2.758,51.017,,,8.288,31.553,,7.133,36.846,5.766666666666667,32.477,14.501,25.665999999999997,,8.437,,,,2.933,21.507,0.091,1.374,,9.714,78.775,13.251,20.714,5.34,0.911,5.487,18.164,12.366,,12.491,,0.354,3.024,26.84,6.878666666666667,,16.832,30.492,10.593,
1953-01-01,10.762,,42.57566666666667,4.164,11.017,3.929,2.711,52.828,,,8.625,32.219,,6.97,36.977,5.772333333333333,33.506,14.771,27.220333333333333,,8.618,,,,2.861,23.473,0.097,1.435,,10.598,81.011,14.471,20.843,5.629,0.967,5.494,18.85,12.584,,12.638,,0.371,3.187,27.273,6.885333333333333,,17.193,31.41,11.518,
1953-04-01,11.024,,43.95366666666666,4.14,11.451,3.923,2.728,54.347,,,8.691,32.257,,7.053,36.854,5.84,34.194,14.885,28.102000000000004,,8.667,,,,3.01,24.544,0.098,1.501,,10.362,81.644,17.104,20.938,5.685,0.979,5.438,17.047,12.527,,12.714,,0.371,3.343,27.363,6.977,,17.162,32.013,11.913,
