Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1952-01-01,-0.57,0.56,-2.78,1.24,,0.51,-0.07,0.9,0.45,0.46,-0.14,-0.28,1.09,1.57,0.1,,0.01,0.33,0.01,0.14,-2.81,0.11,0.13,0.18,,0.07,-0.69,-0.01,0.31,0.12,-0.76,-5.76,-2.97
1953-01-01,-0.64,-0.06,6.22,0.8,,-0.49,-0.02,0.36,-0.12,0.21,-0.15,0.81,3.03,1.22,-0.17,,-0.1,1.48,-0.18,0.03,8.91,0.32,0.14,-0.47,,0.17,-0.56,0.09,0.87,-0.24,0.29,5.3,-0.06
1954-01-01,-0.92,0.1,-0.71,-0.68,,-0.66,-0.11,0.26,0.63,0.23,0.45,-0.05,0.94,-1.2,0.24,,0.03,0.6,-0.21,-0.49,-5.49,-0.11,-0.06,-1.72,,0.04,-1.96,0.05,-0.21,-0.75,-0.73,-3.75,-0.44
1955-01-01,0.89,-0.3,4.49,0.54,,1.1,0.16,-0.09,-0.27,-0.41,0.72,1.15,-0.26,1.71,-0.3,,0.15,-1.6,0.61,0.52,13.42,0.46,0.45,4.64,,0.03,0.37,0.25,0.71,0.42,0.96,7.63,2.65
1956-01-01,-1.08,0.78,-4.98,1.02,,0.76,0.1,0.73,-0.18,0.12,0.31,0.57,3.15,1.79,-0.04,,0.07,1.38,0.08,0.13,2.6,0.52,0.06,0.85,,0.05,0.76,0.18,0.62,0.5,0.53,-3.16,-0.23
1957-01-01,-0.16,0.42,1.23,0.74,,-1.02,0.0,0.41,0.45,0.49,-0.35,-0.11,0.42,1.65,0.07,,-0.03,-0.4,-0.12,0.04,2.6,0.87,0.03,-1.43,,0.03,0.93,0.0,0.18,0.36,-0.41,1.89,-1.05
1958-01-01,1.26,-0.51,-3.25,-0.82,,0.11,-0.17,-1.14,-0.01,-0.27,0.02,-1.03,-5.54,-1.43,0.12,,-0.1,-2.38,-0.74,-0.27,-14.34,-0.15,0.34,0.21,,-0.13,-2.54,0.1,-0.62,-0.12,-0.69,-7.7,-1.29
1959-01-01,0.27,1.82,4.06,1.06,,0.68,0.05,0.19,-0.36,-0.42,0.16,0.34,0.49,1.31,-0.19,,0.1,0.37,0.3,-0.01,11.67,-0.14,0.68,2.21,,0.23,0.28,0.28,0.08,-0.19,0.37,7.85,1.88
1960-01-01,-1.39,-0.29,0.51,1.73,0.69,-0.96,0.06,0.56,-0.1,-0.18,0.13,0.65,2.32,2.73,-0.13,,0.17,0.62,-0.17,0.01,3.76,-0.03,0.29,-2.01,,0.16,0.76,-0.12,0.02,-0.17,0.77,0.86,0.05
1961-01-01,0.12,0.09,-0.78,1.48,0.47,-0.2,0.04,-0.01,-0.22,-0.14,-0.14,-0.5,-1.65,1.39,-0.2,,0.1,-0.53,-0.14,-0.06,-2.04,-0.61,0.31,-0.04,,0.02,-0.97,0.01,-0.04,-0.2,-0.27,-1.54,0.31
1962-01-01,0.36,-0.2,2.78,1.28,0.66,0.26,0.08,0.2,-0.09,-0.24,0.26,0.6,1.54,1.76,-0.03,,0.08,0.49,-0.04,-0.13,11.23,-0.39,0.44,1.63,,0.26,1.1,0.1,0.26,0.06,0.58,6.33,2.59
1963-01-01,1.31,-0.99,-0.62,-0.57,1.96,1.15,0.29,0.05,0.0,0.24,0.54,1.06,2.28,2.55,-0.18,,0.23,1.0,0.36,0.07,7.64,0.15,0.36,3.95,,0.71,0.14,0.19,-0.05,-0.18,-0.07,-0.96,0.69
1964-01-01,0.5,1.05,0.68,0.24,0.98,0.87,0.09,0.72,0.0,0.42,0.39,1.53,3.75,2.4,-0.17,,0.18,0.28,0.18,0.07,12.41,-0.02,0.47,2.9,,0.94,1.2,0.12,0.4,0.16,0.8,3.53,0.44
1965-01-01,0.55,1.06,2.6,1.19,1.12,0.66,0.16,0.64,0.05,0.47,0.43,1.03,5.24,3.09,-0.2,,0.1,1.36,0.18,0.18,17.9,0.05,0.29,2.99,,0.45,0.79,0.19,0.72,0.15,1.69,6.78,2.18
1966-01-01,0.93,1.1,-0.51,1.04,2.4,0.49,0.02,1.01,0.2,0.41,0.5,1.06,4.46,4.96,-0.08,,0.15,1.22,0.07,0.1,15.22,0.61,0.52,3.06,,0.67,0.6,0.03,0.53,0.06,0.56,2.82,1.57
1967-01-01,0.05,1.09,-0.33,0.2,1.02,-0.5,-0.21,-0.16,0.34,-0.08,-0.01,-0.87,0.12,1.1,0.17,,0.37,1.47,-0.35,0.09,-0.99,-0.12,-0.43,-1.48,,-0.47,-0.46,0.03,-0.04,0.02,-0.59,-0.89,-1.21
1968-01-01,-0.41,1.98,2.28,0.33,0.65,0.17,0.09,-0.26,0.24,0.47,-0.1,-0.16,-0.62,1.05,-0.02,,0.0,-0.89,0.03,-0.02,6.02,-0.13,0.34,0.31,,0.22,-0.94,0.25,0.18,0.32,-0.02,5.31,1.67
1969-01-01,0.03,-1.71,0.32,1.3,1.22,0.37,0.08,0.24,0.19,0.6,0.4,0.82,1.94,3.54,-0.14,,0.31,-0.12,0.05,0.06,8.15,0.33,0.27,1.63,,0.3,0.71,0.2,0.43,0.1,0.21,1.19,1.75
1970-01-01,0.65,-0.72,-1.89,0.84,0.84,-0.18,0.07,0.18,0.1,0.52,-0.12,-0.09,0.41,2.05,0.0,,0.19,-0.29,0.34,0.09,-1.75,-0.27,0.19,0.94,,0.36,-0.64,0.13,0.0,-0.03,-0.01,-5.15,-1.86
1971-01-01,-0.39,-1.71,2.78,-0.28,1.19,-0.06,0.0,-0.41,0.12,0.07,-0.27,-0.46,-2.46,1.39,0.11,,0.3,-1.33,0.17,-0.08,0.8,-0.18,0.29,-0.18,,0.45,0.11,0.2,0.08,-0.1,-0.45,1.94,0.86
1972-01-01,0.96,0.78,0.73,-0.47,1.95,0.87,0.14,0.39,0.25,0.14,0.96,0.24,2.17,3.0,0.03,,0.2,0.7,-0.3,0.33,12.52,0.3,0.4,3.08,,0.69,-0.23,0.36,0.04,0.28,0.45,4.25,2.69
1973-01-01,1.76,1.22,1.39,1.62,0.32,0.91,0.14,0.8,-0.06,0.75,0.3,1.52,4.88,3.81,-0.41,,0.35,1.31,0.25,0.16,18.15,0.69,0.77,4.39,,0.67,0.23,0.24,0.27,0.6,0.56,5.48,2.04
1974-01-01,-0.42,-0.82,-1.12,0.19,1.1,0.32,0.01,0.32,0.04,0.36,-0.43,0.91,2.08,2.88,-0.3,,0.27,0.6,0.4,0.35,2.04,0.58,0.26,0.0,,0.4,0.32,0.03,-0.13,-0.32,-0.14,-2.62,-0.67
1975-01-01,0.45,-0.27,-0.09,-0.5,0.01,-1.08,-0.09,-0.84,-0.33,-0.1,-0.56,-1.22,-4.49,-0.69,0.25,,0.03,-0.97,0.37,-0.14,-10.29,-0.38,-0.57,-1.99,,0.28,-0.22,-0.12,-0.52,0.43,-1.02,-3.37,-3.23
1976-01-01,-0.35,-0.2,1.68,0.72,1.38,-0.26,0.12,-0.05,-0.21,0.41,0.29,0.12,0.14,3.11,-0.22,,0.28,-0.05,0.02,0.12,6.04,0.38,0.31,0.42,,0.24,-0.6,0.09,0.29,-0.11,-0.08,2.58,1.81
1977-01-01,-0.06,0.66,2.21,2.73,1.57,1.34,-0.03,0.64,-0.16,-0.33,0.78,1.4,1.68,5.27,0.02,,0.11,0.11,0.14,0.98,15.26,0.01,0.64,3.02,,-0.11,0.22,0.16,0.22,0.05,0.03,5.27,2.13
1978-01-01,0.31,0.39,0.58,1.57,3.14,1.11,0.31,0.02,-0.05,0.07,0.44,1.16,2.97,6.67,-0.43,,0.3,0.83,-0.15,0.24,14.87,0.95,0.51,2.89,,0.47,0.47,0.14,0.36,-0.07,0.94,2.77,1.4
1979-01-01,0.47,1.11,-1.02,1.64,2.28,-0.45,0.16,0.26,-0.03,0.45,0.3,0.55,1.89,4.57,-0.72,,0.0,0.53,-0.07,0.05,8.07,0.58,0.49,1.19,,0.02,0.75,0.14,0.28,0.19,0.12,1.14,0.1
1980-01-01,-1.27,0.07,-1.38,1.12,2.39,-1.2,0.11,-0.12,-0.15,-0.33,0.21,-0.56,-1.16,3.82,0.26,,-0.04,0.01,-0.04,0.07,-4.35,0.21,-0.36,-2.59,,0.07,-0.35,0.0,-0.05,-0.03,-0.01,-4.68,-2.99
1981-01-01,-0.17,-0.44,1.14,0.42,2.9,-0.29,0.06,0.08,0.1,-0.03,0.13,-0.31,-0.44,4.11,0.02,,0.27,-0.17,0.97,0.1,3.66,0.14,-0.08,0.59,,0.27,-1.07,0.0,-0.02,0.28,-0.12,-0.61,-0.51
1982-01-01,-1.64,-0.55,0.04,0.05,1.38,-1.46,-0.22,-0.12,-0.15,-0.41,0.23,-0.57,-2.32,1.53,0.82,,0.62,-1.07,-1.03,0.06,-6.24,-0.61,0.21,-3.91,,0.03,-0.58,-0.06,0.0,-0.7,0.01,-2.36,-0.57
1983-01-01,-0.6,-0.02,2.28,-0.06,3.77,0.28,0.04,0.08,-0.1,-0.25,0.33,-0.63,-2.1,4.97,0.2,,0.25,-1.24,-0.93,-0.06,4.57,1.16,-0.13,-0.98,,-0.1,-0.31,0.18,0.04,-0.53,0.05,2.48,1.06
1984-01-01,0.18,-0.31,1.65,1.41,5.49,1.07,0.08,0.78,0.06,-0.17,0.78,1.33,3.42,8.85,-0.08,,0.29,0.74,-0.15,0.56,19.07,0.4,0.31,2.78,,0.68,0.29,0.18,0.51,-0.12,0.68,4.11,2.6
1985-01-01,-0.62,0.12,-0.12,0.77,2.53,0.27,0.04,-0.05,0.08,-0.05,0.22,0.42,1.07,3.29,0.03,,0.09,0.3,-0.13,0.1,5.41,-0.05,0.19,0.16,,-0.16,-0.09,0.12,0.19,-0.16,0.36,0.86,1.11
1986-01-01,-0.24,0.49,0.23,0.61,1.49,-0.15,0.03,-0.19,-0.11,-0.18,0.15,0.34,-0.11,2.45,-0.02,,0.08,-0.04,-0.36,0.01,1.13,0.26,0.23,-0.33,,0.0,-0.07,0.13,0.01,0.04,0.08,-0.86,-1.55
1987-01-01,0.07,0.17,-1.37,-0.03,2.46,-0.3,0.0,0.24,0.18,-0.25,0.36,-0.56,-0.59,1.49,-0.09,,0.24,-0.38,-0.02,-0.02,0.36,-1.17,0.27,0.62,,0.01,-0.12,0.07,0.25,0.1,0.17,-1.07,0.14
1988-01-01,0.71,0.16,0.9,1.36,1.5,-0.14,0.08,0.09,0.04,0.1,-0.19,0.36,1.2,3.11,0.15,0.38,0.26,0.26,0.07,0.01,6.48,-0.24,0.23,0.8,-0.37,0.21,0.24,0.06,0.05,-0.08,0.34,1.22,0.01
1989-01-01,0.5,-0.67,-1.1,-0.03,2.23,0.72,-0.02,0.1,0.09,0.16,0.6,0.06,1.68,3.28,0.02,-0.45,0.19,0.67,0.07,0.62,5.2,0.12,0.23,2.27,-0.04,0.17,0.26,0.01,0.18,-0.05,0.6,-2.05,-0.49
1990-01-01,0.3,0.79,0.5,0.42,-0.12,-0.04,-0.1,-0.11,-0.12,-0.01,-0.37,-0.24,-1.45,0.46,-0.03,-0.48,0.39,-0.37,-0.05,0.19,-2.04,-0.29,-0.12,-0.79,-1.06,-0.13,0.0,-0.05,-0.42,0.0,-0.6,-0.24,-1.54
1991-01-01,-0.7,0.15,0.14,-0.45,0.83,-1.3,-0.15,-0.26,0.15,0.01,-0.67,-0.64,-1.58,0.69,0.11,-0.15,0.27,-0.25,-0.1,0.03,-4.51,-0.09,-0.1,-3.22,-0.57,0.09,-0.08,-0.06,-0.21,0.0,-0.59,-0.51,-0.72
1992-01-01,-0.45,-0.07,-0.28,0.79,3.53,-0.06,0.01,0.05,-0.06,0.03,0.5,0.25,0.45,5.05,0.01,0.05,0.44,0.22,-0.05,0.13,5.85,0.12,0.05,-0.11,0.94,0.05,-0.05,0.05,-0.11,-0.12,-0.04,0.45,0.98
1993-01-01,0.37,-0.17,0.88,0.78,2.98,0.66,0.0,0.12,-0.04,-0.05,0.04,1.1,2.06,4.94,-0.48,1.32,0.47,0.38,0.31,-0.01,12.5,0.11,0.73,2.26,1.34,0.62,0.11,0.03,0.16,0.24,0.55,3.71,2.65
1994-01-01,0.29,-1.07,1.68,2.08,2.54,0.34,0.04,0.31,0.06,0.15,0.11,0.56,2.14,4.81,0.08,2.28,-0.2,0.7,-0.02,0.15,12.08,-0.01,0.44,1.43,0.56,0.24,0.25,0.01,0.24,-0.09,0.35,3.62,2.84
1995-01-01,0.04,0.77,-0.52,1.77,5.09,0.3,0.05,0.25,-0.15,0.07,0.25,0.71,2.34,6.9,-0.05,0.82,0.03,0.68,0.0,0.28,11.93,0.01,0.28,1.05,0.56,-0.28,0.07,0.02,0.13,-0.02,0.77,1.69,1.38
