Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Private fixed investment in structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1930-01-01,-7.8,,,-8.2,-6.8,-21.9,-17.5,3.5,-16.3,6.5,11.8,-45.8,-20.3,1.1,13.7,13.7,-7.9,-1.4,-7.4,,-37.6,-20.3,,-23.1,,-20.3,-14.4,-14.3,-20.3,-14.2,-20.3,-15.7,-7.300000000000001,-46.4,,-2.2,-0.4,-25.2,-24.7,-0.5,-38.5,-41.0,,13.7,-1.5,-20.3
1931-01-01,-27.1,,,-26.2,-8.6,-31.8,-39.7,-46.1,-61.3,-2.9,-37.5,-50.1,-41.5,-30.2,-25.5,-25.5,-36.7,-30.3,-28.3,,-52.0,-41.5,,-43.9,,-41.5,-35.6,-35.4,-41.5,-23.5,-41.4,-6.9,-29.1,-9.0,,-24.0,-31.2,-29.1,-28.5,-26.2,-15.3,-16.0,,-25.5,-30.2,-41.5
1932-01-01,-42.8,,,-41.2,6.3,-26.1,-40.4,-39.7,-29.9,-36.9,-45.8,-61.6,-40.0,-42.1,-42.8,-42.8,-26.4,-41.9,-45.3,,-62.9,-40.0,,25.6,,-40.0,-38.8,-38.4,-40.0,-27.2,-40.0,-43.7,-27.1,-54.9,,-44.7,-43.4,-42.9,-40.9,-38.3,-44.0,-50.4,,-42.8,-42.0,-40.0
1933-01-01,-17.8,,,-14.5,-7.6,3.8,-41.2,-47.4,-11.4,-70.5,-45.7,62.2,-36.8,-61.4,-69.6,-69.6,40.4,-15.9,-23.1,,134.6,-36.8,,-17.3,,-36.8,-22.4,-22.5,-36.8,6.0,-36.8,-52.4,-4.500000000000001,-37.1,,-49.4,-48.8,-21.7,-20.5,-49.1,-17.2,-20.0,,-69.6,-15.9,-36.8
1934-01-01,-12.3,,,-14.5,55.6,-11.9,15.8,-0.9,16.2,-14.4,1.2,35.2,18.3,-2.9,-17.4,-17.4,24.3,24.3,-8.3,,-7.2,18.3,,41.8,,18.3,12.8,12.4,18.3,-26.9,18.3,22.4,25.8,16.1,,12.1,8.7,14.6,19.6,-12.3,30.0,19.2,,-17.4,23.5,18.4
1935-01-01,-0.2,,,-2.9,-20.2,10.3,22.1,7.9,12.5,19.8,28.7,123.7,22.8,16.7,10.5,10.6,27.3,0.9,4.2,,-19.1,22.8,,21.6,,22.8,10.9,10.7,22.7,-18.1,22.7,23.8,4.7,90.0,,26.0,21.7,29.4,22.3,31.1,36.9,63.7,,10.6,0.9,22.8
1936-01-01,20.0,,,16.3,-12.4,15.6,31.2,25.5,13.2,120.4,53.3,26.4,29.9,43.8,59.0,58.9,12.3,18.8,25.7,,59.7,30.0,,19.1,,29.9,31.3,31.0,29.9,-11.5,29.9,44.8,0.7000000000000011,60.0,,48.6,43.8,37.1,28.1,13.9,24.7,44.8,,58.9,18.9,29.9
1937-01-01,18.1,,,17.9,-6.3,13.2,21.1,48.7,21.1,-9.4,44.9,18.8,19.0,39.1,56.6,56.6,-1.6,8.2,18.5,,64.5,19.0,,29.6,,19.0,26.8,26.7,19.0,22.4,19.0,5.3,3.6999999999999997,12.0,,23.5,28.0,18.3,17.6,11.3,7.6,8.9,,56.4,8.4,19.0
1938-01-01,19.5,,,18.1,-7.1,-25.0,-24.4,-5.4,-10.3,-5.1,21.5,-13.6,-27.4,-3.0,12.9,12.9,-10.6,-25.2,21.6,,-52.2,-27.4,,-13.4,,-27.4,-20.0,-19.6,-27.4,1.1,-27.4,-32.2,-10.75,4.5,,-3.2,-3.7,-10.6,-10.7,15.8,1.1,1.1,,13.1,-24.2,-27.4
1939-01-01,4.7,,,4.1,5.4,5.7,1.7,0.6,20.1,-2.4,14.3,14.7,3.4,-7.1,-11.4,-11.4,7.7,14.3,5.6,,13.7,3.4,,-6.0,,3.4,5.5,6.2,3.4,-1.4,3.4,19.2,25.849999999999998,39.3,,15.9,13.0,19.7,23.4,-6.3,40.6,33.1,,-11.6,14.0,3.3
