Date,"Population (midperiod, thousands)"
2013-04-01,316733.0
2013-07-01,317396.0
2013-10-01,318072.0
2014-01-01,318645.0
2014-04-01,319228.0
2014-07-01,319919.0
2014-10-01,320611.0
2015-01-01,321168.0
2015-04-01,321744.0
2015-07-01,322428.0
2015-10-01,323110.0
2016-01-01,323689.0
2016-04-01,324265.0
2016-07-01,324926.0
2016-10-01,325557.0
2017-01-01,326053.0
2017-04-01,326554.0
2017-07-01,327140.0
2017-10-01,327692.0
2018-01-01,328091.0
2018-04-01,328526.0
2018-07-01,329040.0
2018-10-01,329522.0
2019-01-01,329868.0
2019-04-01,330245.0
2019-07-01,330729.0
2019-10-01,331208.0
2020-01-01,331545.0
2020-04-01,331765.0
2020-07-01,331938.0
2020-10-01,332111.0
2021-01-01,332056.0
2021-04-01,332217.0
2021-07-01,332634.0
2021-10-01,333113.0
2022-01-01,333476.0
2022-04-01,333979.0
2022-07-01,334653.0
2022-10-01,335382.0
2023-01-01,336018.0
2023-04-01,336685.0
2023-07-01,337500.0
2023-10-01,338360.0
2024-01-01,339119.0
2024-04-01,339929.0
2024-07-01,340637.0
2024-10-01,341164.0
