Date,"Automotive vehicles, engines, and parts","Capital goods, except automotive",Charges for the use of intellectual property n.e.c.,"Civilian aircraft, engines, and parts","Computers, peripherals, and parts","Consumer goods, except food and automotive",Durable goods,Exports of agricultural goods,Exports of durable goods,Exports of goods,Exports of goods and services,Exports of nonagricultural goods,Exports of nondurable goods,Exports of services,"Foods, feeds, and beverages",Government goods and services n.e.c.,Imports of durable goods,Imports of goods,Imports of goods and services,Imports of nondurable goods,Imports of nonpetroleum goods,Imports of services,Industrial supplies and materials,Nondurable goods,"Nondurable goods, excluding petroleum and products",Other,Other business services,Petroleum and products,Transport,Travel (for all purposes including education)
1971-10-01,-29.4,-22.45,32.0,-29.999999999999996,36.0,-3.9499999999999993,1.875,-45.5,-28.2,-42.9,-32.1,-44.0,-59.7,8.4,-59.800000000000004,12.049999999999999,-14.8,-31.1,-24.5,-48.0,-35.4,-0.9,-46.3,-40.125,-44.5,-9.5,4.55,37.9,-25.35,24.65
1972-01-01,39.35,118.65,-2.5999999999999996,1214.0,229.35,146.5,101.7,91.4,56.6,81.2,53.8,83.3,128.5,-0.2,152.15,-19.35,78.2,90.8,72.5,109.6,103.4,27.4,119.45,160.5,114.2,52.9,11.65,-2.6,83.1,13.05
1972-04-01,8.200000000000001,-12.6,13.649999999999999,76.85,-40.1,-29.75,-13.775,-8.4,-2.5,-8.4,-11.1,-12.6,-16.7,-18.7,3.1000000000000014,-16.2,-9.8,-17.6,-13.5,-27.5,-18.6,0.9,-20.5,-33.975,-14.4,-4.3166666666666655,8.45,-4.0,-9.7,5.1
1972-07-01,6.55,10.799999999999999,-3.6500000000000004,-1.2999999999999998,7.0,40.65,19.400000000000002,30.6,20.2,24.1,26.3,22.3,30.1,32.7,41.1,32.15,4.7,18.2,8.6,40.3,15.6,-17.7,22.75,51.325,-0.8,19.333333333333332,-8.55,50.1,1.7000000000000002,5.5
1972-10-01,27.5,26.049999999999997,38.75,93.85000000000001,14.2,3.3000000000000003,25.075000000000003,68.0,22.4,30.9,18.1,26.8,44.1,-13.3,18.05,-18.450000000000003,28.9,20.1,19.3,9.0,19.5,16.4,43.7,20.925,20.1,14.549999999999999,11.95,24.1,24.400000000000002,9.4
1973-01-01,22.65,48.25,54.75,47.6,232.15,40.650000000000006,42.05,65.2,43.7,40.6,32.6,33.8,36.1,9.3,43.25,-41.05,24.8,22.4,19.8,19.4,18.2,11.2,22.25,27.425,9.1,23.483333333333334,22.0,70.8,81.1,23.65
1973-04-01,1.4499999999999993,16.0,-21.2,20.95,25.4,8.85,10.450000000000001,7.8,31.2,26.0,20.7,29.9,19.3,3.1,2.15,16.299999999999997,-16.2,-9.8,-11.0,0.0,-16.0,-15.4,9.75,10.375,-16.8,16.45,7.1,71.1,-15.149999999999999,-8.85
1973-07-01,-14.5,36.15,26.400000000000002,55.2,137.25,-4.95,0.8250000000000002,-32.4,12.0,-0.4,1.4,9.6,-14.6,8.1,-18.200000000000003,-39.45,-3.7,-6.1,-10.6,-9.2,-7.5,-25.6,1.7000000000000002,-3.9,-24.9,7.833333333333335,9.05,7.0,0.0,-3.25
1973-10-01,18.4,21.299999999999997,20.5,-5.65,31.65,1.3000000000000003,2.85,48.2,25.4,34.9,21.1,27.0,47.0,-22.6,36.6,-8.600000000000001,-2.4,3.0,3.0,9.6,-0.8,3.0,15.65,14.275,7.0,23.783333333333335,26.35,34.1,-9.95,-5.75
1974-01-01,36.25,3.0999999999999996,37.9,45.099999999999994,44.7,37.3,18.65,-22.9,14.3,1.4,5.3,8.3,-12.4,24.1,-9.3,-23.55,4.6,-17.6,-12.9,-36.3,3.4,9.4,-21.15,-1.9749999999999996,-9.7,116.41666666666664,855.05,-69.4,-5.449999999999999,9.0
