Date,Implicit price deflator for final sales of domestic product
2019-04-01,103.857
2019-07-01,104.203
2019-10-01,104.559
2020-01-01,105.004
2020-04-01,104.698
2020-07-01,105.579
2020-10-01,106.29
2021-01-01,107.655
2021-04-01,109.322
2021-07-01,111.015
2021-10-01,112.929
2022-01-01,115.255
2022-04-01,117.884
2022-07-01,119.189
2022-10-01,120.307
2023-01-01,121.371
2023-04-01,121.985
2023-07-01,122.951
2023-10-01,123.418
2024-01-01,124.342
2024-04-01,125.124
2024-07-01,125.734
2024-10-01,126.462
