Date,Compensation of general government employees,Consumption of general government fixed capital,Defense consumption expenditures,Durable goods,Federal consumption expenditures,Government consumption expenditures,Gross output of general government,Health and hospital charges,Intermediate goods and services purchased,Less: Own-account investment,Less: Sales to other sectors,Nondefense consumption expenditures,Nondurable goods,Other nondurable goods,Other sales,Services,State and local consumption expenditures,Tuition and related educational charges,Value added
1947-04-01,-10.3,-10.66,-25.9,37.519999999999996,-5.6,-1.8,12.3,2.5,179.14000000000001,6.5,-34.239999999999995,206.8,990.75,78.1,10.5,275.47999999999996,7.2,15.7,-9.02
1947-07-01,-2.38,-10.1,-1.7,303.64,-15.0,-8.1,-20.16,11.2,-1.9750000000000014,9.62,-55.279999999999994,-52.9,-11.833333333333334,-99.2,6.3,-40.480000000000004,7.4,10.9,-7.5
1947-10-01,-9.26,-9.48,7.0,-22.84,-13.7,-8.3,-15.579999999999998,24.8,-20.68,17.86,-28.72,-68.9,-27.65,9.0,-0.4,21.14,2.1,10.1,-15.920000000000002
1948-01-01,72.9,-8.72,-13.0,3181.92,-1.0,-2.8,26.3,14.8,78.5,37.839999999999996,1673.05,86.2,203.55,676.9,-11.5,208.26,-6.3,28.6,45.959999999999994
1948-04-01,-0.8599999999999997,-7.9399999999999995,-13.7,-25.8,16.6,11.1,33.959999999999994,17.8,61.98,48.9,-25.7,295.5,54.425,570.9,12.2,68.52000000000001,1.5,30.0,-3.28
1948-07-01,15.219999999999999,-7.08,-1.0,60.67999999999999,11.1,7.4,15.52,24.2,424.21999999999997,29.32,-11.8,62.0,2978.8250000000003,-8.6,-1.6,-15.66,0.8,27.4,5.7
1948-10-01,12.1,-6.24,11.1,35.160000000000004,16.4,12.5,22.2,20.0,76.86,29.4,1283.7,34.3,163.1,157.2,14.8,66.64,5.7,9.9,4.32
1949-01-01,-0.4,-5.26,-0.2,-9.74,-1.0,4.2,-2.24,18.6,-1.1600000000000008,-16.759999999999998,-63.08,-3.0,89.825,-90.9,19.9,-49.98,14.2,13.0,-3.7
1949-04-01,2.6,-5.0,-1.4,36.22,9.2,9.7,14.420000000000002,7.0,33.12,10.32,0.8800000000000004,45.1,34.625,163.1,23.4,134.4,10.8,12.7,-0.08000000000000007
1949-07-01,-0.9,-4.7,-3.3,34.54,-13.8,-5.5,-7.359999999999999,-6.1,70.22,38.92,518.12,-37.1,47.1,35.3,16.5,10.34,11.1,12.3,-2.52
1949-10-01,-8.7,-4.380000000000001,-18.8,-22.660000000000004,-16.5,-7.9,-9.6,-4.3,0.8000000000000014,8.739999999999998,-33.66,-9.2,24.75,-3.6,15.8,-20.720000000000002,8.4,-0.6,-8.1
1950-01-01,-3.5200000000000005,-4.0,1.4,251.32,-5.2,0.8,-2.48,-6.5,105.55999999999999,-2.32,-6.640000000000001,-21.5,80.67500000000001,-47.5,23.2,9.440000000000001,11.1,-15.0,-3.8
1950-04-01,19.16,-2.88,4.5,4.9,6.1,3.9,22.04,-7.9,2.1000000000000005,9.36,18635.425,10.0,5.324999999999999,-60.9,10.5,-8.92,0.5,8.7,12.260000000000002
1950-07-01,19.32,-1.6600000000000001,20.2,45.42,-18.0,-11.8,-22.32,-2.4,-38.839999999999996,81.46000000000001,-57.160000000000004,-80.9,-5.899999999999997,-8.3,-1.4,-28.360000000000003,-1.6,-15.3,11.98
1950-10-01,76.56,-0.3200000000000001,78.1,22.0,78.6,42.1,52.779999999999994,3.6,32.32,6.4799999999999995,10.04,82.5,21.924999999999997,-83.0,-3.4,40.08,-0.7,-7.2,46.28
1951-01-01,16.9,1.04,114.3,374.62,73.2,41.3,56.9,3.8,851.3,12.559999999999999,1373.2,-49.5,790.5999999999999,248.4,-11.5,4010.6400000000003,-2.5,5.0,7.679999999999998
1951-04-01,51.04,3.1,94.5,156.38,87.2,53.3,36.38,3.3,54.839999999999996,40.5,-70.16,46.9,-16.425,88.8,2.2,14.0,0.7,-4.1,35.6
1951-07-01,22.9,5.220000000000001,79.7,49.54,67.9,45.0,38.739999999999995,-7.0,123.4,34.0,-20.779999999999998,2.0,8.625,-10.5,2.8,273.02000000000004,2.5,8.6,16.9
1951-10-01,-1.34,7.32,15.2,131.52,13.7,10.4,7.94,7.3,34.62,5.26,-19.48,2.7,-11.05,307.1,0.3,51.720000000000006,2.4,-0.6,0.21999999999999983
1952-01-01,9.44,9.24,22.2,180.3,26.6,16.9,23.759999999999998,2.9,125.9,40.0,9.400000000000002,66.1,101.725,195.5,3.3,33.739999999999995,-4.5,12.1,9.48
1952-04-01,5.16,9.059999999999999,27.9,16.42,21.7,19.9,16.520000000000003,-0.2,48.42,18.24,1165.4,-17.6,85.89999999999999,-80.7,3.9,41.18,15.6,-0.3,6.1
1952-07-01,1.4600000000000002,8.86,7.4,23.2,10.3,4.0,5.62,5.5,18.020000000000003,19.64,1713.5200000000004,35.4,7.125,18.9,3.3,-2.339999999999999,-11.2,11.9,3.2600000000000002
1952-10-01,-4.2,8.64,6.2,9.080000000000002,6.0,6.0,6.68,1.0,26.060000000000002,10.219999999999999,123.88000000000002,4.0,33.875,-60.4,5.2,-3.9200000000000004,6.0,11.6,-1.2
1953-01-01,-1.6799999999999997,8.48,3.2,8.8,9.4,9.1,18.32,0.6,92.78,19.04,33.96,66.8,318.125,0.4,6.0,-44.38,8.0,11.4,0.6200000000000001
1953-04-01,-2.04,7.779999999999999,-3.6,80.42,10.0,6.9,26.5,12.3,107.24000000000001,-5.039999999999999,104.81999999999998,142.2,27.775,298.1,3.2,53.220000000000006,-1.4,10.8,0.31999999999999973
1953-07-01,-2.7800000000000002,7.26,-2.4,23.62,-9.9,-5.3,-9.9,4.8,-18.9,1.8200000000000007,-6.719999999999999,-43.0,-3.075,-5.1,0.8,85.32,9.0,-3.5,-0.3999999999999998
1953-10-01,-5.74,6.76,3.5,-14.780000000000001,4.1,2.9,3.4,15.0,12.14,-3.6,7.56,7.8,4.25,31.4,5.1,90.74,-0.3,6.8,-2.62
1954-01-01,-4.46,6.24,-30.0,-29.2,-23.7,-16.5,-7.92,5.2,-13.86,4.62,49.12,24.6,-48.275,-23.6,2.8,-11.499999999999998,6.0,6.4,-1.6800000000000002
1954-04-01,-0.7,5.42,-14.5,-2.46,-19.5,-13.8,-13.6,18.4,-31.54,-2.8,2378.32,-42.5,-16.825,-11.0,8.7,-46.18,2.4,17.0,1.08
