Date,Durable goods,Farm,Final sales of domestic business,Final sales of goods and structures of domestic business,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Private inventories,Retail trade,Wholesale trade
1947-01-01,9941.5,48597.0,15858.0,12116.0,22866.0,,,11440.5,44209.0,,2890.0,92806.0,10033.0,8420.0
1947-04-01,10217.0,48855.0,16177.0,12412.0,23281.0,,,11570.0,45090.0,,3032.0,93945.0,10162.0,8615.0
1947-07-01,10601.5,53704.0,16766.0,12890.0,23675.0,,,11383.25,45596.0,,3253.0,99300.0,10086.0,8582.0
1947-10-01,10782.5,59029.0,17239.0,13347.0,24584.0,,,12202.5,47702.0,,3464.0,106731.0,10999.0,8655.0
1948-01-01,11207.0,53657.0,17469.0,13563.0,25228.0,,,12635.0,49404.0,,3440.0,103061.0,11894.0,8842.0
1948-04-01,11482.5,53988.0,17719.0,13711.0,25961.0,,,12919.0,50579.0,,3552.0,104567.0,12041.0,9025.0
1948-07-01,12183.0,50962.0,18006.0,13960.0,26942.0,,,13241.25,52705.0,,3713.0,103667.0,12464.0,9586.0
1948-10-01,12597.5,48063.0,18044.0,13946.0,27290.0,,,13172.5,53438.0,,3796.0,101501.0,12753.0,9599.0
1949-01-01,12609.0,47012.0,17966.0,13822.0,27064.0,,,12710.0,52533.0,,3790.0,99545.0,12226.0,9453.0
1949-04-01,11910.5,44760.0,18020.0,13870.0,25603.0,,,12296.5,50190.0,,3552.0,94950.0,11858.0,9177.0
1949-07-01,11865.5,44667.0,17847.0,13728.0,24754.0,,,12092.25,49605.0,,3379.0,94272.0,12319.0,9153.0
1949-10-01,11643.5,43120.0,17905.0,13803.0,24255.0,,,11991.0,48899.0,,3260.0,92019.0,11841.0,9543.0
1950-01-01,11466.0,44308.0,18139.0,13982.0,24632.0,,,12381.75,49372.0,,3353.0,93680.0,11981.0,9406.0
1950-04-01,11956.5,46154.0,18743.0,14516.0,25181.0,,,12581.75,50789.0,,3425.0,96943.0,12376.0,9807.0
1950-07-01,12606.0,49148.0,20165.0,15743.0,26660.0,,,13557.25,54146.0,,3639.0,103294.0,13520.0,10327.0
1950-10-01,14269.5,54198.0,19977.0,15503.0,29534.0,,,14626.75,59848.0,,4111.0,114046.0,14928.0,11275.0
1951-01-01,15244.0,58049.0,20937.0,16362.0,32016.0,,,15878.75,64395.0,,4299.0,122444.0,16145.0,11935.0
1951-04-01,16257.0,56471.0,20952.0,16171.0,34114.0,,,16196.0,67100.0,,4388.0,123571.0,16327.0,12271.0
1951-07-01,16972.0,56928.0,21487.0,16645.0,35584.0,,,15841.0,67860.0,,4468.0,124788.0,15726.0,12082.0
1951-10-01,17260.0,58906.0,22056.0,17162.0,36580.0,,,15859.25,68552.0,,4627.0,127458.0,15393.0,11952.0
1952-01-01,17549.5,56934.0,22166.0,17189.0,37613.0,,,15809.5,69096.0,,4756.0,126030.0,14961.0,11766.0
1952-04-01,17290.5,56405.0,22398.0,17308.0,36936.0,,,15444.75,67855.0,,4769.0,124260.0,14530.0,11620.0
1952-07-01,17447.0,54248.0,22191.0,17037.0,37280.0,,,15725.5,68736.0,,4782.0,122984.0,14804.0,11870.0
1952-10-01,17852.5,49643.0,23083.0,17866.0,37500.0,,,15659.0,69372.0,,4698.0,119015.0,15160.0,12014.0
1953-01-01,18361.0,47445.0,23633.0,18284.0,38109.0,,,15534.75,70123.0,,4663.0,117568.0,15316.0,12035.0
1953-04-01,18905.0,45445.0,23779.0,18359.0,38967.0,,,15655.75,71407.0,,4571.0,116852.0,15713.0,12156.0
1953-07-01,19424.0,44668.0,23874.0,18375.0,39698.0,,,15688.75,72483.0,,4515.0,117151.0,15943.0,12327.0
1953-10-01,19073.5,45642.0,23671.0,18196.0,39239.0,,,15574.25,71487.0,,4383.0,117129.0,15722.0,12143.0
1954-01-01,18669.5,46393.0,23779.0,18175.0,38454.0,,,15714.5,70965.0,,4394.0,117358.0,15776.0,12341.0
1954-04-01,18305.5,45584.0,24032.0,18377.0,37708.0,,,15765.25,70316.0,,4349.0,115900.0,15810.0,12449.0
1954-07-01,18196.0,45617.0,24319.0,18511.0,37238.0,,,15700.25,69993.0,,4401.0,115610.0,15955.0,12399.0
1954-10-01,18243.5,45052.0,24767.0,18929.0,37393.0,,,15647.5,70002.0,,4440.0,115054.0,15815.0,12354.0
1955-01-01,18639.0,45409.0,25400.0,19441.0,37781.0,,,15838.0,71161.0,,4414.0,116570.0,16478.0,12488.0
1955-04-01,19252.0,43080.0,25814.0,20037.0,38535.0,,,16011.5,72753.0,,4452.0,115833.0,16910.0,12856.0
1955-07-01,20041.5,41168.0,26469.0,20481.0,39896.0,,,16248.5,74841.0,,4522.0,116009.0,17294.0,13129.0
1955-10-01,20939.0,38877.0,26777.0,20586.0,41238.0,,,16491.75,77136.0,,4549.0,116013.0,17952.0,13397.0
1956-01-01,21682.0,39517.0,27021.0,20725.0,42876.0,,,16821.25,79370.0,,4727.0,118887.0,18179.0,13588.0
1956-04-01,22119.0,41375.0,27492.0,21140.0,44415.0,,,17360.5,81386.0,,4854.0,122761.0,18357.0,13760.0
