Date,Consumption expenditures,Consumption of fixed capital,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer payments to the rest of the world,Current transfer receipts,Federal grants-in-aid,From business (net),From persons,From the rest of the world,Government social benefit payments to persons,Gross government investment,Income receipts on assets,Interest payments,Net state and local government saving,Personal current taxes,Subsidies,Taxes on corporate income,Taxes on production and imports,To persons and business,To the rest of the world
2003-07-01,264466.0,33870.0,5131.0,400913.0,368492.0,-458.0,247784.0,89759.0,0.0,98080.0,77055.0,8532.0,12493.0,0.0,89759.0,77544.0,17956.0,46938.0,-32421.0,58541.0,-250.0,8390.0,180853.0,46938.0,
2003-10-01,284963.0,34201.0,5488.0,420924.0,380701.0,-694.0,251414.0,89244.0,0.0,106481.0,84917.0,8769.0,12795.0,0.0,89244.0,67747.0,18013.0,46492.0,-40223.0,59929.0,226.0,9045.0,182440.0,46492.0,
2004-01-01,285762.0,34637.0,5853.0,423234.0,384903.0,-903.0,257509.0,92528.0,0.0,104274.0,82211.0,8974.0,13090.0,0.0,92528.0,57587.0,18170.0,44851.0,-38331.0,59756.0,93.0,9457.0,188295.0,44851.0,
2004-04-01,296492.0,35448.0,6131.0,439388.0,393243.0,-1134.0,260066.0,99084.0,0.0,109634.0,87146.0,9141.0,13346.0,0.0,99084.0,70989.0,18546.0,43720.0,-46145.0,58587.0,92.0,10199.0,191281.0,43720.0,
2004-07-01,279337.0,36550.0,6303.0,417950.0,390029.0,-1318.0,266753.0,95429.0,0.0,99230.0,76458.0,9208.0,13564.0,0.0,95429.0,79170.0,19060.0,43092.0,-27922.0,61926.0,92.0,10972.0,193854.0,43092.0,
2004-10-01,306624.0,37597.0,6367.0,447615.0,410210.0,-1412.0,275941.0,97926.0,0.0,109419.0,86501.0,9174.0,13743.0,0.0,97926.0,70039.0,19894.0,42973.0,-37405.0,65456.0,92.0,11080.0,199405.0,42973.0,
2005-01-01,300692.0,38119.0,6337.0,442229.0,419876.0,-1273.0,285634.0,98075.0,0.0,108738.0,85784.0,9070.0,13884.0,0.0,98075.0,59541.0,20440.0,43370.0,-22354.0,67344.0,92.0,13825.0,204465.0,43370.0,
2005-04-01,314227.0,38997.0,6247.0,463238.0,429088.0,-1296.0,289827.0,105025.0,0.0,112967.0,89886.0,9043.0,14037.0,0.0,105025.0,74427.0,21343.0,43893.0,-34150.0,67611.0,93.0,13244.0,208972.0,43893.0,
2005-07-01,299361.0,40025.0,6109.0,445126.0,425402.0,-1405.0,295253.0,101126.0,0.0,103058.0,79731.0,9123.0,14204.0,0.0,101126.0,83694.0,22387.0,44547.0,-19724.0,68988.0,93.0,13327.0,212939.0,44547.0,
2005-10-01,321973.0,40746.0,5922.0,469716.0,442261.0,-1503.0,302494.0,102317.0,0.0,111802.0,88109.0,9310.0,14383.0,0.0,102317.0,73610.0,23546.0,45333.0,-27455.0,71296.0,93.0,14547.0,216651.0,45333.0,
2006-01-01,322229.0,41231.0,5691.0,465428.0,447125.0,-1637.0,309326.0,96857.0,0.0,108840.0,85107.0,9337.0,14395.0,0.0,96857.0,64076.0,24904.0,46250.0,-18304.0,73733.0,93.0,14912.0,220681.0,46250.0,
2006-04-01,332581.0,42333.0,5467.0,481813.0,458480.0,-1992.0,315646.0,102155.0,0.0,113190.0,89277.0,9478.0,14435.0,0.0,102155.0,81356.0,26169.0,46984.0,-23333.0,77520.0,93.0,15079.0,223047.0,46984.0,
2006-07-01,314747.0,43133.0,5251.0,464785.0,451084.0,-2352.0,315844.0,102410.0,0.0,105069.0,80990.0,9578.0,14502.0,0.0,102410.0,90328.0,27272.0,47535.0,-13701.0,74434.0,93.0,15441.0,225969.0,47535.0,
2006-10-01,337849.0,44342.0,5044.0,488330.0,457712.0,-2896.0,317333.0,102499.0,0.0,109874.0,85642.0,9637.0,14595.0,0.0,102499.0,79492.0,28358.0,47888.0,-30617.0,75428.0,93.0,13810.0,228096.0,47888.0,
2007-01-01,344574.0,45641.0,4857.0,501438.0,472500.0,-3460.0,327919.0,108317.0,0.0,113918.0,89546.0,9656.0,14716.0,0.0,108317.0,69550.0,29266.0,48077.0,-28938.0,80136.0,470.0,14799.0,232984.0,48077.0,
2007-04-01,355513.0,46463.0,4719.0,514527.0,481216.0,-3922.0,332697.0,108224.0,0.0,118018.0,93431.0,9743.0,14845.0,0.0,108224.0,87082.0,29704.0,48125.0,-33311.0,83000.0,2665.0,14859.0,234838.0,48125.0,
2007-07-01,335869.0,47253.0,4637.0,492461.0,468095.0,-4305.0,329078.0,106377.0,0.0,108891.0,84011.0,9899.0,14982.0,0.0,106377.0,98072.0,29793.0,48027.0,-24366.0,79898.0,2188.0,14074.0,235105.0,48027.0,
2007-10-01,361588.0,48146.0,4616.0,522284.0,478551.0,-4610.0,331978.0,111076.0,0.0,117360.0,92110.0,10123.0,15127.0,0.0,111076.0,87283.0,29207.0,47810.0,-43734.0,78554.0,1810.0,14147.0,239277.0,47810.0,
2008-01-01,363597.0,48990.0,4642.0,523541.0,479278.0,-4802.0,334030.0,111489.0,0.0,117243.0,91546.0,10416.0,15280.0,0.0,111489.0,73928.0,28164.0,47459.0,-44263.0,83350.0,996.0,12551.0,238130.0,46729.0,730.0
2008-04-01,376334.0,49737.0,4669.0,539675.0,491704.0,-4860.0,343037.0,113869.0,0.0,121874.0,95883.0,10613.0,15377.0,0.0,113869.0,91372.0,26984.0,48735.0,-47971.0,90281.0,737.0,12905.0,239852.0,47973.0,762.0
2008-07-01,358257.0,50659.0,4686.0,525262.0,473510.0,-4868.0,335360.0,114865.0,0.0,112510.0,86378.0,10715.0,15417.0,0.0,114865.0,103341.0,25823.0,51601.0,-51751.0,80957.0,538.0,13210.0,241193.0,50821.0,780.0
2008-10-01,374981.0,51774.0,4693.0,547676.0,469601.0,-4794.0,321629.0,115886.0,0.0,123483.0,97362.0,10720.0,15401.0,0.0,115886.0,89265.0,24592.0,56111.0,-78075.0,76283.0,699.0,8768.0,236578.0,55388.0,723.0
2009-01-01,369001.0,52326.0,4694.0,550380.0,467407.0,-4495.0,313526.0,118632.0,0.0,130548.0,104590.0,10629.0,15329.0,0.0,118632.0,75574.0,23134.0,62248.0,-82973.0,70283.0,500.0,10935.0,232308.0,61547.0,700.0
2009-04-01,381509.0,52256.0,4671.0,573156.0,483373.0,-4206.0,312065.0,124849.0,0.0,148895.0,123166.0,10508.0,15222.0,0.0,124849.0,93329.0,21947.0,66498.0,-89783.0,68898.0,301.0,12406.0,230761.0,65886.0,612.0
2009-07-01,358068.0,52163.0,4631.0,551858.0,474461.0,-4120.0,317990.0,124603.0,0.0,134775.0,109339.0,10356.0,15080.0,0.0,124603.0,103890.0,21185.0,68885.0,-77397.0,73326.0,302.0,10320.0,234344.0,68277.0,608.0
2009-10-01,386688.0,52382.0,4573.0,581478.0,489335.0,-4197.0,322187.0,125096.0,0.0,146101.0,121024.0,10174.0,14903.0,0.0,125096.0,87495.0,20672.0,69391.0,-92142.0,73318.0,303.0,10848.0,238020.0,68769.0,621.0
2010-01-01,374974.0,52748.0,4488.0,569916.0,490349.0,-4438.0,321268.0,126514.0,0.0,148598.0,123945.0,9961.0,14692.0,0.0,126514.0,70881.0,20434.0,68024.0,-79567.0,72105.0,405.0,11265.0,237898.0,67421.0,603.0
2010-04-01,388049.0,53179.0,4432.0,586135.0,494032.0,-4538.0,321800.0,130589.0,0.0,152132.0,127405.0,10119.0,14609.0,0.0,130589.0,88786.0,20206.0,66967.0,-92102.0,69505.0,530.0,10858.0,241437.0,66394.0,573.0
2010-07-01,359146.0,53543.0,4415.0,557034.0,495450.0,-4477.0,328354.0,131280.0,0.0,147105.0,122324.0,10127.0,14654.0,0.0,131280.0,101159.0,20054.0,66214.0,-61583.0,74457.0,394.0,11362.0,242534.0,65657.0,557.0
2010-10-01,385971.0,53943.0,4433.0,587519.0,511818.0,-4230.0,335017.0,135544.0,0.0,156536.0,131571.0,10137.0,14828.0,0.0,135544.0,86429.0,20063.0,65766.0,-75701.0,77983.0,238.0,12609.0,244425.0,65182.0,584.0
2011-01-01,375549.0,54467.0,4475.0,577827.0,507804.0,-3828.0,337598.0,136443.0,0.0,149613.0,124076.0,10407.0,15130.0,0.0,136443.0,70285.0,19947.0,65621.0,-70023.0,78795.0,214.0,12103.0,246700.0,64992.0,630.0
2011-04-01,389855.0,55184.0,4488.0,589174.0,518191.0,-3460.0,341394.0,133314.0,0.0,155857.0,129928.0,10514.0,15414.0,0.0,133314.0,86720.0,19913.0,65895.0,-70983.0,79850.0,110.0,12438.0,249105.0,65248.0,647.0
2011-07-01,362734.0,55947.0,4471.0,559436.0,496192.0,-3099.0,342032.0,130021.0,0.0,132935.0,106734.0,10519.0,15681.0,0.0,130021.0,98408.0,19853.0,66571.0,-63244.0,81800.0,111.0,11603.0,248629.0,65922.0,650.0
2011-10-01,379077.0,56619.0,4420.0,577774.0,504982.0,-2718.0,345392.0,130906.0,0.0,138060.0,111748.0,10381.0,15931.0,0.0,130906.0,85540.0,19827.0,67678.0,-72792.0,82484.0,112.0,12241.0,250667.0,67038.0,640.0
2012-01-01,380233.0,57225.0,4349.0,580579.0,506519.0,-2303.0,349048.0,131019.0,0.0,135730.0,109466.0,10101.0,16163.0,0.0,131019.0,69634.0,19697.0,69213.0,-74059.0,82518.0,113.0,12294.0,254236.0,68506.0,708.0
2012-04-01,385684.0,57841.0,4293.0,592699.0,514863.0,-1991.0,351515.0,136651.0,0.0,141338.0,115031.0,9988.0,16318.0,0.0,136651.0,86236.0,19709.0,70250.0,-77836.0,84258.0,114.0,12381.0,254876.0,69523.0,726.0
2012-07-01,361514.0,58311.0,4273.0,567634.0,508327.0,-1758.0,353721.0,135205.0,0.0,132409.0,105968.0,10044.0,16397.0,0.0,135205.0,96078.0,19682.0,70799.0,-59306.0,86558.0,115.0,13015.0,254148.0,70084.0,715.0
2012-10-01,388291.0,58604.0,4286.0,597143.0,523549.0,-1583.0,360461.0,137876.0,0.0,140647.0,113981.0,10269.0,16398.0,0.0,137876.0,81795.0,19738.0,70860.0,-73594.0,89795.0,116.0,12976.0,257690.0,70190.0,671.0
2013-01-01,391121.0,58988.0,4322.0,597117.0,530152.0,-1488.0,370752.0,136606.0,0.0,136869.0,109461.0,10840.0,16542.0,26.0,136606.0,67311.0,19696.0,69273.0,-66965.0,94328.0,117.0,13153.0,263271.0,68599.0,674.0
2013-04-01,401474.0,59449.0,4374.0,610756.0,542128.0,-1530.0,374179.0,141223.0,0.0,145423.0,117441.0,11241.0,16720.0,21.0,141223.0,84511.0,19682.0,67942.0,-68628.0,96864.0,118.0,13582.0,263732.0,67315.0,627.0
2013-07-01,378839.0,59938.0,4442.0,588501.0,532611.0,-1472.0,371287.0,142653.0,0.0,138550.0,110134.0,11471.0,16930.0,16.0,142653.0,96303.0,19804.0,66890.0,-55890.0,92010.0,119.0,13320.0,265958.0,66262.0,628.0
2013-10-01,402884.0,60555.0,4521.0,613015.0,538487.0,-1351.0,372475.0,143901.0,0.0,142894.0,113097.0,12588.0,17173.0,36.0,143901.0,82750.0,19948.0,66110.0,-74528.0,91483.0,121.0,13606.0,267385.0,65489.0,621.0
2014-01-01,400633.0,61090.0,4610.0,612647.0,546735.0,-1168.0,377789.0,146216.0,0.0,145380.0,116487.0,11418.0,17450.0,26.0,146216.0,67678.0,20124.0,65676.0,-65911.0,94171.0,122.0,13798.0,269820.0,65031.0,645.0
2014-04-01,410883.0,61552.0,4678.0,628391.0,565747.0,-1004.0,381295.0,151941.0,0.0,160449.0,126067.0,11404.0,17750.0,5228.0,151941.0,86771.0,20328.0,65445.0,-62645.0,92624.0,123.0,13827.0,274844.0,64810.0,635.0
2014-07-01,387849.0,62054.0,4720.0,612013.0,567454.0,-902.0,387948.0,158588.0,0.0,155319.0,124509.0,12724.0,18074.0,12.0,158588.0,99114.0,20368.0,65452.0,-44560.0,96622.0,124.0,14273.0,277054.0,64830.0,623.0
2014-10-01,412625.0,62360.0,4739.0,639237.0,574799.0,-778.0,392295.0,160796.0,0.0,158092.0,127971.0,11672.0,18422.0,26.0,160796.0,85982.0,20451.0,65690.0,-64438.0,98537.0,125.0,14451.0,279307.0,65062.0,628.0
2015-01-01,404478.0,62549.0,4750.0,633761.0,579167.0,-593.0,392911.0,163007.0,0.0,161903.0,131127.0,11954.0,18795.0,27.0,163007.0,71061.0,20196.0,66149.0,-54594.0,99106.0,127.0,14333.0,279472.0,65508.0,641.0
2015-04-01,420839.0,63024.0,4775.0,654504.0,590315.0,-508.0,399905.0,166801.0,0.0,166036.0,134269.0,12202.0,19065.0,500.0,166801.0,92731.0,20106.0,66736.0,-64188.0,104054.0,128.0,14407.0,281445.0,66117.0,619.0
2015-07-01,398308.0,63426.0,4822.0,633509.0,586823.0,-438.0,400252.0,167593.0,0.0,162073.0,130405.0,12416.0,19232.0,20.0,167593.0,105913.0,20113.0,67478.0,-46686.0,101854.0,129.0,13888.0,284511.0,66852.0,625.0
2015-10-01,428616.0,63640.0,4887.0,665000.0,613908.0,-374.0,402892.0,167879.0,0.0,186261.0,137270.0,29667.0,19297.0,26.0,167879.0,88696.0,20242.0,68375.0,-51092.0,103295.0,130.0,13434.0,286162.0,67759.0,616.0
2016-01-01,413336.0,63786.0,4955.0,652783.0,595723.0,-362.0,401206.0,169961.0,0.0,169536.0,136737.0,13515.0,19259.0,24.0,169961.0,77124.0,20388.0,69354.0,-57060.0,99631.0,132.0,13319.0,288256.0,68759.0,595.0
2016-04-01,432232.0,64563.0,4994.0,674765.0,600177.0,-542.0,405140.0,172116.0,0.0,170143.0,137815.0,13039.0,19269.0,20.0,172116.0,96082.0,20443.0,70284.0,-74587.0,101818.0,133.0,13100.0,290222.0,69563.0,721.0
2016-07-01,413824.0,64938.0,5012.0,659476.0,610228.0,-796.0,413791.0,174366.0,0.0,171593.0,139425.0,12817.0,19327.0,25.0,174366.0,107596.0,20627.0,71152.0,-49248.0,104683.0,134.0,13218.0,295890.0,70408.0,744.0
2016-10-01,431666.0,65546.0,4999.0,680396.0,619132.0,-1144.0,415707.0,176616.0,0.0,178708.0,142760.0,16498.0,19433.0,18.0,176616.0,93817.0,20862.0,71979.0,-61264.0,104674.0,135.0,13545.0,297489.0,71116.0,863.0
2017-01-01,433939.0,66283.0,4958.0,683099.0,620481.0,-1652.0,422193.0,176243.0,0.0,173809.0,141587.0,12607.0,19586.0,29.0,176243.0,80306.0,21173.0,72781.0,-62618.0,106065.0,137.0,13785.0,302342.0,71994.0,787.0
2017-04-01,440125.0,66977.0,4938.0,688910.0,614899.0,-1907.0,421946.0,175569.0,0.0,168368.0,135948.0,12590.0,19794.0,37.0,175569.0,100795.0,21555.0,73078.0,-74011.0,103045.0,138.0,13460.0,305441.0,72319.0,758.0
2017-07-01,418095.0,67847.0,4949.0,670608.0,629115.0,-1960.0,431559.0,179492.0,0.0,172562.0,139768.0,12696.0,20056.0,43.0,179492.0,113302.0,22004.0,72881.0,-41493.0,107963.0,139.0,13551.0,310045.0,72060.0,821.0
2017-10-01,445054.0,68608.0,4997.0,695752.0,649032.0,-1814.0,447003.0,178349.0,0.0,176450.0,143110.0,12924.0,20372.0,44.0,178349.0,99471.0,22396.0,72210.0,-46721.0,118657.0,141.0,13637.0,314709.0,71348.0,861.0
2018-01-01,450948.0,69643.0,5049.0,702264.0,657943.0,-1565.0,450593.0,180141.0,0.0,181144.0,146363.0,13322.0,20843.0,616.0,180141.0,85226.0,22722.0,71033.0,-44322.0,118571.0,142.0,13717.0,318305.0,70153.0,880.0
2018-04-01,462057.0,70916.0,5088.0,716155.0,656136.0,-1661.0,449141.0,183226.0,0.0,180362.0,145518.0,13576.0,21157.0,111.0,183226.0,109649.0,23206.0,70728.0,-60019.0,112723.0,143.0,15104.0,321314.0,69799.0,929.0
2018-07-01,440665.0,71780.0,5138.0,696534.0,662456.0,-2013.0,455552.0,184368.0,0.0,180225.0,144978.0,13762.0,21445.0,40.0,184368.0,122501.0,23555.0,71357.0,-34078.0,115112.0,145.0,15399.0,325040.0,70413.0,945.0
2018-10-01,471645.0,72813.0,5155.0,728075.0,666629.0,-2672.0,458344.0,183385.0,0.0,182045.0,145711.0,13880.0,21708.0,746.0,183385.0,101395.0,23757.0,72899.0,-61446.0,113456.0,146.0,15909.0,328980.0,71979.0,920.0
2019-01-01,470718.0,73475.0,5206.0,732354.0,680339.0,-3604.0,469707.0,186030.0,0.0,184951.0,148954.0,13879.0,21909.0,209.0,186030.0,88876.0,24079.0,75457.0,-52015.0,118379.0,148.0,17954.0,333374.0,74568.0,889.0
2019-04-01,487916.0,74537.0,5188.0,755537.0,707045.0,-3927.0,489720.0,190569.0,0.0,191936.0,155002.0,13935.0,22097.0,901.0,190569.0,115703.0,24128.0,76903.0,-48492.0,132758.0,149.0,19206.0,337755.0,76020.0,884.0
2019-07-01,466485.0,75227.0,5150.0,736986.0,700794.0,-3532.0,486599.0,193095.0,0.0,188447.0,151802.0,14039.0,22274.0,333.0,193095.0,128735.0,24131.0,77256.0,-36191.0,123888.0,151.0,18519.0,344192.0,76276.0,980.0
2019-10-01,499695.0,75714.0,5113.0,769388.0,700287.0,-2444.0,483480.0,193039.0,0.0,189928.0,153186.0,14189.0,22438.0,114.0,193039.0,108367.0,24210.0,76501.0,-69101.0,122515.0,152.0,17571.0,343394.0,75503.0,998.0
2020-01-01,501030.0,76267.0,5067.0,766068.0,707219.0,-1323.0,482510.0,190219.0,0.0,197038.0,159988.0,14387.0,22590.0,72.0,190219.0,96527.0,23928.0,74666.0,-58849.0,123125.0,154.0,16115.0,343270.0,73569.0,1096.0
2020-04-01,513245.0,76468.0,4823.0,789475.0,875239.0,-1653.0,460089.0,202795.0,0.0,388134.0,350403.0,14556.0,22880.0,296.0,202795.0,117418.0,23845.0,73279.0,85764.0,121303.0,155.0,16605.0,322181.0,72430.0,849.0
2020-07-01,486788.0,77579.0,4971.0,771989.0,742233.0,-3114.0,495814.0,212601.0,0.0,221014.0,182968.0,14696.0,23307.0,43.0,212601.0,128304.0,23549.0,72444.0,-29756.0,127899.0,157.0,20373.0,347541.0,71572.0,871.0
2020-10-01,522501.0,78387.0,5154.0,804798.0,756397.0,-2146.0,505618.0,210085.0,0.0,224240.0,185339.0,14958.0,23873.0,70.0,210085.0,110808.0,23532.0,72053.0,-48401.0,132097.0,158.0,20596.0,352925.0,71173.0,880.0
2021-01-01,514663.0,79888.0,5314.0,804950.0,779763.0,-4547.0,519571.0,217399.0,0.0,236163.0,195753.0,15464.0,24576.0,371.0,217399.0,95424.0,23263.0,72253.0,-25186.0,139748.0,635.0,20783.0,359040.0,71359.0,894.0
2021-04-01,542298.0,82121.0,5502.0,844088.0,1030604.0,-5376.0,551032.0,228434.0,0.0,456381.0,415940.0,15060.0,25255.0,127.0,228434.0,116119.0,23064.0,71202.0,186516.0,146530.0,2153.0,23433.0,381069.0,70378.0,824.0
2021-07-01,527699.0,84276.0,5657.0,827764.0,892744.0,-4709.0,558526.0,230976.0,0.0,310318.0,269030.0,15316.0,25909.0,62.0,230976.0,127198.0,22951.0,68926.0,64979.0,144108.0,163.0,29833.0,384586.0,68012.0,914.0
2021-10-01,567848.0,86967.0,5781.0,864382.0,883435.0,-3537.0,586597.0,230888.0,0.0,271605.0,229366.0,15658.0,26540.0,42.0,230888.0,109050.0,22988.0,65483.0,19052.0,149765.0,164.0,42017.0,394815.0,64554.0,929.0
2022-01-01,558826.0,89876.0,5842.0,863268.0,913657.0,-2071.0,608194.0,243388.0,0.0,278586.0,235212.0,16086.0,27146.0,141.0,243388.0,97842.0,23106.0,60888.0,50389.0,164171.0,165.0,42699.0,401324.0,59918.0,970.0
2022-04-01,595552.0,93154.0,5782.0,906951.0,942174.0,-2333.0,623710.0,252644.0,0.0,291853.0,244513.0,19655.0,27629.0,56.0,252644.0,122074.0,23161.0,58589.0,35223.0,173263.0,166.0,39393.0,411054.0,57616.0,973.0
2022-07-01,579547.0,95534.0,5669.0,896493.0,912791.0,-3257.0,605958.0,258174.0,0.0,280959.0,235215.0,17697.0,27989.0,57.0,258174.0,138673.0,23462.0,58604.0,16298.0,149155.0,168.0,39765.0,417038.0,57680.0,923.0
2022-10-01,599739.0,97168.0,5461.0,935051.0,921466.0,-5052.0,611659.0,274096.0,0.0,285504.0,233348.0,17012.0,28226.0,6918.0,274096.0,120476.0,23894.0,61047.0,-13586.0,151889.0,169.0,40548.0,419222.0,60195.0,852.0
2023-01-01,599847.0,98756.0,5189.0,936980.0,925297.0,-6464.0,608592.0,270820.0,0.0,293819.0,248073.0,17200.0,28340.0,206.0,270820.0,108572.0,24161.0,66142.0,-11683.0,144488.0,170.0,39665.0,424438.0,65255.0,887.0
2023-04-01,603363.0,99265.0,5137.0,950678.0,931575.0,-7461.0,613375.0,277804.0,0.0,295964.0,250077.0,17362.0,28486.0,39.0,277804.0,139879.0,24560.0,69340.0,-19103.0,145407.0,171.0,40608.0,427359.0,68389.0,950.0
2023-07-01,587817.0,99929.0,5306.0,926104.0,914519.0,-7978.0,623839.0,267338.0,0.0,268926.0,222718.0,17497.0,28665.0,45.0,267338.0,156866.0,24426.0,70777.0,-11585.0,151379.0,173.0,41472.0,430989.0,69845.0,933.0
2023-10-01,612748.0,100698.0,5688.0,948562.0,929362.0,-8003.0,630817.0,265231.0,0.0,276322.0,229789.0,17606.0,28878.0,49.0,265231.0,138804.0,24539.0,70409.0,-19200.0,153013.0,174.0,41718.0,436085.0,69537.0,872.0
2024-01-01,611363.0,101684.0,6243.0,958261.0,952422.0,-8043.0,635172.0,278333.0,0.0,294656.0,236078.0,29337.0,29123.0,119.0,278333.0,122559.0,24395.0,68389.0,-5839.0,152381.0,176.0,42594.0,440197.0,67471.0,918.0
2024-04-01,637908.0,102313.0,6664.0,988416.0,953551.0,-8045.0,644090.0,283739.0,0.0,286577.0,239322.0,17802.0,29405.0,48.0,283739.0,153232.0,24265.0,66593.0,-34866.0,157504.0,177.0,40999.0,445586.0,65654.0,938.0
2024-07-01,612725.0,103613.0,6881.0,965916.0,964487.0,-7990.0,653149.0,287926.0,0.0,288167.0,239049.0,19349.0,29726.0,43.0,287926.0,170820.0,24280.0,65087.0,-1429.0,163882.0,178.0,40644.0,448624.0,64202.0,885.0
2024-10-01,649580.0,104516.0,6903.0,1003689.0,976688.0,-7996.0,664076.0,289980.0,0.0,289371.0,241106.0,18127.0,30084.0,55.0,289980.0,149672.0,24334.0,63950.0,-27001.0,167615.0,179.0,41041.0,455421.0,63050.0,900.0
