Date,Aerospace products and parts manufacturing,All other nonmanufacturing,Books,Business,"Chemical manufacturing, excluding pharmaceutical and medicine",Computer systems design and related services,Custom,"Entertainment, literary, and artistic originals",Financial and real estate services,Long-lived television programs,Manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Music,Nonmanufacturing,Nonprofit institutions serving households,Other,Other computer and electronic product manufacturing,Other manufacturing,Other nonmanufacturing,Other nonprofit institutions,Own account,Pharmaceutical and medicine manufacturing,Prepackaged,Research and development,Scientific research and development services,Semiconductor and other electronic component manufacturing,Software,Software publishers,Theatrical movies,Universities and colleges
1971-01-01,-1.38,,-0.08,-0.2,-0.28,,,-0.31,,-0.36,-0.31,0.8,-0.47,0.1,0.12,0.15,0.36,-0.05,,0.1,,0.24,,-0.09,,0.0,0.8,,0.45,0.01
1972-01-01,-0.4,,-0.1,2.83,0.13,,,1.79,,1.24,2.74,1.09,0.24,0.09,0.16,-0.03,0.52,0.86,,0.18,,0.24,,2.99,,0.3,2.19,,0.45,-0.02
1973-01-01,0.56,,0.18,4.2,0.25,,,-1.02,,-0.55,4.17,1.27,0.15,0.03,0.02,0.06,0.88,0.75,,0.05,,0.26,,4.22,,0.21,1.83,,-0.86,-0.03
1974-01-01,-0.05,,0.17,0.07,0.28,,,0.29,,0.78,0.21,-0.72,-0.41,-0.15,0.2,0.09,0.06,0.46,,0.21,,0.12,,0.27,,0.06,2.34,,-0.35,-0.01
1975-01-01,-0.39,,-0.06,-1.35,-0.26,,,-0.66,,-0.28,-1.77,-0.99,-0.17,0.42,0.3,0.0,-0.7,0.37,,0.29,,0.41,,-1.04,,-0.2,2.6,,-0.14,0.01
1976-01-01,0.51,,-0.03,3.68,0.17,,,5.4,,2.33,2.84,1.06,0.17,0.84,0.31,0.07,0.38,0.37,,0.29,,0.22,,3.99,,0.13,1.45,,2.86,0.02
1977-01-01,0.45,,0.43,2.96,0.08,,,2.65,,1.46,2.14,1.1,1.02,0.82,0.31,0.09,0.23,0.32,,0.27,,-0.1,,3.27,,0.04,0.67,,-0.36,0.04
1978-01-01,0.58,,0.1,4.25,0.21,,,-0.4,,0.57,3.31,0.89,-0.26,0.94,0.52,0.08,0.46,0.57,,0.47,,0.35,,4.77,,0.26,2.73,,-0.89,0.05
1979-01-01,0.6,,-0.11,4.31,0.19,,,3.28,,0.92,3.31,0.24,0.27,1.01,0.3,0.08,0.44,1.09,,0.27,,0.25,,4.61,,0.49,3.79,,2.12,0.03
1980-01-01,0.59,,0.02,4.03,0.15,,,-2.09,,-1.24,3.01,0.18,-0.07,1.02,0.05,0.08,0.37,0.82,,0.05,,0.17,,4.09,,0.74,2.98,,-0.89,0.01
