Date,Accommodations,Air transportation,Alcoholic beverages purchased for off-premises consumption,"Audio-video, photographic, and information processing equipment services",Children's and infants' clothing,Clothing and footwear,Commercial and vocational schools,Communication,Dental services,Durable goods,Education services,Educational books,Electricity,Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions",Financial services,Financial services and insurance,Financial services furnished without payment,Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption,Food furnished to employees (including military),Food produced and consumed on farms,Food services,Food services and accommodations,Foreign travel by U.S. residents,Fuel oil and other fuels,Furnishings and durable household equipment,Furniture and furnishings,Gambling,Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils",Goods,Gross output of nonprofit institutions,Ground transportation,Group housing,Health care,Higher education,Hospital and nursing home services,Hospitals,Household appliances,Household consumption expenditures (for services),Household maintenance,Household supplies,Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing,Insurance,Internet access,Jewelry and watches,Less: Expenditures in the United States by nonresidents,Less: Receipts from sales of goods and services by nonprofit institutions,Life insurance,Luggage and similar personal items,"Magazines, newspapers, and stationery","Membership clubs, sports centers, parks, theaters, and museums",Men's and boys' clothing,"Motor vehicle fuels, lubricants, and fluids",Motor vehicle maintenance and repair,Motor vehicle parts and accessories,Motor vehicle services,Motor vehicles and parts,Musical instruments,Natural gas,Net expenditures abroad by U.S. residents,Net foreign travel,Net health insurance,Net household insurance,Net motor vehicle and other transportation insurance,Net purchases of used motor vehicles,New motor vehicles,Nondurable goods,"Nursery, elementary, and secondary schools",Nursing homes,Other clothing materials and footwear,Other durable goods,Other motor vehicle services,Other nondurable goods,Other recreational services,Other services,Outpatient services,Paramedical services,Personal care and clothing services,Personal care products,Pharmaceutical and other medical products,Physician services,Postal and delivery services,Professional and other services,Public transportation,Purchased meals and beverages,Recreation services,Recreational books,Recreational goods and vehicles,Recreational items,Rental of tenant-occupied nonfarm housing,Rental value of farm dwellings,Services,Social services and religious activities,"Sporting equipment, supplies, guns, and ammunition",Sports and recreational vehicles,Telecommunication services,Telephone and related communication equipment,Therapeutic appliances and equipment,Tobacco,Tools and equipment for house and garden,Transportation services,"Video, audio, photographic, and information processing equipment and media",Water supply and sanitation,Water transportation,Women's and girls' clothing
1958-07-01,,,,,,-0.01,,,,0.0,,,,,,,,,,-0.59,,,,,,,,-0.11,,,,0.15,,-0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,-0.46,,,,0.0,,-0.02,,,,,,,,,,,,,,,-0.03,,,,0.75,,,,,,,,,,,,,
1958-10-01,,,,,,0.0,,,,-0.09,,,,,,,,,,-0.41,,,,,,,,0.01,,,,-0.26,,-0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,-0.76,,,,0.0,,-0.09,,,,,,,,,,,,,,,-0.04,,,,0.7,,,,,,,,,,,,,
1959-01-01,,,,,,0.17,,,,1.11,,,,,,,,,,-0.19,,,,,,,,0.02,,,,0.45,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,0.63,,,,0.04,,0.19,,,,,,,,,,,,,,,-0.04,,,,1.03,,,,,,,,,,,,,
1959-04-01,0.02,0.0,0.05,0.02,0.0,0.14,-0.04,0.05,0.01,0.3,-0.12,0.0,0.03,0.04,-0.26,0.02,-0.04,0.13,-0.05,-0.42,-0.52,0.02,0.04,0.35,0.36,0.02,-0.02,0.09,0.07,0.0,0.02,0.22,0.0,0.5,-0.34,0.04,0.0,0.19,-0.02,0.05,0.05,0.02,1.4,0.03,0.02,0.06,0.4,0.45,0.22,0.17,,0.0,0.0,-0.08,0.06,0.0,-0.01,0.09,-0.01,0.23,0.06,0.0,0.06,0.18,0.0,0.01,0.0,0.02,0.03,0.0,0.07,0.11,0.07,0.21,-0.06,0.0,0.11,0.01,0.0,0.27,0.0,0.03,0.14,0.02,0.09,0.01,0.02,0.1,0.0,0.07,0.05,0.33,0.12,0.0,0.01,0.02,0.09,0.08,1.14,-0.1,0.0,0.0,0.04,0.0,0.01,0.2,0.01,0.11,0.01,0.02,0.0,0.03
1959-07-01,0.0,0.01,0.08,0.02,0.0,0.17,-0.01,0.02,0.02,0.04,-0.02,0.0,0.04,0.12,-0.09,0.05,0.04,0.17,-0.01,0.19,0.18,0.01,-0.07,0.27,0.27,0.02,-0.1,0.03,0.03,0.0,0.04,0.02,0.01,0.84,0.0,0.02,0.0,0.2,0.0,0.13,0.13,-0.01,1.69,0.24,0.09,0.13,0.23,0.36,0.11,0.13,,0.0,-0.01,0.1,0.06,0.0,0.0,0.09,0.06,0.12,0.05,-0.15,0.06,-0.02,0.0,0.08,0.01,0.02,0.03,0.0,0.04,0.08,0.05,0.79,-0.01,0.01,0.13,0.0,0.0,0.41,0.0,0.48,0.07,0.01,0.2,0.02,0.02,0.04,-0.01,0.05,0.04,0.25,0.12,0.0,0.03,0.03,0.05,0.07,1.6,-0.02,0.01,0.0,0.02,0.0,0.01,0.24,0.0,0.09,0.01,0.02,0.0,-0.02
1959-10-01,0.02,0.01,0.04,-0.01,0.0,0.07,0.0,0.01,0.02,-0.01,0.04,0.0,0.03,0.1,-0.07,0.05,0.1,0.2,0.05,-0.07,-0.01,0.01,-0.1,0.14,0.16,0.01,-0.02,0.0,0.0,0.01,-0.01,0.43,0.01,0.61,0.21,0.02,0.0,0.37,0.02,0.3,0.29,-0.01,1.66,0.11,0.01,0.11,0.33,0.45,0.21,0.1,,0.0,-0.01,0.28,0.05,0.0,0.03,0.09,-0.01,0.46,0.02,-0.02,0.02,-0.02,0.0,0.07,0.01,0.0,0.03,0.0,0.02,0.01,-0.01,0.62,0.02,0.01,0.09,0.0,0.0,0.17,0.0,0.34,0.07,0.01,0.11,0.01,0.01,0.04,0.0,0.05,0.04,0.13,0.09,0.0,0.01,0.03,0.09,0.03,1.59,0.02,0.01,0.0,0.01,0.0,0.0,0.08,-0.01,0.06,0.0,0.01,0.0,0.0
1960-01-01,0.0,0.01,0.01,0.01,0.0,0.06,0.01,0.05,0.02,-0.1,0.04,0.0,0.02,0.1,-0.13,0.05,0.14,0.17,0.09,-0.19,-0.21,0.01,0.01,0.23,0.23,-0.1,-0.01,0.06,0.05,0.0,0.05,-0.25,0.03,-0.4,0.02,0.03,0.0,0.18,0.02,0.13,0.14,-0.02,1.05,0.04,0.01,0.11,0.14,0.25,0.1,0.03,,0.0,0.0,0.15,0.03,0.0,0.02,0.04,0.04,-0.24,0.03,0.01,0.03,-0.19,0.0,0.08,0.01,-0.1,-0.01,0.0,0.01,-0.05,-0.15,-0.29,0.01,-0.01,0.01,0.01,0.0,0.09,0.0,0.1,0.05,0.0,0.05,-0.02,-0.01,0.03,0.02,0.0,0.04,0.22,0.05,0.0,0.02,0.01,0.05,-0.01,0.92,0.03,0.0,0.01,0.02,0.0,0.0,0.07,0.0,0.07,0.0,0.01,0.0,0.01
1960-04-01,0.02,0.02,0.02,0.01,0.0,0.16,0.01,0.02,0.0,-0.08,0.04,0.0,0.02,0.08,-0.12,0.04,0.09,0.14,0.05,0.95,0.86,0.01,0.07,0.05,0.07,-0.03,-0.01,0.06,0.06,0.0,0.13,-0.01,0.03,1.02,0.29,-0.01,0.0,0.52,0.01,0.49,0.47,-0.03,1.21,0.06,0.0,0.09,0.13,0.22,0.1,0.05,,0.0,0.0,0.41,0.04,0.0,0.01,0.02,0.06,0.0,0.0,0.0,0.0,-0.16,0.0,0.06,0.0,-0.04,0.0,0.0,0.0,-0.13,-0.02,1.1,0.02,0.02,0.03,0.0,0.0,0.0,0.0,0.2,0.04,0.01,0.04,-0.01,0.0,0.03,0.01,0.06,0.01,0.04,0.04,0.0,0.02,0.02,0.04,-0.01,1.08,0.02,0.0,0.01,0.01,0.0,0.0,-0.02,0.0,0.02,0.0,0.01,0.0,0.07
1960-07-01,-0.01,0.01,0.04,0.01,0.0,0.11,0.0,0.04,0.02,-0.18,0.04,0.0,0.0,0.04,-0.06,0.05,0.14,0.17,0.09,-0.06,-0.05,0.01,-0.05,0.1,0.09,0.08,0.02,0.03,0.06,0.0,0.11,0.39,0.01,0.27,0.2,0.03,0.0,0.39,0.01,0.28,0.27,-0.04,1.3,0.01,0.01,0.05,0.27,0.32,0.21,0.03,,0.0,0.0,0.26,0.02,-0.01,0.02,0.06,0.11,0.37,0.02,-0.03,0.02,-0.21,0.0,0.04,0.01,0.07,0.01,0.0,0.0,-0.1,-0.08,0.45,0.02,0.01,0.0,0.0,0.0,0.01,0.0,0.21,0.1,0.02,0.03,0.0,-0.02,0.07,0.0,0.0,0.04,0.09,0.06,0.0,0.0,0.01,0.05,0.02,1.24,0.02,0.0,0.0,0.04,0.0,0.0,-0.02,0.0,0.06,0.0,0.01,0.0,0.01
1960-10-01,0.01,0.01,0.01,-0.01,0.0,0.06,0.0,0.01,0.0,-0.1,0.04,0.0,0.0,0.01,0.0,0.03,0.07,0.18,0.04,0.75,0.71,0.01,0.04,0.05,0.05,0.03,0.03,0.03,0.05,0.01,0.05,0.05,0.01,0.8,0.16,0.02,0.0,0.21,0.03,0.16,0.15,-0.04,0.97,0.02,0.02,0.03,0.23,0.26,0.11,0.11,,-0.01,-0.01,0.16,0.05,0.0,0.03,0.04,0.04,0.02,0.06,-0.01,0.06,-0.11,0.0,0.01,0.01,0.02,0.04,0.0,0.01,0.1,-0.2,0.9,0.01,0.01,0.01,0.0,0.0,0.04,0.0,0.14,0.06,0.01,0.01,-0.01,-0.03,0.05,0.01,0.03,0.03,0.04,0.04,0.0,-0.01,0.01,0.09,0.03,0.98,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.01,0.09,-0.02,0.01,0.0,0.01
1961-01-01,0.01,0.01,-0.02,0.01,-0.01,0.02,0.0,-0.01,0.0,0.02,0.0,0.0,0.01,0.03,0.05,-0.01,-0.07,0.02,-0.06,0.21,0.21,0.01,0.02,0.13,0.15,-0.06,0.13,0.0,0.0,0.0,0.0,0.0,0.01,0.28,0.01,0.03,0.0,-0.04,0.0,-0.06,-0.06,-0.02,0.41,0.02,-0.01,0.04,0.12,0.16,0.05,0.09,,0.0,0.0,-0.04,0.03,0.0,0.01,0.06,0.01,-0.13,0.05,-0.06,0.05,0.02,0.0,0.02,0.01,-0.06,0.05,0.0,0.01,-0.04,0.13,0.27,0.01,0.0,0.02,0.0,0.0,0.05,0.0,-0.03,0.02,0.0,0.01,-0.01,-0.03,0.02,0.0,0.02,0.04,0.13,0.08,0.0,-0.01,0.03,0.03,0.04,0.46,0.0,0.0,0.0,-0.01,0.0,0.0,0.05,0.01,0.09,-0.02,0.01,0.0,-0.01
1961-04-01,0.0,0.02,0.01,0.01,-0.01,-0.06,0.0,0.0,0.0,0.24,0.0,0.0,0.01,0.03,0.06,-0.03,-0.02,0.06,0.01,-0.55,-0.51,0.01,-0.05,0.16,0.16,0.05,0.02,0.03,0.03,0.0,-0.07,-0.5,0.01,-0.85,-0.02,0.02,0.0,-0.07,0.0,-0.11,-0.11,-0.01,0.74,0.02,0.0,0.04,0.31,0.35,0.21,0.07,,0.0,0.0,-0.07,0.02,-0.02,0.01,0.03,0.01,-0.51,0.06,-0.04,0.06,0.24,0.0,0.02,0.0,0.05,0.04,0.0,0.01,0.22,0.05,-1.09,0.0,0.0,0.01,-0.01,0.0,0.02,0.0,0.1,0.04,0.01,0.02,0.0,-0.02,0.03,0.0,0.02,0.04,0.15,0.04,0.0,-0.01,0.02,0.07,0.03,0.8,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.11,-0.02,0.01,0.0,-0.07
1961-07-01,0.0,0.01,0.01,0.0,0.0,0.15,0.0,0.01,0.0,0.24,0.04,0.0,-0.01,-0.03,0.07,0.1,0.13,0.25,0.03,-0.24,-0.24,0.01,-0.01,0.16,0.16,-0.01,0.01,0.0,0.02,0.0,0.12,0.42,-0.01,0.55,0.08,0.03,0.0,0.04,0.03,-0.05,-0.05,-0.02,0.83,0.0,-0.03,-0.02,0.2,0.18,0.11,0.12,,0.0,0.0,0.0,0.04,-0.01,0.01,0.06,-0.03,0.41,0.03,0.03,0.03,0.27,0.0,-0.02,0.01,-0.01,0.07,0.0,0.01,0.15,0.09,0.31,0.01,0.0,0.03,0.0,0.0,-0.02,0.0,0.07,0.09,0.02,0.0,0.02,-0.04,0.07,0.01,0.04,0.04,0.15,0.06,0.0,-0.02,0.01,0.07,0.02,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,-0.02,0.01,0.0,0.15
1961-10-01,-0.01,0.01,0.01,0.01,0.0,-0.01,0.0,0.01,0.02,-0.06,0.02,0.0,0.01,0.01,0.01,0.09,0.15,0.23,0.06,-0.18,-0.2,0.01,0.01,0.19,0.18,0.0,-0.02,-0.01,0.02,0.0,-0.03,-0.11,0.0,-0.36,0.05,0.03,0.0,0.09,0.01,0.0,0.0,-0.03,0.77,0.04,-0.04,0.02,0.02,0.04,0.0,0.09,,0.0,0.0,0.03,0.03,0.0,0.02,0.04,0.02,-0.09,0.0,0.04,0.01,-0.02,0.0,-0.01,0.01,0.0,0.05,0.0,0.01,0.1,-0.16,-0.29,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.13,0.09,0.01,0.03,0.0,-0.02,0.05,0.01,0.04,0.04,0.18,0.06,0.0,-0.03,0.02,0.0,0.02,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.05,-0.04,0.01,0.0,-0.05
1962-01-01,0.01,0.03,0.0,0.0,0.0,-0.12,0.0,0.0,0.02,0.01,0.02,-0.01,-0.01,0.01,0.01,0.08,0.19,0.27,0.11,0.69,0.67,0.01,0.02,0.09,0.11,0.03,-0.01,0.01,0.0,0.0,-0.14,-0.07,0.03,0.62,0.1,0.03,0.0,0.16,0.01,0.08,0.07,-0.02,1.11,0.04,0.01,0.01,0.3,0.31,0.22,0.08,,0.0,0.0,0.09,0.05,0.01,0.02,0.04,0.02,-0.06,0.01,0.02,0.01,0.01,0.0,0.02,0.0,0.03,0.01,0.0,0.03,0.01,-0.02,0.61,0.0,0.0,0.02,0.01,0.0,0.1,0.0,0.15,0.09,0.02,0.04,0.03,-0.04,0.05,0.0,0.01,0.06,0.08,0.05,0.0,-0.02,0.03,0.09,-0.01,1.12,0.01,0.01,0.0,0.0,0.0,0.0,0.05,0.0,0.06,-0.03,0.0,0.0,-0.16
1962-04-01,-0.01,0.02,0.02,0.0,0.0,0.12,0.01,-0.01,0.02,0.07,0.05,0.0,-0.01,-0.01,0.02,0.08,0.06,0.12,-0.02,0.17,0.16,0.01,-0.01,0.17,0.16,0.06,-0.02,-0.02,0.01,0.0,0.11,0.11,0.0,0.48,0.16,0.03,0.0,0.21,0.04,0.12,0.11,-0.04,0.93,0.04,0.01,0.01,0.1,0.11,0.05,0.06,,0.0,0.0,0.13,0.04,-0.07,0.03,0.04,0.01,0.13,0.04,-0.06,0.04,0.18,0.0,0.0,0.01,0.05,0.02,0.0,0.0,0.21,0.03,0.41,0.01,0.01,0.01,-0.07,0.0,0.01,0.0,0.2,0.08,0.01,0.02,0.0,-0.04,0.05,0.0,0.03,0.05,0.16,0.04,0.0,-0.02,0.01,0.02,0.03,0.95,0.01,0.0,0.0,0.0,0.0,0.0,-0.01,0.0,0.09,-0.03,0.02,0.0,0.1
1962-07-01,0.01,-0.01,0.01,0.0,0.0,0.12,0.0,0.0,0.02,0.18,0.01,0.0,0.03,0.03,0.0,0.12,0.04,-0.02,-0.08,0.11,0.07,0.01,0.03,0.17,0.18,-0.02,0.04,-0.02,-0.02,0.0,0.1,-0.06,0.04,0.33,0.08,0.03,0.0,0.16,0.0,0.08,0.08,-0.04,0.74,0.04,0.01,0.05,0.25,0.29,0.16,-0.07,,0.0,0.0,0.08,0.03,0.07,0.0,0.03,0.02,-0.1,0.02,0.01,0.02,0.16,0.0,0.0,0.0,-0.02,-0.04,0.0,-0.06,0.06,0.09,0.15,0.0,0.0,0.03,0.06,0.0,-0.02,0.0,0.06,0.08,0.02,0.01,0.0,-0.06,0.04,0.0,0.01,0.02,0.15,0.04,0.0,-0.02,0.02,0.09,0.0,0.74,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,-0.03,0.02,0.0,0.08
1962-10-01,0.0,-0.02,0.01,0.02,0.0,0.04,0.0,0.01,0.02,-0.22,0.03,0.0,-0.02,-0.04,0.01,0.09,0.02,0.0,-0.08,0.3,0.28,0.01,0.01,0.13,0.13,0.03,0.06,0.0,0.01,0.0,0.04,0.4,0.03,0.58,0.11,0.0,0.0,0.18,0.02,0.09,0.08,-0.03,0.64,0.04,0.01,-0.02,0.09,0.07,0.05,-0.02,,0.0,0.0,0.1,0.02,-0.01,0.02,0.03,0.03,0.34,0.02,0.0,0.02,-0.19,0.0,-0.02,0.0,0.02,-0.03,0.01,-0.01,0.03,-0.22,0.8,0.0,0.01,0.0,-0.01,0.0,0.06,0.0,0.2,0.09,0.01,0.09,0.02,-0.02,0.06,0.01,0.02,-0.03,0.12,0.05,0.0,-0.02,0.0,0.0,0.04,0.65,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,-0.02,0.02,0.0,0.0
1963-01-01,0.0,-0.02,0.01,-0.01,0.0,0.03,0.0,0.09,0.02,0.02,0.02,0.0,-0.01,0.01,0.05,0.07,0.02,0.04,-0.05,0.3,0.34,0.01,-0.04,0.15,0.15,0.05,-0.02,-0.01,0.01,0.0,0.01,-0.17,0.01,0.25,0.11,0.0,0.0,0.11,0.02,0.04,0.03,-0.03,0.85,0.02,0.01,0.03,0.26,0.29,0.16,0.02,,0.0,0.0,0.06,0.01,0.02,0.02,0.02,0.02,-0.15,0.02,0.04,0.02,0.01,0.0,0.02,0.01,0.05,-0.03,0.0,0.04,0.01,-0.05,0.23,0.0,0.01,0.02,0.02,0.0,0.06,0.0,0.25,0.07,0.01,0.05,-0.01,-0.01,0.04,0.09,0.03,-0.02,0.14,0.02,0.0,0.0,0.01,0.07,0.03,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,-0.01,-0.01,0.02,0.0,-0.01
1963-04-01,0.0,-0.02,0.04,0.0,0.0,0.06,0.0,0.04,0.01,0.17,0.02,0.0,-0.01,-0.01,0.02,0.07,-0.06,-0.04,-0.13,-0.28,-0.32,0.01,0.0,0.13,0.12,-0.02,0.06,0.0,0.01,0.0,0.04,-0.21,0.0,0.03,0.1,0.02,0.0,0.12,0.02,0.06,0.05,-0.01,0.58,0.02,0.03,0.0,0.18,0.19,0.11,0.02,,0.0,0.0,0.07,0.02,-0.01,0.1,0.04,0.02,-0.28,0.01,0.01,0.01,0.16,0.0,0.0,0.01,-0.02,-0.03,0.0,0.03,0.1,0.05,-0.15,0.0,0.01,0.02,-0.01,0.0,0.29,0.0,0.14,0.06,0.01,0.03,-0.01,-0.01,0.04,0.04,0.04,0.0,0.12,0.05,0.01,0.02,0.02,0.07,0.01,0.61,0.01,0.01,0.0,0.0,0.0,0.0,0.17,0.01,0.01,-0.01,0.01,0.0,0.02
1963-07-01,0.0,-0.03,0.03,0.0,0.0,0.08,0.0,0.01,0.02,0.16,0.04,0.0,-0.02,-0.04,0.02,0.05,0.01,0.1,-0.04,0.62,0.6,0.0,-0.01,0.04,0.03,0.02,0.0,0.02,0.01,0.01,0.07,0.18,0.01,1.27,0.17,0.01,0.0,0.2,0.02,0.15,0.13,0.0,0.65,0.0,-0.01,-0.04,0.11,0.07,0.05,0.08,,0.0,-0.01,0.15,0.04,0.0,0.07,0.07,0.05,0.19,0.03,0.03,0.03,0.13,0.0,-0.02,0.0,0.01,0.02,0.0,0.01,0.06,0.05,1.11,0.01,0.02,0.01,-0.01,0.0,0.22,0.0,0.15,0.06,0.0,0.04,0.03,-0.01,0.03,0.01,0.04,-0.02,0.03,0.08,0.01,0.02,0.04,0.0,0.05,0.67,0.01,0.01,0.0,0.01,0.0,0.0,0.11,0.0,0.01,-0.01,0.01,0.0,0.02
1963-10-01,0.01,-0.01,0.02,0.0,0.0,0.13,0.01,0.01,0.0,0.18,0.04,0.0,0.0,0.03,0.01,0.02,0.08,0.13,0.06,0.04,0.04,0.01,-0.03,0.15,0.16,0.01,-0.02,0.06,0.04,0.0,0.11,-0.05,0.03,0.49,0.12,0.01,0.0,0.14,0.03,0.08,0.07,-0.01,0.99,0.02,-0.01,0.04,0.25,0.29,0.16,0.05,,0.05,0.0,0.11,0.04,0.0,0.1,0.08,0.04,-0.03,0.03,0.0,0.03,0.09,0.0,0.04,0.01,0.01,0.01,0.0,0.0,0.14,-0.05,0.31,0.0,0.01,0.02,0.05,0.0,0.2,0.0,0.17,0.05,0.01,0.05,0.01,0.0,0.03,0.0,0.04,0.0,0.14,0.08,-0.02,-0.01,0.05,0.07,0.02,1.0,0.01,-0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.02,0.0,0.0,0.07
1964-01-01,-0.01,0.02,0.01,0.0,0.0,0.1,0.0,0.01,0.02,0.09,0.01,0.0,0.01,-0.06,-0.01,-0.02,0.14,0.22,0.16,0.71,0.71,0.01,0.0,0.09,0.08,0.04,-0.02,0.01,0.02,0.0,0.09,-0.06,0.01,0.98,0.12,0.04,0.0,0.24,0.01,0.16,0.14,-0.02,0.93,0.04,0.0,-0.05,0.11,0.06,0.11,0.09,,0.1,-0.01,0.13,0.06,-0.04,0.05,0.04,0.02,-0.03,0.02,-0.01,0.02,0.08,0.0,-0.07,0.0,0.03,0.01,0.01,0.01,0.06,0.03,0.89,0.0,0.02,0.01,0.06,0.0,0.14,0.0,0.21,0.08,0.01,0.05,-0.01,0.0,0.05,0.0,0.07,0.06,0.09,0.05,-0.03,-0.07,0.04,0.0,0.01,0.92,0.01,-0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.08,0.02,0.0,0.0,0.07
1964-04-01,0.02,0.0,-0.01,0.01,0.0,0.07,0.0,0.01,0.01,-0.03,0.02,0.0,-0.01,0.08,-0.01,-0.01,0.13,0.19,0.14,0.06,0.08,0.01,-0.01,0.12,0.14,-0.01,-0.07,-0.01,0.01,0.0,0.07,-0.18,0.0,-0.06,0.08,0.01,0.0,0.18,0.02,0.08,0.07,-0.02,0.94,0.07,-0.01,0.09,0.12,0.21,0.05,0.06,,-0.01,0.0,0.09,0.03,0.04,0.03,0.03,0.05,-0.11,0.01,-0.02,0.01,-0.04,0.0,0.08,0.01,-0.01,0.01,0.0,0.01,0.01,-0.02,-0.03,0.0,0.01,0.0,0.04,0.0,0.02,0.0,0.18,0.1,0.03,0.03,-0.01,0.0,0.07,0.0,0.06,0.01,0.11,0.04,0.01,-0.02,0.0,0.04,0.02,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.03,0.01,0.0,0.02
1964-07-01,0.01,0.0,0.0,0.01,0.0,-0.02,0.01,0.01,0.02,-0.06,0.03,0.0,-0.01,0.01,0.03,-0.05,0.09,0.17,0.14,0.48,0.48,0.0,0.0,0.01,0.02,0.02,-0.01,-0.05,-0.03,0.0,-0.03,-0.03,-0.01,0.39,0.12,0.01,0.0,0.18,0.03,0.08,0.06,-0.01,0.9,0.04,0.01,0.02,0.18,0.2,0.1,0.08,,0.0,0.0,0.09,0.03,0.0,0.03,0.05,0.02,-0.02,0.02,0.01,0.02,0.01,0.0,0.03,0.01,0.01,0.01,0.01,0.03,0.05,-0.05,0.45,0.0,0.01,0.01,0.01,0.0,0.02,0.01,0.22,0.1,0.01,0.06,0.0,-0.01,0.08,0.01,0.06,0.01,0.01,0.07,0.01,-0.02,0.0,0.07,0.01,0.93,0.01,-0.01,0.0,0.0,0.0,0.01,-0.02,-0.01,0.03,-0.02,0.01,0.0,-0.05
1964-10-01,0.01,0.0,0.01,-0.01,0.0,-0.02,0.0,0.0,0.03,-0.11,0.03,0.0,0.0,-0.01,0.01,-0.05,0.05,0.16,0.1,0.36,0.35,0.0,0.0,0.05,0.05,0.02,0.06,-0.04,-0.03,0.0,-0.02,0.2,0.0,0.49,0.14,0.02,0.0,0.25,0.02,0.12,0.11,-0.01,0.83,0.04,0.02,0.0,0.1,0.09,0.05,0.11,,0.01,-0.01,0.13,0.04,0.0,0.02,0.03,0.0,0.14,0.01,0.03,0.01,-0.06,0.0,0.0,0.01,0.01,0.03,0.01,0.04,0.04,-0.13,0.61,0.01,0.01,0.01,0.01,0.0,0.07,0.0,0.2,0.13,0.03,0.05,0.0,-0.01,0.06,0.01,0.06,0.03,0.04,0.03,0.0,-0.02,0.0,0.04,0.0,0.84,0.01,0.0,0.0,-0.01,0.0,0.0,0.02,0.0,0.04,-0.01,0.0,0.0,-0.02
1965-01-01,0.0,0.0,0.01,0.0,0.0,0.11,0.01,-0.04,0.03,0.01,0.04,0.0,0.0,-0.02,0.08,-0.05,-0.09,0.0,-0.04,-0.13,-0.16,0.01,0.02,0.16,0.16,0.07,0.04,-0.03,0.0,0.0,0.08,0.29,0.0,0.46,0.17,0.01,0.0,0.16,0.02,0.06,0.05,-0.02,0.76,0.04,0.01,-0.02,0.14,0.12,0.1,0.09,,-0.01,0.0,0.09,0.02,-0.04,0.02,0.03,0.03,0.25,0.04,0.05,0.04,0.09,0.0,-0.02,0.01,0.07,0.04,0.01,0.02,0.03,0.01,0.45,0.01,0.01,0.03,-0.04,0.0,0.18,0.0,0.24,0.11,0.02,0.05,0.01,0.0,0.06,-0.01,0.06,0.01,0.15,0.03,0.01,-0.02,0.01,0.04,-0.01,0.84,0.02,0.0,0.0,-0.03,0.0,0.0,0.12,0.0,0.05,-0.02,0.0,0.0,0.05
1965-04-01,0.01,0.0,0.01,0.0,0.0,0.06,0.0,-0.05,0.02,-0.19,0.06,0.0,-0.02,-0.04,0.05,-0.03,-0.03,0.06,0.01,0.95,0.89,0.01,0.05,0.07,0.08,0.01,0.0,-0.01,0.02,0.01,0.05,0.16,0.0,1.21,0.17,0.01,0.0,0.2,0.04,0.08,0.07,-0.03,0.78,0.06,-0.01,-0.03,0.18,0.15,0.15,0.09,,-0.02,-0.01,0.12,0.04,0.04,0.04,0.04,0.01,0.16,0.06,0.04,0.06,-0.17,0.0,-0.02,0.01,0.0,0.01,0.01,0.02,-0.04,-0.17,1.39,0.01,0.01,0.01,0.03,0.0,0.22,0.0,0.17,0.12,0.03,0.05,0.01,0.0,0.06,0.0,0.04,0.01,0.06,0.05,0.0,-0.04,0.01,0.0,0.02,0.83,0.01,0.0,0.0,-0.05,0.0,0.01,0.16,0.0,0.07,-0.04,0.01,0.0,0.05
1965-07-01,0.02,0.0,0.02,-0.01,0.0,0.16,0.0,-0.01,0.02,-0.3,0.03,0.03,0.01,-0.01,0.03,-0.01,0.02,0.15,0.03,0.51,0.47,0.01,0.02,0.2,0.22,0.02,0.0,-0.04,0.03,0.0,0.12,0.05,0.0,0.51,0.09,0.01,0.0,0.14,0.01,0.04,0.04,-0.06,0.97,0.07,0.01,0.03,0.12,0.15,0.05,0.13,,-0.06,-0.01,0.07,0.02,0.01,0.05,0.05,0.06,0.05,0.04,0.01,0.04,-0.19,0.0,-0.02,0.01,0.02,0.06,0.01,0.04,0.02,-0.23,0.81,0.01,0.0,0.04,-0.02,0.0,0.09,0.0,0.21,0.1,0.02,0.07,-0.04,-0.01,0.06,0.01,0.03,0.01,0.19,0.05,0.02,-0.05,-0.02,0.06,0.0,0.99,0.0,0.01,0.0,-0.02,0.0,0.0,0.08,0.0,0.05,-0.07,0.04,0.0,0.06
