Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1945-01-01,0.07,,,0.73,-0.1,0.44,3.89,0.73,0.12,0.49,1.99,-0.32,0.37,0.44,0.2,0.25,4.86,-0.59,0.47,,10.46,0.19,,1.59,,0.69,-0.010000000000000009,21.39,19.17,1.59,0.16,0.49,-0.89,3.34,2.07,,1.11,1.84,26.23,0.37,5.15,7.05,,0.05,-0.51,0.31
1946-01-01,0.21,,,2.03,3.19,1.28,16.59,3.1,0.64,1.5,3.11,8.56,1.62,1.55,0.58,0.72,22.21,-2.52,1.36,,15.42,0.83,,1.93,,3.0,4.785,63.84,52.95,6.94,0.42,2.13,0.45,25.4,77.15,,3.56,6.66,154.52,0.78,104.72,101.57,,0.14,-2.31,1.36
1947-01-01,-0.05,,,-0.47,-0.61,-0.24,-2.98,0.73,-0.1,0.05,1.46,-0.23,-0.3,-0.17,-0.02,-0.02,2.94,-0.35,-0.35,0.49,-1.64,-0.15,0.06,0.54,,-0.56,-1.0550000000000002,-4.42,-1.94,-1.29,-0.01,-0.4,1.25,-0.46499999999999986,11.25,0.48,2.7,3.44,12.64,0.12,14.1,14.58,,0.0,-0.41,-0.25
1948-01-01,0.04,,,0.37,-0.48,-0.09,1.53,0.82,0.03,0.27,0.85,-0.25,0.16,0.09,0.01,0.02,2.17,-0.05,0.29,0.15,-2.25,0.08,0.0,1.03,,0.29,-0.55,2.14,3.3,0.66,0.0,0.2,0.15,0.915,9.89,1.03,1.0,1.82,15.53,0.5,11.72,12.24,,0.0,-0.01,0.13
1949-01-01,0.02,,,0.2,0.1,-0.08,-0.41,-0.78,0.04,0.09,0.93,-0.09,-0.08,0.28,0.26,0.32,-1.61,-0.22,0.13,-0.39,-1.56,-0.04,-0.03,0.06,,-0.14,-0.315,-1.26,-0.76,-0.32,0.04,-0.1,0.36,-0.97,-2.5,0.08,1.29,0.52,-5.22,0.47,-4.58,-4.46,,0.06,-0.2,-0.06
1950-01-01,0.0,,,0.01,0.41,0.01,1.62,-0.39,-0.02,0.11,-0.59,0.03,0.1,0.65,0.48,0.6,0.85,-0.38,-0.04,0.08,0.4,0.05,0.06,0.95,,0.19,-0.155,2.76,2.96,0.45,0.09,0.14,0.92,0.525,21.29,0.89,0.33,-0.06,25.16,0.21,22.5,22.2,,0.12,-0.38,0.09
1951-01-01,0.0,,,-0.04,0.17,0.0,-0.23,0.02,0.0,0.03,-0.19,-0.15,-0.03,0.07,0.07,0.09,-0.34,0.21,0.02,0.03,2.71,-0.02,0.02,0.25,,-0.06,-0.08,2.55,2.69,-0.14,-0.1,-0.04,0.2,-0.19,-10.65,0.23,0.01,0.03,-8.27,-0.04,-10.82,-10.96,,0.02,0.21,-0.03
1952-01-01,-0.01,,,-0.07,0.37,-0.02,-1.42,0.23,-0.01,-0.01,0.65,0.15,-0.13,-0.18,-0.09,-0.12,0.99,0.22,-0.07,0.28,0.48,-0.07,-0.02,0.64,,-0.25,0.02,-0.15,-0.17,-0.57,0.03,-0.17,-0.78,0.84,-2.64,0.65,-0.14,0.09,-1.56,-0.21,-1.01,-1.39,,-0.02,0.21,-0.11
1953-01-01,0.02,,,0.17,0.18,0.04,1.86,0.11,0.09,0.24,0.56,-0.29,0.22,-0.14,-0.21,-0.25,0.59,-0.15,0.1,0.02,-0.33,0.11,0.03,0.59,,0.4,-0.06,3.55,3.54,0.93,0.07,0.28,0.36,0.595,1.43,0.56,0.92,1.03,5.67,0.23,2.21,2.12,,-0.05,-0.13,0.18
1954-01-01,0.02,,,0.22,0.51,0.01,1.55,0.1,0.03,0.35,-0.42,-0.08,0.15,0.16,0.07,0.09,0.17,-0.56,0.16,0.06,-0.43,0.08,-0.03,0.68,,0.28,0.0,1.41,1.41,0.64,0.02,0.2,-0.63,0.675,4.23,0.71,-1.05,-0.95,5.9,0.41,5.02,4.5,,0.02,-0.53,0.13
