Date,Air,All other electric,Alternative electric,Amusement and recreation,Brokers' commissions and other ownership transfer costs,Brokers' commissions on sale of structures,Commercial and health care,Communication,Dormitories,Educational and vocational,Electric,Farm,Food and beverage establishments,Health care,Hospitals,Hospitals and special care,Improvements,Land,Lodging,Manufactured homes,Manufacturing,Medical buildings,Mining,"Mining exploration, shafts, and wells",Multifamily structures,Multimerchandise shopping,Net purchases of used structures,Nonresidential,Nonresidential structures,Office,Other,Other commercial,Other power,Other structures,Permanent site,Petroleum and natural gas,Power,Power and communication,Private fixed investment in new structures,Religious,Residential,Residential structures,Single-family structures,Special care,Transportation,Warehouses
1985-01-01,0.02,,,0.29,0.92,0.04,3.02,0.03,-0.01,0.09,-0.29,-0.3,0.31,-0.13,-0.26,-0.32,0.76,0.14,0.13,-0.08,0.69,0.19,-0.03,-0.93,-0.2,0.57,-0.049999999999999996,3.47,3.43,1.59,0.29,0.43,0.17,1.1400000000000001,-0.41,-0.9,-0.12,-0.08,3.7,0.08,1.1,0.27,-0.2,-0.06,0.16,0.26
1986-01-01,-0.01,,,-0.13,1.03,-0.01,-1.54,0.2,0.01,0.11,0.28,-0.05,-0.04,-0.25,-0.09,-0.11,2.23,-0.28,0.0,-0.21,-0.99,-0.14,-0.16,-2.86,0.22,-0.07,-0.13,-5.43,-5.41,-1.11,-0.18,-0.05,-0.03,1.165,3.48,-2.7,0.25,0.45,0.1,0.07,6.3,5.51,3.26,-0.02,-0.28,-0.03
1987-01-01,0.01,,,0.08,-0.02,0.01,-0.72,0.05,0.05,0.32,-0.81,0.09,0.03,0.0,0.09,0.11,0.61,-0.11,-0.05,-0.03,-0.13,-0.11,-0.07,-0.08,-1.62,0.06,0.009999999999999998,-1.24,-1.24,-0.88,0.09,0.05,-0.01,0.545,0.45,-0.01,-0.82,-0.76,-0.16,0.03,1.09,1.08,2.07,0.02,-0.11,0.03
1988-01-01,0.02,,,0.09,0.23,0.02,0.58,0.06,-0.01,-0.25,-0.47,-0.07,0.03,0.32,0.25,0.31,0.18,-0.04,-0.19,-0.07,0.28,0.01,0.01,0.31,-0.89,0.05,0.175,0.28,0.24,0.12,-0.16,0.04,0.06,0.05499999999999999,-1.22,0.31,-0.41,-0.35,-0.89,0.02,-0.57,-1.13,-0.34,0.06,-0.03,0.02
1989-01-01,-0.03,,,-0.21,-0.59,0.02,-0.25,-0.17,0.01,0.08,0.28,0.01,0.0,-0.08,-0.04,-0.05,-0.39,0.04,0.17,-0.08,1.06,-0.02,0.02,-0.35,-0.01,0.01,-0.055,0.84,0.86,-0.19,0.07,0.01,0.11,-0.48000000000000004,-0.81,-0.37,0.4,0.22,-0.41,0.04,-1.92,-1.27,-0.8,-0.01,0.02,0.0
1990-01-01,0.0,,,0.05,-0.5,0.01,-0.79,-0.02,0.02,0.08,-0.5,0.04,-0.06,0.1,0.14,0.18,-1.11,-0.02,0.34,-0.08,0.86,-0.07,0.03,0.53,-0.63,-0.11,-0.065,0.64,0.7,-0.6,0.11,-0.08,0.08,-0.63,-3.11,0.5,-0.42,-0.43,-3.59,-0.07,-4.85,-4.29,-2.48,0.03,-0.02,-0.05
1991-01-01,-0.01,,,-0.12,0.18,-0.05,-4.47,-0.21,-0.11,0.01,1.12,-0.02,-0.48,-0.41,-0.18,-0.22,-0.57,-0.06,-0.79,-0.15,-0.61,-0.19,0.03,-0.09,-1.01,-0.89,0.01,-5.18,-5.13,-1.62,-0.03,-0.66,0.22,-0.8899999999999999,-4.2,-0.13,1.34,1.13,-10.16,-0.08,-4.83,-5.03,-3.18,-0.04,-0.07,-0.4
1992-01-01,-0.01,,,-0.02,1.02,-0.01,-1.22,0.01,0.02,0.04,0.14,-0.09,-0.03,0.0,0.11,0.13,1.52,0.12,-0.74,0.27,-0.64,-0.13,-0.01,-0.77,-0.57,-0.06,0.005,-2.77,-2.76,-1.04,0.18,-0.06,0.33,1.115,4.78,-0.75,0.47,0.48,3.83,-0.1,7.62,6.59,5.35,0.03,0.11,-0.03
1993-01-01,0.02,,,0.12,0.56,0.0,0.62,0.11,0.04,0.0,-0.18,0.21,0.09,0.16,0.13,0.16,1.91,0.0,0.22,0.36,-1.48,0.0,0.01,0.54,-0.6,0.17,-0.030000000000000002,-0.11,-0.14,0.01,-0.08,0.1,-0.3,1.67,2.17,0.53,-0.48,-0.37,4.33,0.06,4.93,4.47,2.77,0.03,0.01,0.08
1994-01-01,0.01,,,0.01,0.21,0.02,0.7,0.07,-0.05,0.0,-0.47,-0.06,-0.08,-0.15,-0.09,-0.16,0.92,0.03,-0.02,0.35,0.95,0.01,0.08,-0.1,0.68,0.03,0.125,0.71,0.67,0.13,-0.13,0.61,-0.28,0.745,3.96,-0.18,-0.75,-0.67,5.84,-0.03,5.61,5.17,3.28,-0.07,0.04,0.16
1995-01-01,0.0,,,0.05,-0.14,0.03,0.89,0.06,0.03,0.1,-0.21,-0.07,0.15,-0.26,-0.35,-0.32,-0.01,0.02,0.54,0.27,1.03,0.06,-0.11,-0.5,0.66,-0.12,-0.015,2.36,2.33,0.53,0.1,0.09,0.27,0.475,-2.31,-0.39,0.06,0.12,0.31,0.06,-2.19,-2.02,-2.97,0.02,0.02,0.5
1996-01-01,0.03,,,0.11,1.16,0.03,1.22,0.04,0.01,0.23,-0.63,0.11,0.05,0.1,-0.13,0.06,0.67,0.12,0.84,0.23,0.35,0.04,0.03,0.19,0.36,0.23,-0.03,2.24,2.17,0.36,-0.16,0.12,-0.29,1.675,3.06,0.16,-0.92,-0.88,6.15,0.02,5.04,3.97,2.7,0.19,0.16,0.37
1997-01-01,0.0,,,0.11,1.05,0.03,1.67,0.06,0.03,0.33,-0.09,0.01,0.14,0.39,0.26,0.26,0.28,0.09,0.34,0.08,-0.3,0.13,-0.02,0.54,0.27,-0.24,0.025,2.87,2.69,0.91,-0.1,0.33,-0.15,1.2349999999999999,0.18,0.56,-0.24,-0.18,3.26,0.18,1.51,0.57,-0.1,0.0,0.09,0.13
1998-01-01,0.02,,,-0.04,1.91,0.16,1.05,0.01,0.02,0.1,0.23,0.05,0.04,-0.05,-0.15,-0.04,0.17,0.13,0.29,0.1,0.21,-0.01,-0.06,-0.48,-0.04,0.1,-0.135,2.22,2.23,1.05,0.01,-0.03,0.56,1.3800000000000001,3.03,-0.42,0.79,0.8,5.56,0.1,5.15,3.33,3.07,0.11,0.15,-0.05
1999-01-01,0.02,,,0.1,0.82,0.14,0.62,0.88,0.04,-0.13,0.35,0.08,-0.15,-0.02,-0.06,-0.12,0.57,-0.15,0.09,-0.11,-0.98,0.1,-0.02,-0.48,0.28,0.22,-0.015,0.17,0.05,0.43,-0.07,0.05,-0.35,0.72,2.43,-0.46,0.0,0.88,2.97,0.07,3.72,2.92,2.15,-0.06,-0.13,0.09
2000-01-01,0.07,,,-0.19,-0.2,0.15,1.13,0.0,0.0,0.24,0.93,0.09,0.04,0.04,0.04,0.05,0.45,-0.05,-0.06,-0.47,0.15,-0.01,0.04,0.61,-0.06,-0.09,0.14500000000000002,3.13,2.97,0.81,0.08,0.25,-0.1,0.23500000000000001,0.28,0.57,0.83,0.83,3.23,0.05,0.35,0.27,0.34,0.01,0.02,0.09
2001-01-01,0.01,,,-0.19,0.34,0.07,-0.84,0.03,0.02,0.09,0.16,-0.13,-0.03,-0.11,0.09,-0.02,0.3,-0.03,-0.37,-0.27,-0.13,-0.09,-0.01,0.58,0.15,0.12,0.165,-0.51,-0.96,-0.59,-0.14,-0.29,0.0,0.015000000000000013,0.19,0.59,0.16,0.19,-0.72,0.01,0.53,0.24,0.04,-0.11,-0.01,0.05
2002-01-01,-0.09,,,-0.07,1.56,-0.01,-2.5,-0.18,-0.01,-0.01,-0.1,0.04,-0.12,0.33,0.31,0.3,0.9,0.04,-0.62,0.05,-1.87,0.03,0.11,-1.2,0.19,-0.13,-0.28500000000000003,-6.95,-6.55,-2.08,-0.11,-0.01,0.13,0.5449999999999999,1.34,-1.31,0.03,-0.15,-4.27,-0.02,3.66,2.28,1.15,-0.01,-0.05,-0.48
2003-01-01,-0.04,,,0.01,1.82,0.07,-0.89,-0.51,0.02,-0.02,0.04,-0.08,0.03,0.15,0.11,0.02,0.8,0.0,-0.12,-0.13,-0.2,0.13,-0.03,0.53,0.1,-0.07,-0.02,-1.22,-1.26,-0.76,0.04,-0.26,-0.01,1.16,3.51,0.56,0.03,-0.48,2.94,0.0,6.01,4.2,3.41,-0.09,-0.04,0.01
2004-01-01,-0.01,,,0.02,1.92,0.12,0.31,0.02,-0.02,-0.16,-0.69,0.01,-0.07,0.07,0.0,-0.07,0.4,0.02,0.18,0.04,0.07,0.14,0.14,0.27,0.3,0.25,0.085,-0.02,-0.21,0.05,0.04,0.12,-0.19,1.3250000000000002,4.39,0.13,-0.89,-0.86,4.6,-0.09,6.84,4.81,4.1,-0.07,0.01,-0.11
2005-01-01,-0.02,,,-0.17,1.03,0.15,-0.11,0.22,-0.02,-0.07,0.04,-0.01,-0.11,0.0,0.07,0.02,0.49,0.03,-0.03,0.18,0.3,-0.02,0.1,0.47,0.38,0.18,0.11,0.63,0.41,0.1,-0.04,-0.26,-0.11,0.8200000000000001,2.8,0.38,-0.07,0.15,3.86,-0.1,4.62,3.45,2.42,-0.05,0.01,-0.02
2006-01-01,-0.01,,,0.11,-1.66,0.21,0.69,0.04,0.03,-0.02,0.16,-0.04,-0.07,0.09,0.18,0.23,0.02,0.11,0.37,-0.16,0.16,-0.14,0.2,0.51,0.03,0.37,-0.06,2.29,2.12,0.42,0.05,-0.17,0.04,-0.5800000000000001,-3.49,0.31,0.2,0.25,-1.47,-0.05,-5.33,-3.59,-3.51,0.05,0.1,0.05
2007-01-01,0.01,,,0.04,-2.35,0.35,1.26,0.34,0.06,0.08,1.0,0.02,0.01,0.18,0.14,0.14,-0.38,0.0,0.86,-0.11,0.47,0.04,-0.08,-0.13,-0.49,0.29,-0.11,4.59,4.35,0.47,0.01,0.19,0.43,-0.83,-9.5,-0.05,1.43,1.77,-5.58,-0.04,-12.38,-9.93,-9.01,0.0,0.01,0.12
2008-01-01,-0.01,,,0.01,-2.43,0.23,-0.56,-0.13,0.08,0.02,0.65,0.16,-0.03,0.2,0.05,0.09,-1.42,0.06,0.75,-0.16,0.87,0.1,-0.04,0.66,-0.5,-0.36,-0.015,2.83,2.57,-0.05,-0.05,-0.24,0.18,-1.415,-9.82,0.7,0.83,0.7,-8.75,-0.04,-13.81,-11.32,-9.32,0.05,0.05,-0.08
2009-01-01,-0.03,,,-0.19,-0.73,-0.2,-5.27,-0.58,-0.11,-0.18,0.73,-0.11,-0.31,-0.17,0.02,-0.02,-0.67,-0.06,-1.01,-0.34,0.26,-0.14,-0.1,-3.11,-1.53,-1.33,0.07,-9.95,-9.79,-2.1,-0.14,-0.68,-0.02,-1.855,-8.52,-3.01,0.71,0.12,-19.43,-0.07,-10.27,-9.64,-7.0,-0.05,-0.09,-0.68
2010-01-01,-0.02,-0.77,-0.74,-0.23,-0.08,-0.4,-3.71,-0.4,-0.1,-0.39,-1.51,-0.03,-0.02,-0.58,-0.29,-0.31,-0.61,0.11,-1.97,-0.02,-1.83,-0.26,0.17,1.63,-1.72,-0.65,-0.035,-8.7,-8.33,-1.66,-0.01,-0.34,0.1,-1.94,-0.64,1.47,-1.41,-1.81,-9.69,-0.08,-1.55,-1.36,1.08,-0.02,0.09,-0.46
2011-01-01,0.03,-0.96,1.06,0.03,0.21,0.0,-0.06,-0.2,0.07,-0.05,0.1,-0.07,0.07,-0.13,-0.18,-0.15,-0.14,-0.1,-0.47,-0.03,-0.2,0.02,0.57,3.35,0.08,0.07,0.185,1.59,1.54,-0.18,-0.06,0.01,-0.61,-0.17500000000000002,-0.6,2.77,-0.51,-0.71,0.83,-0.14,-0.17,-0.71,-0.69,0.03,-0.07,0.1
2012-01-01,0.06,0.92,1.38,-0.09,1.78,0.22,1.01,-0.21,0.09,0.2,2.3,0.23,0.05,0.31,0.07,0.18,0.47,0.09,0.26,0.03,0.78,0.13,-0.04,1.97,0.9,0.13,0.045,7.03,6.76,0.44,-0.07,0.04,0.29,1.6500000000000001,3.81,2.02,2.59,2.38,11.16,-0.06,6.22,4.4,2.91,0.11,0.15,0.03
2013-01-01,-0.01,-0.24,-1.46,0.05,1.25,0.21,0.41,0.18,0.09,-0.11,-1.7,0.15,0.06,-0.3,-0.3,-0.35,0.16,0.0,0.31,0.04,0.25,0.05,0.01,-0.08,1.02,0.15,0.0049999999999999975,0.58,0.44,0.28,-0.02,0.05,1.05,1.05,4.37,-0.09,-0.65,-0.47,5.11,-0.05,6.01,4.67,3.35,-0.05,-0.01,0.16
2014-01-01,0.0,0.41,1.19,0.05,-0.88,0.37,1.41,-0.05,-0.06,-0.04,1.6,0.1,0.05,-0.19,-0.23,-0.18,0.88,0.09,0.3,0.04,0.69,-0.01,-0.15,0.9,1.02,0.24,0.005,5.52,5.13,0.88,0.01,-0.02,0.12,0.415,2.09,1.05,1.72,1.66,8.08,-0.04,2.06,2.95,1.07,0.05,0.09,0.46
2015-01-01,0.0,1.04,-0.47,0.21,0.79,0.36,1.37,0.38,0.02,0.06,0.56,-0.18,-0.01,0.18,0.18,0.2,1.59,0.1,0.49,0.06,1.85,-0.02,-0.08,-4.81,0.71,0.01,0.009999999999999998,0.08,-0.27,0.8,0.02,0.13,-0.32,1.775,2.68,-4.72,0.24,0.62,4.1,0.01,5.18,4.36,1.97,0.02,0.1,0.25
2016-01-01,0.07,0.05,0.57,0.2,0.39,0.29,2.0,0.04,0.04,0.17,0.62,-0.11,0.07,0.06,0.0,-0.03,1.34,-0.14,0.42,0.11,-0.28,0.09,-0.37,-4.43,0.78,0.17,0.009999999999999998,-1.47,-1.75,1.04,-0.06,0.22,-0.26,1.3699999999999999,1.73,-4.06,0.36,0.4,1.47,0.0,3.64,3.22,0.95,-0.03,-0.07,0.45
2017-01-01,0.1,-1.18,-0.19,0.12,0.04,0.14,0.43,0.13,-0.02,0.1,-1.37,0.09,-0.03,0.11,0.01,0.02,0.88,-0.01,0.02,0.09,-0.8,0.09,0.07,2.03,-0.08,0.08,0.05,1.17,1.04,-0.1,-0.01,-0.07,0.23,0.805,1.21,1.96,-1.14,-1.02,3.19,-0.03,2.3,2.15,1.29,0.01,0.09,0.44
2018-01-01,0.05,0.31,0.26,0.04,-0.99,0.0,0.18,0.01,-0.01,0.04,0.57,-0.24,0.02,-0.07,-0.02,-0.08,0.23,0.14,0.09,0.06,-0.09,0.0,0.0,1.84,-0.11,-0.29,-0.07,2.51,2.52,0.36,0.03,-0.05,-0.13,-0.365,0.44,1.84,0.45,0.45,3.23,-0.02,-0.41,0.71,0.56,-0.05,0.19,0.22
2019-01-01,0.01,0.1,0.34,-0.05,0.07,0.07,0.2,-0.21,-0.01,-0.15,0.44,0.05,0.01,0.09,-0.05,0.01,0.55,-0.1,0.04,-0.03,0.29,0.08,0.14,-0.02,0.23,-0.48,-0.02,1.04,0.99,0.59,0.04,-0.02,0.43,0.23500000000000001,-1.05,-0.16,0.87,0.66,0.44,0.01,-0.51,-0.54,-1.28,0.06,-0.09,0.0
2020-01-01,-0.03,0.01,0.53,-0.22,1.04,0.06,0.44,0.08,-0.03,-0.24,0.54,0.01,-0.05,0.11,-0.09,-0.04,1.42,-0.06,-0.49,0.0,-0.51,0.14,-0.08,-2.91,0.58,-0.26,0.020000000000000004,-4.15,-4.18,0.08,-0.03,0.09,-0.75,0.73,1.73,-2.83,-0.21,-0.12,-1.07,-0.03,4.23,3.12,1.15,0.06,-0.09,0.47
2021-01-01,0.0,-0.2,0.08,-0.05,1.11,0.02,-0.51,-0.13,-0.1,-0.12,-0.12,-0.03,-0.07,-0.05,-0.08,-0.12,0.14,-0.04,-0.8,0.12,0.16,0.07,0.06,0.73,0.7,-0.08,-0.020000000000000004,-1.05,-1.1,-0.6,0.01,-0.11,-0.15,0.08999999999999997,5.35,0.67,-0.27,-0.41,4.42,-0.04,6.55,5.51,4.65,-0.03,-0.04,0.39
2022-01-01,-0.02,-0.25,0.02,0.11,-2.48,-0.08,-0.37,-0.04,0.0,0.03,-0.23,0.1,0.05,-0.05,-0.07,-0.17,-1.12,0.03,-0.08,0.09,1.17,0.12,-0.01,0.85,-0.09,0.06,0.01,1.32,1.35,-0.62,0.05,-0.06,-0.25,-1.68,-2.01,0.86,-0.47,-0.51,-1.69,-0.01,-5.54,-3.04,-1.92,-0.1,0.01,0.25
2023-01-01,-0.01,-0.12,0.31,0.06,-2.21,0.31,-0.02,0.04,0.01,0.11,0.18,-0.02,0.08,0.11,0.01,-0.05,-0.03,0.1,0.24,-0.27,2.97,0.16,0.04,0.24,0.81,0.09,-0.005,4.32,4.01,-0.36,0.07,0.09,0.03,-0.8199999999999998,-2.63,0.2,0.21,0.25,1.09,0.02,-5.14,-2.92,-3.43,-0.06,0.09,-0.03
