Date,"Population (midperiod, thousands)"
1959-01-01,175818.0
1959-02-01,176044.0
1959-03-01,176274.0
1959-04-01,176503.0
1959-05-01,176723.0
1959-06-01,176954.0
1959-07-01,177208.0
1959-08-01,177479.0
1959-09-01,177755.0
1959-10-01,178026.0
1959-11-01,178273.0
1959-12-01,178504.0
1960-01-01,178925.0
1960-02-01,179326.0
1960-03-01,179707.0
1960-04-01,180067.0
1960-05-01,180408.0
1960-06-01,180728.0
1960-07-01,181028.0
1960-08-01,181308.0
1960-09-01,181567.0
1960-10-01,181807.0
1960-11-01,182026.0
1960-12-01,182225.0
1961-01-01,182404.0
1961-02-01,182631.0
1961-03-01,182867.0
1961-04-01,183105.0
1961-05-01,183335.0
1961-06-01,183572.0
1961-07-01,183825.0
1961-08-01,184101.0
1961-09-01,184384.0
1961-10-01,184654.0
1961-11-01,184900.0
1961-12-01,185129.0
1962-01-01,185347.0
1962-02-01,185551.0
1962-03-01,185762.0
1962-04-01,185981.0
1962-05-01,186201.0
1962-06-01,186426.0
1962-07-01,186664.0
1962-08-01,186924.0
1962-09-01,187191.0
1962-10-01,187449.0
1962-11-01,187685.0
1962-12-01,187905.0
1963-01-01,188113.0
1963-02-01,188300.0
1963-03-01,188484.0
1963-04-01,188685.0
1963-05-01,188904.0
1963-06-01,189130.0
1963-07-01,189369.0
1963-08-01,189629.0
1963-09-01,189895.0
1963-10-01,190147.0
1963-11-01,190369.0
1963-12-01,190570.0
1964-01-01,190763.0
1964-02-01,190953.0
1964-03-01,191146.0
1964-04-01,191346.0
1964-05-01,191557.0
1964-06-01,191778.0
1964-07-01,192010.0
1964-08-01,192254.0
1964-09-01,192504.0
1964-10-01,192739.0
1964-11-01,192943.0
1964-12-01,193131.0
1965-01-01,193308.0
1965-02-01,193467.0
1965-03-01,193625.0
1965-04-01,193799.0
1965-05-01,193988.0
1965-06-01,194195.0
1965-07-01,194416.0
1965-08-01,194645.0
1965-09-01,194879.0
1965-10-01,195096.0
1965-11-01,195284.0
1965-12-01,195456.0
1966-01-01,195614.0
1966-02-01,195760.0
1966-03-01,195915.0
1966-04-01,196089.0
1966-05-01,196275.0
1966-06-01,196466.0
1966-07-01,196661.0
1966-08-01,196873.0
1966-09-01,197096.0
1966-10-01,197303.0
1966-11-01,197485.0
1966-12-01,197654.0
1967-01-01,197814.0
1967-02-01,197965.0
1967-03-01,198122.0
1967-04-01,198287.0
1967-05-01,198452.0
1967-06-01,198627.0
1967-07-01,198812.0
1967-08-01,199012.0
1967-09-01,199212.0
1967-10-01,199405.0
1967-11-01,199578.0
1967-12-01,199733.0
1968-01-01,199864.0
1968-02-01,199988.0
1968-03-01,200132.0
1968-04-01,200285.0
1968-05-01,200449.0
1968-06-01,200621.0
1968-07-01,200802.0
1968-08-01,200997.0
1968-09-01,201193.0
1968-10-01,201378.0
1968-11-01,201544.0
1968-12-01,201691.0
1969-01-01,201821.0
1969-02-01,201952.0
1969-03-01,202092.0
1969-04-01,202246.0
1969-05-01,202419.0
1969-06-01,202592.0
1969-07-01,202777.0
1969-08-01,202984.0
1969-09-01,203196.0
1969-10-01,203401.0
1969-11-01,203588.0
1969-12-01,203762.0
1970-01-01,203929.0
1970-02-01,204082.0
1970-03-01,204246.0
1970-04-01,204504.0
1970-05-01,204719.0
1970-06-01,204941.0
1970-07-01,205174.0
1970-08-01,205418.0
1970-09-01,205664.0
1970-10-01,205906.0
1970-11-01,206131.0
1970-12-01,206352.0
1971-01-01,206567.0
1971-02-01,206762.0
1971-03-01,206960.0
1971-04-01,207163.0
1971-05-01,207361.0
1971-06-01,207562.0
1971-07-01,207771.0
1971-08-01,207998.0
1971-09-01,208230.0
1971-10-01,208450.0
1971-11-01,208648.0
1971-12-01,208829.0
1972-01-01,208989.0
1972-02-01,209137.0
1972-03-01,209299.0
1972-04-01,209466.0
1972-05-01,209635.0
1972-06-01,209811.0
1972-07-01,209986.0
1972-08-01,210177.0
1972-09-01,210379.0
1972-10-01,210568.0
1972-11-01,210739.0
1972-12-01,210903.0
1973-01-01,211053.0
1973-02-01,211187.0
1973-03-01,211337.0
1973-04-01,211499.0
1973-05-01,211662.0
1973-06-01,211828.0
1973-07-01,212001.0
1973-08-01,212191.0
1973-09-01,212382.0
1973-10-01,212555.0
1973-11-01,212710.0
1973-12-01,212859.0
1974-01-01,213003.0
1974-02-01,213143.0
1974-03-01,213286.0
1974-04-01,213437.0
1974-05-01,213600.0
1974-06-01,213770.0
1974-07-01,213948.0
1974-08-01,214144.0
1974-09-01,214349.0
1974-10-01,214538.0
1974-11-01,214704.0
1974-12-01,214857.0
1975-01-01,214998.0
1975-02-01,215132.0
1975-03-01,215276.0
1975-04-01,215438.0
1975-05-01,215646.0
1975-06-01,215871.0
1975-07-01,216084.0
1975-08-01,216294.0
1975-09-01,216490.0
1975-10-01,216679.0
1975-11-01,216851.0
1975-12-01,217013.0
1976-01-01,217172.0
1976-02-01,217315.0
1976-03-01,217455.0
1976-04-01,217607.0
1976-05-01,217773.0
1976-06-01,217948.0
1976-07-01,218134.0
1976-08-01,218337.0
1976-09-01,218542.0
1976-10-01,218739.0
1976-11-01,218920.0
1976-12-01,219093.0
1977-01-01,219262.0
1977-02-01,219424.0
1977-03-01,219594.0
1977-04-01,219772.0
1977-05-01,219953.0
1977-06-01,220143.0
1977-07-01,220349.0
1977-08-01,220573.0
1977-09-01,220796.0
1977-10-01,221007.0
1977-11-01,221206.0
1977-12-01,221390.0
1978-01-01,221553.0
1978-02-01,221711.0
1978-03-01,221892.0
1978-04-01,222084.0
1978-05-01,222278.0
1978-06-01,222482.0
1978-07-01,222697.0
1978-08-01,222933.0
1978-09-01,223168.0
1978-10-01,223383.0
1978-11-01,223585.0
1978-12-01,223781.0
1979-01-01,223973.0
1979-02-01,224150.0
1979-03-01,224333.0
1979-04-01,224529.0
1979-05-01,224734.0
1979-06-01,224948.0
1979-07-01,225174.0
1979-08-01,225419.0
1979-09-01,225662.0
1979-10-01,225893.0
1979-11-01,226120.0
1979-12-01,226339.0
1980-01-01,226554.0
1980-02-01,226753.0
1980-03-01,226955.0
1980-04-01,227156.0
1980-05-01,227387.0
1980-06-01,227624.0
1980-07-01,227840.0
1980-08-01,228070.0
1980-09-01,228302.0
1980-10-01,228515.0
1980-11-01,228696.0
1980-12-01,228858.0
1981-01-01,229004.0
1981-02-01,229148.0
1981-03-01,229314.0
1981-04-01,229489.0
1981-05-01,229668.0
1981-06-01,229864.0
1981-07-01,230077.0
1981-08-01,230300.0
1981-09-01,230527.0
1981-10-01,230732.0
1981-11-01,230906.0
1981-12-01,231073.0
1982-01-01,231235.0
1982-02-01,231392.0
1982-03-01,231558.0
1982-04-01,231727.0
1982-05-01,231901.0
1982-06-01,232090.0
1982-07-01,232290.0
1982-08-01,232496.0
1982-09-01,232708.0
1982-10-01,232905.0
1982-11-01,233077.0
1982-12-01,233241.0
1983-01-01,233398.0
1983-02-01,233543.0
1983-03-01,233697.0
1983-04-01,233852.0
1983-05-01,234020.0
1983-06-01,234213.0
1983-07-01,234404.0
1983-08-01,234601.0
1983-09-01,234804.0
1983-10-01,234993.0
1983-11-01,235157.0
1983-12-01,235310.0
1984-01-01,235456.0
1984-02-01,235601.0
1984-03-01,235757.0
1984-04-01,235916.0
1984-05-01,236077.0
1984-06-01,236254.0
1984-07-01,236449.0
1984-08-01,236655.0
1984-09-01,236868.0
1984-10-01,237068.0
1984-11-01,237238.0
1984-12-01,237392.0
1985-01-01,237535.0
1985-02-01,237667.0
1985-03-01,237816.0
1985-04-01,237987.0
1985-05-01,238172.0
1985-06-01,238368.0
1985-07-01,238573.0
1985-08-01,238789.0
1985-09-01,239006.0
1985-10-01,239210.0
1985-11-01,239392.0
1985-12-01,239558.0
1986-01-01,239713.0
1986-02-01,239858.0
1986-03-01,240011.0
1986-04-01,240183.0
1986-05-01,240365.0
1986-06-01,240555.0
1986-07-01,240753.0
1986-08-01,240961.0
1986-09-01,241171.0
1986-10-01,241371.0
1986-11-01,241544.0
1986-12-01,241702.0
1987-01-01,241857.0
1987-02-01,242005.0
1987-03-01,242166.0
1987-04-01,242338.0
1987-05-01,242516.0
1987-06-01,242706.0
1987-07-01,242908.0
