Date,Domestic corporate business,Domestic corporate business (2-8+16),Financial,Government,"Imputed dividends paid by domestic corporate business, financial",Imputed dividends received by persons,Monetary dividends paid,Monetary dividends received,Net corporate dividend payments (19+20),Nonfinancial,Paid by Federal Reserve banks,Personal dividend income (18-13 or 15+17),Persons,Received by financial corporations from Federal Reserve banks,Received by the U.S. Treasury from Federal Reserve banks,Rest of the world,Rest of the world (6-12)
1958-01-01,10057.0,10356.0,2235.5,524.0,,,17368.0,17368.0,12090.0,7821.5,545.0,11566.0,11566.0,21.0,524.0,1266.0,1734.0
1959-01-01,10910.5,11619.0,2592.5,911.0,,,19013.0,19013.0,13481.0,8318.0,922.0,12570.0,12570.0,11.0,911.0,1362.0,1862.0
1960-01-01,11527.5,12307.0,2731.0,897.0,,,20114.0,20114.0,14263.0,8796.5,911.0,13366.0,13366.0,14.0,897.0,1455.0,1956.0
1961-01-01,12082.5,12193.0,2678.5,687.0,,,21063.0,21063.0,14588.0,9404.0,705.0,13901.0,13901.0,18.0,687.0,1686.5,2395.0
1962-01-01,13217.5,13155.0,3039.5,799.0,,,22973.0,22973.0,15826.0,10178.0,823.0,15027.0,15027.0,24.0,799.0,1842.5,2671.0
1963-01-01,13871.0,14442.0,3138.0,880.0,,,24332.0,24332.0,17116.0,10733.0,909.0,16236.0,16236.0,29.0,880.0,1903.0,2674.0
1964-01-01,15884.5,16573.0,4011.5,1582.0,,,27955.0,27955.0,19776.0,11873.0,1613.0,18194.0,18194.0,31.0,1582.0,2182.5,3203.0
1965-01-01,17433.5,18171.0,4345.0,1297.0,,,30565.0,30565.0,21502.0,13088.5,1329.0,20205.0,20205.0,32.0,1297.0,2380.5,3331.0
1966-01-01,17435.5,19477.0,4304.0,1649.0,,,30799.0,30799.0,22319.0,13131.5,1683.0,20670.0,20670.0,34.0,1649.0,2204.0,2842.0
1967-01-01,18223.5,20237.0,4434.0,1907.0,,,32290.0,32290.0,23417.0,13789.5,1942.0,21510.0,21510.0,35.0,1907.0,2358.0,3180.0
1968-01-01,20992.5,22631.0,5971.5,2464.0,1710.0,1710.0,35686.0,35686.0,25999.0,15021.0,2501.0,23535.0,21825.0,37.0,2464.0,2549.0,3368.0
1969-01-01,22302.5,23422.0,6818.5,3019.0,2037.0,2037.0,37844.0,37844.0,27258.0,15484.0,3058.0,24239.0,22202.0,39.0,3019.0,2931.0,3836.0
1970-01-01,22978.0,23865.0,7513.5,3494.0,2351.0,2351.0,38781.0,38781.0,27801.0,15464.5,3535.0,24307.0,21956.0,41.0,3494.0,3078.0,3936.0
1971-01-01,24251.5,23694.0,7836.0,3357.0,2661.0,2661.0,40833.0,40833.0,28384.0,16415.5,3401.0,25027.0,22366.0,44.0,3357.0,3720.0,4690.0
1972-01-01,26530.0,25173.0,8252.0,3231.0,2961.0,2961.0,44167.0,44167.0,30067.0,18278.0,3277.0,26836.0,23875.0,46.0,3231.0,4084.0,4894.0
1973-01-01,32818.0,27448.0,9954.0,4368.0,3464.0,3464.0,53366.0,53366.0,34248.0,22864.0,4390.0,29880.0,26416.0,49.0,4341.0,5156.0,6800.0
1974-01-01,41213.0,29004.0,11043.0,5582.0,4220.0,4220.0,65223.0,65223.0,38769.0,30170.0,5603.0,33187.0,28967.0,53.0,5550.0,6735.5,9765.0
1975-01-01,35125.5,31786.0,11348.0,5420.0,4673.0,4673.0,57304.0,57304.0,38342.0,23777.5,5437.0,32922.0,28249.0,55.0,5382.0,5344.0,6556.0
1976-01-01,43328.5,35925.0,12208.0,5913.0,5258.0,5258.0,70338.0,70338.0,44884.0,31120.5,5927.0,38971.0,33713.0,57.0,5870.0,7196.5,8959.0
1977-01-01,49966.5,39627.0,14004.0,5983.0,6630.0,6630.0,80614.0,80614.0,50706.0,35962.5,5997.0,44723.0,38093.0,60.0,5937.0,8609.5,11079.0
1978-01-01,54421.0,46615.0,16411.0,7071.0,8281.0,8281.0,88309.0,88309.0,57799.0,38010.0,7069.0,50728.0,42447.0,63.0,7006.0,9129.0,11184.0
1979-01-01,66080.5,50978.0,20296.0,9362.0,9943.0,9943.0,106506.0,106506.0,67019.0,45784.5,9346.0,57657.0,47714.0,67.0,9279.0,11887.5,16041.0
