Date,Consumption expenditures,Equipment,Federal,Government consumption expenditures and gross investment,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1947-01-01,6.667400000000001,30.5724,9.668,7.184,13.589599999999999,16.7926,9.616,9.134,13.698400000000001,,5.186,5.8618
1947-04-01,6.5733999999999995,30.8226,9.555,7.166,13.6244,16.8284,9.572,8.691,13.728800000000001,,5.268,5.3915999999999995
1947-07-01,6.481,34.077999999999996,9.169,7.029,14.6244,16.9158,8.825,9.752,13.8032,,5.38,6.1056
1947-10-01,6.5712,33.2962,9.184,7.118,14.516399999999999,17.0518,8.82,9.905,13.9192,,5.552,6.0329999999999995
1948-01-01,6.571600000000001,32.824200000000005,9.259,7.252,14.614799999999999,17.228199999999998,9.04,9.304,14.069400000000002,,5.757,6.1302
1948-04-01,6.6096,32.9808,9.336,7.35,14.8178,17.345,9.187,9.143,14.169,,5.883,6.3274
1948-07-01,6.6822,34.7308,9.433,7.497,15.2804,17.413999999999998,9.327,9.116,14.229400000000002,,6.094,6.5486
1948-10-01,6.7105999999999995,34.2276,9.439,7.543,15.2096,17.435,9.367,9.025,14.249,,6.188,6.5134
1949-01-01,6.9197999999999995,35.5272,9.735,7.658,15.3328,17.4008,9.538,9.668,14.2226,,6.123,6.4834000000000005
1949-04-01,6.9106,34.827600000000004,9.726,7.608,15.1732,17.378999999999998,9.51,9.717,14.205000000000002,,6.027,6.4412
1949-07-01,6.884600000000001,33.9486,9.648,7.563,14.842399999999998,17.380000000000003,9.458,9.573,14.205400000000001,,6.013,6.1944
1949-10-01,7.0120000000000005,33.614599999999996,9.833,7.629,14.8616,17.409399999999998,9.617,9.829,14.229,,5.973,6.1884
1950-01-01,7.0325999999999995,34.0518,9.891,7.625,15.003,17.467,9.654,9.953,14.2754,,5.916,6.2122
1950-04-01,6.9878,35.1078,9.778,7.594,14.753,17.637,9.603,9.69,14.413599999999999,,5.956,5.9098
1950-07-01,7.046200000000001,35.1674,9.894,7.736,14.954000000000002,17.9216,9.813,9.48,14.6464,,6.124,6.0328
1950-10-01,6.910200000000001,38.0678,9.841,7.803,15.640199999999998,18.322200000000002,9.846,9.059,14.9744,,6.3,6.283399999999999
1951-01-01,7.426,38.4844,10.342,8.146,16.2258,18.8386,10.116,10.562,15.397200000000002,,6.513,6.7116
1951-04-01,7.2426,38.088,10.149,8.09,16.511599999999998,19.2098,9.939,10.216,15.703399999999998,,6.622,6.9024
1951-07-01,7.256,38.6862,10.176,8.147,16.767599999999998,19.4364,9.957,10.247,15.894,,6.737,7.0876
1951-10-01,7.381,37.4654,10.326,8.26,16.8438,19.5214,10.105,10.365,15.970999999999998,,6.821,7.1342
1952-01-01,7.3712,38.1728,10.189,8.184,16.8202,19.465600000000002,9.914,10.708,15.934999999999999,,6.829,7.0846
1952-04-01,7.475199999999999,38.8688,10.315,8.285,16.9258,19.479400000000002,10.042,10.824,15.9492,,6.915,7.1644000000000005
1952-07-01,7.5578,38.986599999999996,10.399,8.382,17.1308,19.561,10.12,10.951,16.012800000000002,,7.059,7.3172
1952-10-01,7.6842,38.8104,10.551,8.469,17.076,19.7106,10.27,11.096,16.125,,7.053,7.2488
1953-01-01,7.655199999999999,39.5584,10.418,8.414,16.9616,19.7104,10.117,11.151,16.1414,,7.124,7.225999999999999
1953-04-01,7.7092,37.293600000000005,10.458,8.431,16.8572,19.772,10.146,11.266,16.1918,,7.102,7.255799999999999
1953-07-01,7.702800000000001,37.6924,10.42,8.407,16.9058,19.799799999999998,10.085,11.392,16.2144,,7.1,7.2846
