Date,Change in private inventories,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,"Entertainment, literary, and artistic originals",Equipment,Exports,Farm,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Fixed investment,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross investment,Gross output of nonprofit institutions,Gross private domestic investment,Health care,Household consumption expenditures (for services),Housing and utilities,Imports,Industrial equipment,Information processing equipment,Intellectual property products,Less: Receipts from sales of goods and services by nonprofit institutions,Motor vehicles and parts,National defense,Net exports of goods and services,Nondefense,Nondurable goods,Nonfarm,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Residual,Services,Software,State and local,Structures,Transportation equipment,Transportation services
2009-07-01,-236813.0,315186.0,79430.0,945597.0,896394.0,66768.0,624449.0,1702680.0,-13291.0,1376381.0,320909.0,1022993.0,2182489.0,851865.0,737794.0,195809.0,302439.0,1960736.6666666667,3558540.0,16326281.0,240891.66666666666,1269091.0,1946867.0,1849307.0,7624898.0,2258112.0,2026658.0,159466.0,206560.0,572786.0,948819.0,372513.0,877987.0,-323978.0,496989.0,2354737.0,-221233.0,1695222.0,130427.0,143027.0,171121.0,879321.0,982172.0,11150230.0,454089.0,196731.0,319247.0,491406.0,-91470.0,3015495.0,193685.0,2184555.0,521808.0,75991.0,333117.0
2009-10-01,-57472.0,316897.0,86938.0,949863.3333333334,875252.0,67987.0,653348.0,1796464.0,-7004.0,1396928.0,334191.0,1008817.0,2193484.0,857002.0,736858.0,197229.0,302937.0,2009608.6666666667,3565188.0,16502754.0,238630.0,1273127.0,2128516.0,1840443.0,7618531.0,2279055.0,2125297.0,157222.0,218392.0,590197.0,939218.0,337740.0,887914.0,-328833.0,507684.0,2362265.0,-50498.0,1706564.0,135609.0,143505.0,173127.0,879492.0,974435.0,11137946.0,456099.0,200722.0,325579.0,490390.0,-76533.0,3026203.0,202779.0,2169823.0,477648.0,91942.0,334298.0
2010-01-01,-6872.0,324178.0,90911.0,947929.3333333334,885957.0,70298.0,699529.0,1836914.0,-11540.0,1412544.0,335992.0,1015786.0,2192686.0,862761.0,746177.0,202417.0,298703.0,2045894.3333333333,3549775.0,16582710.0,235134.66666666666,1273158.0,2174335.0,1838143.0,7656484.0,2295994.0,2178743.0,153283.0,228799.0,580237.0,937409.0,334361.0,892863.0,-341829.0,518470.0,2374836.0,3135.0,1718732.0,142188.0,147137.0,185612.0,883996.0,977651.0,11202495.0,460357.0,204431.0,315630.0,474574.0,-70510.0,3041637.3333333335,199948.0,2137797.0,445966.0,121513.0,335287.0
2010-04-01,35277.0,328935.0,94067.0,947071.6666666666,913880.0,73401.0,745107.0,1877331.0,-14932.0,1431015.0,339842.0,1024770.0,2272707.0,858823.0,755383.0,207281.0,302407.0,2103423.6666666665,3560566.0,16743162.0,239407.0,1284254.0,2288469.0,1854434.0,7706669.0,2307487.0,2278127.0,163028.0,236423.0,577346.0,944646.0,354214.0,899202.0,-400796.0,530710.0,2387864.0,47436.0,1775333.0,146811.0,147299.0,196807.0,891772.0,978900.0,11302955.0,466992.0,209320.0,313131.0,499233.0,-83711.0,3062147.6666666665,196824.0,2129491.0,459037.0,141319.0,332431.0
2010-07-01,120261.0,330716.0,93225.0,938905.3333333334,928246.0,74759.0,785236.0,1930963.0,-19498.0,1424541.0,335029.0,1027110.0,2285204.0,860019.0,760727.0,208058.0,304195.0,2143969.0,3535371.0,16872266.0,239105.33333333334,1298138.0,2390072.0,1881324.0,7767553.0,2323356.0,2357757.0,166441.0,244578.0,588543.0,963349.0,362306.0,897430.0,-426795.0,525947.0,2396783.0,135335.0,1823655.0,155082.0,149638.0,196616.0,895672.0,981168.0,11383596.0,471570.0,212875.0,319688.0,454993.0,-68899.0,3093082.3333333335,200309.0,2110610.0,452642.0,172214.0,334962.0
2010-10-01,68909.0,339147.0,89303.0,933455.0,954231.0,75902.0,801162.0,1983824.0,-17920.0,1422256.0,329613.0,1038308.0,2328831.0,866355.0,763481.0,211503.0,302711.0,2174681.3333333335,3512905.0,16960864.0,236926.66666666666,1297470.0,2383297.0,1884209.0,7792671.0,2332558.0,2366425.0,174067.0,246942.0,599561.0,968100.0,378959.0,899718.0,-382601.0,521296.0,2414633.0,84922.0,1859421.0,160380.0,152142.0,200800.0,900833.0,977988.0,11453368.0,469903.0,217544.0,325566.0,462520.0,-62925.0,3104419.6666666665,204333.0,2090152.0,461641.0,174636.0,340348.0
2011-01-01,29124.0,342252.0,85776.0,923838.0,962579.0,73440.0,820993.0,2000839.0,-2141.0,1402162.0,336160.0,1046540.0,2325257.0,866578.0,769783.0,213561.0,298860.0,2190881.6666666665,3469798.0,16920632.0,232242.0,1301549.0,2338901.0,1890840.0,7812226.0,2322141.0,2377978.0,184734.0,242342.0,605659.0,965624.0,376068.0,883231.0,-377139.0,517806.0,2422669.0,31088.0,1857309.0,158830.0,153273.0,207916.0,910952.0,992132.0,11497120.0,463638.0,223740.0,327093.0,460953.0,-64371.0,3111220.6666666665,210503.0,2067272.0,428196.0,185164.0,340987.0
2011-04-01,65520.0,344435.0,91419.0,918512.6666666666,955777.0,72370.0,832346.0,2034722.0,-4547.0,1396760.0,347504.0,1047698.0,2380022.0,864831.0,775589.0,214887.0,293849.0,2193052.3333333335,3446079.0,17035114.0,229528.66666666666,1313075.0,2434538.0,1892152.0,7827831.0,2321250.0,2386867.0,187424.0,249926.0,615579.0,965815.0,358254.0,886941.0,-352145.0,508500.0,2417537.0,70083.0,1905711.0,161484.0,154827.0,209185.0,912353.0,987842.0,11508950.0,466771.0,228562.0,329927.0,466179.0,-54626.0,3128943.6666666665,217871.0,2048802.0,458394.0,183271.0,350125.0
2011-07-01,-14852.0,339567.0,95282.0,904251.6666666666,964263.0,72594.0,882413.0,2062730.0,-2028.0,1366393.0,365244.0,1062169.0,2480401.0,861496.0,779832.0,215582.0,294450.0,2204003.3333333335,3396917.0,17031313.0,227416.0,1316120.0,2445296.0,1885927.0,7845448.0,2330764.0,2413346.0,201269.0,255014.0,628055.0,951246.0,359022.0,874827.0,-350615.0,490065.0,2409293.0,-12873.0,1995353.0,163204.0,156787.0,224432.0,910973.0,979164.0,11543975.0,468500.0,232929.0,332666.0,474579.0,-69563.0,3149021.0,226538.0,2030405.0,486074.0,202487.0,355221.0
2011-10-01,97693.0,340982.0,94523.0,904341.0,987371.0,73616.0,902777.0,2078364.0,-122.0,1371480.0,355226.0,1056400.0,2544234.0,860338.0,782201.0,218818.0,293003.0,2232598.6666666665,3394613.0,17222583.0,226661.0,1322095.0,2633829.0,1903513.0,7847626.0,2321173.0,2445030.0,214375.0,256114.0,642440.0,967066.0,376753.0,867273.0,-366665.0,503034.0,2408723.0,97997.0,2046640.0,164803.0,155220.0,222052.0,912229.0,980868.0,11563890.0,462538.0,237862.0,337695.0,486889.0,-49879.0,3139686.0,234394.0,2022796.0,503202.0,212277.0,355017.0
2012-01-01,77751.0,345202.0,102865.0,904159.6666666666,1011514.0,74436.0,930892.0,2103747.0,-7274.0,1371423.0,364942.0,1060777.0,2624008.0,865971.0,788661.0,222362.0,291083.0,2252614.3333333335,3380162.0,17367010.0,222058.0,1349862.0,2692179.0,1929808.0,7875085.0,2300479.0,2457077.0,212523.0,270788.0,643771.0,985151.0,389153.0,861660.0,-353330.0,508761.0,2426333.0,85320.0,2099256.0,171949.0,158465.0,226725.0,923927.0,988046.0,11647297.0,468983.0,243358.0,333246.0,516345.0,-48370.0,3159569.3333333335,238608.0,2008214.0,527403.0,221339.0,350783.0
2012-04-01,89453.0,338979.0,102183.0,899393.0,1013418.0,74382.0,957161.0,2124460.0,-13927.0,1360498.0,382484.0,1041047.0,2677220.0,870949.0,793046.0,220174.0,293245.0,2260178.3333333335,3362330.0,17444525.0,220932.66666666666,1348072.0,2752614.0,1923667.0,7879944.0,2321415.0,2466212.0,217297.0,275886.0,652006.0,966226.0,388563.0,851119.0,-341752.0,508495.0,2423566.0,104814.0,2146704.0,177246.0,159562.0,233189.0,919194.0,976846.0,11667753.0,476151.0,246547.0,332464.0,520771.0,-46448.0,3169068.0,246779.0,2001428.0,540262.0,232149.0,359001.0
