Date,Clothing and footwear,Computers and peripheral equipment,Consumption expenditures,Durable goods,Energy goods and services,"Entertainment, literary, and artistic originals",Equipment,Federal,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Final sales of computers to domestic purchasers,Final sales of domestic product,Final sales to domestic purchasers,Financial services and insurance,Fixed investment,Food,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Government consumption expenditures and gross investment,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding food and energy,Gross domestic purchases,Gross domestic purchases excluding final sales of computers to domestic purchasers,Gross domestic purchases excluding food and energy,Gross investment,Gross private domestic investment,Health care,Household consumption expenditures,Housing and utilities,Industrial equipment,Information processing equipment,Intellectual property products,Motor vehicles and parts,National defense,Nondefense,Nondurable goods,Nonresidential,Other,Other durable goods,Other equipment,Other nondurable goods,Other services,Personal consumption expenditures,Recreation services,Recreational goods and vehicles,Research and development,Residential,Services,Software,State and local,Structures,Transportation equipment,Transportation services
1970-01-01,65.987,64499.317,14.442,69.514,,25.433,62.928,17.722,60.068,,19.68,19.403,15.693,26.887,,20.074,13.774,64.318,11.687,33.501,14.64,19.823,,,19.545,,,23.498666666666665,27.934,9.019,13.247,13.829,18.48,669.277,37.475,32.942,17.199,18.946,22.893,35.371,125.823,38.038,18.913,19.293,14.549,19.444,17.829,329.87,19.931,12.771,13.937,180.746,12.676,10.462,23.962,16.751
1970-04-01,66.395,62733.678,14.687666666666667,69.787,,25.727,63.525,17.956,60.483,,19.967,19.677,15.831,27.465,,20.243,14.089,64.605,11.906,33.775,14.888,20.109,,,19.819,,,23.930000000000003,28.514,9.203,13.434,13.969,18.754,670.699,37.819,33.141,17.394,19.311,23.118,35.95,127.075,38.29,19.101,19.511,14.761,19.659,18.041,328.898,20.133,13.244,14.131,180.736,12.944,10.789,24.178,16.946
1970-07-01,66.98,58486.095,14.944000000000003,70.301,,26.196,64.003,18.263,60.941,,20.131,19.867,15.984,27.407,,20.373,14.271,64.73,11.831,34.01,15.149,20.274,,,20.01,,,24.299666666666667,28.457,9.344,13.603,14.133,19.007,666.231,38.221,33.628,17.696,19.62,23.274,36.182,128.139,38.504,19.287,19.746,14.933,19.851,18.255,329.172,20.336,12.888,14.306,180.747,13.178,10.819,24.431,17.243
1970-10-01,67.827,54672.268,15.14,71.47,,26.759,64.752,18.495,62.028,,20.394,20.134,16.229,27.728,,20.465,14.443,65.119,12.06,34.389,15.387,20.539,,,20.279,,,24.720333333333333,28.792,9.472,13.803,14.339,19.241,663.313,38.644,34.671,17.922,19.865,23.481,36.659,129.379,38.684,19.591,19.926,15.171,20.108,18.5,333.008,20.542,12.994,14.517,180.284,13.428,10.998,24.95,17.572
1971-01-01,68.451,51494.268,15.642000000000001,72.482,,27.48,65.462,19.081,63.171,,20.702,20.434,16.43,28.21,,20.355,14.679,65.456,12.067,34.571,15.808,20.85,,,20.581,,,25.094666666666665,29.294,9.565,13.987,14.531,19.412,660.619,39.074,35.473,18.504,20.442,23.52,37.178,130.51,38.969,19.916,20.108,15.395,20.299,18.727,337.115,20.751,13.341,14.713,178.102,13.733,11.226,25.477,17.815
1971-04-01,69.105,47134.558,15.965666666666666,72.998,,27.658,65.877,19.437,63.861,,20.979,20.709,16.728,28.607,,20.723,14.817,65.773,11.865,34.9,16.099,21.13,,,20.859,,,25.471333333333334,29.71,9.685,14.173,14.716,19.637,654.542,39.33,35.65,18.839,20.855,23.765,37.613,131.663,39.218,20.121,20.31,15.599,20.53,18.893,341.895,20.946,13.615,14.908,176.719,13.981,11.481,25.726,18.204
1971-07-01,69.453,43509.52,16.19966666666667,72.835,,27.812,65.972,19.719,64.813,,21.193,20.94,17.068,28.94,,20.893,14.992,66.067,12.088,35.091,16.33,21.343,,,21.089,,,25.741,30.034,9.797,14.371,14.895,19.837,648.461,39.573,35.136,19.127,21.116,23.973,37.945,132.711,39.644,20.257,20.475,15.854,20.732,19.059,344.382,21.128,13.866,15.117,175.86,14.178,11.736,25.628,18.6
1971-10-01,69.68,40897.874,16.44966666666667,72.461,,27.868,65.968,20.122,65.287,,21.371,21.125,17.316,29.205,,21.034,15.108,66.155,12.238,35.191,16.586,21.52,,,21.273,,,26.058333333333334,30.291,9.9,14.507,15.009,19.966,644.614,39.753,34.62,19.592,21.337,24.126,38.184,133.76,39.899,20.296,20.587,16.07,20.86,19.141,344.539,21.295,14.08,15.259,174.633,14.333,11.941,25.528,18.704
1972-01-01,70.08,38547.996,16.878333333333334,73.086,,28.515,66.427,20.953,65.957,,21.717,21.455,17.672,29.565,,21.483,15.211,66.351,12.081,35.548,17.112,21.865,,,21.603,,,27.503666666666664,30.646,10.008,14.666,15.154,20.011,640.856,40.118,35.138,20.636,21.582,24.389,38.616,134.854,40.298,20.581,20.741,16.276,21.08,19.292,345.589,21.45,14.278,15.425,173.534,14.654,12.175,25.942,18.872
1972-04-01,70.261,37352.333,17.063666666666666,73.461,,28.894,66.737,21.166,66.32,,21.849,21.608,17.844,29.764,,21.553,15.38,66.576,11.994,35.661,17.3,21.999,,,21.758,,,27.670333333333332,30.858,10.082,14.788,15.266,20.078,637.309,40.445,35.414,20.857,21.768,24.446,38.912,135.055,40.509,20.798,20.845,16.459,21.202,19.374,346.328,21.632,14.345,15.553,173.101,14.827,12.327,26.176,18.937
1972-07-01,70.307,36116.345,17.236,73.836,,29.16,66.862,21.34,67.237,,22.045,21.816,18.015,30.057,,21.81,15.525,66.915,12.25,35.936,17.503,22.198,,,21.969,,,27.971999999999998,31.179,10.213,14.931,15.414,20.132,635.279,40.776,35.603,21.022,21.964,24.662,39.161,135.689,40.858,20.749,20.933,16.604,21.388,19.488,347.432,21.842,14.586,15.705,173.038,15.052,12.488,26.4,19.06
1972-10-01,71.063,35620.144,17.580000000000002,73.599,,29.273,66.708,21.804,68.243,,22.294,22.062,18.09,30.482,,22.116,15.684,67.353,12.505,36.186,17.813,22.45,,,22.217,,,28.393,31.622,10.299,15.067,15.559,20.241,635.501,41.094,35.077,21.508,22.369,24.946,39.396,136.175,41.169,20.742,20.991,16.8,21.562,19.61,348.411,22.08,15.034,15.852,173.124,15.259,12.731,26.037,19.246
1973-01-01,71.649,36771.919,17.921,73.904,,29.677,66.986,22.155,67.997,,22.582,22.349,17.896,30.789,,22.952,15.851,67.711,12.681,36.764,18.133,22.735,,,22.502,,,28.684,31.906,10.404,15.199,15.778,20.353,642.514,41.597,35.221,21.836,22.772,25.479,39.738,136.997,41.235,20.874,21.115,16.897,21.823,19.74,349.717,22.346,15.23,15.984,175.003,15.559,12.92,25.93,19.471
1973-04-01,72.68,36548.632,18.198333333333334,74.486,,29.887,67.661,22.54,69.901,,22.955,22.765,18.145,31.333,,24.011,16.232,68.112,13.132,37.611,18.453,23.111,,,22.921,,,29.195000000000004,32.474,10.543,15.429,15.948,20.546,645.728,42.181,35.527,22.267,23.042,26.247,40.302,138.044,41.882,21.142,21.354,17.241,22.242,20.022,351.452,22.745,15.614,16.233,176.349,15.836,13.196,26.241,19.734
1973-07-01,73.065,34513.822,18.488,74.853,,30.108,68.208,23.006,72.891,,23.394,23.185,18.4,31.994,,25.093,16.648,68.602,13.381,38.326,18.764,23.553,,,23.343,,,29.707333333333334,33.152,10.691,15.685,16.108,20.787,641.134,42.905,35.597,22.803,23.334,26.914,40.927,138.616,42.375,21.347,21.546,17.763,22.647,20.234,352.916,23.277,16.145,16.515,177.106,16.049,13.562,26.629,19.978
1973-10-01,73.669,32140.28,18.895666666666667,75.092,,30.37,68.388,23.498,74.227,,23.807,23.628,18.689,32.422,,25.913,17.294,69.071,14.73,39.179,19.141,23.961,,,23.782,,,30.19333333333333,33.548,10.881,15.98,16.315,21.036,633.613,43.79,35.532,23.268,23.886,27.741,41.414,138.788,42.656,21.276,21.77,18.125,23.11,20.529,354.928,23.942,16.426,16.825,177.7,16.353,13.893,26.888,20.297
1974-01-01,74.994,30313.08,19.072333333333333,75.924,,30.846,69.235,23.739,77.371,,24.284,24.239,19.144,33.059,,27.144,17.654,70.355,17.502,40.723,19.525,24.446,,,24.4,,,31.072999999999997,34.242,11.115,16.297,16.551,21.388,631.992,44.9,35.57,23.545,24.04,29.172,42.189,140.143,43.666,21.448,22.159,18.653,23.798,20.818,358.953,24.741,16.799,17.171,178.567,16.828,14.267,27.529,20.643
1974-04-01,77.229,28848.88,19.508333333333333,77.846,,31.356,70.97,24.168,81.546,,24.817,24.92,19.522,34.009,,27.782,18.129,72.414,19.092,42.077,20.05,24.989,,,25.091,,,31.93466666666667,35.265,11.431,16.666,16.773,21.937,644.086,46.036,36.607,23.882,24.688,30.238,43.497,144.702,44.654,22.001,22.959,19.27,24.472,21.285,363.778,25.484,17.196,17.577,181.64,17.413,14.889,28.328,21.2
1974-07-01,79.632,27850.692,20.012,80.812,,32.022,73.875,24.874,82.893,,25.576,25.673,19.926,35.304,,28.373,18.696,75.182,19.346,43.384,20.713,25.759,,,25.855,,,33.165,36.643,11.821,17.055,17.025,22.913,656.294,47.175,38.528,24.67,25.197,31.089,45.26,149.086,45.67,23.437,24.066,19.713,25.132,21.748,371.085,26.172,17.746,17.984,185.219,18.048,15.583,29.31,21.863
1974-10-01,80.8,27271.569,20.71766666666667,83.339,,32.84,77.507,25.7,84.46,,26.359,26.417,20.32,36.683,,29.567,19.182,77.833,19.052,44.652,21.359,26.541,,,26.597,,,33.94433333333333,38.002,12.189,17.432,17.348,24.268,670.203,48.275,39.908,25.448,26.126,31.971,47.223,153.636,47.093,25.256,25.042,19.963,25.771,22.257,377.628,26.804,18.225,18.379,188.27,18.579,16.238,30.359,22.588
1975-01-01,81.119,27342.382,21.109333333333336,84.645,,33.414,81.084,26.167,86.878,,26.954,26.982,20.654,37.937,,29.99,19.621,79.604,19.109,45.308,21.77,27.141,,,27.168,,,34.651,39.303,12.489,17.824,17.807,25.773,685.696,49.221,40.31,25.872,26.691,32.426,48.972,157.747,47.809,26.958,25.798,20.231,26.256,22.741,383.512,27.382,18.69,18.796,190.876,18.953,16.712,31.159,23.227
1975-04-01,81.352,27163.078,21.474666666666668,86.167,,34.701,83.67,26.546,87.746,,27.349,27.392,21.021,38.831,,29.813,19.898,80.946,19.465,45.655,22.149,27.534,,,27.576,,,35.21666666666667,40.204,12.762,18.123,18.085,27.018,694.732,50.139,41.051,26.201,27.178,32.543,50.226,160.371,48.413,27.854,26.174,20.541,26.578,22.958,392.096,27.869,19.016,19.107,190.832,19.329,17.014,32.039,23.728
1975-07-01,81.939,26218.848,21.813,87.112,,35.142,84.963,26.904,90.618,,27.832,27.841,21.192,39.293,,30.541,20.188,81.733,20.645,46.522,22.439,28.021,,,28.027,,,35.426,40.682,13.085,18.45,18.369,27.861,694.719,50.725,41.652,26.534,27.59,33.268,50.872,161.343,49.048,28.361,26.382,21.073,27.076,23.215,394.361,28.266,19.192,19.46,191.024,19.576,17.165,32.283,24.195
1975-10-01,82.267,24994.086,22.304333333333332,88.451,,35.668,86.284,27.522,90.997,,28.303,28.303,21.604,39.874,,31.008,20.59,82.907,21.039,47.153,22.83,28.489,,,28.487,,,35.88966666666666,41.234,13.457,18.823,18.759,28.424,696.497,51.26,42.484,27.161,28.186,33.696,51.568,163.207,49.58,28.845,26.694,21.317,27.53,23.543,398.863,28.573,19.539,19.844,191.792,19.826,17.367,32.948,24.684
1976-01-01,82.971,23665.604,22.595,89.646,,35.797,87.609,27.924,93.375,,28.617,28.619,21.748,40.259,,30.819,20.904,83.9,20.851,47.384,23.122,28.8,,,28.801,,,36.39333333333334,41.596,13.768,19.129,19.084,28.824,700.077,51.517,43.282,27.608,28.484,33.739,52.137,165.911,50.171,29.371,27.127,21.605,27.833,23.849,401.576,28.789,19.66,20.173,191.27,20.05,17.472,33.736,25.139
1976-04-01,83.676,22438.231,22.799666666666667,90.641,,36.364,88.453,28.158,93.026,,28.902,28.913,21.591,40.958,,30.601,21.233,84.533,20.65,47.541,23.363,29.088,,,29.097,,,36.71666666666667,42.302,14.053,19.388,19.363,29.262,701.646,52.257,43.97,27.85,28.701,33.737,52.807,168.099,50.589,29.752,27.47,21.92,28.066,24.083,404.898,29.302,20.233,20.435,191.119,20.293,17.786,33.97,25.536
1976-07-01,84.864,21431.574,23.027,91.738,,36.891,89.587,28.481,93.109,,29.271,29.31,22.083,41.533,,30.951,21.589,85.072,21.018,48.127,23.58,29.459,,,29.496,,,37.039,42.897,14.342,19.743,19.703,29.775,701.207,52.899,44.813,28.206,28.95,34.156,53.51,169.476,51.414,30.19,27.735,22.321,28.492,24.394,406.375,29.712,20.559,20.798,191.635,20.444,18.047,34.581,25.963
1976-10-01,85.644,20759.65,23.599999999999998,93.29,,37.34,90.977,29.242,95.206,,29.771,29.79,22.392,42.182,,31.237,21.883,85.676,21.58,48.811,24.022,29.96,,,29.978,,,37.54666666666667,43.55,14.623,20.081,20.156,30.353,696.328,53.573,46.084,29.015,29.607,34.599,54.292,169.027,52.169,30.96,28.15,22.514,28.942,24.708,410.0,30.175,20.935,21.157,192.214,20.689,18.297,35.353,26.345
1977-01-01,86.891,20932.501,23.926333333333332,94.247,,37.513,92.456,29.656,98.397,,30.253,30.334,22.579,43.066,,31.802,22.244,86.735,22.169,49.583,24.422,30.443,,,30.522,,,38.181666666666665,44.434,14.924,20.475,20.691,31.16,698.356,53.987,46.513,29.488,29.893,35.232,55.35,169.176,52.746,31.666,28.608,22.883,29.465,24.994,413.569,30.439,21.449,21.582,193.791,21.079,18.878,35.72,26.828
1977-04-01,87.151,20288.914,24.255666666666666,94.727,,37.899,93.818,29.993,98.18,,30.732,30.846,23.293,43.869,,32.708,22.798,87.371,22.495,50.284,24.786,30.925,,,31.037,,,38.67066666666667,45.256,15.274,20.894,21.103,31.911,694.703,54.541,46.693,29.799,30.285,35.878,56.183,169.185,52.962,32.313,29.007,23.128,29.969,25.271,415.599,30.824,22.028,22.009,193.993,21.456,19.218,36.336,27.337
1977-07-01,88.504,18787.698,24.459999999999997,95.711,,38.333,95.327,30.141,101.293,,31.167,31.327,24.171,44.844,,33.036,23.204,88.376,22.465,50.807,25.069,31.351,,,31.508,,,38.97166666666667,46.141,15.534,21.287,21.531,32.606,686.112,55.16,47.153,29.911,30.51,36.251,57.158,169.476,53.61,33.047,29.416,23.355,30.42,25.543,419.202,31.281,22.758,22.431,193.517,21.821,19.652,37.418,27.776
1977-10-01,88.999,16827.867,25.144000000000002,96.992,,38.725,96.937,31.014,102.506,,31.695,31.867,24.781,45.809,,33.342,23.563,89.207,22.975,51.429,25.632,31.875,,,32.045,,,39.54033333333333,47.069,15.786,21.63,21.918,33.26,674.394,55.785,48.2,30.863,31.218,36.675,58.15,170.098,53.987,33.829,29.854,23.535,30.852,25.867,420.989,31.785,23.464,22.79,192.393,22.189,20.066,38.853,28.186
1978-01-01,88.509,14897.186,25.404666666666667,98.382,,39.966,98.08,31.369,103.859,26577.015,32.214,32.383,25.748,46.681,,34.204,23.99,89.96,23.068,52.13,25.962,32.397,30.424,,32.563,30.527,,40.14533333333333,47.964,16.152,22.041,22.243,34.026,667.926,56.551,49.138,31.273,31.461,37.164,59.011,172.843,54.82,34.236,30.197,23.804,31.358,26.269,425.761,32.23,24.139,23.219,189.637,22.503,20.497,39.653,28.723
1978-04-01,89.726,13358.634,25.84266666666667,99.882,,40.658,99.263,31.985,105.287,23908.111,32.859,33.032,26.614,47.644,,35.72,24.624,91.677,23.035,53.234,26.43,33.043,31.049,,33.214,31.152,,40.897,48.937,16.445,22.486,22.635,34.697,663.744,57.241,49.801,31.999,31.853,38.056,59.994,175.872,55.59,35.076,30.491,24.23,32.002,26.717,431.82,32.694,24.858,23.682,188.971,22.879,21.07,40.073,29.058
1978-07-01,89.799,12240.879,26.268333333333334,101.5,,41.341,100.504,32.52,108.389,21961.144,33.436,33.613,26.867,48.574,,36.469,25.314,93.024,23.507,54.105,26.851,33.626,31.612,,33.801,31.715,,41.547000000000004,49.902,16.828,22.897,22.963,35.392,658.96,58.083,50.857,32.535,32.383,38.681,60.976,177.956,56.795,35.815,31.063,24.704,32.564,27.141,433.704,33.286,25.523,24.123,188.695,23.227,21.587,40.7,29.571
1978-10-01,90.156,11476.645,26.732333333333333,103.276,,41.9,101.719,33.081,109.114,20622.026,34.094,34.234,27.502,49.544,,37.019,25.908,94.823,24.641,55.035,27.272,34.291,32.251,,34.428,32.314,,42.147,50.92,17.285,23.373,23.42,36.121,653.982,59.023,51.833,33.059,33.016,39.343,62.028,179.039,57.942,36.546,31.491,25.036,33.179,27.629,437.969,33.973,26.195,24.615,189.278,23.56,22.176,41.272,30.064
1979-01-01,90.343,11491.133,27.249666666666666,104.953,,41.975,103.611,33.691,111.72,20643.176,34.733,34.909,26.445,50.576,,38.416,26.595,96.305,25.816,56.365,27.854,34.931,32.857,,35.104,32.951,,42.88766666666667,51.957,17.74,23.698,23.816,37.047,655.785,59.934,52.856,33.733,33.498,40.441,63.332,179.574,58.639,37.087,32.094,25.455,33.804,28.028,443.33,34.664,26.725,24.964,192.362,24.121,22.794,42.475,30.502
1979-04-01,91.219,11195.447,27.669333333333338,106.8,,42.635,105.499,34.2,114.564,20121.822,35.574,35.794,28.478,51.864,,39.214,27.361,97.514,29.525,57.988,28.391,35.775,33.661,,35.992,33.791,,43.69233333333333,53.264,18.039,24.315,24.259,37.973,656.361,61.02,54.049,34.292,33.907,41.813,64.726,180.913,59.686,37.875,32.503,25.958,34.728,28.578,449.974,35.423,27.637,25.614,193.81,24.673,23.493,43.518,31.294
1979-07-01,91.417,10563.27,28.412333333333333,108.026,,42.99,107.218,34.998,119.631,18999.597,36.314,36.707,28.882,53.112,,39.577,27.986,98.492,34.378,59.493,29.216,36.522,34.38,,36.912,34.667,,44.595333333333336,54.565,18.459,24.88,24.915,39.022,651.374,62.089,54.574,35.151,34.582,43.168,66.088,181.853,61.311,39.015,33.025,26.493,35.59,28.981,453.906,36.255,28.516,26.225,195.516,25.509,24.221,44.173,32.276
1979-10-01,92.218,9815.477,29.037000000000003,109.973,,43.679,109.081,35.768,122.475,17671.113,36.974,37.541,28.906,54.186,,40.289,28.671,100.22,37.237,60.944,29.82,37.188,35.025,,37.752,35.471,,45.50533333333334,55.683,18.976,25.479,25.648,39.959,647.252,63.204,55.353,35.884,35.427,44.337,67.326,183.877,64.082,39.981,33.678,26.965,36.451,29.285,459.018,37.024,29.212,26.857,197.236,26.007,24.735,45.406,33.785
1980-01-01,93.427,9332.412,29.617333333333335,113.197,,43.847,111.891,36.475,124.965,16784.31,37.781,38.566,29.205,55.445,,40.914,29.385,102.892,42.517,63.127,30.511,38.001,35.81,,38.784,36.454,,46.407999999999994,56.983,19.652,26.121,26.183,41.493,650.987,64.458,56.763,36.701,35.911,46.043,68.825,187.608,68.708,41.142,34.593,27.711,37.545,29.837,466.658,38.142,29.984,27.529,197.802,26.684,25.162,46.813,35.186
1980-04-01,94.224,8633.133,30.71666666666667,115.869,,44.372,114.736,37.885,129.422,15528.745,38.675,39.564,29.831,56.721,,41.766,30.026,105.273,44.568,64.658,31.507,38.903,36.684,,39.79,37.418,,47.748,58.317,20.197,26.757,26.842,42.906,653.654,65.691,57.647,38.215,37.116,47.168,70.405,192.402,73.232,42.887,35.496,28.169,38.464,30.706,473.473,39.079,30.692,28.209,199.382,27.417,25.673,47.956,36.4
1980-07-01,94.909,8019.796,31.150666666666666,117.981,,45.362,117.24,38.269,127.78,14429.438,39.543,40.449,30.663,57.948,,43.319,30.613,107.308,44.469,65.977,32.137,39.77,37.528,,40.674,38.268,,48.71633333333333,59.534,20.79,27.485,27.588,44.22,656.814,66.949,58.634,38.523,37.644,48.167,71.908,197.679,75.175,44.04,36.292,28.953,39.364,31.306,480.027,39.966,31.392,28.941,200.109,28.208,26.221,49.299,37.765
1980-10-01,96.032,7626.048,32.026999999999994,120.003,,46.069,118.993,39.421,129.783,13722.007,40.592,41.456,32.226,59.188,,44.74,31.304,108.949,44.981,67.321,33.054,40.825,38.545,,41.686,39.237,,50.03766666666667,60.798,21.437,28.277,28.353,45.423,659.962,68.168,59.858,39.838,38.473,49.209,73.413,201.972,76.452,44.69,36.911,29.564,40.338,31.71,486.442,40.892,32.114,29.762,200.875,28.976,27.041,49.936,39.056
1981-01-01,96.723,7597.104,32.89266666666666,121.527,,47.013,121.348,40.209,131.894,13658.278,41.65,42.54,33.139,60.75,,45.325,32.162,111.087,49.638,68.985,33.932,41.907,39.576,,42.795,40.288,,50.955666666666666,62.552,22.099,29.049,29.068,46.479,667.099,69.45,60.519,40.484,39.544,50.663,75.432,205.257,76.858,46.252,37.703,30.307,41.384,32.364,491.486,41.685,32.849,30.564,203.919,29.917,28.201,50.513,40.474
1981-04-01,97.561,7557.993,33.592999999999996,123.818,,47.129,123.659,41.144,136.679,13598.341,42.432,43.344,33.057,62.092,,45.437,32.8,113.103,50.187,69.843,34.689,42.694,40.327,,43.604,41.055,,52.15200000000001,63.933,22.573,29.626,29.807,47.334,671.07,70.658,62.241,41.516,40.283,51.165,77.253,207.408,77.1,47.492,38.581,31.099,42.078,32.611,497.039,42.727,33.349,31.187,205.684,30.562,29.181,51.993,41.136
1981-07-01,98.335,7367.75,34.20933333333333,125.649,,47.821,125.111,42.046,135.104,13282.247,43.263,44.069,32.738,63.126,,46.036,33.375,115.037,49.469,70.53,35.299,43.524,41.124,,44.328,41.747,,53.264,64.963,23.324,30.309,30.667,48.094,670.538,71.756,63.592,42.498,41.02,51.568,78.64,209.053,77.533,48.587,39.201,31.919,42.772,32.954,499.081,43.472,33.743,31.872,207.741,30.977,30.007,52.574,42.142
1981-10-01,98.473,7015.919,34.777,127.285,,48.586,126.61,42.852,133.667,12675.927,43.989,44.802,32.653,64.39,,46.105,33.828,116.562,49.824,71.122,35.915,44.243,41.822,,45.053,42.447,,54.07833333333334,66.169,24.105,30.976,31.445,48.757,669.475,73.198,64.566,43.481,41.45,51.908,80.284,212.158,78.228,49.793,39.954,32.815,43.427,33.503,504.488,44.552,34.287,32.539,209.558,31.466,31.022,53.379,42.705
1982-01-01,98.68,6869.195,35.423,128.355,47.872,48.67,127.588,43.536,130.542,12358.617,44.629,45.413,33.439,65.271,48.621,46.572,34.254,118.258,48.676,71.526,36.505,44.877,42.434,,45.658,43.027,45.143,54.699999999999996,67.001,24.755,31.586,32.13,48.944,669.188,74.034,64.982,44.108,42.253,52.15,81.363,213.436,78.325,50.867,40.684,33.308,43.979,33.973,508.264,45.246,34.779,33.134,211.285,31.997,31.694,53.928,43.015
1982-04-01,99.368,6747.347,35.967,129.354,46.796,49.188,129.125,44.399,127.897,12127.234,45.227,45.947,34.176,66.054,48.994,46.996,34.69,119.901,46.029,71.678,37.159,45.473,43.009,,46.19,43.536,45.782,56.1,67.762,25.243,32.114,32.664,49.939,677.068,74.915,65.647,45.095,42.834,52.146,82.279,218.015,77.643,51.303,41.46,33.797,44.402,34.35,510.43,45.923,35.306,33.648,212.009,32.511,32.009,54.264,43.752
1982-07-01,99.574,6625.98,36.409,129.816,48.281,49.807,129.938,44.771,126.85,11876.429,45.855,46.558,35.594,66.458,49.211,47.184,35.203,120.13,47.953,72.415,37.61,46.104,43.619,,46.803,44.124,46.376,56.425333333333334,68.18,25.937,32.788,33.293,50.32,679.412,75.721,66.064,45.434,43.283,52.819,82.744,220.247,78.099,51.615,42.154,34.151,45.103,34.916,510.036,46.499,35.587,34.323,212.711,33.021,32.097,54.801,44.468
1982-10-01,99.198,6595.034,36.84733333333333,130.192,48.751,50.138,130.5,45.3,124.04,11762.952,46.323,47.015,36.842,66.637,48.973,46.963,35.575,120.991,47.212,72.504,38.07,46.571,44.07,,47.259,44.56,46.892,57.077333333333335,68.325,26.532,33.442,34.057,50.54,681.805,76.579,66.121,45.983,43.765,52.849,82.931,221.564,78.639,52.017,43.172,34.701,45.601,35.333,509.357,47.248,35.753,34.96,212.879,33.441,31.954,54.9,44.443
1983-01-01,99.775,6085.916,36.89266666666666,131.121,47.554,51.051,130.385,45.385,119.756,10801.198,46.686,47.276,37.672,66.449,49.005,46.976,35.918,121.709,44.576,72.51,38.244,46.943,44.458,,47.528,44.841,47.264,57.17333333333334,68.168,27.191,33.979,34.561,50.8,671.736,77.287,66.962,46.239,43.464,52.702,82.519,223.49,79.486,52.394,44.104,35.287,45.978,35.673,507.216,47.769,35.945,35.465,211.813,33.681,31.407,55.192,44.285
1983-04-01,100.423,5723.334,37.303000000000004,131.608,48.46,51.684,129.876,45.735,119.71,10126.491,47.037,47.612,36.569,66.266,49.441,47.509,36.278,122.369,45.783,73.228,38.601,47.291,44.819,,47.861,45.18,47.553,57.48499999999999,67.925,27.62,34.281,35.019,51.018,660.332,77.732,67.32,46.487,44.049,53.362,82.161,223.614,80.329,52.585,44.54,35.706,46.398,36.079,504.299,48.116,36.038,35.77,210.753,34.051,31.091,55.204,45.292
1983-07-01,101.269,5387.787,37.699999999999996,132.328,48.93,52.301,129.27,46.242,117.105,9520.439,47.543,48.103,39.333,66.286,49.404,47.603,36.54,122.947,46.53,73.734,39.002,47.794,45.329,,48.349,45.667,48.08,57.992333333333335,67.9,28.223,34.936,35.337,50.993,651.156,78.483,67.949,47.044,44.442,53.764,82.046,224.899,81.363,52.567,45.006,36.111,47.008,36.159,501.369,48.802,36.241,36.407,209.483,34.381,31.025,55.281,46.15
1983-10-01,100.786,5177.382,37.86833333333333,133.151,48.704,52.67,129.105,46.544,114.513,9146.361,47.892,48.387,38.923,66.429,49.653,47.783,37.02,123.423,45.644,73.852,39.278,48.151,45.693,,48.641,45.961,48.404,58.262,68.106,28.807,35.334,35.775,51.033,644.783,78.998,68.765,47.526,44.303,53.74,82.046,225.584,81.614,52.861,45.355,36.528,47.318,36.676,500.814,49.321,36.55,36.783,208.334,34.642,30.979,55.484,46.618
1984-01-01,100.955,4844.699,38.481,133.19,48.921,52.737,128.866,47.147,113.966,8592.683,48.36,48.862,38.892,66.572,50.716,48.739,37.496,123.442,45.867,74.445,39.818,48.626,46.176,,49.122,46.445,48.853,58.739,68.31,29.358,35.809,36.157,51.23,635.779,79.657,68.847,48.077,45.043,54.365,82.112,227.396,82.002,53.174,45.806,37.405,47.83,37.05,498.881,50.061,36.77,37.256,207.456,35.145,31.015,55.725,47.347
1984-04-01,100.386,4593.022,38.97266666666667,134.017,49.125,53.67,128.763,47.617,113.875,8181.168,48.792,49.292,40.39,66.897,50.754,48.727,37.931,124.079,45.797,74.625,40.205,49.063,46.619,,49.558,46.881,49.333,58.94233333333333,68.686,29.841,36.37,36.702,51.564,628.545,80.116,69.567,48.508,45.611,54.399,82.416,229.003,82.638,53.551,46.175,37.718,48.293,37.51,497.686,50.265,37.078,37.821,207.443,35.479,31.327,55.796,47.472
1984-07-01,101.224,4395.67,39.541,134.283,48.747,54.688,128.485,48.325,112.255,7846.863,49.239,49.682,41.455,67.165,51.037,49.031,38.293,124.083,44.419,74.787,40.691,49.506,47.068,,49.944,47.267,49.769,59.345666666666666,68.943,30.269,36.833,37.297,51.617,621.685,80.719,70.095,49.295,46.129,54.522,82.595,229.976,82.553,53.823,46.671,37.824,48.666,37.947,494.79,50.712,37.43,38.269,206.133,35.81,31.529,55.903,47.084
1984-10-01,101.772,4268.226,40.077666666666666,134.53,48.922,55.013,128.286,48.92,110.517,7629.343,49.596,50.012,41.391,67.38,50.972,49.08,38.61,124.787,44.558,75.016,41.144,49.852,47.419,,50.263,47.584,50.125,59.48866666666667,69.095,30.745,37.173,37.695,51.711,617.065,80.767,70.232,49.995,46.472,54.72,82.691,230.712,82.491,53.851,46.985,37.992,48.966,38.331,493.836,50.766,37.782,38.593,205.069,36.166,31.716,56.038,47.641
