Date,Change in private inventories,Durable goods,Farm,Manufacturing,Merchant wholesalers,Motor vehicle dealers,Nondurable goods,Nonfarm,Nonmerchant wholesalers,Other,Residual,Retail trade,Wholesale trade
1958-07-01,6134.0,-959.0,9064.0,-3266.0,,,330.0,-3001.0,,-111.0,1447.0,-259.0,1031.0
1958-10-01,16137.0,1630.3333333333333,3576.0,6895.0,,,2746.3333333333335,12962.0,,-116.0,1747.0,3054.0,2294.0
1959-01-01,13080.0,2631.8333333333335,-5155.0,6262.0,3260.0,3308.0,734.0,18275.0,944.0,587.5,11113.0,6367.0,4182.0
1959-04-01,33118.0,4915.0,-7813.0,16650.0,8069.0,5269.0,3332.6666666666665,41320.0,2807.0,1672.5,23191.0,10347.0,10887.0
1959-07-01,3920.0,-593.1666666666666,-7912.0,4385.0,6503.0,-1983.0,4364.5,11794.0,-241.0,649.5,654.0,1190.0,5943.0
1959-10-01,19404.0,2804.0,-6670.0,12927.0,10368.0,-4436.0,4153.333333333333,25826.0,2334.0,1958.5,6838.0,-1199.0,12546.0
1960-01-01,48436.0,6929.0,483.0,16348.0,5740.0,12376.0,756.3333333333334,47670.0,2096.0,228.5,33917.0,19972.0,7857.0
1960-04-01,13840.0,584.1666666666666,2789.0,3912.0,1724.0,2291.0,2370.8333333333335,10965.0,2270.0,1416.5,5243.0,910.0,4221.0
1960-07-01,19572.0,950.0,4648.0,9629.0,-636.0,1004.0,1489.5,14811.0,373.0,857.0,11075.0,2880.0,-182.0
1960-10-01,-22782.0,-2887.3333333333335,2232.0,-19211.0,-1053.0,-897.0,-951.5,-24773.0,-1300.0,235.5,-22281.0,-1576.0,-2482.0
1961-01-01,-10386.0,-3230.5,3593.0,-4133.0,2714.0,-9457.0,3256.0,-13800.0,319.0,1250.5,-19945.0,-12180.0,2956.0
1961-04-01,8962.0,-1107.6666666666667,3275.0,1926.0,-1302.0,60.0,2959.8333333333335,5703.0,1222.0,1607.0,-1901.0,695.0,141.0
1961-07-01,29740.0,3062.0,3865.0,15232.0,2524.0,-34.0,1645.5,25685.0,1384.0,1142.5,14094.0,2997.0,3980.0
1961-10-01,24675.0,2552.6666666666665,4112.0,10656.0,318.0,38.0,1376.5,20531.0,2139.0,3119.0,8487.0,1990.0,2710.0
1962-01-01,38993.0,3688.1666666666665,3633.0,22363.0,2032.0,1013.0,2124.1666666666665,35421.0,1937.0,-103.0,26359.0,6579.0,4125.0
1962-04-01,24493.0,2103.8333333333335,1130.0,12069.0,4502.0,-278.0,3055.1666666666665,23464.0,2188.0,695.5,12513.0,3292.0,6777.0
1962-07-01,28725.0,3240.8333333333335,2044.0,17716.0,-1823.0,3278.0,576.0,26894.0,1950.0,446.0,26096.0,6450.0,433.0
1962-10-01,17055.0,1254.0,3261.0,1605.0,2800.0,3321.0,1926.3333333333333,13857.0,1994.0,-390.5,4983.0,7171.0,4923.0
1963-01-01,33543.0,1952.0,11233.0,10679.0,1864.0,1504.0,2309.6666666666665,22290.0,1587.0,1607.5,10878.0,4460.0,3563.0
1963-04-01,22120.0,2908.3333333333335,960.0,10315.0,6782.0,-1073.0,2078.3333333333335,21282.0,1946.0,1753.0,7772.0,103.0,8703.0
1963-07-01,26255.0,2568.5,-2573.0,11390.0,9544.0,1893.0,4218.5,28922.0,1521.0,1080.0,13455.0,5363.0,10895.0
1963-10-01,19180.0,997.5,-1257.0,650.0,5932.0,6171.0,4137.666666666667,20410.0,1148.0,2777.0,6282.0,9551.0,6997.0
