Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Services,Transportation services
1959-01-01,11.871,4.703,39.181,2.467,10.749,38.193,22.151,8.333,47.341,14.292,11.207,11.771,16.054,17.563,19.015,17.796,,,10.578,24.457,6.448,14.565,20.659,12.192,11.278,13.828,15.188,8.12,0.503,15.049,16.132
1959-02-01,12.258,4.913,38.883,2.498,10.855,38.029,22.501,8.486,46.895,14.472,11.272,11.823,16.175,17.67,19.104,17.834,,,11.539,24.5,6.456,14.461,20.836,12.392,11.491,13.966,15.346,8.181,0.508,15.166,16.216
1959-03-01,12.075,4.933,38.838,2.499,10.984,37.534,22.118,8.389,46.953,14.694,11.232,11.87,16.213,17.775,19.191,17.733,,,11.778,24.973,6.477,16.643,20.969,12.602,11.714,13.997,15.491,8.243,0.505,15.202,16.258
1959-04-01,11.965,4.997,38.335,2.474,11.122,37.566,22.102,8.42,46.19,14.557,11.049,11.894,16.274,17.808,19.21,17.383,,,12.1,24.547,6.452,15.569,21.149,12.558,11.659,14.085,15.435,8.295,0.507,15.253,16.335
1959-05-01,12.593,5.021,38.898,2.473,11.244,38.409,22.454,8.542,47.35,14.788,10.946,11.906,16.397,17.915,19.296,17.137,,,11.986,25.035,6.579,15.247,21.346,12.676,11.778,14.231,15.622,8.4,0.515,15.367,16.442
1959-06-01,12.577,5.079,39.35,2.482,11.326,38.473,23.101,8.796,47.926,14.801,10.898,11.933,16.514,17.956,19.368,16.989,,,11.901,24.961,6.718,14.863,21.359,12.722,11.825,14.372,15.679,8.441,0.523,15.477,16.56
1959-07-01,12.302,5.014,39.391,2.461,11.384,38.226,22.843,8.565,47.773,14.691,10.796,11.956,16.543,18.066,19.503,16.819,,,11.943,24.823,6.589,15.051,21.327,12.686,11.767,14.36,15.626,8.42,0.511,15.5,16.678
1959-08-01,12.118,5.124,39.008,2.464,11.447,38.405,22.951,8.633,46.819,14.803,10.731,11.961,16.609,18.178,19.642,16.652,,,12.429,24.888,6.633,15.493,21.284,12.788,11.866,14.4,15.72,8.425,0.516,15.562,16.805
1959-09-01,12.462,5.251,38.805,2.467,11.534,38.502,23.325,8.688,46.358,15.0,10.679,11.946,16.713,18.302,19.768,16.516,,,13.041,25.117,6.609,15.77,21.35,12.962,12.046,14.49,15.878,8.459,0.522,15.658,16.875
1959-10-01,12.417,4.964,39.346,2.491,11.619,38.531,23.175,8.732,47.373,14.785,10.668,11.927,16.745,18.358,19.822,16.404,,,11.344,25.127,6.778,15.628,21.456,12.823,11.878,14.523,15.77,8.488,0.518,15.693,16.951
1959-11-01,12.313,4.951,39.809,2.523,11.707,38.297,23.053,8.668,48.153,14.727,10.711,11.909,16.801,18.483,19.947,16.394,,,11.4,25.017,6.654,15.489,21.55,12.82,11.857,14.555,15.763,8.529,0.517,15.75,16.999
1959-12-01,12.504,4.738,38.369,2.582,11.702,39.065,23.67,8.623,45.421,14.621,10.835,11.931,16.892,18.498,19.978,16.482,,,10.201,25.148,6.736,15.458,21.609,12.78,11.808,14.674,15.745,8.591,0.52,15.844,17.03
1960-01-01,12.787,4.795,38.915,2.634,11.639,38.452,23.186,8.557,46.087,14.678,11.096,12.084,16.909,18.578,20.091,16.918,,,10.595,25.178,6.702,15.654,21.658,12.862,11.89,14.657,15.789,8.675,0.52,15.868,17.058
1960-02-01,12.346,5.066,39.192,2.703,11.644,38.165,22.826,8.639,46.333,14.779,11.215,12.05,16.919,18.657,20.194,16.967,,,12.122,24.934,6.64,15.677,21.738,12.952,11.981,14.641,15.858,8.739,0.512,15.89,17.093
1960-03-01,12.212,5.263,41.133,2.748,11.711,38.878,22.729,8.391,49.722,15.119,11.362,12.122,16.981,18.732,20.281,17.16,,,13.668,25.368,6.494,15.834,21.872,13.075,12.111,14.692,16.083,8.788,0.501,15.954,17.115
1960-04-01,13.075,5.449,40.934,2.76,11.761,39.01,23.34,8.846,49.329,15.465,11.456,12.194,17.098,18.803,20.349,17.336,,,13.788,25.837,6.945,16.156,21.968,13.344,12.407,14.816,16.331,8.807,0.53,16.062,17.118
1960-05-01,12.068,5.074,40.117,2.793,11.824,38.602,23.318,8.431,47.771,14.862,11.557,12.231,17.132,18.806,20.361,17.464,,,12.438,25.112,6.564,15.869,22.061,13.041,12.061,14.862,16.002,8.865,0.512,16.099,17.136
1960-06-01,12.461,4.946,40.437,2.803,11.839,38.601,23.118,8.539,48.375,14.872,11.439,12.092,17.108,18.911,20.456,17.166,,,11.538,25.356,6.669,16.02,21.989,13.026,12.028,14.792,15.998,8.824,0.513,16.078,17.12
1960-07-01,12.43,4.989,39.876,2.825,11.849,38.937,23.069,8.408,47.451,14.944,11.347,11.931,17.082,18.967,20.494,16.888,,,12.0,25.445,6.624,16.189,21.891,13.051,12.047,14.746,16.031,8.868,0.507,16.059,17.141
1960-08-01,12.347,5.089,39.8,2.826,11.845,38.385,22.916,8.331,47.382,14.932,11.233,11.786,17.064,19.076,20.587,16.631,,,12.727,25.243,6.562,16.214,21.82,13.084,12.069,14.683,16.016,8.85,0.501,16.042,17.169
1960-09-01,12.216,5.266,40.339,2.818,11.802,38.196,22.868,8.301,48.127,15.034,11.276,11.851,17.108,19.184,20.71,16.753,,,13.739,25.171,6.671,16.189,21.833,13.167,12.148,14.687,16.092,8.882,0.501,16.081,17.194
1960-10-01,12.567,5.219,40.184,2.819,11.736,38.298,22.926,8.487,47.541,15.103,11.396,12.002,17.199,19.315,20.865,17.02,,,13.126,25.411,6.752,16.515,21.953,13.25,12.222,14.742,16.17,8.919,0.512,16.164,17.217
1960-11-01,12.238,5.005,40.223,2.809,11.692,38.931,23.192,8.237,47.347,14.944,11.496,12.135,17.283,19.364,20.943,17.278,,,12.286,25.418,6.585,16.372,22.052,13.132,12.079,14.818,16.114,8.953,0.509,16.238,17.229
1960-12-01,12.046,4.736,40.589,2.777,11.841,38.058,22.821,8.193,48.09,14.593,11.435,12.171,17.296,19.445,21.007,17.239,,,10.914,25.081,6.494,16.264,22.102,12.977,11.891,14.801,15.916,8.983,0.5,16.244,17.161
1961-01-01,12.053,4.644,40.094,2.756,12.092,38.623,23.255,8.186,47.415,14.592,11.368,12.182,17.394,19.511,21.041,17.152,,,10.33,25.236,6.581,16.32,22.135,12.988,11.893,14.912,15.956,9.021,0.504,16.33,17.184
1961-02-01,12.324,4.677,39.643,2.724,12.318,38.749,22.956,8.248,46.86,14.693,11.291,12.193,17.402,19.577,21.071,17.078,,,10.431,25.41,6.617,16.511,22.129,13.057,11.961,14.904,16.014,9.029,0.504,16.331,17.16
1961-03-01,12.808,4.817,39.97,2.75,12.467,38.877,23.275,8.451,46.963,14.932,11.493,12.32,17.544,19.662,21.209,17.455,,,10.873,25.715,6.582,16.706,22.288,13.255,12.176,15.041,16.213,9.07,0.521,16.465,17.177
1961-04-01,12.24,4.755,41.392,2.808,12.572,39.123,23.044,8.305,48.85,14.878,11.759,12.472,17.624,19.679,21.31,17.878,,,10.76,25.698,6.519,16.755,22.467,13.198,12.107,15.12,16.221,9.122,0.516,16.548,17.255
1961-05-01,12.621,4.824,41.146,2.846,12.667,39.11,22.923,8.445,47.799,14.973,11.989,12.607,17.719,19.769,21.465,18.28,,,10.834,25.797,6.747,16.802,22.64,13.315,12.228,15.193,16.32,9.136,0.524,16.642,17.259
1961-06-01,12.711,4.852,41.336,2.853,12.522,39.294,22.975,8.469,48.213,15.034,12.005,12.646,17.729,19.813,21.499,18.296,,,10.909,25.889,6.744,16.714,22.636,13.337,12.246,15.195,16.359,9.177,0.532,16.652,17.313
1961-07-01,12.618,4.89,40.858,2.86,12.333,38.64,22.788,8.514,47.677,14.973,11.967,12.654,17.694,19.88,21.522,18.189,,,11.039,25.682,6.747,16.927,22.625,13.354,12.256,15.144,16.31,9.2,0.536,16.622,17.305
1961-08-01,12.619,4.932,40.306,2.863,12.175,39.216,22.997,8.563,46.867,15.058,11.938,12.666,17.717,19.974,21.587,18.115,,,11.185,25.805,6.757,16.909,22.602,13.387,12.279,15.15,16.368,9.219,0.54,16.643,17.333
1961-09-01,12.641,4.962,40.506,2.881,12.227,39.445,23.015,8.596,47.089,15.147,11.971,12.713,17.808,20.098,21.716,18.133,,,11.258,25.955,6.908,17.082,22.744,13.462,12.346,15.221,16.46,9.311,0.54,16.73,17.443
1961-10-01,12.875,5.036,40.527,2.921,12.351,39.196,23.287,8.638,46.878,15.219,12.087,12.792,17.946,20.223,21.861,18.269,,,11.587,25.991,6.986,17.183,22.919,13.596,12.481,15.354,16.563,9.4,0.541,16.863,17.518
1961-11-01,13.044,5.179,41.188,2.956,12.458,39.156,23.27,8.757,47.774,15.412,12.188,12.858,18.058,20.347,22.013,18.387,,,12.16,26.184,7.041,17.429,23.093,13.756,12.644,15.448,16.724,9.515,0.551,16.972,17.636
1961-12-01,12.985,5.286,41.152,2.976,12.383,39.525,23.421,8.817,47.377,15.552,12.289,12.974,18.139,20.45,22.146,18.555,,,12.672,26.319,7.082,17.643,23.195,13.853,12.739,15.504,16.84,9.496,0.552,17.049,17.682
1962-01-01,13.115,5.268,41.685,2.987,12.222,39.156,23.533,8.802,48.112,15.545,12.335,13.077,18.158,20.464,22.191,18.624,,,12.591,26.334,7.079,17.739,23.203,13.873,12.76,15.515,16.845,9.457,0.551,17.068,17.706
1962-02-01,12.833,5.244,41.81,3.006,12.133,39.343,23.586,8.644,48.018,15.496,12.395,13.163,18.201,20.531,22.291,18.701,,,12.723,26.263,7.099,17.706,23.245,13.844,12.717,15.536,16.837,9.425,0.539,17.111,17.735
1962-03-01,13.157,5.324,42.845,2.981,12.239,39.281,23.55,8.85,49.92,15.683,12.419,13.323,18.286,20.623,22.376,18.835,,,12.816,26.549,7.285,17.878,23.286,13.97,12.847,15.605,16.976,9.548,0.546,17.183,17.837
1962-04-01,13.34,5.358,42.187,2.966,12.376,39.025,23.778,8.838,48.776,15.683,12.412,13.406,18.425,20.813,22.539,18.866,,,12.91,26.492,7.517,17.944,23.383,14.078,12.942,15.715,17.035,9.742,0.548,17.307,17.903
1962-05-01,13.366,5.483,42.095,2.952,12.517,39.37,23.924,8.97,48.641,15.833,12.441,13.56,18.535,20.866,22.586,18.975,,,13.347,26.619,7.528,17.998,23.485,14.195,13.068,15.835,17.166,9.918,0.562,17.404,18.033
1962-06-01,12.836,5.419,42.34,2.946,12.46,39.24,23.662,8.807,48.958,15.668,12.472,13.673,18.554,20.981,22.708,19.065,,,13.358,26.352,7.149,17.898,23.531,14.104,12.946,15.809,17.08,9.826,0.557,17.42,18.023
1962-07-01,13.018,5.417,42.532,2.927,12.356,39.362,23.791,8.922,49.184,15.734,12.507,13.804,18.602,21.067,22.802,19.203,,,13.077,26.505,7.323,17.983,23.611,14.149,12.984,15.829,17.135,9.692,0.567,17.46,18.007
1962-08-01,13.11,5.399,42.421,2.921,12.306,39.573,24.004,9.013,48.847,15.775,12.537,13.918,18.658,21.122,22.87,19.29,,,12.836,26.633,7.391,18.122,23.689,14.186,13.018,15.874,17.183,9.568,0.568,17.509,18.03
1962-09-01,13.591,5.563,42.172,2.897,12.32,39.677,24.352,9.356,48.161,16.036,12.538,14.034,18.767,21.261,23.026,19.368,,,13.145,26.943,7.604,18.518,23.688,14.397,13.239,15.947,17.375,9.601,0.587,17.605,18.074
1962-10-01,13.174,5.422,43.063,2.886,12.379,39.363,24.081,9.049,49.492,15.835,12.574,14.155,18.834,21.408,23.195,19.48,,,12.765,26.726,7.51,18.408,23.711,14.301,13.107,15.964,17.289,9.684,0.583,17.664,18.157
1962-11-01,13.38,5.758,43.411,2.876,12.374,39.319,24.568,9.191,49.896,16.148,12.597,14.236,18.958,21.55,23.354,19.565,,,14.414,26.862,7.607,18.536,23.726,14.546,13.366,16.059,17.519,9.763,0.588,17.774,18.208
1962-12-01,13.486,5.919,43.824,2.871,12.341,39.363,24.336,9.257,50.253,16.305,12.651,14.333,18.982,21.606,23.457,19.7,,,15.177,26.943,7.735,18.542,23.657,14.638,13.462,16.05,17.617,9.842,0.59,17.795,18.343
1963-01-01,13.327,5.877,44.716,2.867,12.224,39.45,24.263,9.478,51.426,16.313,12.706,14.388,18.96,21.564,23.477,19.838,,,14.923,27.032,7.535,18.701,23.525,14.596,13.421,16.015,17.612,9.884,0.57,17.774,18.358
1963-02-01,13.094,5.792,44.81,2.882,12.228,39.154,24.332,9.219,51.156,16.165,12.766,14.416,18.998,21.609,23.574,19.928,,,14.505,26.842,7.484,18.744,23.43,14.546,13.357,16.031,17.546,9.921,0.603,17.812,18.451
1963-03-01,13.459,5.772,44.286,2.914,12.309,39.441,24.503,9.295,50.7,16.262,12.875,14.471,19.072,21.688,23.59,20.074,,,14.198,27.096,7.592,18.886,23.658,14.636,13.448,16.13,17.635,9.896,0.612,17.885,18.494
1963-04-01,13.377,5.872,43.652,2.944,12.41,39.438,24.771,9.426,50.245,16.302,12.989,14.52,19.162,21.752,23.572,20.238,,,14.592,27.015,7.615,18.828,23.954,14.727,13.541,16.263,17.699,9.882,0.613,17.972,18.585
1963-05-01,13.166,5.895,43.931,2.973,12.506,39.672,24.209,9.335,51.345,16.323,13.075,14.559,19.154,21.784,23.537,20.342,,,14.787,27.026,7.616,18.686,24.252,14.711,13.518,16.278,17.71,9.866,0.617,17.971,18.625
1963-06-01,13.584,6.049,43.48,3.02,12.652,39.594,24.359,9.516,50.093,16.518,13.183,14.574,19.286,21.886,23.685,20.44,,,15.415,27.205,7.708,19.037,24.425,14.92,13.741,16.403,17.881,10.081,0.617,18.1,18.72
1963-07-01,13.531,6.106,43.562,3.049,12.789,39.879,24.476,9.612,49.504,16.579,13.252,14.627,19.415,21.979,23.863,20.507,,,15.472,27.245,7.731,19.066,24.51,14.994,13.812,16.509,17.973,10.294,0.636,18.222,18.797
1963-08-01,13.746,5.956,44.356,3.095,12.924,40.118,24.603,9.645,50.263,16.585,13.331,14.631,19.545,22.077,24.034,20.543,,,14.693,27.516,7.809,19.255,24.641,15.018,13.825,16.622,18.037,10.541,0.619,18.349,18.893
1963-09-01,13.562,5.975,44.924,3.138,13.122,39.454,24.382,9.761,51.423,16.472,13.44,14.696,19.606,22.2,24.136,20.657,,,14.694,27.228,7.777,19.013,24.804,15.021,13.809,16.672,18.003,10.371,0.617,18.412,19.004
1963-10-01,13.211,5.929,43.661,3.174,13.337,39.847,24.663,9.84,49.552,16.387,13.538,14.779,19.687,22.251,24.138,20.768,,,14.305,27.111,7.7,19.069,24.993,15.015,13.795,16.788,17.993,10.099,0.627,18.493,19.119
1963-11-01,13.405,6.097,43.72,3.201,13.519,40.054,24.624,9.715,50.0,16.57,13.61,14.861,19.753,22.378,24.217,20.849,,,15.412,27.24,7.743,18.94,25.161,15.143,13.922,16.85,18.127,9.913,0.621,18.558,19.141
1963-12-01,13.848,6.295,45.555,3.235,13.418,39.832,25.155,9.923,52.908,16.848,13.734,15.051,19.884,22.464,24.346,21.026,,,16.036,27.534,7.699,18.953,25.163,15.343,14.137,16.976,18.343,10.037,0.656,18.683,19.275
1964-01-01,13.694,6.344,45.127,3.335,13.369,39.985,25.151,9.998,51.525,16.867,13.974,15.266,19.976,22.542,24.487,21.259,,,16.277,27.494,7.677,19.135,25.141,15.408,14.2,17.065,18.402,10.258,0.65,18.785,19.368
1964-02-01,14.181,6.386,45.489,3.37,13.249,40.022,25.281,10.443,51.647,17.039,14.126,15.487,20.045,22.56,24.567,21.496,,,15.621,27.812,8.034,19.455,25.072,15.536,14.344,17.132,18.532,10.484,0.684,18.855,19.408
1964-03-01,14.26,6.304,45.69,3.376,13.309,40.445,25.71,10.424,51.963,17.051,14.167,15.703,20.18,22.652,24.656,21.572,,,14.97,27.981,8.311,19.408,25.184,15.565,14.363,17.271,18.597,10.487,0.698,18.978,19.484
1964-04-01,14.083,6.361,46.021,3.391,13.413,40.454,25.49,10.501,52.734,17.058,14.212,15.883,20.243,22.755,24.728,21.626,,,15.29,27.901,7.91,19.223,25.363,15.59,14.376,17.327,18.63,10.375,0.707,19.038,19.576
1964-05-01,14.624,6.533,45.755,3.401,13.53,41.075,25.537,10.588,52.324,17.444,14.266,16.09,20.335,22.827,24.783,21.716,,,15.922,28.482,8.28,19.818,25.52,15.828,14.637,17.426,18.888,10.303,0.719,19.125,19.685
1964-06-01,14.537,6.638,46.671,3.367,13.69,41.018,26.093,10.81,53.904,17.528,14.233,16.285,20.485,22.947,24.902,21.743,,,16.165,28.494,8.39,19.72,25.519,15.924,14.729,17.561,18.996,10.271,0.725,19.254,19.774
1964-07-01,14.593,6.746,46.818,3.374,13.843,41.389,25.829,10.71,53.931,17.724,14.285,16.479,20.551,23.058,25.028,21.841,,,16.754,28.756,8.51,20.089,25.454,16.042,14.846,17.598,19.136,10.323,0.736,19.316,19.919
1964-08-01,14.726,6.811,47.667,3.386,13.972,41.633,25.801,10.872,55.163,17.882,14.319,16.641,20.61,23.085,25.089,21.881,,,16.817,29.004,8.63,20.222,25.408,16.121,14.933,17.653,19.251,10.379,0.745,19.372,19.948
1964-09-01,14.563,6.619,47.508,3.383,13.963,41.321,26.121,10.679,54.718,17.637,14.335,16.775,20.742,23.234,25.241,21.926,,,16.048,28.776,8.515,20.107,25.503,16.064,14.846,17.761,19.171,10.513,0.74,19.491,20.052
1964-10-01,14.8,6.733,48.46,3.389,13.944,41.339,25.834,10.85,56.282,17.802,14.298,16.856,20.817,23.387,25.401,21.826,,,16.495,28.955,8.559,20.052,25.693,16.172,14.945,17.797,19.296,10.674,0.738,19.56,20.128
1964-11-01,14.47,6.466,46.81,3.386,13.923,41.038,26.08,10.768,53.184,17.399,14.281,16.944,20.934,23.537,25.546,21.796,,,14.981,28.495,8.473,19.922,25.839,16.055,14.789,17.888,19.121,10.804,0.758,19.666,20.194
1964-12-01,15.048,6.357,47.049,3.378,13.994,42.425,26.465,11.133,53.686,17.653,14.38,17.05,21.036,23.62,25.616,22.042,,,13.639,29.252,8.662,20.097,25.89,16.132,14.865,17.99,19.306,10.83,0.793,19.757,20.268
