Date,Capital transfer payments,Capital transfer receipts,Consumption expenditures,Contributions for government social insurance,Current expenditures,Current receipts,Current surplus of government enterprises,Current tax receipts,Current transfer payments,Current transfer receipts,Dividends,From business (net),From persons,From the rest of the world,Government social benefits,Gross government investment,Income receipts on assets,Interest and miscellaneous receipts,Interest payments,Interest receipts,Less: Consumption of fixed capital,Net government saving,Net lending or net borrowing (-),Net purchases of nonproduced assets,Other,Other current transfer payments to the rest of the world,Personal current taxes,Rents and royalties,Social insurance funds,Subsidies,Taxes from the rest of the world,Taxes on corporate income,Taxes on production and imports,To persons,To persons and business,To the rest of the world,Total expenditures,Total receipts
1951-10-01,0.0,1062.0,59225.0,6696.0,81704.0,84134.0,,76244.0,13904.0,647.0,272.0,290.0,3514.5,24.0,10620.0,24089.0,547.0,275.0,7539.0,,10354.0,2429.0,,,,3284.0,29632.0,275.0,,1037.0,,21276.0,25336.0,10620.0,,44.0,,85196.0
1952-01-01,0.0,1034.0,60921.0,6964.0,81678.0,84686.0,,76491.0,12308.0,660.0,276.0,304.0,3650.0,20.0,10480.0,24076.0,571.0,295.0,7634.0,,10554.0,3009.0,,,,1828.0,30876.0,295.0,,813.0,,19528.0,26087.0,10480.0,,48.0,,85720.0
1952-04-01,0.0,1079.0,64723.0,6848.0,86330.0,85194.0,,77103.0,13112.0,668.0,280.0,307.0,3592.5,24.0,10628.0,24264.0,575.0,295.0,7704.0,,10859.0,-1136.0,,,,2484.0,31813.0,295.0,,791.0,,18372.0,26918.0,10628.0,,48.0,,86273.0
1952-07-01,0.0,1103.0,66087.0,6896.0,88731.0,86090.0,,77916.0,14016.0,684.0,300.0,310.0,3623.0,24.0,11396.0,24845.0,594.0,294.0,7831.0,,11291.0,-2641.0,,,,2620.0,32274.0,294.0,,798.0,,18308.0,27334.0,11396.0,,80.0,,87193.0
1952-10-01,0.0,1004.0,68119.0,7072.0,90001.0,89800.0,,81422.0,13216.0,700.0,312.0,315.0,3718.5,20.0,11472.0,25299.0,606.0,294.0,7971.0,,11547.0,-202.0,,,,1744.0,33057.0,294.0,,695.0,,20220.0,28145.0,11472.0,,80.0,,90804.0
1953-01-01,0.0,1224.0,69217.0,7088.0,91647.0,91879.0,,83441.0,13604.0,703.0,332.0,305.0,3731.0,24.0,11464.0,26547.0,647.0,315.0,8100.0,,11829.0,231.0,,,,2140.0,33411.0,315.0,,727.0,,21284.0,28746.0,11464.0,,80.0,,93103.0
1953-04-01,0.0,1052.0,70767.0,7160.0,93009.0,92537.0,,83993.0,13604.0,719.0,348.0,313.0,3771.0,24.0,11428.0,27158.0,665.0,317.0,8186.0,,12126.0,-472.0,,,,2176.0,33439.0,317.0,,451.0,,21376.0,29178.0,11428.0,,80.0,,93589.0
1953-07-01,0.0,1113.0,69592.0,7196.0,92251.0,91982.0,,83382.0,13648.0,728.0,356.0,314.0,3793.0,24.0,11676.0,27030.0,676.0,320.0,8335.0,,12234.0,-269.0,,,,1972.0,33187.0,320.0,,676.0,,20876.0,29319.0,11676.0,,92.0,,93095.0
1953-10-01,0.0,1203.0,70818.0,7072.0,93610.0,86801.0,,78332.0,14112.0,738.0,336.0,316.0,3737.0,20.0,12128.0,25929.0,659.0,323.0,8478.0,,12387.0,-6809.0,,,,1984.0,32931.0,323.0,,202.0,,16240.0,29161.0,12128.0,,92.0,,88004.0
1954-01-01,0.0,1195.0,68418.0,8092.0,91860.0,84524.0,,74973.0,14656.0,779.0,308.0,342.0,4252.5,24.0,12888.0,26413.0,680.0,372.0,8657.0,,12566.0,-7336.0,,,,1768.0,30196.0,372.0,,130.0,,16096.0,28681.0,12888.0,,60.0,,85719.0
1954-04-01,0.0,1142.0,66591.0,8056.0,91189.0,84912.0,,75401.0,15100.0,789.0,292.0,348.0,4236.5,24.0,13568.0,25942.0,666.0,374.0,8806.0,,12932.0,-6276.0,,,,1532.0,29977.0,374.0,,692.0,,16612.0,28812.0,13568.0,,56.0,,86054.0
1954-07-01,0.0,1143.0,66415.0,8080.0,91685.0,85911.0,,76409.0,15992.0,786.0,260.0,350.0,4244.0,28.0,13944.0,24733.0,636.0,376.0,8948.0,,13150.0,-5774.0,,,,2048.0,30005.0,376.0,,328.0,,17660.0,28744.0,13944.0,,56.0,,87054.0
1954-10-01,0.0,1172.0,66859.0,8172.0,92822.0,88384.0,,78805.0,16752.0,786.0,244.0,352.0,4289.0,28.0,14588.0,24498.0,621.0,377.0,9051.0,,13443.0,-4438.0,,,,2164.0,30462.0,377.0,,160.0,,19024.0,29319.0,14588.0,,64.0,,89556.0
1955-01-01,4.0,1240.0,67728.0,8900.0,94286.0,93071.0,,82792.0,17196.0,794.0,212.0,369.0,4650.5,24.0,14556.0,24141.0,585.0,373.0,9098.0,,13510.0,-1215.0,,,,2640.0,31412.0,373.0,,264.0,,21132.0,30248.0,14556.0,,64.0,,94311.0
1955-04-01,8.0,1116.0,67777.0,9068.0,94042.0,95495.0,,85037.0,16816.0,788.0,228.0,369.0,4729.5,28.0,14736.0,24756.0,602.0,374.0,9123.0,,13650.0,1453.0,,,,2080.0,32429.0,374.0,,327.0,,21380.0,31228.0,14736.0,,80.0,,96611.0
1955-07-01,8.0,1244.0,69834.0,9220.0,96101.0,97855.0,,87193.0,16840.0,799.0,268.0,366.0,4814.5,24.0,14864.0,24265.0,643.0,375.0,9397.0,,14034.0,1754.0,,,,1976.0,33364.0,375.0,,31.0,,21888.0,31941.0,14864.0,,108.0,,99099.0
1955-10-01,12.0,1412.0,69063.0,9280.0,95740.0,100201.0,,89438.0,16804.0,807.0,300.0,364.0,4847.5,28.0,14860.0,24268.0,676.0,376.0,9693.0,,14395.0,4460.0,,,,1944.0,34231.0,376.0,,181.0,,22756.0,32451.0,14860.0,,124.0,,101613.0
1956-01-01,16.0,1469.0,69274.0,9884.0,96420.0,101601.0,,90082.0,17056.0,878.0,356.0,415.0,5159.5,28.0,15176.0,25573.0,757.0,401.0,9789.0,,14832.0,5182.0,,,,1880.0,35367.0,401.0,,300.0,,21684.0,33031.0,15176.0,,136.0,,103070.0
1956-04-01,16.0,1721.0,71663.0,9996.0,99799.0,103618.0,,91931.0,17416.0,896.0,392.0,415.0,5222.5,32.0,15364.0,26584.0,795.0,403.0,10165.0,,15153.0,3819.0,,,,2052.0,36239.0,403.0,,556.0,,22096.0,33596.0,15364.0,,136.0,,105339.0
1956-07-01,20.0,1621.0,70518.0,10024.0,99701.0,103984.0,,92226.0,17812.0,912.0,416.0,418.0,5243.0,32.0,15812.0,27761.0,822.0,406.0,10473.0,,15490.0,4282.0,,,,2000.0,36901.0,406.0,,899.0,,20728.0,34597.0,15812.0,,156.0,,105605.0
1956-10-01,20.0,1605.0,72680.0,10164.0,103098.0,107383.0,,95437.0,18088.0,930.0,444.0,416.0,5325.0,28.0,16016.0,28665.0,852.0,408.0,11117.0,,15788.0,4285.0,,,,2072.0,37857.0,408.0,,1213.0,,21856.0,35724.0,16016.0,,188.0,,108988.0
1957-01-01,24.0,1650.0,75585.0,11428.0,106660.0,110369.0,,97066.0,18672.0,967.0,480.0,422.0,5970.5,32.0,16836.0,29757.0,908.0,428.0,11117.0,,16217.0,3709.0,,,,1836.0,38578.0,428.0,,1286.0,,22344.0,36144.0,16836.0,,188.0,,112019.0
1957-04-01,24.0,1910.0,76106.0,11460.0,109022.0,110274.0,,96882.0,20208.0,985.0,516.0,422.0,5995.5,32.0,18032.0,29737.0,947.0,431.0,11490.0,,16518.0,1252.0,,,,2176.0,38965.0,431.0,,1218.0,,21356.0,36561.0,18032.0,,208.0,,112184.0
