Date,Change in private inventories,Durable goods industries,Farm,Food and beverage stores,General merchandise stores,Manufacturing,Merchant wholesale trade,"Mining, utilities, and construction",Motor vehicle and parts dealers,Nondurable goods industries,Nonfarm change in book value,Nonfarm industries,Nonfarm inventory valuation adjustment,Nonmerchant wholesale trade,Other industries,Other retail stores,Retail trade,Wholesale trade
2004-07-01,64166.0,22941.0,7701.0,182.0,1204.0,4179.0,23789.0,6214.0,1880.0,6845.0,106420.0,56466.0,-49954.0,3220.0,6260.0,9536.0,12802.0,27009.0
2004-10-01,72089.0,17926.5,4662.0,-47.0,7531.0,14440.0,21830.0,2024.0,-82.0,14910.5,135620.0,67427.0,-68193.0,1160.0,6967.0,13604.0,21006.0,22990.0
2005-01-01,102477.0,37685.5,-6685.0,182.0,7092.0,41478.0,29469.0,4579.0,3049.0,16679.25,150836.0,109162.0,-41674.0,14564.0,2681.0,6068.0,16391.0,44033.0
2005-04-01,28835.0,18560.25,932.0,3.0,1321.0,6185.0,17053.0,9901.0,-19113.0,-457.5,59820.0,27903.0,-31917.0,3284.0,1918.0,7351.0,-10439.0,20337.0
2005-07-01,12353.0,12938.75,4340.0,-1937.0,2551.0,10655.0,10235.0,-2989.0,-7607.0,-3098.25,65832.0,8014.0,-57818.0,-4116.0,-526.0,1747.0,-5245.0,6119.0
2005-10-01,86388.0,30553.25,2315.0,1009.0,1000.0,23801.0,24816.0,3412.0,11971.0,11092.5,151936.0,84073.0,-67863.0,6760.0,4720.0,6583.0,20563.0,31576.0
2006-01-01,78214.0,12706.0,3739.0,1730.0,-2069.0,21384.0,13082.0,15624.0,813.0,21373.5,88904.0,74475.0,-14429.0,10556.0,1364.0,11991.0,12466.0,23638.0
2006-04-01,75513.0,25837.5,-8124.0,1479.0,-1638.0,22154.0,21515.0,23472.0,63.0,10023.75,134808.0,83637.0,-51171.0,2748.0,5678.0,8167.0,8070.0,24263.0
2006-07-01,78754.0,26982.25,-6337.0,241.0,5451.0,20511.0,23507.0,17218.0,580.0,10811.5,130528.0,85092.0,-45436.0,4896.0,5446.0,7241.0,13513.0,28403.0
2006-10-01,43476.0,9164.0,-3586.0,-57.0,3015.0,7256.0,7869.0,17203.0,-4228.0,8800.75,59056.0,47062.0,-11994.0,5388.0,4242.0,6374.0,5104.0,13257.0
2007-01-01,21372.0,12028.25,7947.0,-827.0,288.0,8449.0,7469.0,4584.0,-8985.0,-809.0,72724.0,13425.0,-59299.0,116.0,1128.0,1203.0,-8320.0,7585.0
2007-04-01,42225.0,-1483.5,-4127.0,1457.0,816.0,23924.0,2406.0,7302.0,3001.0,19797.75,105960.0,46351.0,-59609.0,2296.0,-1527.0,6677.0,11950.0,4702.0
2007-07-01,44922.0,6006.75,-1663.0,2401.0,-2677.0,15613.0,12416.0,-37.0,18470.0,15974.5,63288.0,46586.0,-16702.0,2556.0,-923.0,-1235.0,16960.0,14972.0
2007-10-01,27281.0,17806.0,430.0,1212.0,1265.0,20399.0,10625.0,-12771.0,-1102.0,123.5,119396.0,26852.0,-92544.0,2788.0,160.0,4274.0,5649.0,13413.0
2008-01-01,-16673.0,2212.5,-8569.0,-512.0,-7234.0,28859.0,-8874.0,-13099.0,-13146.0,2057.75,145900.0,-8104.0,-154004.0,22644.0,776.0,-17518.0,-38411.0,13770.0
2008-04-01,-22252.0,-10365.0,3822.0,47.0,-1793.0,-22720.0,20050.0,-15957.0,-9077.0,13766.0,172908.0,-26074.0,-198982.0,18476.0,-3614.0,-11487.0,-22310.0,38526.0
2008-07-01,-15825.0,10221.5,4149.0,-873.0,1001.0,-33310.0,24480.0,8994.0,-15786.0,-10985.5,30128.0,-19974.0,-50102.0,-2880.0,2340.0,-3939.0,-19598.0,21600.0
2008-10-01,-62215.0,-3312.5,-1464.0,-569.0,-6817.0,-25366.0,-4442.0,-9857.0,-11322.0,-18051.25,-302544.0,-60751.0,241793.0,11012.0,8261.0,-21649.0,-40358.0,6570.0
2009-01-01,-150996.0,-69076.0,-4840.0,2804.0,-3431.0,-24783.0,-46656.0,11715.0,-42307.0,-3759.0,-266444.0,-146156.0,120288.0,-22248.0,-6497.0,-14753.0,-57687.0,-68904.0
2009-04-01,-196001.0,-72995.5,-6274.0,-1163.0,-3293.0,-34492.0,-75413.0,8255.0,-37956.0,-26610.25,-206980.0,-189727.0,17253.0,-17104.0,-10790.0,-17771.0,-60182.0,-92517.0
2009-07-01,-204006.0,-63671.25,-10885.0,-252.0,-5010.0,-36289.0,-61499.0,-8400.0,-44078.0,-31197.5,-159820.0,-193121.0,-33301.0,-16184.0,-5056.0,-16354.0,-65694.0,-77683.0
2009-10-01,-52084.0,-21006.0,-4640.0,-2517.0,-2706.0,-8053.0,8761.0,-21908.0,-7324.0,8916.25,43428.0,-47444.0,-90872.0,-5744.0,-926.0,-7027.0,-19573.0,3017.0
2010-01-01,-1237.0,11016.5,-6568.0,1735.0,-104.0,9304.0,-1181.0,-17543.0,11663.0,-7252.5,94066.0,5330.0,-89735.0,9352.0,-714.0,-7182.0,6112.0,8171.0
2010-04-01,36708.0,13818.75,-11701.0,-1312.0,2313.0,2916.0,6951.0,13748.0,18081.0,1383.75,87478.0,48408.0,-39069.0,7284.0,-5052.0,3482.0,22562.0,14235.0
2010-07-01,112897.0,34527.5,-16468.0,265.0,3980.0,38231.0,53259.0,-390.0,17953.0,33135.0,164208.0,129365.0,-34843.0,13004.0,61.0,3001.0,25200.0,66263.0
2010-10-01,67301.0,22931.25,-13867.0,972.0,451.0,38946.0,18886.0,11477.0,-416.0,15661.5,188797.0,81169.0,-106628.0,10352.0,1327.0,-826.0,180.0,29238.0
2011-01-01,32078.0,29424.75,-2113.0,-2068.0,5022.0,22915.0,1331.0,-12358.0,3240.0,-12853.25,199523.0,34191.0,-165333.0,8632.0,5925.0,1552.0,7746.0,9963.0
2011-04-01,61047.0,32900.25,-5742.0,1094.0,-1756.0,37868.0,40097.0,-8013.0,-4687.0,13899.25,168381.0,66789.0,-101592.0,8088.0,-1575.0,-4328.0,-9677.0,48185.0
2011-07-01,-12033.0,23603.0,-1199.0,479.0,-694.0,-1872.0,-6419.0,-6824.0,2196.0,-29529.25,38619.0,-10833.0,-49452.0,3036.0,1291.0,-2027.0,-46.0,-3383.0
2011-10-01,103956.0,27983.5,749.0,-89.0,1301.0,37062.0,38931.0,7760.0,8966.0,27866.25,115495.0,103208.0,-12288.0,4520.0,7624.0,-2867.0,7311.0,43451.0
2012-01-01,80278.0,32239.0,-6408.0,2318.0,-3068.0,25157.0,19052.0,17247.0,34718.0,4461.5,108371.0,86686.0,-21685.0,3264.0,-12833.0,832.0,34800.0,22316.0
2012-04-01,91406.0,39295.25,-15350.0,-1769.0,1261.0,14549.0,30833.0,13431.0,24124.0,2240.5,73385.0,106756.0,33371.0,-1476.0,14243.0,11561.0,35177.0,29357.0
2012-07-01,84429.0,36179.75,-29910.0,-281.0,-3782.0,35788.0,45159.0,-8116.0,21703.0,20174.0,147666.0,114339.0,-33327.0,14880.0,6133.0,2855.0,20495.0,60039.0
2012-10-01,28734.0,21704.75,-23094.0,88.0,5785.0,1023.0,16640.0,1521.0,12213.0,-3793.5,79839.0,51828.0,-28011.0,8608.0,4355.0,1594.0,19680.0,25248.0
2013-01-01,85223.0,23744.0,1901.0,371.0,2023.0,31973.0,25912.0,-15084.0,18196.0,19646.25,68205.0,83322.0,15117.0,4542.0,2257.0,13134.0,33723.0,30454.0
2013-04-01,82693.0,12051.75,14881.0,1857.0,1019.0,7146.0,8909.0,4828.0,15637.0,15881.5,42468.0,67811.0,25343.0,4074.0,10067.0,14274.0,32787.0,12983.0
2013-07-01,136649.0,32145.5,17376.0,-363.0,3085.0,37142.0,36762.0,-2070.0,15392.0,30132.5,108980.0,119273.0,10294.0,1798.0,10352.0,17176.0,35289.0,38559.0
2013-10-01,117343.0,36724.5,11464.0,349.0,3533.0,28820.0,44108.0,-14249.0,35011.0,21597.75,110347.0,105879.0,-4467.0,-1088.0,-3966.0,13363.0,52255.0,43020.0
2014-01-01,51995.0,26881.5,-2976.0,1096.0,-520.0,18972.0,31146.0,-14297.0,2925.0,7324.5,131226.0,54971.0,-76255.0,3565.0,5673.0,6411.0,9912.0,34711.0
2014-04-01,97753.0,35080.25,1356.0,53.0,-4662.0,32004.0,24141.0,11744.0,12484.0,11180.5,99844.0,96398.0,-3446.0,7004.0,8349.0,5282.0,13157.0,31145.0
2014-07-01,103934.0,33306.5,-1863.0,1925.0,2000.0,23802.0,32573.0,12764.0,9914.0,17096.75,60064.0,105798.0,45734.0,8729.0,9819.0,4270.0,18109.0,41303.0
2014-10-01,85485.0,16300.5,-7728.0,610.0,-1495.0,655.0,45950.0,8197.0,16024.0,28480.25,31110.0,93213.0,62103.0,1082.0,12962.0,9227.0,24367.0,47032.0
2015-01-01,175242.0,30289.0,4240.0,4889.0,-897.0,54211.0,38689.0,19836.0,1093.0,49458.75,62947.0,171002.0,108055.0,12160.0,27105.0,13916.0,19002.0,50849.0
2015-04-01,151248.0,24176.75,1446.0,-3.0,8710.0,49019.0,32607.0,22647.0,7510.0,45015.75,95805.0,149802.0,53997.0,11292.0,5725.0,12296.0,28512.0,43899.0
2015-07-01,126851.0,10121.0,-1332.0,2999.0,3574.0,11003.0,24085.0,15971.0,25716.0,38938.25,49841.0,128183.0,78341.0,10214.0,12515.0,22105.0,54395.0,34299.0
2015-10-01,107150.0,14367.75,1749.0,655.0,156.0,30026.0,9416.0,18157.0,12524.0,26607.75,11456.0,105401.0,93945.0,7893.0,15035.0,11539.0,24874.0,17309.0
2016-01-01,62318.0,887.0,-13277.0,880.0,-1400.0,6703.0,4659.0,27350.0,26043.0,20313.0,4680.0,75595.0,70915.0,6461.0,-4943.0,9843.0,35365.0,11120.0
2016-04-01,30484.0,-7224.25,-3098.0,2838.0,-1800.0,-15338.0,6139.0,3938.0,18833.0,16474.5,70408.0,33582.0,-36825.0,9578.0,6574.0,2821.0,22692.0,15717.0
2016-07-01,5324.0,-4284.0,495.0,1546.0,-231.0,-6408.0,-7382.0,-7307.0,18948.0,1419.75,32840.0,4829.0,-28010.0,4393.0,-5753.0,7023.0,27286.0,-2989.0
2016-10-01,58147.0,18291.5,-5681.0,1220.0,15.0,13369.0,19966.0,3512.0,13869.0,11589.25,103689.0,63828.0,-39861.0,8075.0,-1479.0,5279.0,20383.0,28042.0
2017-01-01,6311.0,6016.75,-5745.0,199.0,-2329.0,-17674.0,3625.0,-4434.0,21109.0,-5591.75,71819.0,12055.0,-59764.0,5812.0,4210.0,1538.0,20517.0,9437.0
2017-04-01,25528.0,17112.5,-5559.0,836.0,-3651.0,-11399.0,25923.0,-24776.0,17889.0,2463.0,44451.0,31087.0,-13364.0,12328.0,8389.0,5547.0,20621.0,38251.0
2017-07-01,54859.0,29441.75,-5998.0,2450.0,-3940.0,21832.0,38801.0,-19226.0,3426.0,13937.25,93972.0,60857.0,-33115.0,19224.0,-4061.0,2351.0,4287.0,58025.0
2017-10-01,43998.0,4947.75,-5414.0,4803.0,-3204.0,10511.0,8419.0,-8608.0,14181.0,14684.75,104212.0,49412.0,-54799.0,7184.0,5610.0,10516.0,26296.0,15603.0
2018-01-01,35045.0,21527.75,-4370.0,336.0,301.0,17533.0,24658.0,-18343.0,14688.0,4443.75,102511.0,39415.0,-63096.0,1992.0,4067.0,-5817.0,9507.0,26650.0
2018-04-01,-3402.0,4403.25,-6258.0,-307.0,6566.0,1965.0,-34234.0,-13989.0,21634.0,-19147.25,98210.0,2855.0,-95355.0,10928.0,6821.0,3471.0,31364.0,-23306.0
2018-07-01,98664.0,44196.25,-9030.0,3238.0,4002.0,42036.0,50421.0,-8782.0,20475.0,17327.25,142618.0,107694.0,-34924.0,4552.0,-1864.0,-6384.0,21332.0,54973.0
2018-10-01,95324.0,60746.0,-12078.0,3285.0,2659.0,-2741.0,62343.0,-9130.0,14928.0,-5477.75,129403.0,107402.0,-22001.0,3804.0,6492.0,25761.0,46633.0,66147.0
2019-01-01,114925.0,32416.75,-19269.0,-455.0,3173.0,50539.0,32980.0,15261.0,18045.0,28830.25,140850.0,134194.0,-6657.0,13564.0,219.0,868.0,21630.0,46544.0
2019-04-01,83207.0,43574.25,-16510.0,4706.0,-4069.0,34375.0,34820.0,15463.0,4175.0,6191.25,81059.0,99717.0,18658.0,11840.0,2687.0,-4280.0,532.0,46660.0
2019-07-01,70234.0,32803.75,-14876.0,-719.0,-1392.0,55115.0,-12557.0,6927.0,16236.0,-4087.0,54688.0,85110.0,30422.0,14632.0,4602.0,2267.0,16392.0,2075.0
2019-10-01,23455.0,-12287.5,-10768.0,297.0,-7636.0,33721.0,-11850.0,20309.0,-17430.0,20659.5,45633.0,34223.0,-11410.0,12.0,4283.0,12518.0,-12252.0,-11838.0
2020-01-01,-39039.0,-8550.5,-13806.0,-12231.0,-9660.0,-25547.0,-34335.0,11986.0,49145.0,-31333.5,-108151.0,-25233.0,82918.0,-26280.0,11759.0,9931.0,37185.0,-60615.0
2020-04-01,-282276.0,-109598.5,-10853.0,8732.0,-28810.0,30680.0,-45841.0,-1764.0,-187441.0,23287.0,-336298.0,-271423.0,64876.0,-1968.0,8358.0,-53369.0,-260887.0,-47809.0
2020-07-01,98975.0,5882.25,-8285.0,6455.0,11524.0,-6760.0,12308.0,1867.0,47604.0,22465.5,161736.0,107260.0,-54476.0,-3440.0,18113.0,19589.0,85172.0,8868.0
2020-10-01,78055.0,8219.25,-7250.0,1264.0,12238.0,-2795.0,-7487.0,-1566.0,34104.0,5448.75,237810.0,85305.0,-152506.0,-5612.0,10934.0,44225.0,91830.0,-13099.0
2021-01-01,-41219.0,5383.75,2888.0,1928.0,-4968.0,-16904.0,-8037.0,-20293.0,-51841.0,-17813.0,235757.0,-44107.0,-279864.0,24480.0,656.0,30871.0,-24009.0,16443.0
2021-04-01,-164611.0,-40146.25,-1610.0,-3824.0,8385.0,-49695.0,-26433.0,-21667.0,-98799.0,-25214.25,195281.0,-163002.0,-358282.0,5732.0,8122.0,15177.0,-79061.0,-20701.0
2021-07-01,1807.0,4769.25,-1450.0,-820.0,12213.0,-16479.0,22147.0,-34345.0,-39403.0,6381.75,350940.0,3257.0,-347683.0,14980.0,10945.0,34019.0,6009.0,37127.0
2021-10-01,252794.0,78893.0,-5519.0,-3199.0,29985.0,-5969.0,136279.0,-15663.0,22351.0,54495.75,541875.0,258313.0,-283562.0,14172.0,10069.0,70289.0,119425.0,150451.0
2022-01-01,244937.0,62253.5,-10899.0,5458.0,40306.0,31234.0,97546.0,-17591.0,10151.0,62054.5,587521.0,255836.0,-331686.0,25972.0,4810.0,57949.0,113865.0,123518.0
2022-04-01,116971.0,77912.75,-13484.0,2594.0,7584.0,2831.0,85436.0,-5700.0,6836.0,-1246.75,492740.0,130455.0,-362285.0,15988.0,-11228.0,26113.0,43127.0,101424.0
2022-07-01,73821.0,81921.75,-15246.0,-967.0,-20479.0,11251.0,73942.0,7989.0,36169.0,-20886.75,206575.0,89067.0,-117508.0,11184.0,-9761.0,-20261.0,-5538.0,85126.0
2022-10-01,162858.0,71906.75,-9492.0,-4754.0,-9735.0,58164.0,53987.0,37687.0,33875.0,17492.0,88370.0,172351.0,83981.0,28596.0,-1937.0,-23533.0,-4147.0,82583.0
2023-01-01,20894.0,-24437.75,-6725.0,8384.0,-777.0,9959.0,-20922.0,20203.0,26099.0,23398.75,-55782.0,27619.0,83400.0,6836.0,2039.0,-24202.0,9504.0,-14086.0
2023-04-01,10.0,17678.25,-2270.0,-1031.0,-111.0,13826.0,-38344.0,-2985.0,41780.0,-31082.25,-86236.0,2281.0,88517.0,9236.0,8145.0,-28236.0,12403.0,-29108.0
2023-07-01,89189.0,13673.5,748.0,1672.0,-6506.0,36908.0,-8944.0,7671.0,47132.0,15729.0,70362.0,88441.0,18079.0,9400.0,8778.0,-7669.0,34628.0,456.0
2023-10-01,56688.0,21074.25,-2906.0,-4017.0,-4817.0,18409.0,10746.0,12783.0,48072.0,3214.0,13734.0,59594.0,45861.0,564.0,2913.0,-25057.0,14180.0,11310.0
2024-01-01,21404.0,21127.25,-3502.0,-3788.0,-1484.0,2841.0,-18140.0,10460.0,39585.0,-24985.25,41901.0,24906.0,-16995.0,-3396.0,5040.0,-6212.0,28101.0,-21536.0
2024-04-01,96792.0,23689.25,7737.0,312.0,2636.0,3989.0,25296.0,-6876.0,62661.0,12602.0,80613.0,89054.0,8441.0,-6208.0,1528.0,5716.0,71325.0,19088.0
2024-07-01,75970.0,1666.25,9673.0,3128.0,5128.0,521.0,3128.0,-5524.0,37804.0,16271.5,66001.0,66296.0,296.0,-10996.0,21648.0,11460.0,57520.0,-7868.0
2024-10-01,13634.0,-15833.0,10086.0,-1964.0,2420.0,15057.0,-26296.0,4692.0,-8224.0,10323.0,49836.0,3549.0,-46287.0,1860.0,13156.0,2848.0,-4920.0,-24436.0
