Date,Equals: Gross national product,Equals: Net national product,General government,Government,Government enterprises,Gross domestic product (GDP),Less: Consumption of fixed capital,Less: Income payments to the rest of the world,Net domestic product,Net domestic purchases,Plus: Income receipts from the rest of the world,Private
2020-10-01,3.9,4.1,2.8,2.7,2.1,4.4,2.8,26.2,4.7,6.2,9.4,2.9
2021-01-01,5.5,6.0,2.8,2.7,1.9,5.6,3.1,14.9,6.1,7.2,9.7,3.2
2021-04-01,5.4,5.7,2.8,2.6,1.8,6.4,3.4,22.3,7.0,7.7,-4.0,3.6
2021-07-01,3.5,3.5,2.7,2.6,1.7,3.5,3.3,12.0,3.5,4.6,11.9,3.4
2021-10-01,7.8,8.7,2.7,2.6,1.6,7.4,3.1,-7.4,8.3,8.3,1.9,3.2
2022-01-01,-1.8,-2.7,2.7,2.5,1.5,-1.0,3.3,11.0,-1.8,1.0,-7.2,3.5
2022-04-01,0.9,0.4,2.7,2.5,1.5,0.3,3.5,1.1,-0.3,-0.9,16.1,3.6
2022-07-01,2.9,2.8,2.7,2.5,1.5,2.7,3.4,14.5,2.6,-0.4,17.5,3.6
2022-10-01,2.8,2.7,2.7,2.5,1.6,3.4,3.3,26.3,3.4,2.6,9.5,3.4
2023-01-01,2.1,1.9,2.7,2.6,1.6,2.8,3.2,30.9,2.7,2.2,12.2,3.4
2023-04-01,2.5,2.4,2.7,2.6,1.6,2.4,3.2,10.5,2.3,2.4,11.0,3.3
2023-07-01,4.3,4.5,2.7,2.5,1.6,4.4,3.0,21.1,4.6,4.6,17.8,3.1
2023-10-01,3.1,3.1,2.7,2.5,1.6,3.2,2.8,-0.4,3.3,3.1,-2.0,2.9
2024-01-01,1.4,1.2,2.6,2.4,1.5,1.6,2.8,12.4,1.4,2.1,7.7,2.9
2024-04-01,2.7,2.6,2.6,2.5,1.5,3.0,3.2,7.1,2.9,3.9,0.5,3.4
2024-07-01,2.4,2.3,2.7,2.6,1.5,3.1,3.1,-6.0,3.1,3.5,-17.1,3.3
2024-10-01,3.3,3.4,2.8,2.6,1.6,2.4,3.0,0.5,2.3,2.0,19.6,3.1
