Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Personal consumption expenditures (PCE),Recreation services,Recreational goods and vehicles,Services,Transportation services
1947-04-01,-4.7,8.6,,,,8.2,,12.6,14.3,7.4,,,,,,,,,7.3,7.0,-1.9,18.0,,,,,6.8,,8.7,5.9,
1947-07-01,6.7,5.8,,,,-1.6,,20.4,4.2,2.7,,,,,,,,,-20.0,1.9,13.8,5.1,,,,,1.3,,17.5,-0.8,
1947-10-01,-0.4,28.5,,,,-9.6,,21.1,-1.0,1.5,,,,,,,,,68.1,-5.1,1.5,0.5,,,,,0.1,,9.8,-2.1,
1948-01-01,-3.7,-1.9,,,,0.8,,-15.6,9.5,0.6,,,,,,,,,29.2,1.3,-1.0,5.8,,,,,2.0,,-18.6,4.3,
1948-04-01,2.5,2.7,,,,7.0,,23.3,0.9,3.7,,,,,,,,,-20.8,4.0,1.0,-1.5,,,,,4.7,,8.4,6.4,
1948-07-01,3.8,6.8,,,,-8.7,,7.8,4.1,-0.4,,,,,,,,,11.9,-2.4,1.7,5.7,,,,,0.6,,-3.1,2.1,
1948-10-01,9.3,-5.6,,,,7.6,,-22.3,-4.5,2.7,,,,,,,,,25.6,5.3,1.2,-0.5,,,,,3.2,,-19.3,4.1,
1949-01-01,0.6,-7.1,,,,0.4,,-27.3,-3.5,-0.6,,,,,,,,,16.9,1.6,-9.7,9.7,,,,,0.6,,8.7,2.6,
1949-04-01,-4.9,39.5,,,,0.0,,10.6,6.1,9.1,,,,,,,,,117.7,1.1,-1.9,10.6,,,,,6.3,,-3.3,2.1,
1949-07-01,-13.8,20.5,,,,-1.8,,39.1,0.2,2.0,,,,,,,,,13.9,-3.4,-3.9,4.3,,,,,0.9,,15.9,-0.8,
