Date,Durable goods,Equipment,Exports,Federal,Final sales of domestic product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Fixed investment,Goods,Government consumption expenditures and gross investment,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Gross private domestic investment,Imports,Intellectual property products,National defense,Nondefense,Nondurable goods,Nonresidential,Personal consumption expenditures,Residential,Services,State and local,Structures
2013-01-01,6.4,6.7,2.2,-4.8,1.7,1.4,2.3,6.0,1.6666666666666667,-2.6,1.7,1.3,1.5,5.7,-0.1,6.9,-6.4,-2.0,1.4,4.6,1.4,13.0,0.5333333333333333,-1.0,-2.7
2013-04-01,6.7,4.0,2.2,-4.7,1.5,1.4,2.2,5.0,2.266666666666667,-2.2,1.5,1.3,1.5,4.7,0.9,5.1,-5.7,-3.0,1.7,2.8,1.5,15.8,0.20000000000000004,-0.4,-2.5
2013-07-01,6.3,4.6,2.4,-6.3,1.9,1.7,2.7,6.8,2.433333333333333,-2.5,2.2,2.0,2.3,8.7,1.1,7.1,-7.8,-3.6,2.4,5.1,1.8,14.9,0.5666666666666665,0.1,3.3
2013-10-01,5.0,6.7,5.2,-6.0,2.4,2.1,3.1,6.6,4.8,-2.3,3.0,2.7,3.0,10.6,2.9,6.1,-6.4,-5.4,3.4,6.4,2.2,7.5,0.7666666666666666,0.2,6.4
2014-01-01,4.2,5.6,3.7,-3.9,1.7,1.9,2.7,5.9,3.8333333333333335,-1.8,1.7,1.8,1.7,5.4,4.3,3.6,-5.2,-1.7,2.2,6.5,1.9,3.1,2.5,-0.4,12.7
2014-04-01,7.5,8.3,5.0,-3.7,2.6,2.7,3.6,7.9,5.166666666666667,-1.5,2.7,2.8,2.6,8.3,5.2,6.7,-5.3,-1.1,3.1,9.0,2.6,3.0,2.8666666666666667,-0.1,13.7
2014-07-01,8.4,11.3,4.5,-1.2,3.3,3.3,4.2,8.1,5.233333333333333,-0.4,3.1,3.1,3.1,6.5,4.6,6.8,-2.1,0.2,3.2,9.4,3.2,2.7,2.3000000000000003,0.1,8.8
2014-10-01,9.4,6.4,2.4,-1.0,3.0,3.6,4.3,7.8,5.0,0.3,2.7,3.3,2.6,5.8,6.5,8.2,-3.4,2.8,3.4,7.7,3.5,8.1,2.9333333333333336,1.1,9.6
2015-01-01,9.6,6.5,2.6,-0.5,3.3,4.0,4.5,6.9,5.466666666666666,1.3,4.0,4.6,3.8,10.6,6.7,6.5,-2.5,2.5,4.1,6.1,3.9,10.7,2.2,2.5,4.6
2015-04-01,7.8,4.1,0.7,0.3,3.0,3.6,3.9,5.0,3.8000000000000003,2.2,3.3,3.9,3.1,6.6,5.2,4.4,-1.6,3.4,3.7,3.8,3.6,10.1,2.066666666666667,3.4,2.4
2015-07-01,7.4,2.7,-0.5,-0.9,2.4,3.2,3.5,4.1,3.233333333333333,2.1,2.4,3.3,2.2,4.5,5.7,3.8,-3.8,3.7,3.9,2.2,3.4,11.9,2.6,3.9,-0.6
2015-10-01,6.0,2.0,-1.5,1.4,2.0,2.6,2.6,2.6,1.5,2.6,2.1,2.7,2.1,3.5,3.3,4.3,-0.2,3.8,3.1,0.9,2.6,9.7,2.1333333333333333,3.3,-5.6
2016-01-01,5.4,0.7,-1.0,1.0,2.4,2.7,2.7,2.9,1.4666666666666666,2.9,1.8,2.1,1.7,-0.4,1.6,8.1,-0.3,3.1,3.0,0.9,2.6,10.9,1.4666666666666668,4.0,-7.9
2016-04-01,4.2,-0.7,-0.5,0.2,2.2,2.3,2.4,2.6,0.9666666666666667,1.8,1.5,1.7,1.5,-1.2,1.0,10.2,-1.6,2.9,3.3,1.1,2.4,8.4,2.1,2.8,-7.0
2016-07-01,5.5,-2.5,2.0,0.9,2.4,2.3,2.4,2.6,1.8666666666666665,1.7,1.8,1.7,1.8,-1.0,1.0,10.7,0.4,1.5,2.5,2.0,2.4,4.8,2.6999999999999997,2.2,-0.7
2016-10-01,6.5,-0.9,1.4,0.2,2.4,2.5,2.7,3.5,2.9333333333333336,1.5,2.2,2.3,2.4,2.3,2.2,9.0,-0.5,1.2,2.3,3.3,2.5,4.5,0.5,2.2,3.7
2017-01-01,5.9,0.0,4.1,-0.3,2.4,2.4,2.8,4.1,3.8333333333333335,0.3,2.1,2.1,2.3,2.5,3.9,8.0,-0.6,0.0,2.3,4.2,2.5,3.7,3.266666666666667,0.6,7.2
2017-04-01,6.3,3.0,3.7,0.7,2.3,2.5,2.9,4.4,4.1000000000000005,0.6,2.3,2.5,2.5,4.5,4.7,6.1,1.9,-1.0,2.4,4.5,2.5,4.0,3.433333333333333,0.6,5.1
2017-07-01,6.4,4.8,2.6,0.1,2.1,2.4,2.8,4.0,3.3666666666666667,0.3,2.4,2.7,2.8,5.8,4.4,6.3,0.5,-0.4,2.7,3.9,2.5,4.3,3.866666666666667,0.4,-1.1
2017-10-01,8.6,7.5,6.1,1.4,3.1,3.1,3.6,5.5,5.666666666666667,1.0,3.0,3.0,3.3,4.9,5.8,7.2,2.1,0.4,3.8,5.6,3.1,5.1,5.033333333333333,0.8,-0.4
2018-01-01,9.1,8.7,4.2,2.9,3.2,3.3,3.6,5.9,5.0,1.5,3.3,3.4,3.6,6.8,4.6,7.1,2.9,2.8,3.6,7.5,3.0,0.7,2.5333333333333337,0.7,5.6
2018-04-01,8.4,6.8,4.4,3.0,3.4,3.4,3.7,6.0,5.3999999999999995,2.0,3.3,3.2,3.5,5.1,3.8,9.4,2.3,4.1,2.7,7.5,3.1,0.9,0.7000000000000001,1.3,5.8
2018-07-01,6.4,5.1,2.5,4.4,2.9,3.2,3.4,5.4,5.0,2.6,3.1,3.4,2.9,6.6,4.8,8.9,4.3,4.5,2.4,7.1,2.8,-0.2,-0.6666666666666666,1.6,8.3
2018-10-01,2.8,3.3,0.3,3.5,1.9,2.2,2.3,3.3,2.466666666666667,1.9,2.1,2.5,1.8,4.7,3.0,9.9,4.5,2.1,1.8,5.6,2.0,-4.1,2.7755575615628914e-17,0.9,3.5
2019-01-01,0.6,2.0,0.6,3.6,1.6,1.8,1.6,1.9,1.8666666666666665,3.1,1.9,2.2,1.8,3.9,2.5,8.7,6.6,-0.6,2.0,3.4,1.5,-3.4,1.3,2.7,-1.9
2019-04-01,2.9,2.9,-0.4,3.9,1.8,2.3,2.0,2.7,1.0999999999999999,3.7,2.2,2.7,2.1,4.9,3.0,8.0,5.4,1.8,3.0,4.2,1.8,-2.4,3.1666666666666665,3.6,0.8
2019-07-01,4.6,1.4,0.9,3.9,3.0,2.9,2.7,3.5,1.6666666666666667,4.1,2.8,2.8,2.8,2.6,1.1,8.2,5.3,1.8,3.7,4.5,2.5,-0.1,2.6333333333333333,4.2,4.7
2019-10-01,5.2,-2.2,1.1,4.0,3.7,3.2,2.9,2.9,0.4666666666666666,4.8,3.4,2.9,3.2,1.2,-1.8,7.8,4.3,3.5,3.1,3.1,2.8,2.3,2.1999999999999997,5.3,5.9
2020-01-01,1.3,-8.1,-4.2,3.9,2.0,1.7,1.1,1.9,-1.2333333333333332,4.5,1.3,1.0,1.1,-2.2,-5.3,8.3,2.5,6.0,3.7,0.5,0.9,7.0,-5.466666666666666,4.8,4.3
2020-04-01,-2.0,-19.3,-24.0,10.4,-5.9,-6.1,-8.5,-7.8,-15.0,5.3,-7.5,-7.7,-7.9,-16.5,-21.9,3.4,3.3,21.0,-0.8,-9.3,-8.7,-2.3,-22.53333333333333,2.2,-10.8
2020-07-01,14.0,-9.3,-14.5,5.6,-1.6,-1.1,-1.8,-2.8,-1.9333333333333336,2.5,-1.4,-0.9,-1.7,-1.9,-8.5,3.3,1.8,11.4,5.1,-6.3,-1.6,9.3,-18.633333333333333,0.6,-15.6
2020-10-01,14.4,-3.5,-9.9,5.1,-1.3,-0.1,-0.4,1.1,3.0666666666666664,1.3,-1.0,0.1,-1.4,2.5,0.0,3.3,4.2,6.4,5.6,-3.3,-0.8,16.6,-15.0,-1.0,-13.8
2021-01-01,28.3,3.5,-5.8,8.2,1.7,3.1,3.4,4.2,6.766666666666667,1.5,1.8,3.1,1.3,4.5,5.9,5.3,1.5,18.2,6.8,0.8,3.2,15.2,-7.833333333333333,-2.4,-10.9
2021-04-01,33.3,19.2,20.4,-1.3,11.5,12.9,16.4,14.6,26.5,-1.7,12.2,13.6,11.9,19.4,30.3,11.5,0.2,-3.2,14.2,12.0,16.9,22.9,15.800000000000002,-2.0,1.0
2021-07-01,4.3,4.7,7.3,0.0,5.4,6.3,7.8,7.0,7.5,-0.6,5.0,5.9,4.6,4.7,13.9,11.7,-0.9,1.2,6.8,6.8,8.0,7.3,16.866666666666667,-0.9,1.7
2021-10-01,5.2,1.0,7.0,0.7,5.0,5.6,6.9,3.8,6.866666666666666,-0.3,5.7,6.4,5.5,8.1,11.4,12.3,-4.8,8.8,6.8,4.9,7.7,0.6,14.700000000000001,-0.9,-1.2
2022-01-01,-1.6,3.5,5.7,-5.3,2.8,3.8,5.1,3.6,5.0,-2.4,4.0,5.0,3.7,10.7,12.6,11.8,-5.6,-4.9,3.4,5.9,5.5,-2.6,15.0,-0.5,-0.7
2022-04-01,-5.4,1.7,8.0,-4.2,1.2,2.0,2.8,2.7,4.333333333333333,-1.7,2.5,3.2,2.5,10.0,12.0,11.5,-4.5,-3.7,-0.3,5.5,2.8,-4.7,14.600000000000001,-0.1,1.3
2022-07-01,1.1,6.2,11.5,-2.4,2.0,1.9,2.5,2.8,6.033333333333334,-0.9,2.3,2.2,2.4,4.4,8.2,11.4,-4.1,-0.1,-1.0,7.9,2.4,-10.6,9.866666666666667,0.0,4.5
2022-10-01,-1.5,6.1,5.0,-1.0,1.7,1.4,1.6,1.6,0.9,0.5,1.3,1.0,1.2,-0.5,2.0,10.3,-1.4,-0.5,-1.6,8.5,1.6,-16.4,6.599999999999999,1.4,9.7
2023-01-01,2.5,2.4,6.8,2.4,3.2,2.2,2.1,0.3,1.9333333333333336,2.6,2.3,1.3,2.2,-4.5,-1.3,8.2,2.8,1.8,-0.3,6.5,2.6,-16.4,4.233333333333333,2.7,10.6
2023-04-01,2.9,5.2,2.4,2.9,3.3,2.4,2.1,1.9,-0.5333333333333332,3.7,2.8,1.9,2.6,-0.5,-3.5,6.1,2.5,3.5,-0.1,7.1,2.2,-12.8,2.1999999999999997,4.2,12.5
2023-07-01,4.5,3.2,0.2,4.4,3.2,2.9,2.5,3.0,0.06666666666666665,4.8,3.2,3.0,2.9,3.4,-1.0,4.8,5.0,3.6,1.3,5.4,2.4,-4.5,1.4333333333333333,5.0,10.5
2023-10-01,5.8,3.1,2.0,2.1,3.6,3.5,3.3,4.4,1.7666666666666666,4.3,3.2,3.1,3.0,2.2,1.2,4.1,2.7,1.2,2.2,5.0,3.0,2.5,3.3000000000000003,5.7,9.7
2024-01-01,1.2,3.0,2.0,0.8,2.9,3.0,2.9,5.3,1.1333333333333335,3.5,2.9,3.0,2.8,5.5,2.9,4.9,0.9,0.8,1.4,4.8,2.2,7.0,5.033333333333334,5.1,7.6
2024-04-01,2.6,2.4,3.5,2.2,2.7,3.0,2.9,3.7,3.6,3.5,3.0,3.3,2.9,5.6,5.6,4.0,2.2,2.1,1.9,3.3,2.7,5.1,4.3999999999999995,4.3,3.6
2024-07-01,3.5,5.3,4.6,3.1,2.8,3.2,3.1,3.6,4.5,3.4,2.7,3.1,2.4,3.3,7.1,4.1,3.9,1.9,2.2,4.1,3.0,2.1,5.8999999999999995,3.6,1.9
2024-10-01,5.8,2.8,3.0,4.2,2.7,3.0,3.0,2.4,3.266666666666667,3.2,2.5,2.9,2.5,1.7,5.5,2.6,5.5,2.4,2.1,2.3,3.1,2.8,5.566666666666666,2.7,1.0
