Date,Accommodations (104),Air transportation (64),Alcoholic beverages purchased for off-premises consumption (5),"Audio-video, photographic, and information processing equipment services (parts of 77 and 93)",Children's and infants' clothing (12),Clothing and footwear,Commercial and vocational schools (99),Communication,Dental services (45),Durable goods,Education services,Educational books (96),Electricity (27),Electricity and gas,Final consumption expenditures of nonprofit institutions serving households (NPISHs),"Financial service charges, fees, and commissions (108)",Financial services,Financial services and insurance,Financial services furnished without payment (107),Food and beverages purchased for off-premises consumption,Food and nonalcoholic beverages purchased for off-premises consumption (4),Food furnished to employees (including military) (103),Food produced and consumed on farms (6),Food services,Food services and accommodations,Foreign travel by U.S. residents (129),Fuel oil and other fuels (29),Furnishings and durable household equipment,Furniture and furnishings (parts of 31 and 32),Gambling (91),Garments,Gasoline and other energy goods,"Glassware, tableware, and household utensils (34)",Goods,Gross output of nonprofit institutions (133),Ground transportation (63),Group housing (23),Health care,Higher education (97),Hospital and nursing home services,Hospitals (51),Household appliances (part of 33),Household consumption expenditures (for services),"Household maintenance (parts of 31, 33, and 36)",Household supplies (parts of 32 and 36),Household utilities,Housing,Housing and utilities,Imputed rental of owner-occupied nonfarm housing (21),Insurance,Internet access (72),Jewelry and watches (part of 119),Less: Expenditures in the United States by nonresidents (130),Less: Receipts from sales of goods and services by nonprofit institutions (134),Life insurance (110),Luggage and similar personal items (part of 119),"Magazines, newspapers, and stationery (part of 90)","Membership clubs, sports centers, parks, theaters, and museums (82)",Men's and boys' clothing (11),"Motor vehicle fuels, lubricants, and fluids (59)",Motor vehicle maintenance and repair (60),Motor vehicle parts and accessories (58),Motor vehicle services,Motor vehicles and parts,Musical instruments (part of 80),Natural gas (28),Net health insurance (112),Net household insurance (111),Net motor vehicle and other transportation insurance (116),Net purchases of used motor vehicles (56),New motor vehicles (55),Nondurable goods,"Nursery, elementary, and secondary schools (98)",Nursing homes (52),Other clothing materials and footwear (13 and 17),Other durable goods,Other motor vehicle services (61),Other nondurable goods,"Other recreational services (81, 94, and part of 92)",Other services,Outpatient services,Paramedical services (46),Personal care and clothing services (14 and parts of 17 and 118),Personal care products (part of 118),Personal consumption expenditures,Pharmaceutical and other medical products (40 and 41),Physician services (44),Postal and delivery services (68),Professional and other services (121),Public transportation,Purchased meals and beverages (102),Recreation services,Recreational books (part of 90),Recreational goods and vehicles,"Recreational items (parts of 80, 92, and 93)",Rental of tenant-occupied nonfarm housing (20),Rental value of farm dwellings (22),Services,Social services and religious activities (120),"Sporting equipment, supplies, guns, and ammunition (part of 80)",Sports and recreational vehicles (79),Telecommunication services (71),Telephone and related communication equipment,Therapeutic appliances and equipment (42),Tobacco (127),Tools and equipment for house and garden (35),Transportation services,"Video, audio, photographic, and information processing equipment and media (75, 76, and part of 93)",Water supply and sanitation (25),Water transportation (65),Women's and girls' clothing (10)
1947-01-01,,,,,,9.845,,,,2.821,,,,,,,,,,29.235,,,,,,,,5.698,,,,29.213,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.646,,,,,,,,17.937,,,,4.492,,8.987,,,,,,,10.168,,,,,,,,,0.238,,,,9.491,,,,,,,,,,,,,
1947-04-01,,,,,,9.726,,,,2.88,,,,,,,,,,29.82,,,,,,,,5.869,,,,30.205,,10.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.747,,,,,,,,18.244,,,,4.47,,9.367,,,,,,,10.337,,,,,,,,,0.243,,,,9.628,,,,,,,,,,,,,
1947-07-01,,,,,,9.884,,,,2.921,,,,,,,,,,29.701,,,,,,,,6.148,,,,30.517,,10.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.436,,,,,,,,18.328,,,,4.617,,9.485,,,,,,,10.371,,,,,,,,,0.253,,,,9.608,,,,,,,,,,,,,
1947-10-01,,,,,,9.874,,,,3.11,,,,,,,,,,28.962,,,,,,,,6.45,,,,30.44,,10.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19,,,,,,,,18.088,,,,4.634,,9.498,,,,,,,10.374,,,,,,,,,0.259,,,,9.558,,,,,,,,,,,,,
1948-01-01,,,,,,9.781,,,,3.095,,,,,,,,,,29.019,,,,,,,,6.183,,,,31.135,,10.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6,,,,,,,,18.148,,,,4.622,,9.633,,,,,,,10.426,,,,,,,,,0.246,,,,9.66,,,,,,,,,,,,,
1948-04-01,,,,,,9.842,,,,3.116,,,,,,,,,,29.517,,,,,,,,6.515,,,,31.204,,10.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.227,,,,,,,,18.325,,,,4.634,,9.597,,,,,,,10.547,,,,,,,,,0.251,,,,9.812,,,,,,,,,,,,,
1948-07-01,,,,,,9.935,,,,3.168,,,,,,,,,,28.851,,,,,,,,6.639,,,,31.522,,10.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.404,,,,,,,,18.214,,,,4.654,,9.73,,,,,,,10.563,,,,,,,,,0.249,,,,9.864,,,,,,,,,,,,,
1948-10-01,,,,,,10.158,,,,3.123,,,,,,,,,,29.386,,,,,,,,6.233,,,,31.163,,10.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78,,,,,,,,18.452,,,,4.668,,9.719,,,,,,,10.647,,,,,,,,,0.236,,,,9.963,,,,,,,,,,,,,
1949-01-01,,,,,,10.173,,,,3.066,,,,,,,,,,29.419,,,,,,,,5.756,,,,30.883,,10.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05,,,,,,,,18.524,,,,4.551,,9.947,,,,,,,10.664,,,,,,,,,0.241,,,,10.026,,,,,,,,,,,,,
1949-04-01,,,,,,10.045,,,,3.332,,,,,,,,,,29.418,,,,,,,,5.903,,,,31.346,,10.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.564,,,,,,,,18.575,,,,4.529,,10.2,,,,,,,10.828,,,,,,,,,0.239,,,,10.077,,,,,,,,,,,,,
1949-07-01,,,,,,9.679,,,,3.491,,,,,,,,,,29.286,,,,,,,,6.411,,,,31.362,,10.722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.848,,,,,,,,18.413,,,,4.484,,10.307,,,,,,,10.852,,,,,,,,,0.248,,,,10.056,,,,,,,,,,,,,
1949-10-01,,,,,,10.058,,,,3.63,,,,,,,,,,29.269,,,,,,,,6.936,,,,31.731,,10.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.881,,,,,,,,18.714,,,,4.573,,10.704,,,,,,,11.011,,,,,,,,,0.26,,,,10.085,,,,,,,,,,,,,
1950-01-01,,,,,,10.041,,,,3.769,,,,,,,,,,29.925,,,,,,,,6.811,,,,31.897,,11.175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.529,,,,,,,,18.954,,,,4.591,,10.803,,,,,,,11.195,,,,,,,,,0.295,,,,10.211,,,,,,,,,,,,,
1950-04-01,,,,,,10.215,,,,3.801,,,,,,,,,,30.05,,,,,,,,6.581,,,,33.105,,11.295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.977,,,,,,,,19.174,,,,4.668,,10.906,,,,,,,11.379,,,,,,,,,0.294,,,,10.47,,,,,,,,,,,,,
1950-07-01,,,,,,10.589,,,,4.702,,,,,,,,,,30.111,,,,,,,,8.546,,,,33.747,,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25,,,,,,,,19.505,,,,4.954,,11.275,,,,,,,11.963,,,,,,,,,0.361,,,,10.632,,,,,,,,,,,,,
1950-10-01,,,,,,10.118,,,,4.12,,,,,,,,,,29.808,,,,,,,,6.884,,,,32.932,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.356,,,,,,,,19.072,,,,4.774,,10.986,,,,,,,11.603,,,,,,,,,0.315,,,,10.7,,,,,,,,,,,,,
1951-01-01,,,,,,10.331,,,,4.25,,,,,,,,,,29.971,,,,,,,,7.717,,,,34.238,,11.753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.919,,,,,,,,19.422,,,,4.882,,11.408,,,,,,,11.883,,,,,,,,,0.325,,,,10.993,,,,,,,,,,,,,
1951-04-01,,,,,,9.953,,,,3.64,,,,,,,,,,29.899,,,,,,,,6.406,,,,33.985,,11.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.17,,,,,,,,19.138,,,,4.805,,11.125,,,,,,,11.548,,,,,,,,,0.293,,,,11.068,,,,,,,,,,,,,
1951-07-01,,,,,,10.163,,,,3.574,,,,,,,,,,30.43,,,,,,,,6.534,,,,34.857,,11.279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.426,,,,,,,,19.54,,,,4.884,,11.428,,,,,,,11.682,,,,,,,,,0.303,,,,11.206,,,,,,,,,,,,,
1951-10-01,,,,,,10.306,,,,3.563,,,,,,,,,,30.228,,,,,,,,6.749,,,,35.603,,11.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.864,,,,,,,,19.769,,,,5.037,,12.05,,,,,,,11.75,,,,,,,,,0.316,,,,11.234,,,,,,,,,,,,,
1952-01-01,,,,,,10.227,,,,3.583,,,,,,,,,,30.068,,,,,,,,6.698,,,,35.462,,11.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,,,,,,,,19.606,,,,5.072,,11.818,,,,,,,11.777,,,,,,,,,0.326,,,,11.376,,,,,,,,,,,,,
1952-04-01,,,,,,10.591,,,,3.653,,,,,,,,,,30.892,,,,,,,,6.694,,,,35.867,,11.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.296,,,,,,,,20.062,,,,5.193,,11.87,,,,,,,12.008,,,,,,,,,0.331,,,,11.551,,,,,,,,,,,,,
1952-07-01,,,,,,10.912,,,,3.436,,,,,,,,,,31.313,,,,,,,,6.77,,,,36.407,,11.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.786,,,,,,,,20.415,,,,5.302,,12.047,,,,,,,12.066,,,,,,,,,0.336,,,,11.703,,,,,,,,,,,,,
1952-10-01,,,,,,11.15,,,,4.029,,,,,,,,,,31.553,,,,,,,,7.133,,,,36.846,,12.142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.714,,,,,,,,20.714,,,,5.487,,12.366,,,,,,,12.491,,,,,,,,,0.354,,,,11.868,,,,,,,,,,,,,
1953-01-01,,,,,,10.762,,,,4.164,,,,,,,,,,32.219,,,,,,,,6.97,,,,36.977,,12.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.598,,,,,,,,20.843,,,,5.494,,12.584,,,,,,,12.638,,,,,,,,,0.371,,,,11.985,,,,,,,,,,,,,
1953-04-01,,,,,,11.024,,,,4.14,,,,,,,,,,32.257,,,,,,,,7.053,,,,36.854,,12.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.362,,,,,,,,20.938,,,,5.438,,12.527,,,,,,,12.714,,,,,,,,,0.371,,,,12.127,,,,,,,,,,,,,
1953-07-01,,,,,,10.814,,,,4.114,,,,,,,,,,32.029,,,,,,,,7.041,,,,37.265,,12.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.256,,,,,,,,20.746,,,,5.373,,12.339,,,,,,,12.684,,,,,,,,,0.37,,,,12.2,,,,,,,,,,,,,
1953-10-01,,,,,,10.662,,,,3.999,,,,,,,,,,32.036,,,,,,,,7.059,,,,37.18,,12.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.511,,,,,,,,20.777,,,,5.335,,12.647,,,,,,,12.599,,,,,,,,,0.371,,,,12.108,,,,,,,,,,,,,
1954-01-01,,,,,,10.787,,,,3.875,,,,,,,,,,32.592,,,,,,,,6.915,,,,37.387,,12.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.906,,,,,,,,20.978,,,,5.258,,12.52,,,,,,,12.645,,,,,,,,,0.378,,,,12.221,,,,,,,,,,,,,
1954-04-01,,,,,,10.787,,,,4.062,,,,,,,,,,32.488,,,,,,,,6.901,,,,37.495,,12.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.882,,,,,,,,20.922,,,,5.498,,12.425,,,,,,,12.809,,,,,,,,,0.389,,,,12.431,,,,,,,,,,,,,
1954-07-01,,,,,,10.745,,,,4.08,,,,,,,,,,33.194,,,,,,,,7.002,,,,38.265,,12.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.546,,,,,,,,21.186,,,,5.8,,12.454,,,,,,,12.983,,,,,,,,,0.406,,,,12.646,,,,,,,,,,,,,
1954-10-01,,,,,,10.984,,,,4.331,,,,,,,,,,33.734,,,,,,,,7.305,,,,39.273,,12.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.506,,,,,,,,21.543,,,,5.918,,12.537,,,,,,,13.255,,,,,,,,,0.422,,,,12.799,,,,,,,,,,,,,
1955-01-01,,,,,,11.111,,,,4.72,,,,,,,,,,33.937,,,,,,,,7.707,,,,39.91,,13.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.381,,,,,,,,21.766,,,,5.758,,12.755,,,,,,,13.553,,,,,,,,,0.432,,,,12.948,,,,,,,,,,,,,
1955-04-01,,,,,,11.416,,,,4.976,,,,,,,,,,34.457,,,,,,,,7.805,,,,40.886,,13.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.607,,,,,,,,22.168,,,,5.978,,12.919,,,,,,,13.812,,,,,,,,,0.445,,,,13.043,,,,,,,,,,,,,
1955-07-01,,,,,,11.322,,,,5.137,,,,,,,,,,34.733,,,,,,,,8.095,,,,41.312,,13.683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09,,,,,,,,22.317,,,,6.004,,13.154,,,,,,,13.983,,,,,,,,,0.457,,,,13.176,,,,,,,,,,,,,
1955-10-01,,,,,,11.563,,,,5.001,,,,,,,,,,35.255,,,,,,,,8.086,,,,42.439,,13.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.101,,,,,,,,22.77,,,,6.221,,13.53,,,,,,,14.158,,,,,,,,,0.465,,,,13.439,,,,,,,,,,,,,
1956-01-01,,,,,,11.568,,,,4.773,,,,,,,,,,35.792,,,,,,,,8.19,,,,42.86,,13.719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.625,,,,,,,,23.027,,,,6.109,,13.721,,,,,,,14.181,,,,,,,,,0.465,,,,13.568,,,,,,,,,,,,,
1956-04-01,,,,,,11.611,,,,4.779,,,,,,,,,,35.628,,,,,,,,8.446,,,,42.945,,13.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.198,,,,,,,,22.97,,,,6.194,,13.628,,,,,,,14.229,,,,,,,,,0.476,,,,13.698,,,,,,,,,,,,,
1956-07-01,,,,,,11.719,,,,4.695,,,,,,,,,,35.637,,,,,,,,8.29,,,,42.42,,13.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.827,,,,,,,,22.985,,,,6.324,,13.631,,,,,,,14.261,,,,,,,,,0.476,,,,13.843,,,,,,,,,,,,,
1956-10-01,,,,,,11.704,,,,4.846,,,,,,,,,,35.924,,,,,,,,8.312,,,,43.356,,13.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.611,,,,,,,,23.169,,,,6.448,,13.761,,,,,,,14.457,,,,,,,,,0.48,,,,14.024,,,,,,,,,,,,,
1957-01-01,,,,,,11.558,,,,4.935,,,,,,,,,,36.188,,,,,,,,8.232,,,,43.955,,13.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.398,,,,,,,,23.309,,,,6.277,,14.013,,,,,,,14.558,,,,,,,,,0.47,,,,14.079,,,,,,,,,,,,,
1957-04-01,,,,,,11.509,,,,4.818,,,,,,,,,,36.533,,,,,,,,8.218,,,,43.429,,13.916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.888,,,,,,,,23.397,,,,6.117,,14.121,,,,,,,14.583,,,,,,,,,0.46,,,,14.2,,,,,,,,,,,,,
1957-07-01,,,,,,11.754,,,,4.785,,,,,,,,,,36.877,,,,,,,,8.173,,,,44.277,,14.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.531,,,,,,,,23.722,,,,6.471,,14.315,,,,,,,14.699,,,,,,,,,0.467,,,,14.303,,,,,,,,,,,,,
1957-10-01,,,,,,11.454,,,,4.729,,,,,,,,,,36.788,,,,,,,,7.982,,,,44.17,,13.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56,,,,,,,,23.567,,,,6.42,,14.317,,,,,,,14.705,,,,,,,,,0.455,,,,14.458,,,,,,,,,,,,,
1958-01-01,,,,,,11.342,,,,4.415,,,,,,,,,,36.506,,,,,,,,7.983,,,,44.42,,13.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.75,,,,,,,,23.355,,,,6.303,,14.018,,,,,,,14.501,,,,,,,,,0.457,,,,14.438,,,,,,,,,,,,,
1958-04-01,,,,,,11.559,,,,4.347,,,,,,,,,,36.456,,,,,,,,7.85,,,,45.748,,13.631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.611,,,,,,,,23.566,,,,6.265,,14.197,,,,,,,14.621,,,,,,,,,0.447,,,,14.649,,,,,,,,,,,,,
1958-07-01,,,,,,11.819,,,,4.437,,,,,,,,,,36.793,,,,,,,,8.121,,,,46.563,,13.889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.618,,,,,,,,23.997,,,,6.432,,14.726,,,,,,,14.864,,,,,,,,,0.463,,,,14.852,,,,,,,,,,,,,
1958-10-01,,,,,,12.023,,,,4.6,,,,,,,,,,37.239,,,,,,,,8.245,,,,46.98,,14.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.248,,,,,,,,24.327,,,,6.558,,14.979,,,,,,,15.066,,,,,,,,,0.477,,,,14.953,,,,,,,,,,,,,
1959-01-01,8.083,3.117,17.083,5.623,3.732,12.068,13.904,3.374,26.925,4.85,29.231,71.027,18.663,27.987,2.488,5.094,5.147,10.863,5.819,37.919,41.552,52.521,1206.893,24.859,22.256,8.818,342.923,8.403,8.778,3.289,11.289,47.063,12.492,14.486,11.237,61.223,135.476,11.821,27.556,12.179,14.615,8.614,16.147,63.447,14.672,27.701,17.669,19.103,15.036,27.351,,8.487,4.78,17.787,49.538,10.121,45.458,15.835,13.955,33.363,27.76,7.808,16.361,11.298,9.902,64.398,15.264,26.781,32.915,12.697,13.521,24.643,56.384,2.556,16.227,6.46,2.633,15.223,3.044,20.822,10.799,3.477,39.728,8.317,15.342,5.085,13.075,64.646,41.068,15.325,23.937,8.181,20.121,0.506,3.437,23.254,83.744,15.139,6.683,2.382,4.803,3.512,0.015,6.367,169.468,2.879,16.202,0.073,24.911,0.085,10.444
1959-04-01,8.369,3.26,16.946,5.909,3.791,12.378,14.798,3.387,26.859,5.032,30.669,72.408,18.852,27.792,2.476,5.126,5.377,11.231,6.245,38.149,41.923,51.676,1186.493,25.159,22.552,8.703,334.477,8.586,8.988,3.396,11.619,47.155,12.567,14.715,10.964,60.96,132.05,11.911,28.26,12.343,14.824,8.842,16.395,65.775,15.203,27.654,17.893,19.291,15.268,27.699,,8.487,4.334,17.17,48.343,10.251,45.206,16.025,14.673,33.645,28.296,7.964,16.696,11.995,10.111,62.22,15.648,28.852,35.04,14.863,14.205,24.848,60.72,2.547,16.357,6.583,2.71,15.227,3.182,21.285,10.851,3.588,40.036,8.316,15.579,5.211,13.101,63.537,41.414,15.392,24.274,8.379,20.562,0.515,3.356,23.48,83.644,15.366,7.103,2.365,4.756,3.536,0.015,6.787,167.181,2.926,16.445,0.075,25.74,0.088,10.618
1959-07-01,8.739,3.396,17.129,5.814,3.79,12.294,15.093,3.429,26.731,5.13,31.338,72.212,19.097,28.522,2.464,4.937,5.443,11.455,6.541,38.378,42.142,51.879,1220.496,25.671,23.04,8.927,332.508,8.629,8.924,3.507,11.566,46.984,12.475,14.832,10.735,61.875,119.647,11.954,28.789,12.3,14.728,9.128,16.622,64.309,15.322,28.437,18.182,19.638,15.576,28.223,,8.584,4.813,16.662,48.17,10.237,47.034,16.198,14.607,33.486,28.85,8.654,17.042,12.471,10.137,65.208,16.082,30.606,36.648,13.49,15.059,24.943,62.409,2.683,16.066,6.611,2.788,15.438,3.355,21.32,10.954,3.755,40.072,8.408,15.741,5.343,13.191,64.45,41.781,15.698,24.796,8.435,20.481,0.516,3.434,23.774,83.723,15.573,7.321,2.369,4.734,3.58,0.015,6.741,166.148,2.997,16.786,0.075,26.806,0.096,10.567
1959-10-01,8.957,3.51,17.056,5.803,3.858,12.411,15.09,3.488,26.661,4.884,31.514,75.749,19.404,28.768,2.532,5.019,5.554,11.676,6.69,38.631,42.454,51.602,1258.895,25.94,23.299,9.171,322.891,8.674,8.948,3.598,11.692,46.982,12.497,14.711,10.738,61.623,115.033,11.922,29.101,12.088,14.397,9.217,16.812,63.999,15.533,28.792,18.446,19.915,15.842,28.708,,8.735,4.77,16.427,48.652,10.346,45.85,16.427,14.758,33.807,29.332,8.628,17.346,10.982,10.026,65.019,16.405,32.086,37.527,15.821,12.189,25.097,62.483,2.894,16.129,6.723,2.862,15.525,3.479,21.538,11.041,3.903,40.505,8.51,15.759,5.401,13.257,66.462,42.085,15.743,25.082,8.536,21.387,0.518,3.465,24.031,84.559,15.762,7.427,2.388,4.706,3.633,0.016,6.826,169.988,3.057,16.993,0.074,27.785,0.097,10.684
1960-01-01,9.148,3.455,16.952,6.137,3.921,12.448,15.031,3.528,26.781,5.041,31.97,74.838,19.972,29.478,2.695,4.646,5.412,11.665,6.735,38.498,42.361,50.182,1194.252,25.452,22.914,9.855,330.732,8.529,8.925,3.669,11.728,47.381,12.07,14.859,11.225,62.136,114.507,12.085,28.76,12.308,14.399,8.855,16.936,64.017,15.568,29.498,18.656,20.189,16.045,29.354,,8.519,4.788,17.015,50.628,10.337,45.706,16.569,14.797,33.959,29.524,8.728,17.468,12.128,10.059,66.158,16.649,33.352,37.494,11.489,14.873,25.16,66.659,3.853,16.195,6.612,2.893,15.722,3.525,21.756,11.15,4.037,40.371,8.837,15.91,5.591,13.34,65.103,42.485,15.801,24.625,8.734,21.239,0.511,3.52,24.242,85.218,15.904,7.349,2.394,4.448,3.693,0.016,6.71,170.258,3.044,17.089,0.074,28.439,0.093,10.716
1960-04-01,9.118,3.447,17.202,6.228,4.039,12.534,15.061,3.582,27.186,5.156,32.324,77.295,20.104,29.742,2.786,4.796,5.504,11.808,6.787,38.738,42.671,50.589,1084.19,25.864,23.259,10.305,318.773,8.605,8.935,3.684,11.803,48.492,12.134,15.067,11.484,61.632,115.616,12.172,29.751,12.143,14.016,9.054,17.113,65.235,15.916,29.777,18.84,20.389,16.226,29.698,,8.594,4.754,17.322,52.334,10.646,47.569,16.76,14.734,35.466,29.78,8.957,17.602,12.588,10.248,66.998,16.605,34.461,36.973,15.062,14.843,25.435,65.519,4.484,16.36,6.726,2.894,16.015,3.504,22.006,11.401,4.134,39.838,9.191,16.111,5.679,13.668,65.074,43.291,15.689,25.037,8.832,21.935,0.518,3.661,24.444,85.134,16.08,7.289,2.492,4.245,3.759,0.016,6.817,168.928,3.136,17.125,0.075,28.796,0.088,10.847
1960-07-01,9.174,3.658,17.194,6.312,4.049,12.331,15.0,3.647,27.449,5.115,32.739,75.258,20.014,29.656,2.823,4.763,5.467,11.832,6.741,38.506,42.376,50.893,1087.889,25.491,22.951,9.91,314.892,8.346,8.619,3.713,11.583,47.653,12.153,14.97,11.285,59.966,119.983,11.856,30.726,11.732,13.406,8.72,17.085,65.397,16.023,29.741,19.076,20.597,16.439,30.011,,8.517,5.045,16.757,53.763,10.408,46.534,16.74,14.243,34.812,30.11,8.911,17.776,12.822,9.908,66.971,16.483,35.462,36.803,14.346,15.358,25.286,65.083,4.83,16.255,6.619,2.896,16.197,3.495,21.848,11.171,4.202,39.904,9.359,16.046,5.814,13.139,67.769,41.656,15.536,24.643,8.866,21.305,0.503,3.698,24.814,83.764,16.06,7.194,2.482,4.067,3.814,0.016,6.69,172.581,3.126,17.168,0.072,29.054,0.085,10.735
1960-10-01,9.136,3.69,17.255,6.43,4.066,12.284,14.935,3.709,27.879,4.987,33.15,75.905,20.329,30.349,2.802,4.623,5.411,11.756,6.754,38.429,42.3,51.134,1038.903,25.532,22.98,9.755,319.534,8.306,8.597,3.721,11.618,47.66,12.143,14.88,11.442,59.087,118.977,12.103,31.3,11.991,13.601,8.608,17.26,65.268,16.381,30.365,19.374,20.938,16.734,29.915,,8.358,4.923,17.179,53.764,10.494,46.687,16.859,14.335,34.663,30.382,8.984,17.932,12.109,9.934,69.312,16.224,36.388,36.794,14.906,14.072,25.304,65.941,5.317,15.768,6.61,2.915,16.384,3.52,22.036,11.394,4.298,40.028,9.67,16.067,6.035,13.412,68.576,42.759,15.384,24.677,8.952,21.394,0.507,3.795,25.21,82.374,16.215,7.126,2.55,4.132,3.882,0.016,6.836,170.831,3.142,17.203,0.072,29.25,0.083,10.746
1961-01-01,9.14,3.53,17.33,6.501,4.211,12.395,14.61,3.764,28.135,4.713,33.006,78.047,20.428,30.124,2.744,5.875,6.026,12.292,6.877,38.75,42.68,52.186,1041.454,25.746,23.162,9.955,303.806,8.295,8.466,3.777,11.721,47.079,12.121,14.739,11.384,58.768,120.082,12.231,30.228,12.343,13.975,8.842,17.447,65.795,16.869,30.218,19.583,21.107,16.913,29.735,,8.259,4.82,17.228,52.479,10.737,45.51,17.002,14.411,34.64,30.51,9.061,18.02,10.544,10.045,67.533,16.339,37.26,37.261,15.257,11.459,25.454,69.404,5.567,15.914,6.593,2.946,16.512,3.56,22.184,11.355,4.417,40.846,9.782,16.061,6.14,13.205,68.687,41.518,15.175,24.863,9.04,22.006,0.51,3.658,25.526,82.466,16.375,7.176,2.594,3.795,3.946,0.016,6.647,174.095,3.146,17.174,0.073,29.567,0.085,10.859
1961-04-01,9.31,3.751,17.303,6.554,4.312,12.524,14.079,3.813,28.241,4.81,34.893,80.436,21.101,31.683,2.836,5.96,6.083,12.587,6.915,39.176,43.178,52.089,1097.869,25.503,22.981,9.739,314.23,8.406,8.671,3.862,11.837,48.287,11.993,14.962,11.918,57.924,118.829,12.575,33.5,12.654,14.33,8.889,17.691,62.055,17.185,31.618,19.754,21.425,17.048,30.786,,8.304,4.872,18.152,54.944,10.948,43.633,17.149,14.573,35.427,30.695,9.325,18.168,10.834,10.529,72.97,16.875,38.089,37.946,12.997,12.294,25.794,71.812,5.691,16.111,6.67,3.017,16.757,3.745,22.581,11.703,4.563,41.127,10.025,16.3,6.386,13.73,69.253,46.223,15.204,24.616,9.145,22.605,0.524,3.779,25.771,83.841,16.614,7.366,2.61,3.72,4.0,0.017,6.695,178.036,3.132,17.276,0.076,29.981,0.094,10.953
1961-07-01,9.45,3.791,17.083,6.681,4.381,12.626,13.565,3.864,28.483,4.928,34.355,82.453,21.115,31.376,2.868,5.29,5.786,12.245,6.915,39.101,43.149,52.737,1099.093,25.424,22.933,9.947,295.903,8.558,8.861,3.956,11.931,47.211,12.08,15.059,11.959,57.25,109.6,12.678,32.307,12.973,14.693,9.022,17.739,61.442,17.598,31.428,19.984,21.608,17.258,30.472,,8.277,5.063,18.146,53.008,11.401,43.94,17.186,14.747,35.044,30.96,9.696,18.372,11.161,10.849,71.157,17.232,38.872,38.087,12.994,12.72,25.814,73.692,5.832,16.249,6.804,3.11,16.973,3.908,22.657,11.647,4.729,42.284,10.259,16.379,6.614,13.459,69.224,45.103,15.102,24.513,9.243,23.117,0.539,3.896,26.052,85.576,16.665,7.588,2.66,3.84,4.063,0.017,6.96,174.538,3.183,17.36,0.079,30.48,0.097,11.013
