Date,Chained (2017) dollars,Current dollars,Personal saving as a percentage of disposable personal income
1947-01-01,10311.0,1191.0,7.4
1947-04-01,10165.0,1184.0,5.0
1947-07-01,10388.0,1233.0,7.1
1947-10-01,10195.0,1240.0,5.8
1948-01-01,10343.0,1272.0,6.9
1948-04-01,10621.0,1319.0,8.6
1948-07-01,10748.0,1356.0,10.0
1948-10-01,10758.0,1353.0,9.7
1949-01-01,10500.0,1310.0,7.8
1949-04-01,10510.0,1303.0,6.8
1949-07-01,10533.0,1299.0,7.2
1949-10-01,10545.0,1299.0,6.3
1950-01-01,11312.0,1391.0,11.5
1950-04-01,11239.0,1388.0,9.8
1950-07-01,11331.0,1429.0,6.3
1950-10-01,11349.0,1457.0,9.7
1951-01-01,11313.0,1499.0,7.6
1951-04-01,11519.0,1538.0,12.2
1951-07-01,11597.0,1551.0,12.2
1951-10-01,11522.0,1561.0,11.5
1952-01-01,11470.0,1561.0,11.2
1952-04-01,11570.0,1574.0,10.6
1952-07-01,11753.0,1609.0,11.9
1952-10-01,11950.0,1639.0,10.7
1953-01-01,12047.0,1658.0,10.6
1953-04-01,12159.0,1676.0,11.2
1953-07-01,12045.0,1670.0,10.9
1953-10-01,11949.0,1663.0,11.2
1954-01-01,11958.0,1673.0,11.3
1954-04-01,11921.0,1666.0,10.3
1954-07-01,11992.0,1670.0,9.9
1954-10-01,12163.0,1692.0,9.9
1955-01-01,12309.0,1718.0,9.3
1955-04-01,12531.0,1751.0,9.5
1955-07-01,12705.0,1782.0,10.0
1955-10-01,12791.0,1799.0,9.9
1956-01-01,12866.0,1817.0,10.6
1956-04-01,12936.0,1839.0,11.1
1956-07-01,12942.0,1858.0,11.3
1956-10-01,13077.0,1888.0,11.5
1957-01-01,13060.0,1903.0,11.1
1957-04-01,13098.0,1920.0,11.6
1957-07-01,13106.0,1937.0,11.4
1957-10-01,12959.0,1925.0,10.7
1958-01-01,12797.0,1925.0,11.2
1958-04-01,12836.0,1934.0,11.1
1958-07-01,13062.0,1970.0,11.6
1958-10-01,13201.0,1990.0,11.8
1959-01-01,13221.0,2006.0,10.7
1959-04-01,13382.0,2039.0,10.8
1959-07-01,13307.0,2040.0,9.7
1959-10-01,13343.0,2057.0,10.2
1960-01-01,13418.0,2071.0,10.3
1960-04-01,13424.0,2083.0,9.7
1960-07-01,13382.0,2084.0,10.2
1960-10-01,13324.0,2084.0,10.0
1961-01-01,13405.0,2101.0,10.9
1961-04-01,13556.0,2124.0,10.9
1961-07-01,13679.0,2151.0,11.7
1961-10-01,13886.0,2186.0,11.6
1962-01-01,13973.0,2209.0,11.6
1962-04-01,14075.0,2233.0,11.4
1962-07-01,14096.0,2242.0,11.1
1962-10-01,14164.0,2260.0,10.7
1963-01-01,14240.0,2279.0,10.8
1963-04-01,14325.0,2296.0,10.7
1963-07-01,14426.0,2323.0,10.4
1963-10-01,14605.0,2361.0,11.1
1964-01-01,14844.0,2411.0,11.1
1964-04-01,15196.0,2474.0,11.9
1964-07-01,15339.0,2505.0,11.4
1964-10-01,15459.0,2533.0,12.1
1965-01-01,15598.0,2564.0,11.2
1965-04-01,15731.0,2599.0,11.2
1965-07-01,16107.0,2671.0,12.0
1965-10-01,16378.0,2724.0,11.4
1966-01-01,16499.0,2765.0,11.0
1966-04-01,16500.0,2788.0,11.0
1966-07-01,16650.0,2835.0,11.0
1966-10-01,16794.0,2882.0,11.7
1967-01-01,17005.0,2926.0,12.5
1967-04-01,17098.0,2956.0,11.9
1967-07-01,17212.0,3004.0,12.4
1967-10-01,17289.0,3043.0,12.5
1968-01-01,17540.0,3120.0,11.9
1968-04-01,17788.0,3196.0,12.0
1968-07-01,17797.0,3231.0,10.6
1968-10-01,17886.0,3283.0,10.9
1969-01-01,17894.0,3316.0,10.1
1969-04-01,18028.0,3384.0,10.3
1969-07-01,18344.0,3485.0,11.7
1969-10-01,18430.0,3542.0,11.6
1970-01-01,18577.0,3612.0,12.0
1970-04-01,18748.0,3686.0,12.6
1970-07-01,18983.0,3768.0,13.3
1970-10-01,18872.0,3795.0,13.3
1971-01-01,19190.0,3895.0,13.4
1971-04-01,19413.0,3985.0,13.8
1971-07-01,19455.0,4033.0,13.6
1971-10-01,19621.0,4092.0,13.1
1972-01-01,19664.0,4144.0,12.4
1972-04-01,19821.0,4202.0,11.6
1972-07-01,20154.0,4310.0,12.0
1972-10-01,20907.0,4507.0,13.4
1973-01-01,21020.0,4587.0,12.6
1973-04-01,21150.0,4704.0,13.3
1973-07-01,21193.0,4800.0,13.4
1973-10-01,21373.0,4940.0,14.5
1974-01-01,20975.0,4992.0,14.0
1974-04-01,20735.0,5075.0,12.9
1974-07-01,20701.0,5203.0,12.6
1974-10-01,20620.0,5314.0,13.7
1975-01-01,20548.0,5394.0,12.8
1975-04-01,21447.0,5698.0,15.3
1975-07-01,21073.0,5704.0,12.9
1975-10-01,21182.0,5830.0,12.7
1976-01-01,21392.0,5953.0,12.1
1976-04-01,21468.0,6024.0,11.8
1976-07-01,21580.0,6148.0,11.6
1976-10-01,21659.0,6268.0,11.0
1977-01-01,21658.0,6380.0,10.1
1977-04-01,21809.0,6535.0,10.5
1977-07-01,22050.0,6706.0,10.8
1977-10-01,22408.0,6912.0,11.2
