Date,Agriculture,Air,Disability,Economic affairs,Education,Elementary and secondary,Energy,Executive and legislative,Federal,Fire,General economic and labor affairs,General public service,Government,Gross expenditures,Health,Health (net),Higher,Highways,Housing and community services,Income security,Interest payments,Law courts,Less: Sales to other sectors,Libraries,Libraries and other,National defense,Natural resources,Other,Other economic affairs,Police,Postal service,Prisons,Public order and safety,Recreation and culture,Retirement,Space,State and local,Tax collection and financial management,Transit and railroad,Transportation,Unemployment,Water,Welfare and social services
1996-01-01,11397.333333333334,6147.0,53758.333333333336,105715.66666666667,257478.66666666666,191987.0,9303.5,28103.333333333332,1715729.0,13600.0,17765.333333333332,402100.3333333333,2621763.0,277137.0,381660.0,190410.0,45191.0,40299.333333333336,23474.666666666668,396353.0,319576.0,18033.666666666668,86727.0,5479.0,26897.5,292911.0,11376.0,20834.0,46751.666666666664,39749.0,0.0,27937.666666666668,99320.66666666667,10700.0,309571.0,13467.0,1087491.0,21144.0,1532.0,49986.0,24345.5,6085.0,100472.66666666667
1997-01-01,12525.333333333334,8099.0,55632.666666666664,110993.33333333333,270599.3333333333,202319.66666666666,8967.0,27376.0,1759350.0,14193.333333333334,18461.666666666668,409070.3333333333,2699874.0,283384.0,399753.5,193363.0,47432.666666666664,41932.666666666664,23259.666666666668,405926.0,323540.6666666667,19239.666666666668,90021.0,5865.0,27659.0,293465.0,11605.666666666666,21898.0,48583.0,42905.666666666664,0.0,28737.666666666668,105075.66666666667,11106.0,322682.0,14303.0,1128665.0,22686.666666666668,1539.3333333333333,52875.333333333336,22123.5,6006.0,99845.66666666667
1998-01-01,15581.666666666666,7768.0,56671.0,114389.66666666667,288370.6666666667,215347.66666666666,7401.5,28329.0,1788439.0,15083.666666666666,18442.666666666668,409223.0,2767354.0,294544.0,404862.0,200945.0,52187.666666666664,43684.0,23812.0,420445.6666666667,319525.3333333333,21625.666666666668,93599.0,6174.0,28421.5,289781.0,13609.333333333334,23484.8,52580.333333333336,46741.0,-17.0,30351.333333333332,113801.33333333333,11715.666666666666,336037.0,12338.0,1179713.0,22644.666666666668,1081.3333333333333,53584.0,21729.0,5460.0,102448.0
1999-01-01,22933.0,7858.0,59492.333333333336,127477.33333333333,307930.6666666667,230674.0,8832.0,28627.0,1836827.0,16147.333333333334,19943.0,405320.3333333333,2879452.0,317313.0,420120.0,220464.0,55020.666666666664,46935.0,24142.333333333332,436730.6666666667,310415.3333333333,23660.333333333332,96850.0,6617.0,30479.5,302109.5,13739.0,25758.5,62523.666666666664,50422.0,-23.0,33535.666666666664,123765.66666666667,12344.0,342955.0,12074.0,1261779.0,24638.0,880.6666666666666,56905.0,22647.5,5775.5,107142.33333333333
2000-01-01,24576.666666666668,7889.0,63088.333333333336,136784.0,331731.6666666667,248558.66666666666,7749.5,30164.333333333332,1908092.0,17547.0,22850.666666666668,408270.3333333333,3019944.0,341741.0,446208.0,237602.0,58827.666666666664,49886.0,22953.666666666668,459848.3333333333,309874.6666666667,25638.666666666668,104139.0,7124.0,33370.5,309753.0,15625.666666666666,27725.3,68242.33333333333,54624.333333333336,-6.0,36806.0,134616.66666666666,13619.0,361840.0,12575.0,1344959.0,23783.0,948.0,60158.0,22381.0,6097.5,112267.0
2001-01-01,24946.333333333332,13950.0,68424.33333333333,150674.0,357730.3333333333,264970.3333333333,10008.0,31243.0,2017329.0,18672.0,23025.0,413469.0,3229168.0,382806.0,503537.0,266501.0,65517.0,52685.666666666664,24524.0,490883.3333333333,306544.6666666667,27898.0,116305.0,7620.0,36903.0,326158.5,16840.666666666668,28915.4,74836.33333333333,58948.0,-9.0,40182.666666666664,145700.33333333334,14919.333333333334,381201.0,13040.0,1473097.0,27286.0,949.3333333333334,67144.0,34035.5,6313.0,119831.0
2002-01-01,18775.666666666668,13439.0,76178.0,148946.33333333334,371759.0,279263.6666666667,7745.666666666667,35774.666666666664,2138700.0,20254.666666666668,25703.666666666668,415979.6666666667,3419767.0,416768.0,546613.5,295880.0,63933.0,55102.333333333336,27861.666666666668,538073.3333333334,301482.3333333333,28913.666666666668,120888.0,8002.0,38706.5,359143.0,18612.0,31537.6,70833.0,63611.0,-41.0,41854.0,154633.33333333334,16360.333333333334,397480.0,12431.0,1569770.0,27350.0,1414.0,69826.0,55662.0,6525.0,129298.66666666667
2003-01-01,20925.666666666668,18210.5,82521.66666666667,157501.33333333334,387504.0,295658.0,8807.0,42969.0,2293495.0,21223.666666666668,25124.333333333332,438734.0,3624035.0,437949.0,585982.0,312949.0,61856.333333333336,56667.333333333336,29530.0,564184.0,317056.6666666667,28418.333333333332,125001.0,8321.0,40840.5,411869.5,17994.666666666668,31838.8,72944.66666666667,67115.0,-41.0,42830.0,159587.0,16666.666666666668,409755.0,13289.0,1652245.0,26610.666666666668,1318.6666666666667,75697.66666666667,55174.5,8356.0,142239.66666666666
2004-01-01,18421.0,14987.0,89375.0,160987.33333333334,409973.6666666667,311950.3333333333,9550.666666666666,46323.666666666664,2421571.0,22475.666666666668,26840.666666666668,447652.0,3817442.0,473305.0,637895.5,342225.0,66171.66666666667,59364.0,30582.0,581160.0,320438.0,29507.0,131080.0,8920.0,43725.5,449359.5,19663.0,36695.1,74664.66666666667,72226.66666666667,-36.0,44732.666666666664,168942.0,17525.0,425006.0,14598.0,1728188.0,27114.666666666668,1464.0,76590.66666666667,39641.0,8657.0,139596.33333333334
2005-01-01,25877.333333333332,15339.0,96022.66666666667,174101.0,430637.6666666667,327348.0,8196.666666666666,51452.0,2598463.0,23965.333333333332,27286.333333333332,486949.0,4075265.0,497058.0,684639.5,364598.0,69242.0,64477.666666666664,33537.666666666664,612187.6666666666,347678.0,31002.666666666668,132460.0,9359.0,46771.0,478582.0,20347.0,41063.3,81879.33333333333,76400.66666666667,-30.0,46935.666666666664,178304.33333333334,18615.666666666668,445561.0,14690.0,1820311.0,27769.666666666668,1544.0,82428.0,33612.5,9271.0,147887.66666666666
2006-01-01,21660.0,16286.0,102033.0,178015.66666666666,455067.0,345919.3333333333,8825.0,53321.666666666664,2760722.0,26007.333333333332,28362.333333333332,521998.6666666667,4320062.0,502298.0,750559.5,361131.0,73710.0,69409.33333333333,32683.0,641652.3333333334,373912.3333333333,32354.0,141167.0,9843.0,48250.0,502064.0,21091.0,44676.9,79969.0,80759.66666666667,-42.0,49781.666666666664,188902.66666666666,19934.666666666668,471393.0,14710.0,1900356.0,28377.333333333332,1418.6666666666667,88239.66666666667,32478.0,9831.0,150103.33333333334
