Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1983-10-01,17949.0,782851.0,942785.3333333334,35895.0,3770775.0,1438110.0,3794706.0,3758811.0,3640070.0,3691623.0,154636.0,655259.0,103083.0,1958527.0,398069.0
1984-01-01,54736.5,810215.0,950279.3333333334,37918.0,3835072.0,1498401.0,3908054.0,3870136.0,3748728.0,3801871.0,159326.0,688187.0,106183.0,1993287.0,416366.0
1984-04-01,51990.75,829154.0,973920.0,40716.0,3940279.0,1530201.0,4009601.0,3968885.0,3856940.0,3899991.0,152661.0,701047.0,109610.0,2045561.0,433839.0
1984-07-01,53503.5,841673.0,986377.6666666666,44506.0,4012911.0,1550904.0,4084250.0,4039744.0,3927910.0,3971095.0,156340.0,709232.0,113155.0,2090458.0,442887.0
1984-10-01,35984.25,873654.0,1012056.0,47611.0,4100572.0,1566063.0,4148551.0,4100940.0,3973630.0,4031720.0,174921.0,692409.0,116831.0,2133379.0,449109.0
1985-01-01,12172.5,855280.0,1038726.6666666666,45664.0,4213938.0,1574320.0,4230168.0,4184503.0,4059065.0,4109409.0,171102.0,719039.0,120759.0,2194920.0,460928.0
1985-04-01,16234.5,877327.0,1043983.0,47354.0,4273241.0,1587620.0,4294887.0,4247533.0,4115513.0,4170880.0,179374.0,710293.0,124007.0,2239122.0,468145.0
1985-07-01,12227.25,886086.0,1065629.3333333333,43804.0,4370470.0,1614747.0,4386773.0,4342969.0,4195128.0,4260139.0,191645.0,728661.0,126633.0,2299774.0,472251.0
1985-10-01,24839.25,891350.0,1061934.0,45068.0,4410975.0,1626020.0,4444094.0,4399026.0,4257053.0,4315207.0,187041.0,734670.0,128887.0,2336781.0,481293.0
1986-01-01,22797.75,894585.0,1070982.6666666667,44709.0,4477496.0,1636871.0,4507894.0,4463185.0,4328188.0,4377928.0,179706.0,742286.0,129966.0,2377781.0,493242.0
1986-04-01,11747.25,901369.0,1079357.6666666667,46030.0,4529677.0,1634700.0,4545340.0,4499309.0,4359069.0,4414411.0,186271.0,733331.0,130929.0,2418149.0,492491.0
1986-07-01,-5264.25,922516.0,1109935.3333333333,44952.0,4614688.0,1657884.0,4607669.0,4562717.0,4414452.0,4475156.0,193217.0,735368.0,132513.0,2454351.0,495434.0
1986-10-01,-9569.25,929368.0,1120805.3333333333,46797.0,4670386.0,1668449.0,4657627.0,4610830.0,4467436.0,4523008.0,190191.0,739081.0,134619.0,2491041.0,498137.0
1987-01-01,20979.75,939104.0,1106013.3333333333,47269.0,4694182.0,1686993.0,4722156.0,4674887.0,4535408.0,4585171.0,186748.0,747889.0,136984.0,2533978.0,501184.0
1987-04-01,12393.0,965333.0,1136545.3333333333,47629.0,4789636.0,1721342.0,4806160.0,4758531.0,4620023.0,4667117.0,186137.0,756009.0,139042.0,2576992.0,507826.0
1987-07-01,762.75,976069.0,1164147.0,49168.0,4883539.0,1747237.0,4884555.0,4835388.0,4696885.0,4743476.0,187670.0,771169.0,141079.0,2619265.0,518053.0
1987-10-01,47311.5,1014276.0,1161432.6666666667,50084.0,4944912.0,1805232.0,5007994.0,4957910.0,4813009.0,4864445.0,194985.0,790956.0,143549.0,2675042.0,527721.0
1988-01-01,12717.0,1019728.0,1203304.6666666667,52200.0,5056416.0,1821913.0,5073372.0,5021172.0,4882588.0,4927936.0,190784.0,802185.0,145436.0,2732697.0,518762.0
1988-04-01,14736.0,1048090.0,1232496.0,53176.0,5170388.0,1868392.0,5190036.0,5136860.0,4985957.0,5041964.0,204079.0,820302.0,148072.0,2787735.0,533908.0
1988-07-01,13635.75,1069537.0,1251313.3333333333,54360.0,5264654.0,1895151.0,5282835.0,5228475.0,5084728.0,5132601.0,198107.0,825614.0,150234.0,2853995.0,533689.0
1988-10-01,14358.0,1102194.0,1278734.6666666667,56209.0,5380365.0,1937245.0,5399509.0,5343300.0,5188693.0,5247061.0,210815.0,835051.0,152447.0,2920913.0,541350.0
1989-01-01,36102.75,1123592.0,1297092.6666666667,54262.0,5463115.0,1993776.0,5511253.0,5456991.0,5290056.0,5356820.0,221197.0,870185.0,154432.0,2974485.0,542992.0
1989-04-01,27192.75,1131121.0,1334682.6666666667,58287.0,5576206.0,2038281.0,5612463.0,5554176.0,5400974.0,5456486.0,211489.0,907160.0,155977.0,3034210.0,539972.0
