Date,Auto output,Domestic output of new autos,Exports,Final sales,Gross government investment,Imports,Net purchases of used autos,New autos,Personal consumption expenditures,Private fixed investment,Sales of imported new autos
1947-04-01,28.6,37.0,81.7,38.1,49.0,0.0,25.6,45.8,33.0,43.6,0.0
1947-07-01,-32.5,-38.0,-21.0,-29.6,-38.1,0.0,14.899999999999999,-35.35,-27.7,-35.4,0.0
1947-10-01,100.8,100.2,-11.5,75.4,-14.2,0.0,319.54999999999995,79.85,86.6,75.7,0.0
1948-01-01,19.3,18.7,-37.3,32.1,-17.8,328533.1,152.3,39.75,44.0,23.4,885192.8
1948-04-01,-42.4,-44.0,-49.5,-34.8,56.1,419.1,-16.35,-37.15,-31.0,-43.5,212.8
1948-07-01,51.8,47.3,-17.0,22.5,-48.4,144.1,67.10000000000001,14.45,33.1,5.5,3.1
1948-10-01,52.6,43.9,19.5,32.8,11.8,32.7,55.949999999999996,22.15,39.9,14.8,-24.9
1949-01-01,1.2,4.3,-39.6,18.4,-26.2,-98.1,17.45,21.6,23.9,7.1,-6.4
1949-04-01,144.3,151.6,-48.3,140.8,71.2,-98.8,118.85000000000001,147.05,156.8,121.8,-32.2
1949-07-01,41.3,52.4,24.3,13.5,-59.1,440.9,-0.05000000000000071,16.45,16.6,6.3,-29.4
1949-10-01,-51.2,-51.3,-41.3,0.0,60.9,0.0,-17.15,3.55,0.2,1.5,-77.7
1950-01-01,91.4,96.4,-47.7,34.7,116.1,681.8,0.04999999999999982,36.55,35.8,36.6,6.0
1950-04-01,56.7,57.9,38.1,17.1,24.2,91.6,5.449999999999999,14.55,17.5,14.5,522.7
1950-07-01,68.9,60.3,135.9,116.6,-46.9,406.3,220.15,113.19999999999999,120.7,111.6,46.9
1950-10-01,-19.9,-23.3,191.1,-22.5,121.9,216.0,25.3,-25.4,-23.0,-28.9,-31.9
1951-01-01,-27.0,-24.5,87.9,-15.9,69.3,-52.7,35.7,-11.7,-16.0,-23.9,56.9
1951-04-01,-39.3,-40.8,24.5,-50.0,7.3,0.0,-18.4,-51.95,-49.7,-57.4,-53.0
1951-07-01,-46.4,-48.0,8.8,-33.8,-17.3,0.0,-7.2,-34.2,-33.4,-40.6,413.0
1951-10-01,-9.6,-10.7,-67.3,-35.0,54.7,-33.1,-3.5999999999999996,-36.0,-32.5,-41.6,159.9
1952-01-01,-32.0,-35.6,-5.6,0.7,0.1,58.6,42.7,0.5,4.6,-12.5,-17.4
1952-04-01,24.1,24.5,11.8,21.3,-16.2,279.8,31.4,20.65,24.9,13.4,0.0
1952-07-01,-56.3,-59.1,-39.2,-63.9,-9.1,171.5,-54.400000000000006,-70.0,-64.0,-66.9,161.6
1952-10-01,669.6,774.0,65.7,506.4,-12.2,52.1,190.35,606.55,507.4,675.4,64.5
1953-01-01,10.8,9.4,32.6,48.8,44.6,0.0,-25.5,35.15,44.6,67.4,87.3
1953-04-01,16.3,17.0,0.4,2.9,2.5,-47.6,-46.45,7.050000000000001,-6.3,48.1,-50.5
1953-07-01,25.5,25.5,40.0,7.6,-0.3,-65.6,-30.3,14.2,-0.4,38.1,-67.0
1953-10-01,-29.6,-29.3,-39.4,-24.3,-22.3,-64.7,-38.6,-19.15,-26.8,-14.2,2.0
1954-01-01,-36.4,-36.5,-2.1,-27.0,26.4,279.8,67.35,-23.9,-26.2,-32.5,0.0
1954-04-01,22.2,21.2,37.2,31.4,-33.0,70.0,-27.85,11.7,62.2,-35.5,49.7
1954-07-01,-1.8,0.3,-34.6,0.9,9.6,24.3,77.55,37.3,-14.8,87.9,-1.8
1954-10-01,40.8,41.2,31.7,42.8,34.0,0.0,990.55,38.25,47.5,29.7,138.8
1955-01-01,185.0,194.6,124.2,99.2,31.8,185.6,-14.350000000000001,88.19999999999999,105.2,83.4,101.8
1955-04-01,29.3,29.0,-3.7,42.0,34.9,-44.8,-28.599999999999998,41.55,46.7,29.6,21.3
1955-07-01,3.8,6.1,48.3,9.0,6.9,257.8,-3.6999999999999993,11.55,11.9,-2.3,144.7
1955-10-01,-24.9,-30.8,-37.9,-32.4,19.4,73.1,11.7,-37.15,-29.6,-42.6,106.1
1956-01-01,-53.7,-55.0,58.9,-41.5,-24.4,0.7,23.099999999999998,-41.35,-40.6,-51.0,-10.6
1956-04-01,-8.3,-5.5,-47.0,-21.5,67.1,218.2,46.65,-20.65,-18.1,-31.6,161.2
1956-07-01,-54.4,-58.6,-47.2,-17.3,-25.4,106.7,78.05000000000001,-21.2,-13.1,-27.0,-18.3
1956-10-01,119.2,152.2,107.5,38.4,-2.5,145.8,22.299999999999997,50.849999999999994,35.9,50.9,84.7
1957-01-01,41.6,39.3,-45.3,27.2,9.8,131.0,10.7,24.45,30.6,27.8,102.2
1957-04-01,-12.3,-16.6,13.4,-13.6,17.7,138.9,-23.5,-13.8,-16.3,1.6,88.1
1957-07-01,21.3,27.6,-21.3,-15.6,-14.6,152.5,-38.150000000000006,-11.7,-18.1,6.3,210.2
1957-10-01,-53.6,-58.2,19.9,10.2,6.6,84.3,-8.95,9.55,7.2,30.1,63.2
1958-01-01,-42.1,-45.4,-27.9,-58.9,11.4,8.3,13.600000000000001,-63.0,-54.2,-74.2,29.4
