Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1976-07-01,-0.04,0.42,0.53,2.175,-0.22,2.35,1.09,-0.85,0.36,0.88,6.29,0.89,1.93,1.29,-2.555,3.66,1.13,2.65,-1.35,-0.85,0.25,-1.7,-2.24,2.78,0.3,-0.425,0.88
1976-10-01,0.09,0.9,0.35,2.555,0.26,3.29,0.86,-0.26,0.36,1.53,6.33,0.38,2.39,-0.75,4.68,4.93,-0.06,3.6,13.86,14.43,0.19,14.06,13.48,3.41,0.32,7.215,2.27
1977-01-01,0.51,0.17,0.36,5.165,0.9,0.86,0.52,0.51,0.67,0.77,10.81,-0.26,0.69,3.64,-0.77,5.35,-1.82,0.66,2.79,3.68,0.36,3.72,3.05,4.58,-0.2,1.84,5.09
1977-04-01,0.65,0.7,0.11,2.47,0.06,2.37,0.73,0.64,0.5,1.0,8.63,3.15,1.67,1.14,1.97,10.06,1.07,2.41,16.24,16.85,0.58,13.88,13.08,9.06,0.04,8.425,1.07
1977-07-01,0.78,0.58,0.08,2.1149999999999998,1.92,1.7,0.38,0.15,0.23,-0.01,5.61,1.14,1.12,0.66,-0.12,-0.11,-0.22,1.68,0.43,0.59,0.32,-0.41,-0.71,-0.1,-0.02,0.295,-0.23
1977-10-01,-0.32,0.96,-0.09,3.915,1.61,2.76,0.34,0.58,0.12,-0.53,8.61,0.58,1.8,1.5,-0.505,-0.22,-0.25,2.85,-1.28,-1.1,0.34,-1.54,-1.85,0.31,0.09,-0.5499999999999999,1.83
1978-01-01,0.38,0.9,-0.37,1.25,0.68,2.39,0.23,0.38,-1.04,0.03,2.61,-0.23,1.5,-0.06,1.185,-1.31,0.14,2.68,0.03,0.92,0.31,1.04,0.26,-1.34,0.29,0.45999999999999996,-0.41
1978-04-01,2.25,1.91,-0.01,7.165,1.97,4.34,1.21,1.48,2.32,1.49,23.77,8.27,2.44,2.82,2.685,2.43,0.87,4.76,13.85,14.72,0.8,6.49,5.58,0.94,0.42,7.36,5.11
1978-07-01,0.82,1.18,0.22,1.685,1.38,2.34,0.96,2.89,0.93,0.91,9.8,5.46,1.16,0.37,-0.245,2.53,0.29,2.72,7.49,6.96,0.36,1.49,2.03,1.61,0.39,3.48,-0.71
1978-10-01,0.98,1.14,0.39,2.21,0.14,2.07,1.24,0.87,1.46,-0.03,9.22,3.66,0.93,1.54,0.34500000000000003,-0.88,0.27,2.5,2.74,3.4,0.42,-0.17,-0.93,-0.85,0.43,1.7,0.61
1979-01-01,-0.64,0.57,0.66,2.79,1.83,1.65,1.29,0.97,-0.66,0.32,6.39,-0.4,1.08,-0.46,-0.060000000000000005,-2.85,0.02,1.9,-2.72,-3.29,0.38,-2.81,-2.32,-3.17,0.25,-1.645,2.54
1979-04-01,2.63,0.65,0.22,-1.1600000000000001,-0.48,0.47,0.82,-0.14,-2.09,1.18,-0.32,1.31,-0.19,-0.15,0.325,-2.0,0.15,0.78,-0.96,-0.8,0.28,-1.98,-2.27,-3.18,0.32,-0.405,-2.26
1979-07-01,1.98,0.93,0.04,1.825,-0.09,1.96,0.79,-0.1,1.57,0.7,8.53,4.2,1.03,0.02,-0.03500000000000003,-0.78,0.14,2.25,3.04,2.74,0.45,-1.35,-1.16,-1.49,0.29,1.37,1.65
1979-10-01,1.25,1.09,-0.36,-1.205,1.5,2.03,0.46,0.17,1.36,0.55,0.82,2.77,0.94,-2.82,-0.46499999999999997,-3.48,-0.06,2.33,-0.27,-1.7,0.52,-4.47,-3.04,-4.03,0.3,-0.8499999999999999,-3.12
1980-01-01,1.13,0.22,-0.1,0.615,-0.83,1.71,0.55,-1.35,1.26,-0.48,3.23,1.42,1.49,2.2,0.05,-8.52,0.46,1.92,-5.51,-6.93,0.43,-8.38,-6.93,-8.04,0.21,-3.46,-1.83
1980-04-01,-0.95,1.42,-0.34,-5.025,-1.42,0.68,0.05,-0.82,0.75,-1.93,-11.67,-1.73,-0.74,-4.62,-3.2849999999999997,-11.19,-0.19,0.94,-16.42,-18.96,0.12,-17.3,-14.69,-9.26,0.26,-9.485000000000001,-4.6
1980-07-01,-0.93,1.98,-0.35,0.62,-1.12,2.33,0.32,-1.72,4.42,-1.13,2.08,0.61,0.34,-0.96,1.805,-1.69,-0.31,2.7,-0.21,3.38,0.3,2.86,-0.82,-0.56,0.37,1.69,0.95
1980-10-01,0.63,0.83,-0.05,1.315,0.82,0.53,1.11,-0.14,2.86,0.71,6.94,3.27,-0.3,1.63,1.14,6.74,-0.13,0.93,12.2,12.24,0.76,9.04,8.93,6.03,0.4,6.12,-0.38
1981-01-01,1.77,1.25,1.33,2.065,-0.23,2.05,2.0,1.92,-4.79,1.3,6.13,0.04,0.81,0.97,-1.9349999999999998,1.93,0.67,2.28,-0.09,-2.36,0.44,-2.36,-0.13,0.63,0.23,-1.18,1.32
1981-04-01,0.65,0.37,0.56,0.64,-0.1,1.48,0.96,0.81,2.75,-0.4,6.23,3.95,1.11,1.26,-0.385,-2.51,0.05,1.69,0.98,0.99,0.2,-3.0,-2.97,-2.11,0.2,0.4950000000000001,-1.31
1981-07-01,0.6,1.11,-0.04,1.89,0.11,2.12,0.8,1.67,0.04,-1.17,7.23,2.66,1.01,0.6,-0.4,-5.99,0.07,2.41,-3.35,-4.42,0.56,-7.07,-6.01,-4.82,0.29,-2.21,0.93
1981-10-01,0.85,2.2,0.48,-0.865,-0.26,2.54,1.06,-0.65,8.55,-1.08,7.45,8.09,0.34,-1.96,-1.61,-6.33,0.2,2.94,0.95,-0.61,0.18,-8.72,-7.14,-5.25,0.4,-0.2999999999999998,-2.01
1982-01-01,0.87,0.48,-0.31,-1.56,-1.35,1.99,0.72,-0.11,-4.32,-0.32,-6.34,-4.05,1.5,-3.18,-0.78,-2.75,-0.36,2.54,-7.74,-8.22,0.48,-4.29,-3.7,-2.43,0.55,-4.109999999999999,-0.49
1982-04-01,1.16,-1.7,-0.13,-3.0900000000000003,-1.2,-2.24,0.47,-0.28,-4.11,-0.66,-9.68,-3.98,-0.54,-0.86,-0.805,-0.93,-0.49,-2.01,-5.84,-6.26,0.38,-2.28,-1.86,-0.27,0.23,-3.13,-1.9
1982-07-01,0.25,0.26,-0.02,-1.4349999999999998,-1.33,0.43,0.37,-1.4,-4.73,0.14,-9.15,-6.65,0.18,0.21,-0.6599999999999999,1.15,-0.61,0.44,-7.03,-6.66,0.38,-0.02,-0.38,1.0,0.01,-3.33,-2.18
1982-10-01,-0.12,-0.07,0.1,-1.525,-1.99,-1.23,0.03,-0.67,-1.26,0.33,-5.71,-2.67,-1.16,-2.02,0.9450000000000001,4.67,-1.25,-1.31,1.45,3.25,0.0,5.95,4.12,4.34,-0.07,1.6249999999999998,2.17
1983-01-01,-1.74,3.28,0.08,-0.535,-2.28,3.49,0.99,-2.26,0.73,1.66,-4.74,-4.44,0.21,-2.49,1.65,10.21,-0.85,4.05,7.38,9.4,0.36,14.06,11.82,8.55,0.56,4.7,0.05
1983-04-01,-1.46,2.36,0.24,3.875,0.04,3.58,1.73,-1.06,-2.54,1.56,4.68,-4.67,1.22,2.5,1.865,8.41,-0.61,4.29,5.58,6.47,0.79,11.27,10.25,6.85,0.71,3.235,1.54
1983-07-01,2.69,2.33,0.33,4.665,1.76,2.52,1.92,-0.02,0.74,1.67,13.8,2.67,0.19,1.22,1.1,8.17,-0.64,3.46,12.25,13.14,0.66,10.59,9.58,6.5,0.94,6.57,3.7
1983-10-01,0.82,1.08,0.39,7.12,1.08,5.08,2.1,-1.71,1.32,1.4,19.44,3.16,4.0,2.92,1.22,3.96,1.08,5.74,7.42,7.91,1.05,4.81,4.26,2.55,0.66,3.955,5.11
1984-01-01,2.44,2.18,0.5,1.45,2.17,1.67,1.7,1.42,1.29,0.36,9.92,5.38,-0.51,0.42,1.03,1.7,-0.34,2.2,7.64,8.57,0.67,3.24,2.26,1.35,0.53,4.285,-1.45
1984-04-01,3.53,2.36,0.15,4.01,0.96,4.17,1.68,0.48,-0.15,0.17,14.62,4.96,1.81,0.51,0.8049999999999999,0.93,0.47,4.72,6.93,6.86,0.98,1.95,1.97,0.76,0.55,3.43,2.31
1984-07-01,0.82,2.29,-0.01,2.44,0.89,2.55,1.38,0.53,1.05,0.97,9.3,3.04,0.26,0.61,-0.11500000000000002,-0.49,0.25,3.28,2.63,1.92,0.66,-1.11,-0.4,-1.46,0.73,0.9600000000000001,0.81
1984-10-01,1.71,2.0,0.0,2.345,1.02,3.18,1.55,-0.05,-0.32,-0.08,7.23,1.01,1.18,0.19,0.175,-0.51,-0.06,3.93,1.16,1.12,0.8,0.12,0.16,-0.44,0.75,0.56,0.27
1985-01-01,2.38,-0.4,-0.25,-0.62,-0.24,-0.74,0.73,0.94,0.16,-0.37,3.43,3.92,-0.34,0.1,0.6,-0.27,-0.25,-0.33,2.86,4.16,0.57,0.22,-1.06,0.1,0.41,2.08,-0.4
1985-04-01,1.08,1.6,0.05,1.75,0.89,1.57,1.06,0.05,-1.97,-0.39,4.41,-0.08,-0.03,0.07,1.0050000000000001,-0.35,-0.12,2.03,0.56,0.69,0.54,0.83,0.64,0.04,0.46,0.345,0.89
1985-07-01,-0.37,-0.7,0.11,-1.02,-0.68,-0.8,0.69,-0.03,-1.12,-0.17,-3.43,-1.88,-0.1,-1.02,0.72,-0.14,-0.05,-0.69,-1.62,-0.27,0.47,1.81,0.26,0.02,0.11,-0.1349999999999999,0.41
1985-10-01,0.88,1.64,0.33,1.535,1.1,2.09,1.4,-0.01,-0.22,-0.31,5.6,1.08,0.46,0.65,0.7150000000000001,1.09,0.16,2.51,3.49,3.34,0.66,2.22,2.41,1.4,0.41,1.67,-0.85
1986-01-01,-1.02,0.94,0.3,-0.72,-0.68,0.92,0.9,-1.04,-0.83,0.6,-2.97,-2.33,-0.02,-0.1,0.41000000000000003,2.72,1.02,1.24,1.76,1.68,0.28,4.11,4.08,2.13,0.32,0.8399999999999999,-1.64
1986-04-01,-2.66,0.76,0.37,0.925,-0.52,1.44,0.84,-1.02,-4.09,0.87,-5.98,-8.62,0.67,-0.02,0.95,3.05,0.23,1.91,-3.78,-2.59,0.0,6.07,4.84,2.17,0.47,-1.295,0.95
1986-07-01,-1.18,-1.16,0.13,-0.41,0.55,-0.86,0.53,-0.38,-0.94,-0.69,-3.3,-2.96,0.29,-1.03,-0.29000000000000004,2.06,-0.45,-0.63,-1.05,-1.47,0.17,1.55,1.91,2.75,0.23,-0.7350000000000001,0.47
1986-10-01,-0.23,0.53,0.04,0.9,-0.12,2.2,0.56,0.47,0.39,-0.3,2.81,0.46,1.68,0.66,0.485,-0.16,-0.67,2.5,-0.32,0.77,0.22,0.32,-0.79,0.14,0.3,0.385,-0.97
1987-01-01,-1.05,2.13,-0.13,-2.56,-0.84,-1.28,0.44,-0.96,0.1,-1.76,-6.56,-1.87,-3.41,-0.36,0.61,-0.96,-0.41,-0.87,-2.1,-2.05,0.16,-0.17,-0.23,0.79,0.41,-1.025,-2.64
1987-04-01,0.4,1.08,-0.17,2.225,-0.44,0.99,0.46,0.46,-0.14,-0.99,5.83,0.94,-0.09,0.82,0.475,-0.01,-0.29,1.54,1.55,1.36,0.08,0.43,0.61,0.97,0.54,0.6799999999999999,3.07
1987-07-01,1.19,1.33,-0.15,2.0749999999999997,0.74,2.42,0.65,1.1,1.33,-0.61,8.04,3.31,1.08,1.39,-0.605,0.14,-0.25,2.98,3.68,2.3,0.24,-0.93,0.37,0.74,0.56,1.15,-0.49
1987-10-01,1.01,0.1,-0.03,-1.3599999999999999,-0.3,-0.51,0.87,-0.18,0.67,0.13,-0.36,1.53,-0.62,0.16,-0.16,0.59,-0.1,0.02,2.23,1.67,0.37,0.19,0.7,0.46,0.54,0.835,-2.09
1988-01-01,-0.87,0.18,0.28,2.2849999999999997,0.05,1.3,0.83,-0.49,-0.5,-0.85,2.28,-3.14,1.12,0.27,0.010000000000000009,-2.98,-0.33,1.65,-6.21,-5.15,0.19,-2.05,-3.07,-2.13,0.36,-2.575,2.98
1988-04-01,1.21,0.96,-0.2,1.9649999999999999,1.49,2.53,1.04,0.55,0.3,-0.66,6.63,1.66,1.57,-0.17,0.705,-0.12,-0.27,3.05,1.4,3.09,0.72,1.43,-0.27,0.54,0.52,1.545,0.03
1988-07-01,-0.35,0.61,-0.14,0.83,1.17,0.82,1.26,-0.06,-0.44,0.07,1.82,-1.1,0.22,0.44,-0.15499999999999997,-0.22,0.34,1.52,-1.17,-1.04,0.7,0.06,-0.08,-0.3,0.7,-0.515,-0.78
1988-10-01,-0.68,0.26,0.73,1.01,0.14,0.41,2.3,0.54,-0.3,0.18,4.1,-0.34,0.15,0.18,-0.15,1.29,-0.04,1.22,0.83,0.51,0.75,0.73,1.17,1.1,0.81,0.255,1.27
1989-01-01,0.54,1.03,-0.13,0.93,1.28,1.36,1.56,0.43,-0.79,0.09,4.68,1.38,0.33,2.09,-0.41500000000000004,0.24,0.61,2.45,1.41,0.19,0.59,-1.07,0.03,0.15,1.09,0.09999999999999998,-2.86
1989-04-01,-1.74,1.77,0.1,1.635,0.32,2.4,1.57,0.92,0.53,0.16,3.94,-0.85,0.63,0.83,-0.99,-1.94,-0.1,3.53,-3.21,-4.32,0.33,-3.43,-2.36,-2.1,1.14,-2.165,-0.28
1989-07-01,1.76,0.46,0.07,1.53,0.61,1.11,1.72,0.77,0.25,-0.07,7.63,2.82,0.65,1.41,0.74,-1.46,-0.4,2.32,0.99,2.4,0.43,-0.45,-1.82,-1.39,1.21,1.2049999999999998,-0.01
1989-10-01,-0.65,0.19,0.18,-2.0749999999999997,-1.11,-0.04,1.74,-0.11,-0.08,-0.79,-2.91,-0.44,-0.23,-0.61,-0.27,-1.38,0.07,0.96,-2.21,-2.68,0.57,-2.18,-1.78,-0.59,1.0,-1.3399999999999999,-2.42
1990-01-01,0.16,-0.19,0.09,0.355,-0.24,0.2,1.36,1.2,0.63,-0.23,3.87,1.84,0.39,-0.83,0.04999999999999999,1.55,-0.9,0.77,2.89,2.74,0.7,0.94,1.05,1.78,0.56,1.37,1.57
1990-04-01,-0.97,-0.71,0.01,-2.2849999999999997,-1.64,-1.01,1.15,0.18,0.2,-0.18,-3.71,-0.33,-0.3,-0.67,-0.6050000000000001,-2.56,0.09,-0.5,-3.44,-4.27,0.64,-3.97,-3.11,-2.38,0.51,-2.135,-1.2
1990-07-01,-0.31,-0.8,0.1,1.045,0.13,-0.8,0.3,-0.12,-0.1,-0.17,2.13,-0.29,0.01,-0.03,-0.65,-4.05,0.25,-1.06,-5.54,-5.63,0.46,-5.38,-5.25,-3.88,-0.26,-2.81,2.83
1990-10-01,-2.49,1.03,0.16,-1.0899999999999999,-1.16,0.77,1.28,-0.85,0.14,-0.36,-4.51,-3.63,-0.26,-0.66,-1.195,-3.86,0.44,1.58,-7.62,-9.02,0.32,-5.4,-3.99,-3.5,0.81,-4.505,-1.09
1991-01-01,-3.18,-0.45,-0.14,-2.7199999999999998,-0.56,-1.34,1.22,0.42,0.52,-0.47,-5.84,-1.65,-0.89,-3.36,-0.21000000000000002,-4.63,0.94,-1.02,-7.15,-6.36,1.04,-4.73,-5.5,-4.16,0.32,-3.1799999999999997,-0.16
1991-04-01,-1.24,0.56,-0.02,-0.475,-0.59,1.43,1.68,-0.5,-0.14,-0.91,-1.57,-2.22,0.87,-0.54,0.5650000000000001,0.62,0.61,1.8,-1.54,0.48,1.33,2.78,0.68,1.54,0.37,0.24,-1.32
1991-07-01,-2.41,1.4,0.15,1.08,0.0,1.94,0.27,-1.13,-1.54,-0.6,-2.68,-5.14,0.54,-0.66,-0.64,4.09,0.33,2.22,-0.84,-1.95,-0.17,3.16,4.3,4.69,0.28,-0.9749999999999999,0.95
1991-10-01,-1.9,1.85,0.17,-0.405,-0.66,1.53,2.09,0.36,0.24,0.0,-0.17,-1.46,-0.32,-0.13,-0.11000000000000001,1.66,0.31,2.24,0.71,0.45,1.21,1.92,2.18,1.65,0.71,0.22999999999999998,-1.5
1992-01-01,0.35,0.32,0.23,-0.595,-0.13,0.58,1.0,-0.01,-0.78,-0.3,-1.18,-0.91,0.25,-0.13,1.4949999999999999,2.12,-0.03,1.43,2.3,4.64,-0.08,5.63,3.21,2.41,0.86,2.315,-1.59
1992-04-01,0.23,2.79,0.17,4.52,0.81,3.29,1.01,-0.6,-0.22,0.72,10.15,0.1,0.49,-0.04,0.325,3.46,0.23,4.15,4.26,3.75,-0.03,3.65,4.16,2.74,0.87,1.875,4.98
1992-07-01,0.47,1.51,0.05,1.74,0.91,3.28,0.46,-0.34,0.3,-1.07,4.59,0.65,1.77,1.17,0.38,-0.56,0.11,4.1,1.38,0.75,-0.41,0.08,0.73,0.51,0.81,0.375,-1.9
1992-10-01,0.72,0.48,0.18,2.96,1.56,0.33,1.28,0.02,0.51,-0.39,8.16,0.98,-0.15,0.43,1.085,1.31,0.29,1.38,3.51,5.01,0.04,4.06,2.53,1.7,1.05,2.51,3.55
1993-01-01,0.08,1.47,0.25,1.4300000000000002,0.32,1.63,0.95,-1.99,0.26,-0.42,2.94,-0.89,0.16,1.23,-0.07500000000000001,0.49,0.52,2.11,0.4,-0.79,0.23,0.09,1.28,0.9,0.48,-0.395,-0.31
1993-04-01,0.15,0.54,0.17,3.1399999999999997,0.23,1.15,0.77,-0.52,-0.11,-0.09,5.98,-1.08,0.6,0.36,1.2400000000000002,0.04,-1.7,1.65,-0.15,0.34,0.1,1.41,0.92,0.13,0.51,0.16999999999999993,4.54
1993-07-01,-0.35,1.7,0.14,0.9400000000000001,0.51,3.47,0.43,0.47,0.21,0.34,2.48,0.18,1.77,0.26,1.3650000000000002,1.68,-0.62,4.01,2.75,4.13,-0.25,3.95,2.57,1.35,0.54,2.06,-2.39
1993-10-01,1.03,0.36,0.11,4.5,2.38,1.0,0.09,0.06,0.66,-0.08,11.28,2.13,0.64,0.96,1.06,3.31,0.79,1.43,6.56,7.97,-0.45,5.77,4.43,3.4,0.43,3.985,4.7
1994-01-01,-1.13,1.1,0.13,2.205,0.29,1.64,0.71,0.21,-0.74,0.23,3.15,-1.97,0.54,0.69,-0.43500000000000005,2.22,0.01,2.21,0.44,-0.3,0.0,1.66,2.41,1.99,0.57,-0.15000000000000002,1.82
1994-04-01,2.55,0.84,0.2,0.5,0.32,1.3,1.02,1.2,-0.1,0.58,4.71,2.67,0.46,0.53,0.585,2.61,-1.14,1.77,5.62,6.31,0.36,3.62,2.95,2.03,0.47,3.1500000000000004,-1.19
1994-07-01,-0.23,0.89,0.23,2.01,1.06,1.62,1.33,0.29,0.13,0.58,4.95,-0.4,0.72,0.4,-0.64,-0.76,-0.14,2.08,-0.96,-1.99,0.64,-1.59,-0.56,-1.34,0.46,-0.9950000000000001,0.94
1994-10-01,-0.04,2.02,0.25,4.865,1.15,3.0,0.98,0.68,0.29,0.3,11.61,0.95,0.98,0.72,-0.225,-1.29,0.11,3.34,-0.07,-0.7,0.39,-1.6,-1.01,-1.59,0.33,-0.35,4.81
1995-01-01,0.87,1.95,0.3,4.175,1.73,3.28,0.91,0.25,-0.67,0.27,11.08,1.81,1.33,0.87,0.09000000000000002,-1.74,0.61,3.6,-0.2,-0.51,0.28,-2.35,-2.01,-2.01,0.32,-0.2599999999999999,2.47
1995-04-01,0.38,2.95,0.3,-0.18,0.61,3.17,1.6,0.87,-0.44,-0.04,2.84,1.55,0.22,-0.22,0.20500000000000002,-3.1,0.36,3.71,-1.46,-1.51,0.76,-3.11,-3.02,-3.05,0.54,-0.755,-3.89
1995-07-01,-0.05,1.64,0.21,0.155,0.29,0.84,1.45,-0.08,-0.09,0.41,1.98,0.24,-0.8,-0.13,1.73,1.1,-0.4,1.54,1.79,3.94,0.53,3.72,1.55,0.69,0.7,1.97,-0.71
1995-10-01,-0.2,3.11,0.05,2.31,-0.34,3.69,1.81,-0.24,0.01,0.13,5.96,-0.49,0.58,0.32,0.345,1.99,-0.68,4.41,1.98,1.57,1.04,2.04,2.47,1.86,0.72,0.78,0.96
1996-01-01,0.11,1.8,0.44,2.08,0.96,3.29,2.41,0.6,0.19,0.27,7.87,1.24,1.49,0.29,0.7649999999999999,1.94,-0.31,4.12,3.7,4.06,1.14,2.75,2.45,1.67,0.83,2.03,-0.36
1996-04-01,1.67,1.63,0.22,2.475,0.78,2.54,1.89,-0.23,0.35,0.51,8.32,1.5,0.91,0.41,0.865,3.1,-0.45,3.46,5.04,6.16,0.76,4.67,3.54,2.59,0.92,3.08,1.17
1996-07-01,0.86,1.84,0.26,3.275,-0.33,2.83,2.16,-0.21,0.01,-0.7,9.57,0.81,0.99,0.79,0.43500000000000005,-0.45,-0.37,3.81,0.56,0.7,0.93,-0.17,-0.24,0.25,0.98,0.35,3.28
1996-10-01,1.27,1.29,-0.05,1.015,0.45,1.4,2.22,1.08,0.07,0.16,7.67,3.39,0.11,0.28,0.14499999999999996,-0.76,0.34,2.73,2.68,2.29,0.94,-1.14,-0.7,-0.92,1.34,1.1400000000000001,-0.11
1997-01-01,1.21,2.24,-0.05,1.58,-0.18,2.58,3.5,-1.06,0.66,0.43,7.15,0.43,0.34,0.72,0.495,-0.11,-0.66,5.11,0.48,1.03,1.02,0.54,0.05,-0.54,2.53,0.515,0.08
1997-04-01,-1.11,2.4,0.23,2.69,0.75,3.33,1.6,-0.35,0.19,0.23,6.42,-0.53,0.93,0.51,0.655,0.7,0.13,4.6,0.36,0.87,0.1,1.43,0.89,0.46,1.27,0.42999999999999994,0.78
1997-07-01,1.57,2.82,0.08,4.485,0.26,4.81,2.01,0.67,-0.15,-0.24,13.88,2.89,1.98,1.9,0.855,-0.45,0.62,6.33,2.62,3.97,0.41,1.07,-0.27,-0.22,1.52,1.985,2.0
1997-10-01,-0.32,1.06,0.3,-0.22999999999999998,0.11,1.36,1.98,-0.32,0.08,0.38,1.93,-0.39,0.3,0.36,0.495,0.93,0.1,2.84,0.59,1.47,0.19,1.05,0.98,0.55,1.48,0.735,-2.3
1998-01-01,0.34,3.08,-0.11,4.215,1.89,4.47,2.17,0.57,-0.57,-0.17,10.2,0.36,1.39,1.31,0.009999999999999953,1.28,0.1,5.49,1.66,1.75,1.26,2.14,1.31,1.45,1.02,0.875,0.73
1998-04-01,1.5,2.08,0.32,2.4699999999999998,-0.28,2.51,2.07,-0.07,-0.01,-0.26,10.7,3.66,0.43,0.93,1.395,1.85,1.24,3.52,5.65,7.3,0.73,3.61,1.99,2.11,1.01,3.65,1.72
1998-07-01,-0.34,1.18,0.19,1.23,-0.7,1.14,2.5,-0.24,-0.13,0.16,4.9,-0.1,-0.04,-0.11,0.46,2.44,0.27,2.52,2.58,2.93,0.93,2.99,2.68,2.28,1.39,1.465,2.1
1998-10-01,1.12,2.24,0.14,3.57,0.15,3.29,2.01,-0.09,-0.55,0.09,9.09,-0.11,1.05,-0.41,0.475,1.75,-0.76,5.0,2.0,2.42,0.16,2.48,2.1,1.67,1.71,1.21,4.08
1999-01-01,-0.19,2.76,-0.01,2.315,-0.02,3.08,2.21,-0.62,-0.44,0.19,6.76,-0.08,0.31,1.04,-0.17,0.59,1.36,4.52,0.72,0.36,0.77,0.43,0.81,0.39,1.44,0.18,0.49
1999-04-01,0.27,2.57,-0.06,2.8249999999999997,0.5,4.18,3.11,-0.72,0.26,0.11,8.2,-0.52,1.61,-0.39,0.89,-0.07,-0.41,6.37,-0.47,1.1,0.98,1.66,0.05,-0.19,2.19,0.555,1.31
1999-07-01,0.12,0.98,0.25,2.735,0.45,2.27,3.34,-0.18,-0.26,0.29,8.85,0.06,1.29,0.36,-0.15499999999999997,0.47,0.99,3.99,0.68,0.84,1.37,0.8,0.63,0.18,1.72,0.42,2.34
1999-10-01,0.04,-0.26,0.16,-0.505,0.05,-0.35,1.67,-0.35,0.39,-0.11,1.35,0.65,-0.09,0.6,-0.20499999999999996,1.33,0.46,0.67,2.23,1.44,0.49,0.75,1.58,1.44,1.02,0.72,-1.33
2000-01-01,0.22,1.15,0.29,3.63,1.55,5.04,2.75,0.3,0.23,-0.18,11.41,1.35,3.89,0.81,0.235,0.66,0.07,6.12,1.93,1.94,1.38,0.54,0.58,0.84,1.08,0.97,-0.18
2000-04-01,1.27,2.22,0.25,2.9499999999999997,0.89,3.85,1.04,0.67,0.46,0.1,9.63,2.62,1.63,0.68,0.265,-0.67,-0.06,4.55,1.78,2.21,0.09,-0.49,-0.84,-0.77,0.7,1.105,0.47
2000-07-01,0.9,0.72,-0.01,0.245,0.6,1.58,0.49,-0.1,0.24,-0.26,3.27,2.22,0.85,-0.44,0.16,-1.71,1.12,1.28,0.47,0.77,0.79,-1.52,-1.75,-1.45,-0.29,0.385,-1.24
2000-10-01,0.29,0.35,-0.09,-0.16999999999999998,-0.47,1.78,1.2,0.08,0.22,0.25,1.11,0.26,1.43,0.0,-0.295,0.07,0.27,2.73,0.14,0.36,0.34,0.11,-0.11,-0.17,0.95,0.175,-1.66
2001-01-01,-0.23,0.8,-0.23,-0.635,0.14,-0.67,0.34,0.52,0.48,0.1,-2.74,-1.82,-1.46,0.43,-0.54,0.73,-1.79,-0.27,-1.15,-1.38,0.17,0.43,0.67,0.62,0.39,-0.6900000000000001,-1.17
2001-04-01,-1.07,-1.2,-0.16,-3.095,-2.29,-3.23,-0.42,-0.47,0.19,0.03,-6.17,0.38,-2.02,-0.76,0.365,0.98,1.65,-3.86,1.47,2.0,0.37,1.56,1.09,0.95,-0.63,1.0,0.08
2001-07-01,-1.91,-1.24,0.01,-1.8450000000000002,-1.29,-2.0,-0.34,-0.33,0.28,0.02,-3.48,-1.99,-0.76,0.5,1.4449999999999998,0.25,0.01,-2.12,-1.45,1.19,-0.23,0.64,0.54,0.23,-0.12,0.5900000000000001,-0.91
2001-10-01,-1.49,0.98,0.07,-0.16499999999999998,-0.84,0.32,-1.22,-1.6,-1.1,0.14,-8.15,-3.99,-0.66,-0.8,-1.315,-1.1,0.64,-0.63,-4.62,-7.27,-0.35,-0.67,-0.63,-1.24,-0.95,-3.64,0.98
2002-01-01,-0.5,0.86,0.31,-1.56,0.23,-0.62,-0.34,-1.05,-1.49,0.15,-6.92,-3.47,-1.49,-0.37,0.94,0.93,0.28,-0.4,-2.01,0.05,-0.87,3.52,1.47,0.78,0.22,0.02499999999999991,-2.37
2002-04-01,-1.21,-0.34,0.1,-0.29,-0.8,-0.21,0.84,-0.58,-0.2,0.14,-3.22,-3.41,0.13,0.97,0.37,1.89,-1.34,0.48,-1.1,-0.7,0.05,2.78,2.31,1.76,0.69,-0.3500000000000001,-0.56
2002-07-01,-0.89,0.78,0.24,0.67,0.34,1.67,0.58,-0.59,0.54,-0.04,-0.92,-2.78,0.89,-0.07,-0.52,0.62,-1.14,2.31,-1.66,-2.51,-0.3,0.33,1.12,0.66,0.64,-1.255,-0.58
2002-10-01,-0.69,-0.28,0.16,-1.31,-0.16,-0.91,-0.4,-0.1,-0.08,-0.09,-3.8,-0.75,-0.62,-0.05,0.62,0.72,0.25,-2.04,0.1,1.35,0.58,2.13,0.84,0.81,-1.13,0.675,-1.52
2003-01-01,-0.85,0.7,0.33,0.235,-0.09,1.89,1.27,-0.14,0.31,0.14,1.41,-0.39,1.19,0.73,0.325,1.4,0.57,2.61,1.02,1.94,0.21,2.27,1.4,1.26,0.73,0.9749999999999999,-2.05
