Date,Commercial and health care,Computers and peripheral equipment,"Entertainment, literary, and artistic originals",Equipment,Industrial equipment,Information processing equipment,Intellectual property products,Manufacturing,"Mining exploration, shafts, and wells",Multifamily,Nonresidential,Nonresidential structures,Other,Other equipment,Other structures,Permanent site,Power and communication,Private fixed investment in information processing equipment and software,Private fixed investment in new structures,Private fixed investment in structures,Research and development,Residential,Residential structures,Single family,Software,Structures,Transportation equipment
1956-01-01,,,-0.35,-3.15,-1.57,-1.02,1.38,,,,-3.03,,-1.02,-0.52,,,,-1.02,,-1.59,1.73,-3.48,,,,-0.7949999999999999,-3.44
1956-04-01,,,-0.09,0.485,1.08,2.31,1.15,,,,5.03,,2.31,-1.62,,,,2.31,,2.05,1.24,-0.86,,,,1.025,-0.79
1956-07-01,,,0.13,0.99,3.7,-0.85,0.68,,,,2.74,,-0.85,1.4,,,,-0.85,,-2.46,0.55,-2.53,,,,-1.235,-2.33
1956-10-01,,,0.29,-0.18000000000000002,-1.35,0.44,0.66,,,,0.1,,0.44,-1.83,,,,0.44,,-2.15,0.37,-1.96,,,,-1.0750000000000002,2.72
1957-01-01,,,0.12,1.525,0.13,0.37,-0.25,,,,1.49,,0.37,0.78,,,,0.37,,-3.07,-0.36,-1.75,,,,-1.5350000000000001,1.43
1957-04-01,,,0.28,-0.255,-0.17,1.81,0.06,,,,-0.5,,1.81,-2.01,,,,1.81,,-2.97,-0.22,-2.91,,,,-1.4849999999999999,-0.06
1957-07-01,,,0.19,2.6550000000000002,0.41,1.75,0.36,,,,5.75,,1.75,0.34,,,,1.75,,-1.52,0.17,-1.6,,,,-0.765,2.88
1957-10-01,,,-0.04,-3.035,-1.97,-2.21,0.14,,,,-6.35,,-2.21,-0.37,,,,-2.21,,-0.58,0.19,-0.15,,,,-0.28500000000000003,-1.44
1958-01-01,,,-0.21,-7.695,-4.2,-1.24,0.18,,,,-16.3,,-1.28,-0.47,,,,-1.24,,-5.49,0.4,-4.39,,,,-2.745,-8.93
1958-04-01,0.26,,0.17,-3.2750000000000004,-2.89,-1.35,0.48,-3.03,-0.65,-0.12,-9.99,-3.22,-1.35,1.64,0.41500000000000004,-0.84,-0.01,-1.35,-4.44,-3.43,0.31,0.48,-1.23,-0.71,,-1.7200000000000002,-4.62
