Date,Consumption expenditures,Equipment,Federal,Government consumption expenditures and gross investment,Gross investment,Intellectual property products,National defense,Nondefense,Research and development,Software,State and local,Structures
1947-01-01,25.05,3.0309999999999997,22.03,16.5,5.7786,4.4166,31.676,8.754,6.745,,12.054,11.4626
1947-04-01,25.264,2.67,21.851,16.487,6.0022,4.4256,29.468,11.749,6.758799999999999,,12.221,27.592000000000002
1947-07-01,24.301,3.6906,21.576,16.485,6.9982,4.5054,30.266,9.954,6.8802,,12.499,41.843
1947-10-01,23.3642,3.6146000000000003,21.101,16.354,7.489400000000001,4.6022,30.928,7.989,7.0287999999999995,,12.694,56.52
1948-01-01,23.3782,5.3418,21.635,16.599,8.6018,4.7296,30.582,9.654,7.2256,,12.665,61.055600000000005
1948-04-01,24.540399999999998,5.4664,22.5,17.186,9.159,4.9186,29.904,12.711,7.5128,,13.012,63.3732
1948-07-01,25.2492,5.2494,23.021,17.547,9.3934,4.997999999999999,29.683,14.324,7.6364,,13.234,67.73400000000001
1948-10-01,26.188200000000002,6.2216000000000005,24.06,18.195,10.0448,5.087999999999999,30.807,15.289,7.7792,,13.548,63.858399999999996
1949-01-01,26.2748,7.277800000000001,24.491,18.679,11.0522,5.1524,31.465,15.411,7.883399999999999,,14.103,71.923
1949-04-01,27.0154,8.3802,25.371,19.492,12.2988,5.2126,31.968,16.867,7.9816,,14.893,76.5034
1949-07-01,26.179000000000002,8.624199999999998,24.948,19.597,13.1982,5.2814,31.855,16.004,8.0998,,15.505,91.5974
1949-10-01,25.3724,7.589,23.925,19.255,13.034600000000001,5.336399999999999,30.024,16.111,8.1982,,15.8,103.2476
1950-01-01,25.1548,5.5302,22.789,18.899,11.5872,5.4084,28.936,14.895,8.326,,16.187,85.853
1950-04-01,25.470999999999997,5.7448,23.361,19.246,12.2498,5.449,29.179,15.951,8.401,,16.324,99.2326
1950-07-01,23.9546,6.6502,22.693,18.936,12.7372,5.470000000000001,30.939,11.717,8.4404,,16.338,98.1312
1950-10-01,26.912200000000002,6.4992,25.508,20.274,12.737,5.5176,35.4,12.218,8.5138,,16.344,105.3134
1951-01-01,29.690199999999997,10.472,30.232,22.431,15.411399999999997,5.5085999999999995,44.321,11.051,8.497600000000002,,16.184,138.3712
1951-04-01,33.828199999999995,15.0622,36.268,25.42,18.9588,5.5842,54.132,11.979,8.6082,,16.457,178.82
1951-07-01,37.6968,20.409799999999997,42.139,28.213,22.2584,5.7194,64.513,11.714,8.8088,,16.539,198.84279999999998
1951-10-01,38.7662,26.122000000000003,45.356,29.703,25.680799999999998,5.8888,69.908,11.978,9.061200000000001,,16.515,218.67260000000002
1952-01-01,40.830799999999996,25.0104,47.218,30.585,25.6796,6.0834,72.115,13.356,9.3522,,16.559,236.936
1952-04-01,42.693200000000004,24.8246,49.077,31.626,25.793,6.2718,75.863,12.647,9.6324,,16.911,250.70520000000002
1952-07-01,43.5238,25.153,50.293,31.945,26.189999999999998,6.484399999999999,77.528,13.238,9.946200000000001,,16.454,264.07759999999996
1952-10-01,44.1518,25.4888,51.017,32.477,26.688200000000002,6.663799999999999,78.775,13.251,10.2096,,16.832,266.4248
