Date,Agricultural machinery,Aircraft,Autos,Communication equipment,Computers and peripheral equipment,Construction machinery,"Electrical equipment, n.e.c.","Electrical transmission, distribution, and industrial apparatus",Engines and turbines,Fabricated metal products,Furniture and fixtures,"General industrial, including materials handling, equipment",Industrial equipment,Information processing equipment,"Less: Sale of equipment scrap, excluding autos",Light trucks (including utility vehicles),Medical equipment and instruments,Metalworking machinery,Mining and oilfield machinery,Nonmedical instruments,Nonresidential equipment,Office and accounting equipment,Other,Other equipment,"Other trucks, buses, and truck trailers",Photocopy and related equipment,Private fixed investment in equipment,Railroad equipment,Residential equipment,Service industry machinery,Ships and boats,"Special industry machinery, n.e.c.",Transportation equipment,"Trucks, buses, and truck trailers"
1930-01-01,-6.9,-54.8,-33.4,-14.5,,-16.5,,,-11.8,-13.7,-19.5,-23.9,,,,,-17.5,-30.7,-38.3,-11.2,-20.7,-29.1,-14.0,,,,-20.6,0.8,-12.9,-19.8,26.4,-24.7,-22.4,-22.3
1931-01-01,-47.5,-43.9,-27.6,-24.3,,-36.6,,,-35.4,-18.7,-31.0,-24.6,,,,,-23.4,-35.8,-51.5,-24.1,-33.3,-27.0,-21.5,,,,-32.8,-77.2,-4.7,-17.5,-17.5,-22.1,-38.8,-26.8
1932-01-01,-46.5,-90.0,-41.0,-50.6,,-66.8,,,-53.8,-35.8,-37.1,-36.1,,,,,-36.1,-57.1,-21.1,-35.8,-41.4,-27.9,-22.7,,,,-41.1,-43.7,-27.6,-33.2,-72.8,-30.9,-45.2,-42.8
1933-01-01,-36.1,812.8,34.2,-22.1,,-38.3,,,-16.6,-15.0,-10.6,-1.9,,,,,0.0,7.4,6.7,0.5,2.3,4.7,1.3,,,,2.6,-50.4,11.7,1.2,-37.4,12.1,22.9,29.8
1934-01-01,78.1,94.6,25.1,45.0,,131.7,,,48.1,21.6,40.4,22.2,,,,,17.4,67.5,52.3,4.8,38.3,22.2,10.7,,,,37.7,359.7,23.7,18.9,41.5,7.1,50.7,61.2
1935-01-01,100.2,-47.2,49.6,43.7,,90.4,,,40.6,11.2,11.5,34.3,,,,,18.5,82.6,50.9,36.6,36.3,34.2,13.3,,,,36.0,-13.6,22.7,26.0,-57.8,22.1,31.7,32.2
1936-01-01,41.5,-10.7,26.9,28.0,,66.1,,,74.0,20.9,21.0,37.7,,,,,28.1,47.9,54.3,22.9,37.2,19.7,19.5,,,,36.8,103.6,16.9,52.6,527.7,36.2,38.7,30.5
1937-01-01,27.4,147.0,1.8,59.4,,19.9,,,41.0,13.8,21.1,9.3,,,,,63.4,23.2,-6.8,50.4,16.2,19.8,-12.3,,,,16.1,73.5,10.9,14.5,5.1,7.8,10.7,-2.7
1938-01-01,-12.5,-24.8,-40.4,-32.9,,-20.4,,,-31.2,-25.6,-14.7,-28.2,,,,,-31.3,-44.1,-37.1,-26.0,-30.4,-16.1,-13.3,,,,-30.1,-61.3,-16.1,-26.7,87.6,-25.9,-39.1,-37.9
1939-01-01,-11.0,53.4,38.4,20.5,,-5.5,,,22.6,18.1,9.4,16.7,,,,,30.4,38.8,17.0,23.5,15.4,3.3,13.2,,,,15.3,15.5,12.8,14.6,-52.7,6.6,25.7,38.8
1940-01-01,18.3,68.0,29.9,48.5,,28.0,,,10.3,23.1,18.5,11.0,,,,,-20.0,105.7,27.1,-17.8,29.6,15.5,23.6,,,,29.3,79.1,15.6,10.6,133.2,6.6,36.1,14.2
1941-01-01,44.1,-18.4,9.3,8.5,,14.5,,,-14.9,20.9,23.0,5.7,,,,,-6.3,32.4,67.6,-10.7,17.2,21.8,22.5,,,,17.3,26.1,21.6,0.2,26.2,-0.3,14.8,18.2
1942-01-01,-28.0,-84.0,-84.7,-37.3,,-34.3,,,-56.8,-7.8,-31.9,-31.2,,,,,-48.9,-7.9,-48.7,-48.7,-42.6,-25.9,-24.7,,,,-42.5,-12.1,-35.3,-24.8,3.3,-18.1,-66.2,-81.4
1943-01-01,-42.1,-100.0,-4.2,-8.7,,-29.3,,,87.3,24.7,-18.3,8.0,,,,,104.3,-5.8,-6.4,116.8,-10.2,-27.6,-11.6,,,,-11.1,-35.5,-57.5,12.6,16.6,-21.0,-10.3,19.1
1944-01-01,139.1,,-45.2,105.3,,30.1,,,86.7,18.4,5.2,64.7,,,,,4.3,-18.3,41.7,7.2,33.7,51.5,8.4,,,,33.0,29.9,-34.0,38.1,-46.1,53.8,4.1,123.9
1945-01-01,13.9,541.9,5.3,13.1,,200.3,,,112.1,21.6,38.1,42.4,,,,,173.5,23.0,73.1,166.4,43.2,33.4,18.8,,,,43.3,-4.1,61.0,38.4,56.0,45.6,61.3,140.3
1946-01-01,-21.8,242.5,597.2,-60.3,,17.6,,,-76.7,45.3,60.6,-2.9,,,,,152.2,20.3,-34.8,17.9,24.7,83.4,66.3,,,,26.1,-2.8,259.5,33.2,1.6,34.0,69.7,15.3
1947-01-01,73.4,-36.7,40.0,35.4,,10.8,50.7,48.2,155.4,29.9,15.4,18.7,34.4,30.8,228.6,,45.0,25.7,1.7,36.0,35.9,23.9,27.8,35.8,,35.0,36.2,63.4,53.1,55.2,103.2,49.3,40.8,32.7
1948-01-01,31.0,-57.4,3.5,-0.4,,18.0,-2.5,-7.0,45.4,-10.2,-8.0,-5.8,-7.5,2.9,-62.4,,-2.4,-24.0,25.1,3.9,5.2,7.8,10.1,20.1,,3.2,5.2,55.5,3.7,37.7,-56.9,-3.8,4.1,10.9
1949-01-01,-0.4,84.9,19.0,-10.6,,-29.9,-0.6,-9.9,-3.1,-19.1,-6.7,-28.6,-22.9,-10.0,46.8,,-10.3,-36.3,-25.0,-7.2,-12.5,-13.5,-11.9,-15.7,,-3.1,-12.3,3.3,-6.2,-30.8,-40.3,-22.0,-0.6,-18.7
1950-01-01,0.6,-36.3,26.6,10.9,,12.3,28.9,20.1,33.8,7.6,5.1,2.1,15.5,11.1,54.7,,9.6,43.2,15.7,14.3,10.4,9.3,5.9,6.2,,6.4,10.6,-27.8,26.0,5.6,-8.2,13.7,10.7,18.7
1951-01-01,-0.8,-1.9,-24.2,11.5,,7.4,-12.0,19.7,-28.2,19.7,20.4,10.4,12.3,10.0,7.6,,13.4,30.4,21.6,10.1,2.9,8.1,-10.2,0.6,,8.4,2.7,31.1,-7.5,-14.5,95.6,4.9,-3.9,4.4
1952-01-01,-6.5,134.1,-21.2,30.3,,12.9,-6.3,17.5,40.8,14.1,-3.2,-4.3,3.9,14.3,-20.6,,1.9,6.6,0.7,8.2,-2.9,3.3,5.1,0.7,,11.5,-2.8,-11.4,-0.5,7.0,7.3,-11.5,-17.4,-25.1
1953-01-01,-7.5,-5.9,60.5,15.3,,-10.5,-1.5,5.8,-7.5,5.5,-3.3,12.3,10.1,10.2,44.9,,-12.5,26.3,-7.9,1.6,9.1,9.2,5.2,-1.6,,25.8,9.0,-10.1,5.2,18.3,-12.7,4.8,18.9,-0.7
1954-01-01,-12.7,12.0,-4.7,-12.5,,-17.2,-11.7,4.2,44.6,6.3,11.4,-0.7,3.1,-10.3,-55.0,,4.6,9.3,-10.3,-27.1,-5.6,-3.1,-2.2,-6.7,,6.0,-5.4,-42.7,3.0,-4.2,-47.9,-12.5,-12.4,-5.3
1955-01-01,13.4,-28.8,29.8,11.1,,32.0,18.5,-1.3,-12.4,-9.8,15.4,15.6,-0.8,14.9,138.3,,21.5,-20.9,31.4,36.5,13.7,12.9,16.6,18.3,,4.0,13.6,13.3,13.9,14.1,48.7,17.2,27.2,31.9
1956-01-01,-16.7,118.3,-29.8,21.8,,18.9,11.4,12.3,-9.8,3.6,6.5,7.5,10.4,16.0,8.1,,8.9,24.8,3.5,7.8,2.6,15.0,2.1,3.3,,6.3,2.8,27.2,10.6,12.7,44.3,9.0,-10.2,-2.4
1957-01-01,-3.1,29.4,10.6,14.0,,-21.8,-0.1,6.1,25.9,13.9,-7.1,-1.4,1.3,13.8,-13.5,,-3.3,-5.8,-5.0,2.2,2.6,22.8,1.3,-5.6,,3.8,2.6,26.4,0.3,3.4,22.3,-6.4,6.9,-11.2
1958-01-01,26.2,-28.5,-26.8,-14.0,,3.0,-20.0,-16.5,-0.5,-7.1,0.5,-12.9,-16.7,-10.6,-33.4,,-12.6,-37.3,-33.9,-14.8,-14.6,-3.3,13.8,0.9,,-17.0,-14.2,-57.6,6.2,-12.3,-6.1,-11.8,-27.1,-15.7
1959-01-01,3.7,121.9,40.3,18.5,,15.2,6.3,2.9,-13.9,-10.3,3.1,4.2,1.5,9.3,73.2,,12.9,7.9,17.8,-0.8,11.9,-2.8,21.1,8.0,,32.1,11.9,12.5,15.0,1.5,-9.0,6.1,32.5,22.8
1960-01-01,-20.6,-9.9,4.1,28.4,,-20.4,8.6,9.2,-5.0,-5.3,2.8,8.3,7.8,19.4,34.7,,20.7,13.5,-9.6,0.6,3.8,-0.7,8.4,-7.6,,19.0,3.6,33.5,-6.2,0.4,-9.9,13.3,3.0,0.6
