Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Net domestic product,Net national product
2010-10-01,1.9,2.2,1.9,2.3,2.2,3.4,2.1,0.9,2.5,2.2,2.6
2011-01-01,-2.0,-1.8,-2.7,-2.5,-0.1,1.2,-0.9,-1.0,-0.7,-1.5,-1.2
2011-04-01,1.7,1.6,1.6,1.5,1.0,2.0,2.7,2.0,2.6,2.9,2.7
2011-07-01,0.7,1.2,0.4,1.0,2.0,4.0,-0.1,-0.1,0.5,-0.5,0.1
2011-10-01,4.2,4.5,4.5,4.9,1.9,2.4,4.6,4.9,4.9,5.0,5.3
2012-01-01,3.1,2.7,3.3,2.7,3.5,4.7,3.4,3.0,2.9,3.6,3.0
2012-04-01,2.5,2.0,2.4,1.8,1.3,2.1,1.8,1.5,1.3,1.6,1.0
2012-07-01,1.4,1.4,1.2,1.1,0.5,0.8,0.6,0.6,0.6,0.2,0.2
2012-10-01,0.3,0.2,-0.2,-0.3,1.4,2.7,0.5,-0.2,0.4,0.0,-0.1
2013-01-01,4.3,3.9,4.5,4.1,2.2,3.6,4.0,3.5,3.6,4.2,3.7
2013-04-01,1.3,1.6,1.0,1.3,1.3,1.7,1.1,1.5,1.4,0.7,1.1
2013-07-01,3.7,3.9,3.8,4.1,1.9,2.8,3.5,3.4,3.7,3.6,3.8
2013-10-01,3.7,3.6,3.9,3.7,2.8,4.2,3.5,2.4,3.3,3.6,3.4
2014-01-01,-1.7,-1.7,-2.6,-2.5,1.4,2.1,-1.4,0.0,-1.3,-2.2,-2.1
2014-04-01,5.9,5.6,6.5,6.1,4.6,5.5,5.3,5.4,5.0,5.7,5.3
2014-07-01,5.2,5.6,5.5,6.1,4.5,4.9,5.0,4.7,5.4,5.3,5.8
2014-10-01,2.6,1.9,2.5,1.7,4.0,4.9,2.0,3.2,1.4,1.8,1.0
2015-01-01,5.1,5.1,5.5,5.5,2.7,2.8,3.6,4.9,3.6,3.8,3.8
2015-04-01,3.3,3.0,3.4,3.0,3.3,3.1,2.5,2.8,2.2,2.4,2.1
2015-07-01,1.9,1.9,1.7,1.7,3.0,3.2,1.6,2.4,1.6,1.4,1.4
2015-10-01,1.3,1.7,1.0,1.5,1.4,1.3,0.7,0.9,1.2,0.3,0.8
2016-01-01,2.5,2.1,2.4,2.0,3.2,3.0,2.3,2.3,1.9,2.2,1.7
2016-04-01,1.6,1.6,1.4,1.3,1.8,2.2,1.3,1.0,1.3,1.0,0.9
2016-07-01,2.7,2.7,2.6,2.7,2.9,3.2,2.9,2.4,2.9,2.8,2.9
2016-10-01,2.3,3.4,2.2,3.5,2.1,2.4,2.2,3.4,3.4,2.1,3.4
2017-01-01,1.7,1.6,1.5,1.3,2.7,3.5,2.0,1.7,1.8,1.8,1.6
2017-04-01,2.2,2.0,2.1,1.8,2.2,2.4,2.3,2.6,2.0,2.1,1.8
2017-07-01,3.6,4.5,3.7,4.7,2.4,2.8,3.2,3.0,4.0,3.2,4.2
2017-10-01,4.6,4.9,4.9,5.2,5.2,5.5,4.6,4.9,5.2,4.9,5.6
2018-01-01,2.9,2.5,2.8,2.4,3.3,3.8,3.3,3.1,2.9,3.3,2.9
2018-04-01,2.7,2.4,2.5,2.2,2.6,2.6,2.1,1.9,1.8,1.9,1.5
2018-07-01,2.6,1.8,2.4,1.5,1.9,1.7,2.5,3.9,1.8,2.3,1.4
2018-10-01,0.8,0.9,0.3,0.4,1.1,1.2,0.6,1.0,0.7,0.0,0.1
2019-01-01,2.8,3.1,2.6,3.0,1.6,0.7,2.5,1.9,2.8,2.3,2.7
2019-04-01,3.6,3.5,3.6,3.5,4.5,4.3,3.4,3.9,3.3,3.4,3.3
2019-07-01,5.1,4.8,5.4,5.0,4.6,4.6,4.8,4.4,4.4,5.0,4.6
2019-10-01,2.7,2.3,2.5,2.1,2.1,1.9,2.8,1.4,2.4,2.6,2.2
2020-01-01,-5.3,-5.2,-6.9,-6.7,-4.1,-5.9,-5.5,-5.3,-5.3,-7.1,-6.8
2020-04-01,-28.4,-29.4,-33.6,-34.6,-24.1,-30.1,-28.1,-27.4,-29.1,-33.2,-34.2
2020-07-01,35.5,35.9,43.8,44.2,28.8,38.5,35.2,38.3,35.6,43.4,43.8
2020-10-01,4.7,4.2,5.1,4.5,6.1,7.8,4.4,5.7,3.9,4.7,4.1
2021-01-01,6.2,6.1,6.9,6.7,8.7,9.5,5.6,6.5,5.5,6.1,6.0
2021-04-01,6.9,5.8,7.6,6.3,9.2,12.3,6.4,7.0,5.4,7.0,5.7
2021-07-01,3.8,3.9,3.9,4.0,1.4,2.0,3.5,4.4,3.5,3.5,3.5
2021-10-01,7.5,7.9,8.4,8.8,3.4,4.1,7.4,7.4,7.8,8.3,8.7
2022-01-01,-0.9,-1.6,-1.7,-2.5,1.5,2.5,-1.0,1.4,-1.8,-1.8,-2.7
2022-04-01,1.1,1.7,0.6,1.4,1.8,2.4,0.3,-0.2,0.9,-0.3,0.4
2022-07-01,2.6,2.8,2.4,2.6,0.9,0.8,2.7,0.2,2.9,2.6,2.8
2022-10-01,3.5,2.9,3.5,2.8,1.3,0.6,3.4,2.7,2.8,3.4,2.7
2023-01-01,3.2,2.5,3.2,2.4,4.6,4.6,2.8,2.4,2.1,2.7,1.9
2023-04-01,2.7,2.8,2.6,2.7,2.6,2.5,2.4,2.5,2.5,2.3,2.4
2023-07-01,4.9,4.8,5.2,5.1,3.1,2.6,4.4,4.4,4.3,4.6,4.5
2023-10-01,3.0,2.9,3.1,3.0,3.5,3.5,3.2,3.0,3.1,3.3,3.1
2024-01-01,1.6,1.4,1.4,1.2,2.7,2.9,1.6,2.2,1.4,1.4,1.2
2024-04-01,3.1,2.7,3.1,2.7,2.8,2.7,3.0,3.8,2.7,2.9,2.6
2024-07-01,3.0,2.4,3.0,2.2,3.7,3.4,3.1,3.4,2.4,3.1,2.3
2024-10-01,2.6,3.5,2.5,3.6,3.0,2.9,2.4,2.1,3.3,2.3,3.4
