Date,Command-basis gross domestic product,Command-basis gross national product,Command-basis net domestic product,Command-basis net national product,Final sales to domestic purchasers,Final sales to private domestic purchasers,Gross domestic product (GDP),Gross domestic purchases,Gross national product,Net domestic product,Net national product
1961-07-01,8.1,8.1,8.7,8.7,4.7,3.5,7.9,8.2,7.9,8.5,8.4
1961-10-01,8.6,8.6,9.2,9.2,9.2,9.2,8.1,8.2,8.1,8.6,8.6
1962-01-01,7.6,7.6,8.1,8.0,5.7,5.0,7.3,8.0,7.2,7.8,7.7
1962-04-01,3.0,3.2,2.8,3.1,5.3,6.3,3.7,2.9,3.9,3.6,3.8
1962-07-01,4.9,4.9,5.0,5.0,4.7,3.3,5.0,5.3,5.0,5.1,5.0
1962-10-01,1.1,1.5,0.6,1.1,4.0,4.4,1.3,2.2,1.7,0.8,1.3
1963-01-01,4.1,3.9,4.0,3.8,1.2,3.3,4.4,3.8,4.2,4.4,4.2
1963-04-01,4.8,4.7,4.8,4.7,5.2,6.7,4.6,3.4,4.4,4.5,4.4
1963-07-01,9.0,9.0,9.6,9.6,9.3,6.5,9.1,9.7,9.1,9.7,9.7
1963-10-01,3.2,3.3,3.0,3.1,2.9,5.2,2.6,1.8,2.7,2.4,2.4
1964-01-01,8.3,8.5,8.8,9.1,7.5,9.4,8.7,7.7,8.9,9.3,9.5
1964-04-01,4.1,3.9,3.9,3.8,5.1,5.6,4.4,4.9,4.3,4.4,4.2
1964-07-01,6.2,6.2,6.3,6.4,5.8,7.4,6.4,6.3,6.4,6.6,6.6
1964-10-01,1.5,1.3,1.0,0.8,1.2,1.6,1.2,1.3,1.0,0.7,0.5
1965-01-01,10.7,11.0,11.4,11.8,8.5,11.3,10.0,12.2,10.4,10.7,11.1
1965-04-01,5.1,5.2,5.0,5.1,5.7,6.0,5.2,3.9,5.2,5.1,5.2
1965-07-01,8.8,8.5,9.2,8.8,9.2,7.9,9.2,9.9,8.9,9.7,9.3
1965-10-01,9.4,9.0,9.8,9.4,10.5,11.3,9.5,9.2,9.2,10.0,9.6
1966-01-01,10.5,10.5,11.1,11.1,8.0,8.1,10.1,11.2,10.1,10.6,10.7
1966-04-01,1.0,1.0,0.3,0.3,1.7,0.0,1.4,1.2,1.4,0.8,0.8
