Date,Change in private inventories,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1960-04-01,-4.1325,-4.29,1.6866666666666665,,3.37,-2.98,,,-2.42,,1.31,0.29,1.94,-1.1
1960-07-01,0.845,1.07,0.013333333333333327,,0.85,1.15,,,1.79,,0.08,0.19,0.9,-0.07
1960-10-01,-5.1225000000000005,-5.87,-0.66,,1.8,-7.82,,,-5.19,,-1.95,0.15,2.05,0.74
1961-01-01,1.5150000000000001,-1.89,-0.29666666666666663,,0.71,1.57,,,2.52,,3.46,0.21,0.22,0.93
1961-04-01,2.3775,4.41,1.2966666666666666,,3.79,5.12,,,6.68,,0.71,0.29,2.98,-1.13
1961-07-01,2.565,5.36,1.0999999999999999,,4.48,5.08,,,7.65,,-0.28,0.25,1.57,1.26
1961-10-01,-0.5025000000000001,2.48,2.8866666666666667,,8.75,3.65,,,7.86,,1.17,0.22,2.97,1.46
1962-01-01,1.815,3.35,1.3966666666666667,,4.91,4.52,,,7.14,,1.16,0.19,2.6,0.21
1962-04-01,-1.6125,-0.5,1.4533333333333334,,5.82,0.02,,,3.4,,0.52,0.27,2.5,1.14
1962-07-01,0.495,2.72,1.13,,4.35,2.36,,,4.72,,-0.36,0.29,2.39,0.27
1962-10-01,-1.285,-1.15,0.7999999999999999,,3.04,-0.51,,,0.97,,0.64,0.35,1.96,-0.13
1963-01-01,1.8675000000000002,1.93,1.1266666666666667,,1.95,4.18,,,4.01,,2.24,0.43,-0.16,0.43
1963-04-01,-1.2075,2.07,1.8533333333333333,,6.17,1.18,,,4.18,,-0.9,0.39,1.33,2.06
1963-07-01,0.4575,2.36,2.0,,8.48,3.61,,,8.76,,1.25,0.33,4.21,1.28
1963-10-01,-0.7474999999999999,0.69,1.383333333333333,,3.65,1.08,,,2.41,,0.39,0.24,1.22,0.35
1964-01-01,0.32249999999999995,3.7,2.8833333333333333,,8.28,4.75,,,8.5,,1.05,0.2,2.04,1.91
1964-04-01,-0.052500000000000005,1.11,1.8033333333333335,,4.5,2.64,,,4.22,,1.52,0.21,2.04,-0.25
1964-07-01,0.405,2.87,2.5566666666666666,,5.86,4.38,,,6.21,,1.51,0.19,1.84,0.18
1964-10-01,0.022499999999999992,-0.84,-0.04666666666666667,,1.21,-0.04,,,1.05,,0.8,0.19,1.55,-0.27
1965-01-01,2.5949999999999998,7.27,2.813333333333333,,6.57,7.69,,,9.8,,0.42,0.24,1.63,0.72
1965-04-01,-1.2525,-0.8,1.4733333333333334,,6.82,0.54,,,4.9,,1.34,0.25,2.95,1.66
1965-07-01,0.5525,3.65,2.6133333333333333,,8.46,4.66,,,8.91,,1.01,0.28,3.63,0.91
1965-10-01,-0.69,0.86,4.473333333333334,,10.46,5.8,,,9.21,,4.93,0.33,3.25,0.49
1966-01-01,2.4675,7.47,3.0399999999999996,,6.81,7.85,,,9.77,,0.38,0.33,1.24,1.01
1966-04-01,-0.2875,-1.04,-0.12333333333333334,,1.76,-0.57,,,1.08,,0.48,0.29,3.84,-1.9
1966-07-01,-0.43,2.39,1.5833333333333333,,4.0,1.8,,,3.17,,-0.59,0.26,1.89,-0.26
1966-10-01,1.5825,1.3,0.5666666666666667,,1.21,2.96,,,3.12,,1.66,0.2,2.16,-1.79
1967-01-01,-0.435,-2.99,-0.12666666666666668,,4.17,-0.77,,,3.43,,2.22,0.16,4.29,0.07
1967-04-01,-2.9699999999999998,-0.53,1.5766666666666669,,4.21,-1.6,,-0.73,0.12,0.98,-1.07,0.13,0.98,0.87
1967-07-01,0.865,0.65,-0.17666666666666667,,2.68,0.89,,4.16,3.7,-0.32,0.23,0.14,2.23,0.72
1967-10-01,-0.3225,1.07,0.17333333333333334,,3.48,-0.18,,2.86,2.92,0.19,-1.25,0.13,2.06,1.16
1968-01-01,0.0,0.9,2.6666666666666665,,8.41,4.0,,5.75,8.26,2.66,3.1,0.15,3.95,0.46
1968-04-01,2.0775,1.79,0.82,,4.08,4.0,,5.87,6.73,0.98,2.21,0.12,2.19,0.66
1968-07-01,-2.0925000000000002,1.01,2.4,,5.93,0.81,,3.76,3.04,-0.62,-0.2,0.1,2.07,0.26
1968-10-01,-0.555,1.55,0.16666666666666666,,2.32,-0.49,,0.9,1.49,0.69,-2.03,0.09,1.63,0.44
1969-01-01,1.655,2.61,2.1,,4.2,5.36,,6.08,6.34,0.32,2.75,0.07,0.47,0.58
1969-04-01,-0.5425,-2.04,-0.3466666666666667,,1.94,-1.24,,2.78,1.19,-1.56,0.8,0.03,2.64,-0.18
1969-07-01,0.375,1.99,0.5133333333333333,,2.17,1.26,,1.06,2.69,1.61,-0.73,-0.02,1.28,0.12
1969-10-01,-1.3975,-0.81,0.2833333333333334,,-0.08,-1.44,,-0.5,-1.85,-1.44,-0.63,-0.09,1.56,-2.06
