Date,Durable goods,Final sales,Final sales of computers,Final sales of domestic product,Goods,Gross domestic product,Gross domestic product excluding final sales of computers,Gross domestic product excluding motor vehicle output,Gross domestic product excluding research and development,Gross domestic purchases excluding final sales of computers to domestic purchasers,Motor vehicle output,Nondurable goods,Research and development,Services,Structures
1947-01-01,4.158,9.435666666666666,,11.253,7.731,11.129,,,11.419,,,15.488,3.003,11.971,20.348
1947-04-01,4.08,9.51,,11.311,7.655,11.1,,,11.388,,,15.423,3.029,12.086,20.04
1947-07-01,4.12,9.561333333333332,,11.386,7.559,11.077,,,11.362,,,15.013,3.082,11.982,21.895
1947-10-01,4.058,9.440999999999999,,11.399,7.718,11.25,,,11.539,,,15.678,3.154,11.797,24.386
1948-01-01,4.281,9.450000000000001,,11.442,7.924,11.42,,,11.712,,,15.827,3.224,11.826,24.463
1948-04-01,4.08,9.366999999999999,,11.506,7.986,11.609,,,11.906,,,16.499,3.284,12.029,25.861
1948-07-01,4.105,9.345333333333334,,11.531,8.031,11.675,,,11.973,,,16.593,3.318,12.106,25.941
1948-10-01,4.145,9.432333333333334,,11.624,7.994,11.689,,,11.988,,,16.372,3.302,12.325,25.172
1949-01-01,4.033,9.518,,11.669,7.766,11.528,,,11.823,,,15.893,3.244,12.447,24.464
1949-04-01,3.943,9.622,,11.819,7.63,11.488,,,11.784,,,15.665,3.218,12.588,24.671
1949-07-01,4.234,9.534666666666666,,11.806,7.75,11.607,,,11.906,,,15.349,3.245,12.5,25.919
1949-10-01,3.89,9.561,,11.858,7.557,11.51,,,11.803,,,15.557,3.308,12.412,27.487
1950-01-01,4.127,9.657666666666666,,12.042,8.0,11.963,,,12.266,,,16.445,3.46,12.523,29.228
1950-04-01,4.546,9.820333333333334,,12.367,8.22,12.327,,,12.639,,,16.135,3.582,12.768,31.492
1950-07-01,5.133,10.224,,12.807,8.781,12.804,,,13.13,,,16.542,3.665,12.747,32.963
1950-10-01,5.243,9.909333333333334,,12.695,8.935,13.049,,,13.383,,,16.784,3.695,13.184,32.338
1951-01-01,5.062,10.162666666666667,,13.078,8.883,13.226,,,13.568,,,17.061,3.648,13.841,31.772
1951-04-01,5.163,10.031666666666668,,13.153,8.943,13.455,,,13.804,,,17.008,3.68,14.497,30.662
1951-07-01,5.271,10.413,,13.593,9.057,13.733,,,14.089,,,17.121,3.765,15.125,29.931
1951-10-01,5.116,10.629333333333333,,13.798,9.029,13.763,,,14.113,,,17.415,3.934,15.269,29.875
1952-01-01,5.137,10.530333333333333,,13.92,9.002,13.91,,,14.256,,,17.27,4.197,15.615,30.653
1952-04-01,4.907,10.626,,14.155,8.795,13.939,,,14.279,,,17.152,4.405,16.059,31.008
1952-07-01,4.696,10.486,,14.03,8.88,14.04,,,14.374,,,17.969,4.637,16.161,31.018
1952-10-01,5.41,10.883000000000001,,14.492,9.344,14.501,,,14.842,,,17.732,4.891,16.319,32.308
1953-01-01,5.685,11.071666666666667,,14.803,9.514,14.771,,,15.115,,,17.612,5.083,16.605,33.093
1953-04-01,5.712,11.116,,14.922,9.563,14.885,,,15.226,,,17.707,5.27,16.809,33.146
1953-07-01,5.773,11.116666666666667,,14.891,9.514,14.801,,,15.133,,,17.388,5.435,16.745,32.672
1953-10-01,5.228,11.043999999999999,,14.813,9.189,14.577,,,14.895,,,17.672,5.584,16.701,33.147
1954-01-01,5.016,11.014333333333333,,14.727,9.126,14.507,,,14.818,,,17.995,5.735,16.534,33.909
1954-04-01,5.108,11.081666666666669,,14.783,9.154,14.523,,,14.83,,,17.856,5.843,16.426,34.638
1954-07-01,5.161,11.187999999999997,,14.931,9.238,14.687,,,14.997,,,18.006,5.913,16.559,35.685
1954-10-01,5.428,11.446666666666665,,15.174,9.534,14.975,,,15.292,,,18.324,6.0,16.654,36.508
1955-01-01,5.838,11.624666666666664,,15.464,9.932,15.402,,,15.735,,,18.625,6.01,16.8,38.322
1955-04-01,6.233,11.933666666666667,,15.664,10.32,15.653,,,15.985,,,18.929,6.251,16.672,38.889
1955-07-01,6.324,12.139666666666665,,15.895,10.504,15.865,,,16.192,,,19.316,6.588,16.934,38.5
1955-10-01,6.362,12.230666666666666,,15.937,10.618,15.96,,,16.272,,,19.602,7.09,17.058,37.87
1956-01-01,6.188,12.244,,15.911,10.511,15.898,,,16.185,,,19.687,7.714,17.081,37.955
1956-04-01,6.136,12.340000000000002,,16.093,10.535,16.029,,,16.301,,,19.908,8.248,17.301,38.516
1956-07-01,6.071,12.404000000000002,,16.105,10.555,16.015,,,16.271,,,20.148,8.652,17.247,38.376
1956-10-01,6.322,12.589999999999998,,16.384,10.718,16.279,,,16.533,,,20.041,8.967,17.664,38.164
1957-01-01,6.397,12.750666666666666,,16.531,10.815,16.383,,,16.635,,,20.176,9.114,17.75,38.228
1957-04-01,6.372,12.684,,16.474,10.758,16.347,,,16.592,,,20.047,9.278,17.823,37.748
1957-07-01,6.447,12.832666666666668,,16.602,10.93,16.507,,,16.751,,,20.439,9.454,17.938,37.649
1957-10-01,6.003,12.6,,16.596,10.476,16.336,,,16.569,,,20.055,9.6,18.297,37.778
1958-01-01,5.381,12.251333333333333,,16.189,10.058,15.912,,,16.125,,,20.274,9.725,17.965,37.708
1958-04-01,5.331,12.263333333333334,,16.281,10.052,16.017,,,16.23,,,20.387,9.83,18.302,37.235
1958-07-01,5.619,12.454666666666668,,16.517,10.391,16.387,,,16.606,,,20.786,10.047,18.497,38.397
1958-10-01,5.95,12.645000000000001,,16.839,10.681,16.77,,,16.995,,,20.9,10.252,18.673,40.676
1959-01-01,6.362,12.875666666666666,,17.169,10.937,17.092,,,17.322,,,20.688,10.433,18.785,42.694
1959-04-01,6.683,13.038333333333332,,17.422,11.291,17.477,,,17.713,,,21.051,10.641,19.02,43.66
1959-07-01,6.427,13.251333333333333,,17.661,11.172,17.489,,,17.72,,,21.326,10.778,19.309,43.27
1959-10-01,6.452,13.218666666666666,,17.587,11.264,17.539,,,17.765,,,21.574,10.98,19.441,41.919
1960-01-01,7.098,13.463666666666667,,17.786,11.802,17.934,,,18.159,,,21.706,11.356,19.344,43.169
1960-04-01,6.725,13.608666666666666,,17.935,11.605,17.837,,,18.046,,,22.019,11.715,19.571,42.132
1960-07-01,6.807,13.594,,17.97,11.677,17.925,,,18.128,,,22.049,11.948,19.676,42.052
1960-10-01,6.305,13.561,,18.048,11.162,17.695,,,17.883,,,21.612,12.142,19.904,42.733
1961-01-01,6.148,13.573666666666668,,18.079,11.261,17.814,,,17.997,,,22.367,12.408,19.927,43.596
1961-04-01,6.515,13.698333333333332,,18.247,11.584,18.116,,,18.297,,,22.506,12.771,20.253,42.537
1961-07-01,6.968,13.782000000000002,,18.448,11.908,18.464,,,18.645,,,22.416,13.097,20.426,43.716
1961-10-01,7.179,14.072333333333333,,18.852,12.142,18.827,,,19.01,,,22.659,13.385,20.763,45.105
1962-01-01,7.476,14.206666666666669,,19.083,12.442,19.162,,,19.349,,,22.905,13.639,21.065,45.303
1962-04-01,7.431,14.359666666666667,,19.366,12.44,19.336,,,19.515,,,23.017,14.006,21.363,46.449
1962-07-01,7.68,14.480666666666666,,19.577,12.603,19.574,,,19.746,,,22.921,14.414,21.645,46.713
1962-10-01,7.572,14.546333333333331,,19.727,12.567,19.638,,,19.795,,,23.081,14.913,21.88,46.581
1963-01-01,7.752,14.685,,19.82,12.869,19.852,,,19.995,,,23.639,15.528,21.853,47.015
1963-04-01,7.948,14.895333333333333,,20.126,12.952,20.075,,,20.206,,,23.41,16.089,22.011,49.159
1963-07-01,8.168,15.107333333333335,,20.548,13.205,20.517,,,20.646,,,23.696,16.571,22.518,50.487
1963-10-01,8.237,15.239333333333335,,20.738,13.283,20.651,,,20.772,,,23.782,16.929,22.674,50.867
1964-01-01,8.601,15.61,,21.164,13.63,21.087,,,21.212,,,24.015,17.228,22.928,52.94
1964-04-01,8.714,15.855666666666666,,21.403,13.831,21.316,,,21.439,,,24.406,17.546,23.191,52.651
1964-07-01,9.006,16.19,,21.712,14.171,21.649,,,21.773,,,24.805,17.844,23.425,52.832
1964-10-01,8.912,16.182666666666666,,21.776,14.169,21.716,,,21.831,,,25.044,18.148,23.627,52.513
1965-01-01,9.66,16.448333333333334,,22.118,14.774,22.242,,,22.362,,,25.166,18.524,23.83,53.297
1965-04-01,9.565,16.663666666666668,,22.494,14.817,22.523,,,22.638,,,25.554,18.941,24.221,55.224
1965-07-01,9.96,16.978333333333335,,22.962,15.195,23.024,,,23.14,,,25.822,19.407,24.702,56.261
1965-10-01,10.048,17.650333333333332,,23.559,15.678,23.554,,,23.669,,,27.22,19.975,25.142,56.828
1966-01-01,10.92,17.994333333333334,,23.954,16.352,24.127,,,24.242,,,27.281,20.55,25.306,58.048
1966-04-01,10.795,18.029999999999998,,24.063,16.297,24.21,,,24.309,,,27.407,21.087,25.865,55.663
1966-07-01,11.087,18.227333333333334,,24.307,16.459,24.415,,,24.504,,,27.22,21.56,26.139,55.335
1966-10-01,11.243,18.283,,24.379,16.73,24.615,,,24.699,,,27.736,21.938,26.454,53.052
1967-01-01,10.857,18.310333333333332,,24.632,16.656,24.833,,25.114,24.914,,18.838,28.443,22.242,27.084,53.134
1967-04-01,10.785,18.537666666666667,,24.894,16.505,24.848,,25.062,24.921,,20.026,28.122,22.493,27.229,54.244
1967-07-01,10.863,18.516333333333332,,25.059,16.587,25.083,,25.328,25.156,,19.636,28.201,22.758,27.555,55.168
1967-10-01,11.0,18.535,,25.277,16.569,25.273,,25.514,25.342,,19.864,27.803,23.019,27.859,56.68
1968-01-01,11.107,18.951999999999998,,25.802,16.943,25.788,,25.882,25.865,,23.113,28.782,23.303,28.437,57.249
1968-04-01,11.34,19.095333333333333,,26.06,17.331,26.219,,26.27,26.302,,24.348,29.492,23.547,28.763,58.099
1968-07-01,11.478,19.473,,26.452,17.411,26.422,,26.528,26.505,,23.545,29.416,23.753,29.08,58.444
1968-10-01,11.692,19.50166666666667,,26.607,17.361,26.526,,26.59,26.605,,24.434,28.721,23.953,29.333,59.04
1969-01-01,12.046,19.788666666666668,,26.884,17.902,26.94,,27.003,27.029,,24.858,29.641,24.088,29.402,59.799
1969-04-01,11.761,19.798,,27.017,17.77,27.022,,27.199,27.111,,22.755,29.908,24.162,29.822,59.558
1969-07-01,12.044,19.861,,27.166,17.899,27.201,,27.272,27.297,,24.946,29.641,24.114,30.027,59.729
1969-10-01,11.928,19.972333333333335,,27.162,17.742,27.068,,27.235,27.166,,22.959,29.408,23.916,30.277,56.924
1970-01-01,11.487,20.091666666666665,,27.234,17.646,27.027,,27.337,27.137,,20.114,30.164,23.529,30.374,56.513
1970-04-01,11.558,20.105999999999998,,27.174,17.81,27.066,,27.275,27.189,,22.158,30.534,23.146,30.416,54.827
1970-07-01,11.857,20.201333333333334,,27.426,17.875,27.315,,27.592,27.454,,21.077,30.024,22.898,30.681,56.731
1970-10-01,10.704,20.035333333333334,,27.364,17.203,27.022,,27.654,27.161,,13.87,30.609,22.617,30.797,58.347
1971-01-01,11.67,20.298666666666666,,27.705,18.126,27.756,,27.831,27.92,,25.438,31.299,22.574,31.041,59.346
1971-04-01,11.522,20.244666666666664,,27.888,18.062,27.907,,28.069,28.075,,23.934,31.451,22.583,31.203,61.721
