Date,Auto output,Autos,Change in private inventories,Domestic,Domestic output of new autos,Exports,Final sales of domestic product,Final sales of motor vehicles to domestic purchasers,Foreign,Gross government investment,Imports,Light trucks (including utility vehicles),Motor vehicle output,Net exports,Net purchases of used autos and used light trucks,New,New motor vehicles,Other,Personal consumption expenditures,Private fixed investment,Private fixed investment in new autos and new light trucks,Sales of imported new autos,Truck output,Trucks,Used,Used autos,Used light trucks (including utility vehicles)
1980-10-01,69021.0,16590.5,6342.0,3532.5,58111.0,8270.0,91457.0,105245.0,-59.0,4874.0,22058.0,7380.0,97799.0,-13788.0,2764.5,3473.5,47421.0,,68520.0,31851.0,,23487.0,28778.0,5892.6,-605.0,2252.0,512.5
1981-01-01,70512.0,16689.166666666668,-4679.0,-2403.0,57775.0,8173.0,103478.0,116733.0,-392.0,5184.0,21428.0,7678.0,98799.0,-13255.0,2707.0,-2794.5,53067.5,,77252.0,34297.0,,24654.0,28287.0,5685.6,910.0,2184.5,522.5
1981-04-01,75237.0,17635.166666666668,10194.0,5443.5,62503.0,8221.0,96046.0,110599.0,-12.0,5154.0,22774.0,8498.0,106240.0,-14553.0,3438.0,5431.5,49284.0,,70730.0,34715.0,,24252.0,31003.0,6120.4,-669.0,2872.5,565.5
1981-07-01,73419.0,17194.5,-3847.0,-1411.0,61236.0,8658.0,106637.0,120403.0,-712.5,4999.0,22424.0,9372.0,102790.0,-13766.0,3092.5,-2123.0,54609.5,,78601.0,36803.0,,24773.0,29371.0,5782.8,399.0,2470.0,622.5
1981-10-01,63387.0,15865.5,5513.0,2290.0,49168.0,7300.0,88397.0,105521.0,574.5,4767.0,24424.0,8280.0,93911.0,-17124.0,3393.5,2864.5,46984.0,,67189.0,33565.0,,25249.0,30524.0,6499.8,-216.0,2888.0,505.5
1982-01-01,55297.0,14866.333333333334,-11054.0,-6278.0,41540.0,6026.0,98244.0,117724.0,684.5,5013.0,25506.0,11209.0,87190.0,-19480.0,3494.5,-5593.5,52861.0,,77506.0,35205.0,,27487.0,31893.0,6161.2,133.0,2757.5,737.0
1982-04-01,68768.0,17584.833333333332,6222.0,1699.0,54811.0,6804.0,95927.0,115755.0,1335.0,4804.0,26632.0,10549.0,102149.0,-19828.0,3064.0,3034.0,52411.5,,76579.0,34372.0,,26600.0,33381.0,6645.4,154.0,2386.5,677.5
1982-07-01,73967.0,18549.666666666668,7882.0,4626.0,60330.0,6131.0,96209.0,116704.0,-597.0,4749.0,26626.0,10526.0,104091.0,-20495.0,3515.0,4029.0,52463.0,,78152.0,33804.0,,28470.0,30124.0,5698.0,-177.0,2866.0,649.0
1982-10-01,64787.0,16291.333333333334,-14628.0,-6072.0,49272.0,5611.0,107439.0,125358.0,-1460.5,5155.0,23530.0,11484.0,92811.0,-17919.0,3353.0,-7532.5,56748.5,,86100.0,34103.0,,31121.0,28024.0,4786.6,437.0,2686.5,666.5
1983-01-01,76678.0,19032.0,3394.0,2196.0,62380.0,5789.0,104818.0,125743.0,-814.0,4370.0,26714.0,12371.0,108212.0,-20925.0,3603.5,1382.0,57083.0,,84738.0,36635.0,,29692.0,31534.0,5573.8,315.0,3120.5,483.0
1983-04-01,79012.0,19941.333333333332,-5380.0,-2086.5,64324.0,6695.0,121554.0,144528.0,-1131.0,5358.0,29669.0,16148.0,116175.0,-22974.0,4014.5,-3217.5,65571.0,,99708.0,39462.0,,32696.0,37163.0,6337.6,527.5,3313.5,700.0
1983-07-01,93687.0,22122.166666666668,2964.0,2047.0,75996.0,7339.0,133110.0,155007.0,-590.0,5974.0,29236.0,18392.0,136074.0,-21897.0,4715.0,1457.0,69801.5,,104790.0,44243.0,,32564.0,42387.0,6798.4,25.0,3854.5,860.5
1983-10-01,103795.0,25033.333333333332,9551.0,4554.5,84437.0,7982.0,145085.0,171276.0,-72.5,6445.0,34173.0,20441.0,154636.0,-26191.0,4661.5,4482.0,77754.5,,114076.0,50756.0,,37600.0,50842.0,8603.8,293.5,3667.5,994.0
1984-01-01,105340.0,26397.5,9142.0,3677.0,88183.0,7989.0,150184.0,179428.0,488.0,7150.0,37233.0,21351.0,159326.0,-29244.0,4354.5,4165.0,81785.0,,120217.0,52061.0,,37110.0,53986.0,9069.6,406.0,3310.5,1044.0
1984-04-01,97064.0,25059.166666666668,-3697.0,-1651.5,81992.0,7622.0,156358.0,187590.0,-457.0,8680.0,38854.0,22297.0,152661.0,-31232.0,4636.5,-2108.5,84818.5,,124273.0,54637.0,,38750.0,55598.0,9689.0,260.5,3571.5,1065.0
1984-07-01,99585.0,25556.166666666668,2388.0,998.0,83577.0,8209.0,153951.0,185032.0,173.0,7437.0,39290.0,22169.0,156340.0,-31081.0,5091.0,1171.0,83706.5,,123690.0,53905.0,,37554.0,56754.0,9846.2,23.5,4080.0,1011.5
1984-10-01,113118.0,28209.5,14933.0,5436.5,93395.0,8514.0,159989.0,191769.0,1492.0,7797.0,40294.0,24271.0,174921.0,-31780.0,4527.5,6928.5,87458.0,,129412.0,54560.0,,40097.0,61803.0,10585.2,538.0,3484.5,1043.0
1985-01-01,110385.0,27653.333333333332,-1318.0,-767.5,93021.0,8927.0,172420.0,204470.0,-102.0,8363.0,40977.0,29461.0,171102.0,-32050.0,4839.0,-869.5,93214.0,,139942.0,56165.0,,39940.0,60717.0,9599.4,210.5,3652.5,1187.0
