Date,Clothing and footwear,Durable goods,Energy goods and services,Final consumption expenditures of nonprofit institutions serving households (NPISHs),Financial services and insurance,Food and beverages purchased for off-premises consumption,Food services and accommodations,Furnishings and durable household equipment,Gasoline and other energy goods,Goods,Gross output of nonprofit institutions,Health care,Household consumption expenditures (for services),Housing,Housing and utilities,Less: Receipts from sales of goods and services by nonprofit institutions,Market-based PCE,Market-based PCE excluding food and energy,Motor vehicles and parts,Nondurable goods,Other durable goods,Other nondurable goods,Other services,PCE excluding food and energy,"PCE excluding food, energy, and housing",PCE services excluding energy and housing,Recreation services,Recreational goods and vehicles,Services,Transportation services
1956-07-01,0.31,-1.03,,,,0.07,,-0.47,-0.28,-0.98,,,,,,,,,-0.74,0.05,0.13,-0.05,,,,,,0.05,1.89,
1956-10-01,-0.06,1.92,,,,0.73,,0.0,0.4,3.25,,,,,,,,,1.68,1.32,0.11,0.26,,,,,,0.13,2.38,
1957-01-01,-0.43,1.08,,,,0.68,,-0.24,0.23,2.09,,,,,,,,,1.64,1.01,-0.18,0.53,,,,,,-0.14,0.72,
1957-04-01,-0.14,-1.44,,,,0.82,,-0.06,-0.26,-0.79,,,,,,,,,-1.05,0.65,-0.16,0.22,,,,,,-0.16,1.49,
1957-07-01,0.73,-0.38,,,,0.8,,-0.13,0.38,1.96,,,,,,,,,-0.71,2.34,0.3,0.44,,,,,,0.16,1.24,
1957-10-01,-0.81,-0.64,,,,-0.18,,-0.49,-0.05,-1.65,,,,,,,,,0.1,-1.01,-0.06,0.03,,,,,,-0.19,1.82,
1958-01-01,-0.26,-3.7,,,,-0.62,,0.0,0.13,-5.07,,,,,,,,,-3.62,-1.37,-0.11,-0.62,,,,,,0.04,-0.35,
1958-04-01,0.64,-0.83,,,,-0.11,,-0.33,0.58,0.7,,,,,,,,,-0.28,1.53,-0.05,0.42,,,,,,-0.17,2.65,
1958-07-01,0.73,1.07,,,,0.77,,0.67,0.33,4.09,,,,,,,,,0.03,3.01,0.13,1.19,,,,,,0.24,2.72,
1958-10-01,0.53,1.84,,,,0.98,,0.3,0.12,4.01,,,,,,,,,1.27,2.17,0.09,0.54,,,,,,0.18,1.53,
1959-01-01,0.08,2.78,,,,1.49,,0.38,-0.04,4.82,,,,,,,,,2.1,2.04,-0.09,0.5,,,,,,0.4,2.71,
1959-04-01,0.78,2.03,-0.09,0.46,0.38,0.5,0.32,0.43,-0.02,3.28,0.77,0.16,2.58,0.69,0.66,0.31,,,1.41,1.25,0.09,-0.02,0.72,5.91,5.22,2.43,0.19,0.1,3.04,0.15
1959-07-01,-0.24,1.05,0.15,0.27,0.23,0.47,0.53,0.1,-0.1,1.62,0.34,0.07,2.35,0.88,1.19,0.07,,,0.94,0.57,0.02,0.43,0.06,3.62,2.74,1.5,0.05,-0.01,2.63,0.22
1959-10-01,0.3,-2.78,0.08,0.23,0.28,0.51,0.28,0.1,-0.01,-1.8,0.15,-0.05,2.02,0.8,0.94,-0.09,,,-3.0,0.98,0.09,0.18,0.33,-0.13,-0.94,1.36,0.09,0.03,2.25,0.13
1960-01-01,0.11,1.84,0.43,0.2,0.04,-0.26,-0.41,-0.32,0.18,2.29,0.35,0.25,1.38,0.65,0.93,0.14,,,2.34,0.45,-0.08,0.42,0.33,3.71,3.06,0.69,0.18,-0.09,1.59,0.07
1960-04-01,0.23,1.31,0.56,0.08,0.23,0.5,0.38,0.17,0.47,3.13,0.11,0.14,1.93,0.57,0.68,0.03,,,0.91,1.82,0.09,0.62,0.38,4.08,3.51,1.35,0.09,0.13,2.01,0.03
1960-07-01,-0.51,-0.43,-0.35,0.01,0.05,-0.45,-0.33,-0.57,-0.32,-1.34,-0.47,-0.51,-0.27,0.71,0.69,-0.49,,,0.44,-0.91,-0.08,0.37,-0.23,-0.79,-1.49,-0.93,0.03,-0.22,-0.25,0.03
1960-10-01,-0.12,-1.38,0.24,-0.06,-0.1,-0.15,0.03,-0.09,0.0,-1.27,0.22,0.4,1.85,0.89,1.14,0.28,,,-1.35,0.11,-0.01,0.38,0.28,0.43,-0.46,0.67,0.08,0.06,1.79,0.02
